,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,6QxIW4P0GsOodae3_KAn0Q,Lauren D.,5.0 star rating,"I have had two great experiences here and both reviews are way overdue.My fiancé and I came here for Valentines Day as I had been itching to try this place out. The service, food, and ambience were all fantastic. I was nervous about how crowded it might be but they stuck to the reservations and sat us right away. I was unfamiliar with the wines and asked for the one most similar to Sauvignon Blanc. I can't remember the exact name, but the waiter's suggestion was on point (as I ended up having three glasses)! We received bread with a chickpea spread compliments of the chef, which was yummy. We started with the pretzels (yummy!!). I had the squid ink pasta which I loved and my fiancée won the clean plate award with the bucatini plate. Also, somewhat random, but I absolutely loved the music selection! It was the perfect mix of 90's with current. It made for the perfect Valentines Day.I also came for happy hour with my best friend which is a great deal. We had the lamb fingers and the flatbread, which we both loved. Definitely a great date night spot or a good place to grab a few glasses of wine and a little pre-dinner treat at their Aperitivo.",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
1,tKp_JlhCKyFRDTO9Namn3g,Jorge M.,5.0 star rating,"I don't really understand the 3.5 stars here. Sorellina is probably the best restaurant in Hoboken by far.Fresh ingredients, honest traditional dishes with a twist and great staff.I have been there 5 times and after reading some of the reviews I can only confirm the bad taste of a lot of people who cannot appreciate when they are in front of great food.Keep up the good job, Sorellina!",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
2,_RNxlWibIPDZcnDGwh7ReA,Lisvette V.,4.0 star rating,"Sorrelina has taken over the likes of Helmers German Bar/ Restaurant a few years ago and are still standing in Uptown Hoboken! Their decor is bomb AF. I love the teal pillows, long bar, the contrasting in different elements in the restaurant and of course - their dishes. Although they're more on the European side in terms of serving - I absolutely love every plate I order here. Note-able dishes would be the:Cavatelli & Ragu with Pacchieri Pasta.They also make Struffoli fresh in house with a healthy drizzle of honey!*Drooling* They always have specials brewing & they have a grand selection of Italian wines & Negronis. On the pricier side, this isn't an everyday spot, but a great place for date night or just to try something with a different atmosphere in town. Bravo Sorrelina, although you mean Little Sister - you still stand tall and I can dig that ;)",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
3,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,4.0 star rating,"what a great addition to hoboken... i know it isnt that new anymore but it was my first time!The wine selection is solid and the servers really know their stuff about wine. We enjoyed the 3 bottles we had.The food was also delicious. I liked the meatballs particularly because of the blend of meat they had. The flavor really popped and the sauce also complimented it well.The meat and cheese selections are also delicious even though I hadnt heard of many of them. Just ask the server and they will help you find what you want!The carrot appetizer was also unique and had a great flavor. The different carrots made the dish particularly awesome. Finally the broccoli pretzels were the highlight of the meal. We have never had anything like this. It was a great appetizers and I would recommend. The cheese, broccoli, with the pretzel.. accompanied with the mustard all worked suprisingly!!Great job sorellina!",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
4,k8ToEsaJuHbT-fGtFhpzKw,Bryan C.,3.0 star rating,Been here for drinks only a couple times and for dinner twice.   Food is good but always something a little off.  First time pasta served a bit to al Dente even for those that like it.  Second time the lamb with mushrooms had more of a mutton taste then either the fig or mushrooms.   My steak was good and nice size.  Like they split wine list by flavor profile.   Service was okay though needed to ask Twice for wine.  Wanted to sit at bar but not next to door and they would not move a party of 6 that reserved seats down two.  Considering other options this is a good choice for upscale Italian in Hoboken.   Wish they would put candles at table to add a bit of light.,Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
5,sdkWib964Wug9eWWQb6byg,Jeff D.,4.0 star rating,"Went here for an early Friday night dinner with my wife and son.  This is the 3rd or 4th time we've been and it seems to get better every time.  High quality pasta dishes with some very interesting twists.  The black pepper pasta with milk braised pork was amazing.  Vegetarian options are limited but my wife loved her pesto gnocchi.  They made a simple pasta with butter plate for my 7 yo who later remarked, ""That pasta was money"".  Not a wine expert and had no idea what the Italian wines were, but our waitress was on point with a perfect recommendation.  Solidly in the conversation of best Italian food in Hoboken.",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
6,Ox6NXoHS5rFQ3FA_-oKdaQ,Christina B.,5.0 star rating,"I've been here on three separate occasions and the food has never disappointed. Despite the slow service, this is one of my favorite pasta restaurants in Hoboken. Unlike the BYOBs, this has an expansive wine list and serves modern, rather than old school menu items. The cacio e pepe is one of my favorites.",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
7,FEfCBx0MuKB0hSSB62wE1g,Singergirl 1.,2.0 star rating,"I've been here five times, and I really want to like it...but I think it's gone down hill.  The pros: very cute space, excellent happy hour drink specials before 7pm, a nice change from the glut of sports bars in Hoboken, some pleasant dishes.  Cons: the service is usually bad.  One time our waiter was so clueless and laidback that we actually thought he might be stoned.  Two other times, the dour, inattentive bartender spent more time chatting with her colleagues than tending to the customers.  Food has been hit or miss.  The happy hour lamb fingers came out hard and cold, the ""broccoli pretzel bites"" had no broccoli to be found. Their fried green tomatoes were delicious, and I did have an excellent meatball sandwich there from their happy hour menu, but it appears to be gone.  In short, the managers have a good concept-- Hoboken needs more attention to seasonal cuisine and good wine-- but the execution is sorely lacking. The managers would do well to motivate their staff to take pride in serving their customers, and perhaps limit the the happy hour menu to just drinks if the food is going to be so mediocre.",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
8,FlfSk0U1jPu9fuFvT8wRFw,Prem S.,5.0 star rating,Have no idea why this place gets any bad reviews. I've been here 3 times now for dinner and I've been impressed every time. I've ordered three different pasta dishes each time and they have all been very delicious. They did a good job with the atmosphere as well considering the dated German place that was here before. This is a solid spot for good Italian in Hoboken with a nice atmosphere.,Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
9,SoGc8F_7Sj7r6hdYqf-MJA,Nithya D.,2.0 star rating,"Yet another subpar meal that the staff didn't seem interested to hear feedback on tonight. After a delicious Cauliflower Arancini appetizer: unseasoned, unsalted Brussels sprouts burrata that was more like melted mozzarella w/no hint if promised truffle followed by mushroom ragu that was not fully heated and uneven portion size as between me and my husband (minecwas teeny). My daughter's chocolate gelato was gummy and inedible. She left much of it unfinished. Our waiter said sorry but really seemed to not care. Next time, we should just go to Anthony David's!",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
10,LcWOq7p7Mhtv9hIlDrhy9A,Mel T.,2.0 star rating,"Since my boyfriend is new to Hoboken, we decided to take a stroll around the neighborhood. We passed by Sorellina, which looked like a cute date spot. Since we had some time to kill, we decided to grab a drink.I had the Forza Negroni (Bulleit Bourbon, Sweet Vermouth, Campari) and he had the Classico Negroni (Dorothy Parker Gin, Carpano Antica Vermouth, Campari). Both tasted pretty similar and had a little too much Campari for my taste. You're probably better off sticking to a glass of vino from their wine list, which is pretty extensive and reasonably priced.Some of the appetizers stood out to us so we also ordered a bite to eat. We had the Grilled Cherrystone Clam Spiedini {with housemade chorizo, caracara orange marmalade & sourdough croutons} and Nonna's Meatballs (pomodoro braised veal & ricotta). Neither of these appetizers were good. They certainly looked appetizing but that was about it. The clams were ridiculously chewy. I even tried cutting them up into super tiny pieces but even then, it was extremely difficult to eat. The meatballs had an okay flavor but the texture was just not the way meatballs should be. I don't know what it was - maybe they ground up their meat too much but the consistency was that of a hot dog. My boyfriend compared it to a Vienna sausage.I was really hoping to like this place but if the appetizers we ordered weren't very good, I'm not sure if I would want to be back to try the mains. Guess we'll just have to find another go-to Italian spot in the neighborhood.",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
11,WUhSkcmpwe-KFsXCQZ8n6g,H H.,4.0 star rating,"Surprisingly a lot better than I thought it would be when we went here (albeit it was within a few months of opening).  We have since gone back at least once (both times for dinner, and we sat inside).  Pro's:  their pasta is amazing (try the tortellini), it wasn't too loud, they have indoor and outdoor seating, and they have a separate bar area with enough distance from/to the seated dinner area.  You can make a reservation.  Con's:  service was eh, and it's not BYOB, other than that, it's not cheap (but again the quality of the food we had was totally worth it).  Worth a try-make a reservation if you can )they get packed around dinner time especially on the weekends!",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
12,P5kDm0ZB2rZCt-2ijHS_qw,Marissa K.,3.0 star rating,"I want to start off saying the service was great. We had two people taking care of us. They were both excellent. They gave us enough time to look over the menu, which took a while. We never felt rushed. They were at tentative and friendly.The squid ink pasta dish was great. The flavor was excellent. It had this spicy kick to it after each bite, which I really enjoyed.They have a huge wine list. We had to google the bottles to figure out which one to get. We got the tami I believe. It was good.The restaurant is big enough so that you get enough space between the tables so you don't feel like you're on top of each other. Bathrooms are small though.All that being said, the branzino dish wasn't edible. It was the saltiest dish I've ever had in my life. I've never complained about salt before, but this was intense. I was going to just eat the potatoes, but they weren't cooked enough. They were too hard.I had someone else try my dish to make sure I wasn't tripping. They agreed with me though.I felt terrible. I didn't send it back. I just kinda scraped it around to look eaten. I'm hoping the chef just screwed up with my dish. I would try the restaurant again, but definitely not the branzino.",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
13,z-Gld3aKFJGb6P29F6F6fA,Andy S.,3.0 star rating,"Overall, Sorellina is a bit pricey for the quality of the food and service. However, on the upper side of Hoboken, you are paying for the atmosphere as well.  I ordered the CACIO E PEPE CONCHIGLIE (milk braised pork with black pepper pasta).  The pasta was perfectly cooked and al dente and the flavors were all there. However, I found it to be way too oily and heavy after my third bite.  I ordered a negroni cocktail to help cut through the fattiness of the pasta.  Halfway through my pasta, I notice that my entire plate had about a quarter inch of olive oil that had oozed out of the pasta.  By the end of the meal, it took about 10 minutes to wave down the waiter for the check. Probably will not be back on my own volition.",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
14,60xT8IJErBIOe1q8dGfIJw,Christina D.,5.0 star rating,"We came for Brunch and were blown away by the menu and food!While there were MANY interesting choices, my husband and I both ordered the sunny-side up duck egg with mushrooms...and our intrigue were handsomely rewarded in the form of deliciousness.  The egg was perfectly done, runny inside with a firm yolk bottom and tender whites.  While the egg white was similar to that of chicken egg, however the duck yolk was spectacular.  It was very rich and the texture was a slightly thicker than regular chicken eggs.  Add some of the mushrooms with each bite gave it an interesting umami flavor or dip the breadstick given on the side.While sitting outside, we noticed a pleasant baking smell and asked our waiter where it was coming from.  We were surprised and happy to learn that they have a BAKER ON STAFF!  And that we were smelling the joys of baking...at the waiter's recommendation, we then added the bread board to our order and it was another smash!  We had the cream filled donut, walnut crumb cake, pumpkin cheesecake danish and cheddar biscuits.  ALL were fabulous!Lastly, I ordered the peach bellini, which was also delicious and the balance between the nectar and the proseco was just perfect.I am looking forward to return time and time again!!!",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
15,K9hdpEj4LY7eoVqDBTWpig,Saiki D.,2.0 star rating,"Upon entry to the dining area we were quite pleased with the open and free flowing design accompanied with the typical wooden feel of a wine bar.  They did a nice job shielding  the kitchen from the rest of the venue (not many places pay attention to this  A++).  We looked over the menu and decided to go with the selection of salumi,  Brussel sprouts with the duck egg yoke and the meatballs.      Salumi you can't go wrong,  the meatballs were firm and packed a punch but they ran out of the Brussel sprouts!!!    How can you run out of a dish on your menu!    Their bread is baked on premise,  which was amazing!!!! But please offer more than just one slice of heaven!       For entrees we had the pork and pepper pasta, Kale raviolis,   And the farfalle with mushrooms.     I enjoyed the pepper pasta, the sauce was smooth and different which was much appreciated.    Kale ravioli was inhaled but my wife was a little disappointed with the farfalle .      Over all scale 1-10 I would give it a 5.    Service needs to be tightened up.    The ambiance was a plus and food was good but the service took the overall rating down.",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
16,eb_Kx0klqAH1LsiQUkO-TA,Jackie G.,5.0 star rating,Delicious strong coctails. Yummy food! Get the gnudi and spaghetti squash bruschetta. Go for all the pastss and breads.  Not for those on a low carb diet.,Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
17,_KBprSWVHmeyIptm4H4OEA,Ali K.,2.0 star rating,"How do I start this off. This place has SO much potential but it comes up short. I went there with my best friend for the first time last night (I live in the area and familiar with most of the wine bars). We went on a Friday night so decided to sit at the bar to avoid the wait for a table.The bartenders were great -- and we decided to share a couple of apps to begin. We decided on the meatballs, black truffle burrata, and octopus salad. To put it short and to the point -- extremely disappointing.The meatballs were bland and somewhat cold. They were hard in the middle and lacked ANY ""oomph"". The octopus salad maybe had a total of 1 small tentacle cut up and was served over cabbage. CABBAGE. We literally got a bowl of cabbage with a couple pieces of octopus sprinkled on top. The burrata -- WAS SERVED HOT OVER BRUSSELS SPROUTS. Lacked ANY FLAVOR and was melted on top like mozzarella instead of its usual form. After that, we decided to not order any more food because we were turned off at that point. We pride ourselves on being ""foodies"" and appreciating great dishes. However, we left extremely unsatisfied and still hungry. We told one of the bartenders who offered us a free round to make up for the food -- he was great. Do yourself a favor and chose Grand Vin or Bin 14.",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
18,rfZNXXGv9ligtdWo5rztww,Julianna L.,4.0 star rating,Excellent service. Very nice atmosphere! I would recommend the pasta bolognese and the squash bruschetta was excellent! Definitely would come back.,Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
19,n3reQ0FiRZysqU35VmPQjQ,River J.,1.0 star rating,"Service was really, really terrible.  I might go back for just a drink, but it's unlikely I would again subject myself to their time-bending service vortex.  Based on our limited sample of one visit, takeaways are:1. We each ordered different types of wine, and all were quite good. 2. Food was just okay.  Wasn't bad at all, but no one will think back fondly and say ""I must have that again.""3. Service -- from reading the other reviews here looks like I'm not alone in my view on this. If they can fix this, it will probably be a huge benefit to their business.",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
20,6QxIW4P0GsOodae3_KAn0Q,Lauren D.,5.0 star rating,"I have had two great experiences here and both reviews are way overdue.My fiancé and I came here for Valentines Day as I had been itching to try this place out. The service, food, and ambience were all fantastic. I was nervous about how crowded it might be but they stuck to the reservations and sat us right away. I was unfamiliar with the wines and asked for the one most similar to Sauvignon Blanc. I can't remember the exact name, but the waiter's suggestion was on point (as I ended up having three glasses)! We received bread with a chickpea spread compliments of the chef, which was yummy. We started with the pretzels (yummy!!). I had the squid ink pasta which I loved and my fiancée won the clean plate award with the bucatini plate. Also, somewhat random, but I absolutely loved the music selection! It was the perfect mix of 90's with current. It made for the perfect Valentines Day.I also came for happy hour with my best friend which is a great deal. We had the lamb fingers and the flatbread, which we both loved. Definitely a great date night spot or a good place to grab a few glasses of wine and a little pre-dinner treat at their Aperitivo.",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
21,tKp_JlhCKyFRDTO9Namn3g,Jorge M.,5.0 star rating,"I don't really understand the 3.5 stars here. Sorellina is probably the best restaurant in Hoboken by far.Fresh ingredients, honest traditional dishes with a twist and great staff.I have been there 5 times and after reading some of the reviews I can only confirm the bad taste of a lot of people who cannot appreciate when they are in front of great food.Keep up the good job, Sorellina!",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
22,_RNxlWibIPDZcnDGwh7ReA,Lisvette V.,4.0 star rating,"Sorrelina has taken over the likes of Helmers German Bar/ Restaurant a few years ago and are still standing in Uptown Hoboken! Their decor is bomb AF. I love the teal pillows, long bar, the contrasting in different elements in the restaurant and of course - their dishes. Although they're more on the European side in terms of serving - I absolutely love every plate I order here. Note-able dishes would be the:Cavatelli & Ragu with Pacchieri Pasta.They also make Struffoli fresh in house with a healthy drizzle of honey!*Drooling* They always have specials brewing & they have a grand selection of Italian wines & Negronis. On the pricier side, this isn't an everyday spot, but a great place for date night or just to try something with a different atmosphere in town. Bravo Sorrelina, although you mean Little Sister - you still stand tall and I can dig that ;)",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
23,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,4.0 star rating,"what a great addition to hoboken... i know it isnt that new anymore but it was my first time!The wine selection is solid and the servers really know their stuff about wine. We enjoyed the 3 bottles we had.The food was also delicious. I liked the meatballs particularly because of the blend of meat they had. The flavor really popped and the sauce also complimented it well.The meat and cheese selections are also delicious even though I hadnt heard of many of them. Just ask the server and they will help you find what you want!The carrot appetizer was also unique and had a great flavor. The different carrots made the dish particularly awesome. Finally the broccoli pretzels were the highlight of the meal. We have never had anything like this. It was a great appetizers and I would recommend. The cheese, broccoli, with the pretzel.. accompanied with the mustard all worked suprisingly!!Great job sorellina!",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
24,k8ToEsaJuHbT-fGtFhpzKw,Bryan C.,3.0 star rating,Been here for drinks only a couple times and for dinner twice.   Food is good but always something a little off.  First time pasta served a bit to al Dente even for those that like it.  Second time the lamb with mushrooms had more of a mutton taste then either the fig or mushrooms.   My steak was good and nice size.  Like they split wine list by flavor profile.   Service was okay though needed to ask Twice for wine.  Wanted to sit at bar but not next to door and they would not move a party of 6 that reserved seats down two.  Considering other options this is a good choice for upscale Italian in Hoboken.   Wish they would put candles at table to add a bit of light.,Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
25,sdkWib964Wug9eWWQb6byg,Jeff D.,4.0 star rating,"Went here for an early Friday night dinner with my wife and son.  This is the 3rd or 4th time we've been and it seems to get better every time.  High quality pasta dishes with some very interesting twists.  The black pepper pasta with milk braised pork was amazing.  Vegetarian options are limited but my wife loved her pesto gnocchi.  They made a simple pasta with butter plate for my 7 yo who later remarked, ""That pasta was money"".  Not a wine expert and had no idea what the Italian wines were, but our waitress was on point with a perfect recommendation.  Solidly in the conversation of best Italian food in Hoboken.",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
26,Ox6NXoHS5rFQ3FA_-oKdaQ,Christina B.,5.0 star rating,"I've been here on three separate occasions and the food has never disappointed. Despite the slow service, this is one of my favorite pasta restaurants in Hoboken. Unlike the BYOBs, this has an expansive wine list and serves modern, rather than old school menu items. The cacio e pepe is one of my favorites.",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
27,FEfCBx0MuKB0hSSB62wE1g,Singergirl 1.,2.0 star rating,"I've been here five times, and I really want to like it...but I think it's gone down hill.  The pros: very cute space, excellent happy hour drink specials before 7pm, a nice change from the glut of sports bars in Hoboken, some pleasant dishes.  Cons: the service is usually bad.  One time our waiter was so clueless and laidback that we actually thought he might be stoned.  Two other times, the dour, inattentive bartender spent more time chatting with her colleagues than tending to the customers.  Food has been hit or miss.  The happy hour lamb fingers came out hard and cold, the ""broccoli pretzel bites"" had no broccoli to be found. Their fried green tomatoes were delicious, and I did have an excellent meatball sandwich there from their happy hour menu, but it appears to be gone.  In short, the managers have a good concept-- Hoboken needs more attention to seasonal cuisine and good wine-- but the execution is sorely lacking. The managers would do well to motivate their staff to take pride in serving their customers, and perhaps limit the the happy hour menu to just drinks if the food is going to be so mediocre.",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
28,FlfSk0U1jPu9fuFvT8wRFw,Prem S.,5.0 star rating,Have no idea why this place gets any bad reviews. I've been here 3 times now for dinner and I've been impressed every time. I've ordered three different pasta dishes each time and they have all been very delicious. They did a good job with the atmosphere as well considering the dated German place that was here before. This is a solid spot for good Italian in Hoboken with a nice atmosphere.,Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
29,SoGc8F_7Sj7r6hdYqf-MJA,Nithya D.,2.0 star rating,"Yet another subpar meal that the staff didn't seem interested to hear feedback on tonight. After a delicious Cauliflower Arancini appetizer: unseasoned, unsalted Brussels sprouts burrata that was more like melted mozzarella w/no hint if promised truffle followed by mushroom ragu that was not fully heated and uneven portion size as between me and my husband (minecwas teeny). My daughter's chocolate gelato was gummy and inedible. She left much of it unfinished. Our waiter said sorry but really seemed to not care. Next time, we should just go to Anthony David's!",Sorellina,3.5 star rating,$$,"Wine, Bars,, Italian"
