,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,tt1vLgAP5UpRXAKJLT2KWg,Alec K.,5.0 star rating,"Absolutely amazing ramen and poké. The price is high but you certainly get what you pay for. IMHO they have the best ramen and poké in all of Hoboken. Their serving size is probably the greatest of all Hoboken restaurants as well. Ramen-wise, this is the best ramen I've had in my life. Granted, I haven't eaten much ramen before this, and every time I've had it before I've not really enjoyed it. Suddenly I come to South Street and I absolutely cant stop until I'm at the bottom of the massive bowl. Their selection is large enough to come here every day for a week and still not have tried all the ramens.As far as their poké: fantastic. Immensely generous in their serving size and ingredient selection (just handing out avocado as if it were an inexpensive ingredient), the flavor and quality are top notch. Their suggested combinations are fantastic but you can also make a custom bowl or sushi-burrito if you want. As far as I know they're the only place in Hoboken serving proper high quality ramen. Their poké price is similar to its competitors but they give you roughly twice as much food. Can't be beat! Only one comment: if you order ramen from them you'll only get about 2/3 the food you do when dining in, I assume due to difficulty finding disposable containers big enough to fit all the food.",South Street Fish & Ramen Co,4.5 star rating,$$,"Poke, Asian Fusion, Ramen"
1,4kdSh2lkelfHpXOQAPF4rQ,Michelle C.,3.0 star rating,"4.0 Stars for Poke Bowl2.5 Stars for RamenPoke Bowl: for the base, they offer ""forbidden rice"" which is very similar to the Korean mix grain rice and I absolutely love it. They have variety of unique toppings and they give generous portions of toppings. We tried ""spicy tuna"" bowl twice. In my opinion, it has an ""Americanized"" twist as the avocado is guacamole (huh?) but it works!  I do recommend their poke bowls and I have yet to try their sushi-rrito. Ramen: My friends did not recommend their ramen but we decided to give it a try anyways. We ordered Tokyo Soy Ramen and Original Ton Tan Ramen. Boy... the noodle and broth taste like packaged ramen that you would find in the refrigerated section of Asian grocery. The onion topping is RAW - not parcook, plain raw! The egg is very good but it was cold, not even lukewarm. The pork was the only thing good about it but at $13-14, each bowl came with one piece of pork. Overall, this place is slightly pricey for what they offer. I do recommend their poke bowls but I recommend to steer clear of their ramen.",South Street Fish & Ramen Co,4.5 star rating,$$,"Poke, Asian Fusion, Ramen"
2,hTrO1GNnsVkX8obNMQ-ueg,a r.,4.0 star rating,I would give it 3.5* if I could. I tried the Tuna and Salmon looking for a change from Sashimi. Its fine.  I would have liked more flavor in the other ingredients to become a regular. The interiors are fine. Casual sit-down place. Like most others at Hoboken.,South Street Fish & Ramen Co,4.5 star rating,$$,"Poke, Asian Fusion, Ramen"
3,mTrXfM4209GtIFrFiEsP5Q,Victoria X.,4.0 star rating,"*a bit on the pricey side*Build your own poke bowl for $11 (1 protein for $11; 2 proteins for $13, 4 toppings, 2 dressings, 2 crunchy toppings)Good hearty portionsSeat yourself sit down fast food spotComplimentary cucumber water and lime waterThe staff here clears your table after you get up to leave",South Street Fish & Ramen Co,4.5 star rating,$$,"Poke, Asian Fusion, Ramen"
4,nsgaqFbzszFtL4RewbE5fQ,Glenn Elise P.,5.0 star rating,"Came in here with my boyfriend on Valentines day and it already seemed to have a healthy lunch crowd going.  We got the miso ramen, hot and spicy ramen, and extra noodles.  I customized my miso ramen and replaced the pork with chicken (originally I asked for an extra egg to replace it and the guy at the counter politely asked if I'd want chicken which I didn't realize was an option).  Both ramen bowls came in maybe 6-10 mins and they were so tasty.  The chicken in mine was definitely more of a grilled chicken kind of texture (no grill marks) and was plain but perfect for the soup.  The broth made kale actually taste good and the broth comes with a whole boiled egg (mine was more medium boiled than soft but that's fine!)My boyfriend isn't a ramen eater normally and got dragged along for this excursion. He liked the hot and spicy which is definitely hot and spicy for my tastes.  It was good though in that you still get flavor and not deathly heat which burns your tastebuds off. He likes spicy broth just not the greens and seaweed and the mix ins except for the egg and meat... so he thought he needed extra noodles. He didn't- but we did have bubble tea beforehand which was probably the real mistake.  Needless to say- you should be easily able to get filled up by a ramen bowl here without add-ons if you're averagely hungry. I got 2/3 of the way through mine and we guess that he finished his bowl and like 1/3 or 1/4 of the noodles before he tapped out and while I am small he is more than twice my size (sorry but that's the honest truth).",South Street Fish & Ramen Co,4.5 star rating,$$,"Poke, Asian Fusion, Ramen"
5,e5BWzwTC9GfelpcIrzIpRQ,Yan M.,5.0 star rating,My husband picked me up a poke bowl from here for dinner. He made his own with spicy salmon and ahi tuna. It was very generous portions. I could not finish it in one sitting. Definitely get your moneys worth. Such an interesting concept to put a poke with ramen. Definitely want to check out how their ramen is.,South Street Fish & Ramen Co,4.5 star rating,$$,"Poke, Asian Fusion, Ramen"
6,i1sGV5muXaelmWyorrBbXg,Oleg A.,5.0 star rating,"Wow, definitely recommend this place to anyone that's a fan of sushi and ramen. The place and atmosphere is very clean, trendy, and chill. I ordered fire chili miso ton men, on a heat scale it's 5 out of 10, if you like spicy food. Also got the south street special sushi burrito and it was delicious. This place is super filling and the price is reasonable. Note: Not related to the restaurant. All ramen to me has that wet dog smell, if you have the same weird sense of smell, then ask to not include bamboo in your .",South Street Fish & Ramen Co,4.5 star rating,$$,"Poke, Asian Fusion, Ramen"
7,CGgA6zmvJl-gsr48gR4wEg,Corinne B.,5.0 star rating,Cosy spot for a nice meal in Hoboken not far from the path on 2nd and Washington. The poké special and the ramen bowls were both delicious and the portions were large. We tried the strawberry and mango aloe milk drinks that went great with the entrees too! Will definitely be back for more!,South Street Fish & Ramen Co,4.5 star rating,$$,"Poke, Asian Fusion, Ramen"
8,OLuar_HGSTvZdkAOYVJcHQ,David C.,5.0 star rating,"The Champion Ramen Bowl is legit! Rich flavorful pork broth teeming with many assorted delicious sea delicacies (octopus, fish cake, seaweed, beef!) and of course great ramen. Yum!",South Street Fish & Ramen Co,4.5 star rating,$$,"Poke, Asian Fusion, Ramen"
9,q2KRywu0jNGpH-JkBFBeUw,Mims B.,3.0 star rating,"Fresh and delicious poke and good value for the size. Much better than Makai poke two blocks away.I have to knock off two stars tho, for 1) getting my order wrong via delivery.com... and then 2) when I called to complain, they said they'd credit my account for the things I purchased and didn't receive, but never credited my account! I didn't get the credit, so they don't get the stars. Happy to pay, but not for nothing!! I'll try them again but will pick up and review my order closely before leaving.",South Street Fish & Ramen Co,4.5 star rating,$$,"Poke, Asian Fusion, Ramen"
