,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,IdRrLkpF1U35CWCu8oF9iw,Kelly B.,4.0 star rating,Pretty good. Friendly staff. We went early so we were able to choose any seating yay. Interesting selection in menu. May change a thing or two but overall pretty good. Plan to return in the near future.,Sri Thai Thai Restaurant,3.5 star rating,$$,Thai
1,dD-e4MWK3p5xUK9gcWpu9w,Emma P.,4.0 star rating,"Sri Thai is an unassuming BYOB that has the best Thai food in both Hoboken and J.C. The decor is kind of lacking and there is always cheesy pop music playing, but the staff are friendly and service is swift. The food is really really tasty, I've never been disappointed when I have eaten here and I have been eating here for almost fifteen years! I find the food is fresh, it's not greasy and it's pretty authentic and well spiced - it's Thai food rather than American/Thai. Their salads and appetizers are always good. Tom Yum Soup is out of this world delicious, it has a bit more body and 'funk' than other places and I love their curry puffs. It's not at all expensive and the lunch special here is great value for money -   either $7.95 or $8.95 depending on your choice of protein, for either soup or salad and a generously sized portion of a selection of their entrees. Overall SriThai is one of Hoboken's best dining options, if you like Thai try it!",Sri Thai Thai Restaurant,3.5 star rating,$$,Thai
2,gxENC_UdtelREs0DEsrmrg,Michael N.,3.0 star rating,"Located on the SW corner of 3rd and Bloomfield, this restaurant is perfectly situated just across the street from Cork City, and a great place to come before or after going to that bar.I came here with a group of 4 people, the service was fantastic, but the food was just okay. My experience with Thai restaurants in Hoboken has been a bit of hit or miss, and I would have to say that this place did not stand out to me as a place I would necessarily go out of my way for. Make no mistake that they absolutely have a target audience, which is quick and reliable Thai food, but at the same time, this is certainly more of a place for locals than if you're just in town for a night or so.",Sri Thai Thai Restaurant,3.5 star rating,$$,Thai
3,pQrfruFpCJ8MLxqOutlVkw,Jan C.,5.0 star rating,Always great!! Get the green pork salad sweet sour and delicious!!!! Also spicy vegetable soup extra spicy always get those sinus's clear,Sri Thai Thai Restaurant,3.5 star rating,$$,Thai
4,yainHy59EUBPXOZ7Bt71oA,Angela W.,5.0 star rating,Excellent go to Thai. The pad Thai never fails. My husband always switches up his entree and is always satisfied. Delivery is quick and on point. Will come back again and again!,Sri Thai Thai Restaurant,3.5 star rating,$$,Thai
5,JURvQL8BJauRJOIhbVRtVg,Megan L.,5.0 star rating,"Love this place! The seats are super comfortable, staff is warm and friendly, and food is delicious and authentic. While it's pretty small and intimate, it always sets the scene for a good relaxing meal!",Sri Thai Thai Restaurant,3.5 star rating,$$,Thai
6,EAH_OFe0AMSTEFIqsP6XIg,Upneet K.,4.0 star rating,"Pretty good standard Thai food, good service, BYOB, reasonable prices. Nothing to complain.We ordered the basics- had basil fried rice with chicken and basil chicken with chilly. The portion was generous and the dishes were authentic and were absolutely delicious.This is probably one of the better thai places in the area! Will visit again!",Sri Thai Thai Restaurant,3.5 star rating,$$,Thai
7,Vavtd5JwMKYgxYz-X3Uyew,Huw P.,5.0 star rating,"Great Thai food that is very reasonably priced be warned it can be a bit spicy. ! we have eaten here many times over a 12 year timespan, no frills Thai food that tastes good served by smiling staff. We go about once a month and will cont to do so, they do a lunch special M-F $9:00 amazing value GO also BYOB what's not to like",Sri Thai Thai Restaurant,3.5 star rating,$$,Thai
8,Vr94oCgVobXtkrRkg1i3PQ,Jane Y.,2.0 star rating,"According to the rating system here on Yelp, two stars means, ""Meh. I've experienced better."" while three stars indicates, ""A-OK.""  Based on this difference, I can only give Sri Thai Thai Restaurant two stars.  I came here based on a friend's recommendation that this was the best Thai restaurant in the area.  We had called our order in ahead of time for pick up.  When we arrived, the order was ready and waiting for us.  Sri Thai was empty of customers except for a small handful of tables outside, and so our order was completed quickly... but now in retrospect the void of clientele is an indication of the establishment?   From our order, all I wanted was a papaya salad, unfortunately it was not very good.  All of the components were there from the fish sauce, to the green papaya, the peanuts, carrots, and lettuce... but it just didn't taste good.  The fish sauce completely overpowered the papaya salad, and instead of being crisp and refreshing, it was wilty and fishy.  If their craftmanship of this standard Thai dish is any indication of their food as a whole, that's unfortunate.  Fortunately the staff was very friendly and cordial and I would be willing to give Sri Thai Thai Restaurant another chance solely based on their professionalism and friendly manner.  Hopefully, I will have another opportunity to visit this place and revise my review.",Sri Thai Thai Restaurant,3.5 star rating,$$,Thai
9,tCjYkKd3jxm5-QoGqJuQgQ,Kelly R.,1.0 star rating,"SO DISAPPOINTED! This place has gone way downhill. I used to order from here a lot then stopped just to try to cook more at home. Just ordered for the first time in a long time my usual green curry, absolutely disgusting almost inedible and for me to say that is so very rare. They clearly have stopped using coconut milk as a base for their curries which is how Thai curry should be made so I don't know what this is. They are just using oil. It's lost its flavorful, spicy and light texture and is plain gross. I received a green curry that was a rotten color, with not enough broth/base, and a layer of oil sitting on top. They also sent me my brown rice wrapped in Saran Wrap and not just in the container. Btw there was no way enough curry sauce to even eat with the rice. After tasting it there was zero flavor and almost made me gag at the amount of oil. Never ordering from here again.",Sri Thai Thai Restaurant,3.5 star rating,$$,Thai
10,zO6Fp8e-C3qfEAjf8sInHQ,Lucy X.,4.0 star rating,"Quality Thai in the middle of Hoboken. Lunch specials are great value. We tried the Chicken Pai Thai and Beef Pad See Ew for take out - both had great flavor. The Chicken Pad Thai could've used a little more peanuts, but it was nice that the Beef Pad See Ew was not too greasy like most other restaurants. Great option for Thai in Hoboken. If you get take out be sure to ask for utensils - it's not otherwise included.",Sri Thai Thai Restaurant,3.5 star rating,$$,Thai
