,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,svFycHjXZYpNVutZ_0_gDQ,Jessica W.,5.0 star rating,"Love love love this place. The decor is cute, the only drawback here is the service. I feel like we always get his under enthused waiter, he's pretty terrible but despite this... I still comeBack all the time. This is a great date place. Double date , first date orJust a friends date! They have a ton of different oysters... which I love.I think the last time I came here my date (haha) and I ordered two of all the different options. Which was about 12 oysters each... btw Sunday's are half priced what!!!! Yes it's true We each tried some cocktails out, they can also make you something fun if yo  don't see anything on the menu you like. It can be a little pricier if you go during the week but it's totally worth it. I'llBe back soon!",Stingray Lounge,4.5 star rating,$$$,"Seafood,, Cocktail, Bars,, Lounges"
1,uFzxlAJyUghSR1r4ykxrqA,Christine G.,4.0 star rating,Awesome date spot! It's pricey but well worth it. My man and I love oysters from Canada so we were ecstatic to see beau soleils from Brunswick and Irish points from PEI. Don't forget to dab some homemade habanero hot sauce and slurp away. The spinach crab dip was also quite delicious.Lou took care of us during a quiet late night Sat visit. He had some off the menu cocktail recipes that he was working on and we were ever so willing to try them out. My Wild Child was tasty and refreshing!This is on the quieter side of Hoboken so we will continue to return as long as we can find parking.,Stingray Lounge,4.5 star rating,$$$,"Seafood,, Cocktail, Bars,, Lounges"
2,kzxWA2E7o4poOIiCayTK4A,Kelsey H.,5.0 star rating,"This place is amazing! Great drink specials, terrific and tasty seafood, entertaining and friendly staff. Stingray is currently winning the slot as my favorite Hoboken venue. I went for my birthday and had a fabulous time. I ordered $1 osyters, Old Bay fries and some yummy scallops coupled with a little bubbly.The decor gives off an upscale and classy vibe though I would not consider it stuffy. There is not a ton of seating so get there earlier than later (not sure if they take reservations). There are only 2 tables available for outdoor seating when the weather is decent.Street parking is metered/not always the easiest to procure. NJ Transit bus #126 stops right nearby so very easy commute from PABT. I recommend going Sun-Tues for half priced oysters!",Stingray Lounge,4.5 star rating,$$$,"Seafood,, Cocktail, Bars,, Lounges"
3,LcWOq7p7Mhtv9hIlDrhy9A,Mel T.,4.0 star rating,*Update*Discovered about 5 more bar seats when I ventured further back and a few larger tables on the other side. It's a lot bigger than it looks. I was back for some more Thursday 50 cent clams and will continue to do so!,Stingray Lounge,4.5 star rating,$$$,"Seafood,, Cocktail, Bars,, Lounges"
4,wegVIHsXdr3jZ6kBB-M7UQ,Brandon L.,4.0 star rating,"They have quite the seafood selection and great cocktail menu.  This is good spot for happy hour, as well as great place for any social event",Stingray Lounge,4.5 star rating,$$$,"Seafood,, Cocktail, Bars,, Lounges"
5,z-qKDbBD1tjPuvxvTJReGw,Carlo K.,5.0 star rating,"Been here 4 or 5 times just for evening drinks. Classy, local spot with an older (28 - 40) crowd. Hoboken is a young town - if you go downtown by the PATH it's all 21 - 28 year olds running around. It's harder to find a wine bar without a drunk Penn State young alumn girl spilling her vodka-cran on your leg, but this is one of a few of those spots. Nice bar that loops around one side of the space with couches on the other side. Doesn't get all that loud inside but still has a decent crowd.A couple blocks from my apt so makes it easy to frequent.",Stingray Lounge,4.5 star rating,$$$,"Seafood,, Cocktail, Bars,, Lounges"
6,9UK8t_D3FxQKqtWmlQNKrQ,Michelle R.,4.0 star rating,Stopped in on a Tuesday evening and enjoyed their happy hour special of half priced oysters and prosecco.  Will be back!,Stingray Lounge,4.5 star rating,$$$,"Seafood,, Cocktail, Bars,, Lounges"
7,gdDQIeHAowj8icAYf0zqHg,Mehdi B.,2.0 star rating,"I sat at the bar so I can't speak for the wait staff. Bartender never made eye contact despite it being pretty quiet. Slammed every bottle down and it was distracting to me and my fiance. He clearly didn't want to be there and didn't care for us or anyone else at the bar. Honestly the other staff seemed nice. I only saw all white male staff which is discouraging in a diverse town but again, only sat at the bar. Drinks were mediocre. Prices are pretty good given Hoboken prices. Will try again in case it was just a one time thing.",Stingray Lounge,4.5 star rating,$$$,"Seafood,, Cocktail, Bars,, Lounges"
8,6XJhCSMNmhKMqPXRhd1TMQ,Teri J.,5.0 star rating,If you LOVE oysters but are also on a budget this is the place for you. I come here at least once a month for the Sunday-Tuesday special when oysters and bubbly are half off. Stingray has an amazing selection of oysters from both east and west coasts and their menu changes frequently so you are always having the chance to try something new. The bartenders are great and attentive and the space is super cute. Def recommend for date nights as well as catching up with a friend.,Stingray Lounge,4.5 star rating,$$$,"Seafood,, Cocktail, Bars,, Lounges"
9,cirq4q6JkGKE2czoJOGDKw,Mansi P.,4.0 star rating,"Stingray Lounge is a hidden gem in Hoboken. We only came for happy hour but the deals are great for both food and drink. A good, quiet place in Hoboken to grab a quick drink and lobster roll with a friend AND actually be able to talk!",Stingray Lounge,4.5 star rating,$$$,"Seafood,, Cocktail, Bars,, Lounges"
