,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,VyLILRLsLjlY8MlYPohlrw,Chris W.,5.0 star rating,"Cozy spot with all the right details.As soon as I walked in last Sunday for brunch, I felt a wave of comfort just wash over me and I was instantly relaxed and happy.This isn't your typical eat in spot where the waiter comes to you. Instead, you have to order at the front and they give you a number so they can bring you the food when it is ready and boy was it worth it!!! To start of, the coffee is superb. I highly  recommend it. Even a normal standard coffee is outstanding. My S/O and I shared the smoked salmon, the thick cut bacon sandwich and the short rib sandwich.Let me say one thing about the food. ""WOW"".For $5 bucks as a side, the smoke salmon was plentiful. The bacon sandwich was crunchy, thick and still remained juicy with the eggs.And last but not least the short rib... Drool! Whatever sauce and coleslaw they use, it is perfect. If there was a sandwich hall of fame, this sandwich would be in it. That's how delicious it was.Overall - amazing food, amazing time. I am definitely going back!",Sunnyside Cafe & Eatery,4.0 star rating,$$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Sandwiches"
1,0LPdFJWVJoBH-Ogjdm9L4g,Susan A.,4.0 star rating,"cute breakfast cafe in hoboken-- great coffee, tasty cookies and good sandwiches.loved the vibe, very relaxed and inviting, but not inviting enough that you have people sprawled everywhere or treating the space like its their dormitory or personal living room.nice people behind the counter.",Sunnyside Cafe & Eatery,4.0 star rating,$$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Sandwiches"
2,GbrnHTTjozErjmp13i2HBw,Jenny S.,4.0 star rating,"So I'll begin with the bad news: you wait in line to order, they give you a number, and thus begins the search for seating. Since turnover is fairly decent, you'll be able to find one before your order is ready. The good news! The food is really really good. I am not big on brunch because the menu is usually just some toast and different ways you can make eggs but here they have a variety. I ended up getting the eggs benedict and the smoked salmon, which are beautifully made and seasoned. i could've done without the latte but who doesn't love latte art?Come for brunch, stay for the decor, and enjoy!",Sunnyside Cafe & Eatery,4.0 star rating,$$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Sandwiches"
3,3L5-jh0CIHplgBxyndgS2g,Arti G.,4.0 star rating,"Avocado, salmon, eggs, toast... all the good stuff! I wanted mimosas but this place did not serve them so my date called in to ask and they are BYOB!! So he brought some champagne and OJ and we were able to enjoy an amazing brunch with mimosas. He ordered eggs Benedict and i got avocado toast with smoked salmon. Both were delicious! My toast had feta cheese, pumpkin seeds and heirloom tomatoes which gave an amazing crunch! I absolutely loved my meal! Staff was really nice and place was pretty cute!",Sunnyside Cafe & Eatery,4.0 star rating,$$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Sandwiches"
4,5fvolNyMEfiNpqyJqZE6GQ,Doreen L.,4.0 star rating,"Sunnyside Cafe and Eatery is a charming, clean, spacious cafe in Hoboken. The service and food were excellent. The ambience was calm. The prices are a little high but the staff let us sit a long time and never rushed or hurried us.  We arrived to get coffee and snack for me and meal for my friend. We were waiting for someone to get out of work to head to a party.I ordered the Brekkie slider (bacon, egg and cheese on a biscuit) and matcha Americano (matcha mixed with coffee). My friend had the slow braised short rib sandwich with the sesame latte.My Brekkie slider was delicious: the biscuit was buttery crispy, the bacon was thick cut and crunchy and the gooey cheese held everything together. It was just small (credit card sized) and not filling but perfect for a snack. The matcha americano was not great. The matcha quality was low (but usual of most cafes) and the coffee was ok. It was not a great combination. I will definitely not order that again. My friend enjoyed her sandwich and latte.",Sunnyside Cafe & Eatery,4.0 star rating,$$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Sandwiches"
5,Ox6NXoHS5rFQ3FA_-oKdaQ,Christina B.,4.0 star rating,"Great for a quicker bite, coffee or working and located conveniently near the PATH. This is one of the quieter cafes. The bacon here is thick cut. The BLT was a satisfying option though it did take more than 10 minutes to come out.For a smaller breakfast option, opt for the bacon slider ($4).",Sunnyside Cafe & Eatery,4.0 star rating,$$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Sandwiches"
6,A_of7k8d8rTvECDTxGQaBQ,Shay C.,5.0 star rating,"I don't think you can go wrong with anything you get from Sunnyside.  Found this cute and simple cafe on our way out of NYC. What a refreshing treat. I had the avocado toast. Great fresh sourdough bread topped with plenty of smashed avacado and tomatoes, shallots and seeds so yummy. My son had the Turkey sausage breakfast sandwich and also said it was delicious but the winner for the morning was my husbands Pitaya bowl. It was so fresh and delicious!",Sunnyside Cafe & Eatery,4.0 star rating,$$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Sandwiches"
7,RCxLzdCLxVime7whN0q4cQ,Brian G.,5.0 star rating,Great addition to the neighborhood.  The best Avocado Toast in town.  Try it with a poach egg...it's delicious!  Decor is cool and staff is friendly.,Sunnyside Cafe & Eatery,4.0 star rating,$$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Sandwiches"
8,yefLu54SbBSJwYiNYSF4qw,Marygrace C.,3.0 star rating,"The place has free wifi, comfortable seats, and most importantly the instagram worthy wall. However, the cappuccino was tasteless...it was mostly milk with slightly teeny hint of coffee taste...The staffs were all nice. My friend and I sat there from 2 to 6pm and no one has urged us to leave. Ps: The restroom was clean as well.",Sunnyside Cafe & Eatery,4.0 star rating,$$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Sandwiches"
9,H_DrPMFvpI0jSLybrqoQJw,Rolly S.,5.0 star rating,"We came here for brunch, and it was absolutely amazing! We got the cappuccino and avacado toast with poached egg!",Sunnyside Cafe & Eatery,4.0 star rating,$$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Sandwiches"
