,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,ueh43L04SWCcA979awaDlg,Clark W.,4.0 star rating,"I was in charge of setting up a sushi reservation for a few couples to kickstart a Friday night out on the town. Needless to say, the pressure was on. Everyone knows that the only thing worse than lackluster Friday is bad sushi. I settled on sushi house and am satisfied that I did. We had a reservation and showed up about 5 minutes early after stopping at Daniel's Wines around the corner to grab a few bottles of the finest Yellow Tail available. We were promptly seated and asked which of two seating locations we preferred. Ice buckets were readily available and a small space heater in the corner was set at just the right temperature to provide some extra warmth on a chilly winter night. Service was good but not great for the duration of the evening, as the waitress was a bit slow to make her way over to the table at times but knowledgeable and quick to remediate any issues that arose. She even knew the exact Pandora playlist that was providing a relaxed, but upbeat vibe for the duration of our stay - ambiance was cool, calm, and collected. The Anniversary roll was very good and the Sahara roll might be one of the better produced during the live-ball era (a baseball reference for all my fans antsy for spring training). The others at the table were all-in-all satisfied with their meals as well, ranking from good (sushi platter for 2) to great (pork gyoza) among other dishes. I'll gladly revisit.",Sushi House,3.5 star rating,$$,"Japanese,, Sushi, Bars"
1,hEBv5nPlwAGEOJ4K7i9aUg,Carola B.,2.0 star rating,"I came here for lunch on a Saturday at 2.30pm, the restaurant was empty...I guess that was a clear sign.I order Lo Mein Udon with shrimp, so disappointing. The noodles had a weird taste and they were just like the noodles you have in the cup noodles soups you buy at the market, not the thick udon you would expect from this dish.I order a special roll, which was 15$ and it was no better than the 7$ roll they have in their lunch specials. I'm not an expert when it comes to sushi, but this one was really BAD!!",Sushi House,3.5 star rating,$$,"Japanese,, Sushi, Bars"
2,7OlQD1iu7IoyFDALUWzKZg,Laura F.,2.0 star rating,"We ordered sushi from here through Seamless for the first time. My husband and I love sushi so we're always excited to try new places. One word to sum up this sushi would be ""blah."" The rolls sounded creative but were extremely lacking in taste and texture (they were a bit on the mushy side). Fish tasted fresh, but was almost non-existent. I have seriously never had such a small amount of fish in my rolls in my life. The rolls were also pretty small, in comparison to what we've received at other places, and overall they just didn't seem to be super well-made. It was all just ""okay"" but we don't plan on eating here again...especially for the price.The deal breaker for me was that their wasabi was in packets!! I've never even seen that before but believe me, the taste and consistency was as bad as you think it would be. I love getting a nice clump of wasabi with my sushi and being able to take a chunk off with my chopsticks. Definitely don't want to squeeze runny wasabi out of a package...We tried to order Okinawa but they weren't taking Seamless orders at the time. :(On the plus side? Delivery was on time - on the fast end of the ETA.",Sushi House,3.5 star rating,$$,"Japanese,, Sushi, Bars"
3,Xhbp7Z5Du7bE15ZvmQguSA,Nahid R.,1.0 star rating,"Ordered lunch for delivery. The fish was stale, after a couple of pieces both me and my husband were feeling sick. Later in the evening called up the manger to let her know and she was NASTY! Steven the owner was not any better. They were welcome to come pick up basically the full order with a few missing pieces. The management told us we should have gone to the hospital if we were sick. Didn't think of escalating the issue but it would make a good lawsuit. Sorry, not only bad sushi but bad business practice. Good luck to Hoboken Sushi House!",Sushi House,3.5 star rating,$$,"Japanese,, Sushi, Bars"
4,Zpvxw9gxEz5a4SDQPaH2SA,Johnny G.,4.0 star rating,"Very nice spot. Very polite waiting staff. I had the restaurant to myself had a few tvs which was nice. I had 3 rolls for 12.95 on lunch special!! Really a steal. Great quality rolls, highly recommend giving it a try.",Sushi House,3.5 star rating,$$,"Japanese,, Sushi, Bars"
5,17e5fQvuhK9HGrE9vOAi2Q,Audrey N.,4.0 star rating,"I'm giving 4 stars, not because I really liked the food, but because the service was good. I mean, the food seemed to be great quality and was presented nicely, but I just wasn't feeling it. I tried 4 different appetizers, one of which was the fried spring rolls. They came with a weird sauce that reminded me of steak sauce. I ordered Chicken Katsu for the entree and was disappointed because it was just a chicken cutlet with a side of that weird sauce for dipping and a side of rice. I googled it and found that there are two ways to serve chicken katsu, the one in a curry sauce form being the one I was expecting. The chicken was tasty but because I was expecting something else I was kind of mad. haha oops. The service was great. Our waitress actually made us move to a different table during apps because she said there was a group coming in who had a reservation. No sweat, we moved over one table so she could take our table and connect it with two others. After our meal, she gave us a free dessert on the house for inconveniencing us! It was a mochi ice cream, which was my favorite thing I ate all night! So while I personally did not like the food I had, I cannot give less than 4 stars because the place was nice, services was good, food was presented well, etc. It's just a personal taste!",Sushi House,3.5 star rating,$$,"Japanese,, Sushi, Bars"
6,LcWOq7p7Mhtv9hIlDrhy9A,Mel T.,3.0 star rating,"I found out about Sushi House when I came across a deal for it on Groupon, so I thought - why not? I love sushi, and it was close enough to my boyfriend's place so it was worth a try. We came in on a Tuesday at around 7 and there were only a few other people dining there. It was also a rainy night so there might have been fewer people that night. I did see a few people come in for takeout though.First order of business: wine. It's BYOB, which is nice - especially since it doesn't seem like they don't have a drink menu. But that's fine, youll save some $$$ bringing your own drinks anyway. They'll also give you an ice bucket, which was a nice extra.Next, we started with the soft shell crab tempura. This was just okay but it was pretty much what I expected. There was little crab meat, but at least their tempura didn't taste like old oil like most other sushi restaurants.Finally, we ordered the sushi sashimi for two (8 pieces of assorted sushi, 20 pieces of sashimi, a California roll and a spicy tuna roll). This also comes with your choice of miso soup or salad. Everything tasted pretty great, especially the white tuna, which is my fave. Everything was served in a boat, which I was probably a little too excited about (it was my first time having sushi from a sushi boat!)With the Groupon deal, our bill was a reasonable price. Otherwise, it seems a little pricey for standard sushi. I'd probably come back if I had another Groupon deal, or for their Salmondays or Tuna Tuesdays.",Sushi House,3.5 star rating,$$,"Japanese,, Sushi, Bars"
7,sdkWib964Wug9eWWQb6byg,Jeff D.,3.0 star rating,Have been here a number of times.  Always a good experience.,Sushi House,3.5 star rating,$$,"Japanese,, Sushi, Bars"
8,QmXD8PoMBe5WHX0diF2g0g,Shonnie H.,3.0 star rating,"As expected of this area, it's not a Japanese owned and operated joint (most likely Chinese). I'm being generous by bumping the star up to 3 - while it met my low expectation in Hoboken, it doesn't warrant anything more. I'm giving 3 stars just for good service and BYOB, as well as the check-in discount. It's near our home, and we walk by it often enough to see that they had a lot of volume on most nights. I didn't think it'd be a good idea to transition my man into sushi by starting out with the $$$$ sushi joints- why pay such high prices when you can't appreciate the fish yet? Raw fish is an acquired taste (and obsession), so we're making baby steps to get him to where I am in my soosh game. I'm just happy he's willing to try :)The sashimi was meh but fresh enough to eat. The special lobster roll was really underwhelming. If you want cool (but in no way authentic) tasty rolls, go to Okinawa.",Sushi House,3.5 star rating,$$,"Japanese,, Sushi, Bars"
9,q7Mb8zPMTH3rlK4MFnj6CA,Meg F.,5.0 star rating,"This is a hidden gem of Hoboken! I have walked by this restaurant 100 times and I think because it is surrounded by all the bars I never noticed it. I had dinner here with two friends and we will 100% be back. It is so cute inside, great service, great food. We all enjoyed our meals. Definitely recommend",Sushi House,3.5 star rating,$$,"Japanese,, Sushi, Bars"
