,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,YyrBbUJprMTCkIZtLjkA8g,Stephanie M.,4.0 star rating,The atmosphere of this place is cute and somewhat intimate. Their selection of sushi is good not great. Don't get the spider roll it doesn't taste good. So I would stick to te basics here. Their deserts are great !!! I can't leave this place without getting the chocolate lava and vanilla ice cream so good!! Also if you come in the week days from 3-6:30pm they have good happy hour drinks !!,Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
1,znJ-0OXkdrauwLazS8cxdQ,Dee M.,1.0 star rating,"So I've been here twice.  The cooks in the back are doing a great job,  because the food is good. But this place gets a poor review because the SERVICE SUCKS! The first time I brought my wall street friend to this place. Needless to say,  these kind of new yorkers don't like time wasted or poor service. INTOLERANT is an understatement! Long story short, after 16 minutes of no one coming up to even take our order, not even a glass of water,  we left WITHOUT eating! The guy has places to be, & nj already sucks because sushi place has servers giggling by the bar & playing on their phones, yet we were waiting for our orders to be taken.The second time, I came with another friend, same story.  The girl servers are immature & probaby don't really care for this job or the customers.  The girls were busy on their phones in customers' plain view & were chatting & laughing by the bar, WHILE SERVICE HAD NOT BEEN RENDERED. Again, we were waiting for someone to even get our order & when someone did,  it was another bout of waiting for the food to be served. Additionally, no one checked whether we needed anything once they brought our OVERDELAYED orders to the table. My friends & I will not be coming back. There are sushi places well deserving of our business. Advice for management: FIRE YOUR INEPT GIRLS/SERVERS and hire people who are serious about their work! Otherwise, those girls, will eventually tank your business.",Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
2,w2OUVTRmdirdoZabp6LW8Q,Vanessa H.,4.0 star rating,"I came to Sushi Lounge during my lunch to pick up a spicy tuna roll & spicy salmon roll. Now, I know that it's a basic order BUT I must say that the sushi was really fresh & tasted delicious! When I walked in, I was greeted by a very friendly hostess & was told to wait a few minutes for the order to be prepared. While I waited, I scoped out the place & noted that it had a very nice intimate vibe to it. Definitely the kind of place you'd come to when you're looking to have a good conversation with friends/family. However, the place is small so I don't think it's great for big groups and families with strollers. Overall, the food was great & I definitely will continue getting my lunch from there and come during dinner time!",Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
3,e4XFtoRLlYSq34hH2Jrx0w,Amanda K.,5.0 star rating,Creature of habit.  If i could eat here every night i would.  Crispy rice appetizer (my best friends get the rock shrimp).  Sea bass and fantasy roll entree with brown rice.  Every. Single. Time.  Grace the bartender makes a mean martini.  It also delivers well. Hands down the best sushi in Hoboken.,Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
4,tsYIZHfTkoupEOjMgr0Q3g,Lindsay S.,5.0 star rating,"The food was amazing!!! It's definitely a little pricey, but you definitely get enough food to justify the price, so make sure you come hungry!!",Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
5,AdIL-10Cl4rqQs6OpHlBSQ,Alina M.,3.0 star rating,"As of this visit, I have officially been to all three of the Sushi Lounge locations. Overall, I've always liked their food and it's probably slightly above average as far as sushi goes.I made a reservation for four people several weeks in advance to come here for Hudson Restaurant Week. Unfortunately, there was a little bit of a miscommunication/confusion with the other couple and they ended up coming slightly late. The host gave us such an attitude about it, which I certainly did not appreciate. I understand that they were busy and that it's restaurant week, but there were several empty tables from what I could see and there's no reason to treat customers that way.Anyways, moving on to the food. While waiting for the other couple, we ordered the Peppered Tuna appetizer and two carafes of Sake Bella. The tuna was yummy and had a bit of a kick to it with the sauce.The restaurant week menu offered four courses. To start, I had steamed veggie dumplings. The veggies were very flavorful and crunchy, not overcooked at all. This was followed by miso soup, which I think is pretty standard everywhere so no need to comment on that. For the entree, I had a spicy salmon roll and a specialty White Hot roll. The spicy salmon had thick chunks of salmon with spicy sauce, and wasn't the traditional tempura mix which was cool. The White Hot roll was a little too salty for my taste. Dessert was tempura green tea ice cream. Yum!The place itself is super loud and they have a DJ on weekend nights. Personally, I don't think I would want to come here on a double date because you can't even have a normal conversation. I hate having to scream across the table.Overall, a decent experience but I doubt I'll be back here willingly. In my opinion, the Morristown and Totowa locations are much better.",Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
6,qPBbhkWEtTaBfdQCKNvItg,Lindsey H.,4.0 star rating,"Excellent, though a little pricey. Went on a Tuesday and the friendly bartender informed us of a deal consisting of receiving 20% off the bill for checking in and then letting her hold our phones for the duration of the meal. Not only was the meal delicious, it was great to have a phone free meal.",Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
7,wQYXCH3KQunMMZ7Nh3RZCQ,Dasle K.,1.0 star rating,"Yuck. I came here with a coworker but I am NEVER coming back. I found a hair on my plate as soon as it arrived and it just went all down hill from there.We got the sushi roll combo lunch special, so one special roll and one regular roll for $18. So..... this is VERY pricey and for the quality of fish we got but I wouldn't pay a single dollar to eat here. $18 is just absurd. The descriptions of their special rolls sound promising, but trust me when I say this, they just make them sound good. The descriptions have nothing to do with the taste. The rolls were pretty gross and they charge SO much for crap food!The service was fine, but I felt that the restaurant was unclean, and combined with crap sushi and an overpriced menu.... well I see absolutely zero reason to come back. Please listen to the reviews. Stay far away!",Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
8,KdNwFuwErXp7vwGr9Quugg,Lynne M.,1.0 star rating,My husband and I have been going here for 10 years. Last night we went to have a date night before he left town for a few days. We were sat down at 7:00. At 7:25 nobody had even come to ask us what we wanted to drink. There were 3 tables sat with people in the whole place. We decided to leave as we were both starving and needed food. When we walked out we walked past a table where the wait staff were just sitting having conversations.  Really?  I was a waitress and bartender for 9 years so I understand that when the place is dead you tend to slack off. But I was very disappointed by the lack of service here. Don't know if I will I go back. Just bad.,Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
9,iPHZWOwcMtpSakilbfrVbA,Mr. J.,4.0 star rating,"A popular place around town and a solid choice. Good menu and nice bar. Goof rolls selection and nice cocktails. I have had mostly good experience here with the exception of a time when the service was not very good. Nonetheless, you really can't go wrong here at the bar of in the restaurant",Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
10,LyPx6dXzmeW9Tl3ehD8urA,Dana S.,5.0 star rating,"Made a reservation for a bday dinner. The manager Stacey took our reservation and made sure we had a romantic seat. We had a great time! Our waitress Yessie was awesome!!!!  When we're in the area, we make sure to eat here.",Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
11,M1CWqTVXz4rWyAIaBkmeUA,Yasmin R.,2.0 star rating,"It was so so, the only thing that won me over about this place was that they carry one particular brand of beer I enjoy, Kagua, which they slapped a $10 price tag on (smh).  I order the steak and potatoes.  Why oh why would I order a steak in a sushi spot.  No flavor, hard as a rock, and over priced.The miso soup was probably the best part of my meal.My fiance slightly enjoyed his chicken and shrimp meal, but the hint that it was all that, he left food on the plate.  Can't say we'd come back for anymore more then sushi/rolls and beer.",Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
12,4EADsAUkqhowo90cpw1nqA,Suz D.,5.0 star rating,Lady is a tramp roll or Spicy Tuna Roll with crunch both excellent. Service was good decently priced,Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
13,16Gi4kDjJPft7S2RbQY0qQ,Lee A.,1.0 star rating,"Oh boy, here we go . . . I got food poisoning from eating here last week. It was awful. Before this experience, I'd been to Sushi Lounge a couple of times and considered it to be a mediocre place. I just thought it was nothing special, like most sushi places in Hoboken. But, I was wrong, and I really suffered for it. As it turns out, this place is TERRIBLE and their health code standards must be really low. Don't go here! They made me sooooo sick. I'm getting nauseous just thinking about it.",Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
14,QJf10BAdoTyg6HV05IW4yQ,Githa S.,2.0 star rating,I just ordered a few rolls and a pad Thai. I am sorry I did not take pic. The pad Thai was literally grill chicken and dry noodles. No sauce. Not even the color was close to a pad Thai.  The sushi on the other hand was good.,Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
15,VwD6UrshjC8FJV2PpvGcyw,Diana M.,2.0 star rating,"I've come here in the past and never had a problem. However, i went last night with 3 girlfriends and had a really bad experience with service. We had ordered a bottle of wine along with our food. When the waitress came back a second time and we asked to have water along with the bottle of wine again, she said management put the bottle of wine on hold b/c someone said that one person in our group was so ""intoxicated"" and walked into something. We were far from intoxicated. We had two drinks prior at another spot. This experience was embarrassing and not true! I feel like they could have handled it better. The four of us were extremely insulted and we will never return again. Service is a big thing for me here, and i did not like how i was treated. Its a shame b/c their food is decent.",Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
16,TopmpDx91opKYyl6_0jGDg,Michael D.,5.0 star rating,"First time trying even though I've lived here for years (usually go BYOB), But attentive staff, casual atmosphere (ate outside on the sidewalk, enjoying a breeze off the river), good drinks/sake/wine selection (I'm a bit of a snob about that), and super solid food. Tender tuna, silky salmon, delish special rolls... And of course, a Gyoza that I couldn't help indulge in, even pouring that delicious savory sauce onto some of the rolls.",Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
17,-jNxEJzXNWtbCy5VEyS3Lw,Mark A.,5.0 star rating,"Came here for dinner with a friend, from the outside looking in you would think the place was dead because they have outdoor seating and no one their, but as soon as you walk in, pow! Full house and people everywhere!, lucky we had seats available upstairs!...place is super ""litty""! ...I mean music blasting and just great vibes...i started with saki punch, to get my Friday night going....few min later we ordered our special rolls, which were the Godzilla,red hot, optimistic, and Hoboken....Not really a fan of the Hoboken rolls though, it was more like a fried fish tasting roll, not really my thing! You would think sushi rolls named after the city the one restaurant location is in would be good! Haha I guess it wasn't for me and I wouldn't order that again!!! trust me order something else! but MANNNNN the three type of dipping sauces for my red hot and optimistic rolls were amazing! I really don't get others reviews, they probably just like to complain! Lol...my first impression,and service for dinner was awesome here...prices are really up their, but what do you expect? This is still Hoboken!!!!",Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
18,ke-_XbewWRJUHNpfSa9EZg,Gary Y.,1.0 star rating,"Wow.  Stacey, the manager, someone needs to help you learn how to run a restaurant.  I actually feel bad for you that you run a restaurant and you cannot understand the concept of the costs of making a sushi roll. I ordered 2 rolls and shumai, through seamless.  My order was $45 and change. There was an error with seamless.  I must have entered the phone number in wrong, idk.  but the delivery never happened.  I called the restaurant and asked them to resend the order (delivery is 2 blocks away).  Being that the order is sushi, I asked that they remake the rolls. Stacey, the manager, gets on the phone and says ""I am going to refund your order, I don't feel comfortable with remaking the rolls since we tried to deliver and you weren't there.""  I politely respond and say, lets save the hassle, you can keep the money, just send the order. Stacey says, no, I'm going to refund the order.  And I say, ""OK, I'll just order them again, whats the difference?""  Stacey's response was ""it has to do with food cost.""  Let me tell you something about food cost Stacey.  It does not cost anywhere near $45 to make 2 sushi rolls and shumai.  You are costing your restaurant MORE MONEY by refunding my $45 than making the sushi rolls again for me.  By you refunding my money, means you lose the sale AND you lose the cost of the rolls you now threw out.  I feel sorry for them. I can't even comprehend how someone like this treats customers.  It makes zero sense.  Very poor management.  They lost a customer, over nothing more than an incompetent manager.  There are plenty of places in Hoboken that make sushi, save yourself the aggravation.",Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
19,wBCKN4SqV2SxHs-xV6Tb7A,Juan Carlos H.,1.0 star rating,"This place is nice but service sucks. We were waiting for 25 minutes for a server to get our order, the place was empty, after 25 minutes we had to leave the place, because we were never served by anyone, all the servers were focused on their phones which is more important than the customers. I will never go back and I don't recommend this place.",Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
20,YyrBbUJprMTCkIZtLjkA8g,Stephanie M.,4.0 star rating,The atmosphere of this place is cute and somewhat intimate. Their selection of sushi is good not great. Don't get the spider roll it doesn't taste good. So I would stick to te basics here. Their deserts are great !!! I can't leave this place without getting the chocolate lava and vanilla ice cream so good!! Also if you come in the week days from 3-6:30pm they have good happy hour drinks !!,Sushi Lounge,3.5 star rating,$$,"Sushi, Bars"
