,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,QSVccFAGmajZiXamO8ynmQ,Amanda A.,5.0 star rating,"Cool, hip and dimly lit. Such interesting offerings and unconventional ingredients. Fancy some foie gras with chocolate sauce? What about some uni with raw beef? Each bite is a SURPRISE. The place to BE for quality meats, stellar appetizers and bomb dessert. WHAT TO ORDER:Appetizers1) raw beef with uni - super creamy and indulgent. Haven't seen this dish being offered anywhere else!2) foiegras meatball with chocolate sauce - it comes in a hot skillet, wafting aromas of chocolate with fatty foie gras. Omg. Meats1) harami skirt steak - salt n pepper2) kalbi - marinated3) in between rib meat - charrs nicely with a little bit a chewYou must try cooking the meat in butter and garlic.....!!Dessert-1) soft serve vanilla - the mochi (rice dumpling) is SO good.",Takashi,4.0 star rating,$$$,"Japanese,, Korean,, Barbeque"
1,2Z1H7mz5mmlfNLU17G39VQ,Jason K.,3.0 star rating,"Came here for midnight ramen with my girlfriend for our anniversary - was really excited by the prospect of eating my favorite food at midnight! We had Takashi's Original Ramen ($16) and Grandma's Spicy Ramen ($17) and the beef broth was really unique - extraordinarily rich, and you could really taste the beefiness. Usually I prefer my ramen spicy, but I found the spicy paste a bit overwhelming in flavor and saltiness and you lost some of the nuances of the original broth, which was disappointing - I'd recommend maybe only using half (when they serve the bowl, they put the paste on top and you mix it in yourself). After finishing my bowl of spicy ramen, I became extremely thirsty and drank like a gallon of water at home. For Kobe beef, I didn't think the meat was as tender as it could have been. The noodles were decent, but the best thing was actually the crispy intestine cracklings. Overall, it's a fun experience and the food is good, but definitely not the best ramen I've had.",Takashi,4.0 star rating,$$$,"Japanese,, Korean,, Barbeque"
2,wjVq03Qyhy0y35BvuFjInw,Jennifer W.,4.0 star rating,"We went to Takashi this past Sunday. Because we only had 3 people and they don't accept reservation for group of 1-3 people, we've decided to go there before their opening to make sure we can get in. We arrived around 4:45pm and were the first in the line (so lucky!)Since it is our first time there, we ordered all the favorites from our yelpers.Niu-Uni: A MUST. The beef was first grade and the uni was very fresh. The seaweed and leaf were not just for decoration but contributed to the nice flavor instead.Yooke: personally, I think it is the best dish we had in the entire meal. The seasoning is right, the beef is fresh, and the egg made the meat tender and whole the flavor together. Even our son ate a lot of it.Steamed beef shank bun: we didn't like it. The shank was too dry and tasted kind of bland. We understand that they would need to have at least one dish for kids but it was just not working for us.US Kobe Kalbi: it is our favorite meat for the grill. It was tender, juicy and just melt in your mouth. We ended up getting a second order.Filet mignon with garlic butter dip: we are normally not a filet mignon fan as we prefer fatty/juicy/more flavor cuts, but this dish did not disappoint. By following their instruction, the filet mignon was actually quite juicy! I also love their garlic butter dip. We kept it for the whole meal.Thick tongue: my husband has been looking for thick cut beef tongue in NYC for a long time and was glad to find it here. It is always our preference to have thick cut beef tongue over the thin ones as you can enjoy the texture and flavor.Harami: this was our less favorite dish for the grill. The meat was too chewy for our taste and the marinate was not helping - the garlic sauce didn't go well with the meat for some reason.We gave the restaurant a 4 Star because of the Shank Bun and Harami, but I can see we go back to try other more adventurous dishes!!",Takashi,4.0 star rating,$$$,"Japanese,, Korean,, Barbeque"
3,ST6WOXJ8-nGIrrCNLMSc9w,Gina A.,5.0 star rating,"I had a huge craving for daechang, so I searched on Yelp and came upon this restaurant. We had the following:niku-uni/chuck flat topped with uni***grilled tetchan/daechang, mino, and akasen***and yooke//thinly sliced chuck eye tartare topped with a raw quail egg yolk, seaweed, and lemon***All were delicious and yakiniku (grilled meat) items were well-cooked. This is one of my favorite restaurants in NYC and I'd highly recommend coming here if you're visiting NY.",Takashi,4.0 star rating,$$$,"Japanese,, Korean,, Barbeque"
4,-TgYsTDOZ1lj5YGHRULZxA,Katherine C.,3.0 star rating,"Disappointed with their late night ramen. Many reviews claimed it was the best ramen they had. I still prefer Totto and Ipuddo.Why? The broth was way too garlicky and after mixing in the spicy paste, it just tasted like the paste, very one dimensional. Their Grandma's spicy ramen only comes with a small piece of beef, which was on the bland side as well.Now that I've knocked them off my ramen list, I know I won't be back.",Takashi,4.0 star rating,$$$,"Japanese,, Korean,, Barbeque"
5,ohygYf3n0SZDvGTk7Pahog,Stephanie Y.,5.0 star rating,So. Delicious. This place has turned me from a Kbbq fan to a Jbbq fan!!!Definitely order the filet mignon and the Kobe skirt steak. I would go back just for these two alone. We also got the uni and beef appetizer which was yummy. As well as the tartare. The Kobe ribeye was good too but overshadowed by the rest in my opinion. The atmosphere was fun and casual without feeling sloppy. Would absolutely return. I'd be interested in coming to try the Midnight Ramen too! (:,Takashi,4.0 star rating,$$$,"Japanese,, Korean,, Barbeque"
6,ymmhlMF1Y1V6Y6QV28kbcQ,Mai Y.,5.0 star rating,The quality of the meat is top notch here. Takashi is one of the best yakiniku restaurants I've been to outside of Japan. They don't accept reservations for small parties less than 4 people so we went at 5:30 p.m. to line up before they opened. There was probably 4 parties ahead of us. The restaurant is pretty small so it's best to go early. We came once on a Saturday night around 7:30 p.m. and they told us the wait was 2-3 hours. We ordered 2 appetizers and 3 meat dishes to share between the 2 of us and we were pretty full after that. We could have eaten more but didn't want to push our limits. Yooke- a dish that's often offered in Japanese yakiniku restaurants. It's beef tartare with a raw egg on top. Loved it!Niku Uni- this was by far my fav dish of the night. It's beef sashimi topped with uni on shiso and seaweed. Best combination ever! But then again uni is one of my fav things in the world. Both the beef and uni were really fresh.,Takashi,4.0 star rating,$$$,"Japanese,, Korean,, Barbeque"
7,rJ6U0pphjTRM9i_BTDQppw,Andrew C.,3.0 star rating,"You got a fair amount of money, want a new bbq experience, and lots of flavors? Then give Takashi a shot! If you're a foodie (or at least opened to trying something new), try to book the cow experience menu a week or two ahead of time. I learned that sweetbread is delicious. Portions are small. Quality is high. Presentation of food is good. Decor is cozy and intimate. This is not a place for you to enjoy the standard BBQ. Would recommend coming for special occasions, lest your wallet get drained quick.",Takashi,4.0 star rating,$$$,"Japanese,, Korean,, Barbeque"
8,2nkCcSAX0wOQYauLa7UH2w,Jean Claire G.,4.0 star rating,"Expect to spend a lot of $$$ for high quality of meat! Its been so long that I want to try out this place! Finally me and my bf had a chance to go and we waited about 5 minutes to get a table. The place is not that big and it looks simple and cute inside. I got raspberry soju martini to try their drinks and honestly I didn't really like it. Its too sweet with alcohol. I expect some more flavor in it. For appetizer we got the niku-uni- chuck flap with leaves of seaweed, uni and wasabi. It was good and different. You taste the strong leaves and uni. 4 pieces for 2 people is good. For bbq we got 3 types, kalbi, harami and misuji. Everything was really good and perfect and the serving is small and I eat a lot, so for me and my bf we eat it so fast. Good thing I eat a lot of rice too or else I'll still be hungry and need to order more meat. Its really the best quality of meat so no regret. Its very different from any usual kbbq places. I'm glad to finally try it and I'll save this place for any special occasion.",Takashi,4.0 star rating,$$$,"Japanese,, Korean,, Barbeque"
9,tN0aO5yFk89ed65JN0BQmw,Ivy C.,4.0 star rating,"Super unique bbq restaurant. I came here for my dad's birthday and didn't realize what I was walking into. The have everything that is NOT normal, like intestines, brains, etc. Pretty crazy. My boyfriend wasn't a fan but I thought it was very good, I love trying different foods and this was definitely something intriguing. I ordered the cow's brains, it came out in a tube, and you ate it with some crackers. We also ordered raw wagyu with a piece of leaf forgot what the leaf was called but, super flavorful. We ordered a bunch of other things to bbq, everything was super unique. Would definitely recommend if you consider yourself a food adventurer. They also have midnight ramen, which is pretty interesting, i haven't been but i heard good things about it!",Takashi,4.0 star rating,$$$,"Japanese,, Korean,, Barbeque"
