,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,B1kf2ZpBKshUREdeI8Y5Rw,Ilirida A.,5.0 star rating,"How this place doesn't have 5 stars BLOWS MY MIND. Yes, it's small.Yes, the wait is usually loooong. BUT ITS SOOOOO WORTH IT. Honestly the best Mexican food I've had in the tri-state area. Just go with an open mind be prepared to wait and order all of the tacos and DIG IN! Thank me later!",Taqueria Restaurant Oaxaca,3.5 star rating,$$,Mexican
1,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,2.0 star rating,It was very very average. I had no problem with the service or delivery process. The torta was bland and not good. The worst part was the bread which was stale. It was overall very dry and this sandwich is not in the same ball park as the mexican spots in sunset park.The tacos were ok but the tortilla's were not great. They were homemade but they tasted grainy. Guacamole was ok. The enchilada's were also not as great as advertised. Hopefully it was a bad batch but damn was it average. Just was not great and i had heard a lot about this place. Maybe i will come back to try again but i am not sure.,Taqueria Restaurant Oaxaca,3.5 star rating,$$,Mexican
2,-ZjTqfH_FCa27cUCgycj0w,Hersh S.,1.0 star rating,"Initially ordered chips and guacamole, but they said didn't have any. Got chips and salsa instead. Expected to get homemade chips and home made salsa. Instead I got the home made chips which had a bit too much grease on them. And store bought salsa. I'm also able to tell by the familiar taste that it's most likely old El Paso brand salsa. Paid $6 for the portion. Probably could have just gone to Costco can gotten a gallon of salsa and a giant bag of chips for just a few bucks more. Totally feel ripped off. I didn't order other food from there as there were many pre cooked items in the casing up font that didn't look all that fresh.",Taqueria Restaurant Oaxaca,3.5 star rating,$$,Mexican
3,MaHEwBRe5jpgoYk7gE4cqQ,Susan T.,2.0 star rating,"I ordered take out the enchiladas, burrito and chicken wings. Delivery came on time. The food overall was bland and had no flavor at all. Shells were soggy. I could not finish the order as there was no taste.",Taqueria Restaurant Oaxaca,3.5 star rating,$$,Mexican
4,m06lk5kybC2XcAHvHPhAtg,Katherine A.,4.0 star rating,It was very yummy and the food was done quickly. The women who answered the phone was very nice as well. I wish I would had ordered queso or guacamole along with my order. Will order again. I got the chicken tacos,Taqueria Restaurant Oaxaca,3.5 star rating,$$,Mexican
5,Xo6QEQhhhIIHIreWmN2ukA,Patty G.,4.0 star rating,"What in the world just happened!! This place just did me dirty! How are you going to make me choose between you and my favorite Mexican spot on Central. Talk about #FirstWorldProblemsOkay, this hole in the wall is a gem all the way. Restaurant/Bodega with a tiny kitchen is definitely delivering BIG flavors! I came by for the first time tonight, how have I never been here before, is my question to myself. Anyway, I ordered the Cajun Chicken salad but the girl kept saying it comes with rice and beans. Un momento por favor, it's under Salad options.. that totally confused me but nonetheless they made it happen.Two words: GINORMOUSLY DELICIOUS! I'm always a fan of left overs so this is definitely dinner and lunch for tomorrow. The salad is simple: lettuce, tomatoes, onions, Mexican cheese, and some carrots. The chicken, man, the chicken makes that salad amazing! As if that wasn't enough I order some guaca, now, it didn't come with chips which is fine because I actually wanted to eat it with baby carrots, but what gives? Must I ask for the chips too? I will definitely have to see about that next time I hit this spot. Overall, awesome place and perhaps my new Mexican place to hit up when the craving hits.",Taqueria Restaurant Oaxaca,3.5 star rating,$$,Mexican
6,cQxiAHKd7RD4U90d7VPsSA,Stephanie Y.,4.0 star rating,"If you're looking for the spiciest Mexican food in #JerseyCity, look no further. Their green sauce (found in the enchiladas, chilaquiles and more) is friggin' a spice factory and I like my grub spicy. It's literally a hole in the wall. A few tables in a Mexican bodega; pretty sure it doesn't get much more authentic than that. Be patient, staff knows limited English, but I got to pratiquar my espanol, so all good.The guac was full of cilantro, which I loved and for the $4.50 was a ginormous amount. The enchiladas were so spicy and a large portion; I could barely finish (read barely). It was good, not great. The chicken was a little dry (but plentiful) and again the spice! My guy's chilaquiles with carne asada came with a heaping portion of thinly pounded meat atop a mound of smothered green sauce chips. It could have used more cheese/crema and the chips were a bit stale. That didn't stop him from eating it right up. Good, but not the best.Price tag was cheap as hell. I'm a fan. I still heart taqueria. I still heart Los Tres Chillitos, and you know what? I heart this place too. All a little different, all a great local business. Overall, I think I'd give it a high 3.5, but in Yelp life that means a 4!A few other things:Free chips and salsa - don't fill up. The salsa they serve is weak sauce.This is also a bodega - so if you need some Mexican dry goods or products, you can find it here! THAT GREEN SAUCE IS HOT AS HELL!!!!",Taqueria Restaurant Oaxaca,3.5 star rating,$$,Mexican
7,VyTQoOD6SHHVwOp2G5d_mA,Katherine F.,5.0 star rating,"For a small place it was hopping! Had to wait for a table but it was definitely worth the wait! Great atmosphere! Margarita was delicious! Loved the ham and cheese quesadilla! Tacos were delicious. I tried the fish, lamb and pork ones and they were delicious! Definitely will return and would highly recommend if you are in the area!",Taqueria Restaurant Oaxaca,3.5 star rating,$$,Mexican
8,4DTgHCQ89P4ATeOPejRCVg,Randall C.,1.0 star rating,"I HATE TO BE LIED TO AND RIPPED OFF!! I had plans to make a huge batch of nachos for a pot luck Thanksgiving I was attending on (of course) Thanksgiving. I walked in and asked if they made their tortilla chips from scratch - in other words, from actual corn tortillas that had been cut into wedge-shaped portions and deep-fried. They said, ""Yes, we do."" They had large brown paper bags and I said I'd take two bags filled w/ these. They said it would be about 20 minutes (seemed too short a time to me), but I said okay and took care of some other shopping. When I returned, the owner - who suddenly spoke no English - was taking restaurant supply-grade tortilla chips out from the oven (to, I guess, make the chips appear/feel to be fresh-made) and putting them in the bag. I told her, ""Those aren't the real tortilla chips we agreed you'd make for me."" but she insisted they were. The other cook in the kitchen pipped in to say she made them herself. I looked around for a deep fryer, didn't see one and asked the other cook, ""Where did you fry them?"" She pointed to a frying pan on the burner and said, ""There."" I've worked in kitchens and know my way around food. For her to have fried the amount of tortilla chips they were bagging up for me would have taken HOURS to fry in a frying pan on a stove top. Plus, the chips were thin (not actually fried tortillas) and she was scooping them into my bag off of baking sheets she'd taken from the oven.  I bought one bag (time was getting tight for me, so I couldn't keep walking into Mexican restaurants to see if they'd do this for me) and a couple of containers of Pico de Gallo (which WAS homemade and actually really good).. but to be bullshitted and charged for food that was supposed to be homemade but was blatantly factory-made from a bag and then heated up to fool the 'stupid gringo' was just plain thievery. To make matters worse, their menu looked interesting and as a transplanted Californian always looking for decent Mexican cooking, I will never know how good their food is because I WILL NEVER GIVE THIEVES AND LIARS a penny knowingly. Pendejos.",Taqueria Restaurant Oaxaca,3.5 star rating,$$,Mexican
9,Pb32ZHIowYqCstRv9wLFxA,Osaka B.,5.0 star rating,"I can be stingy with the stars sometimes, but this place was great.  It is small. A little crowded. Kind of had a bar atmosphere.  The most wonderful kitschy decor.  The food was delicious and incredibly cheap. I ordered a carnitas torta and a beef quesadilla. They give you chips and salsa free. With a coke it came out to about $15. It was enough food for two.  They have a back section that's outdoors that will open in May. Can't wait. Definitely someplace I would like to come back and hang out at.",Taqueria Restaurant Oaxaca,3.5 star rating,$$,Mexican
10,gnr5U0OgPDtCSCn5nSklmw,Jada F.,5.0 star rating,Ever since I moved here from San Diego I've been looking for a good Mexican food and I finally found it in this little gem. I highly recommend this restaurant very authentic and delicious.,Taqueria Restaurant Oaxaca,3.5 star rating,$$,Mexican
11,xOfHgu4x3oIZeLEl3k5uug,Cristina M.,5.0 star rating,"Delicious! The prize is great and the portions are more than they are worth. The food is fresh. It takes a while to be made but the wait is worth it. The tortillas are handmade by their cook, it doesn't get fresher than that. Definitely a treat to your palate. Also, the shakes are delicious made with milk and fresh fruit. Totally recommend the carnitas tacos and papaya shake.",Taqueria Restaurant Oaxaca,3.5 star rating,$$,Mexican
12,2-H14S78go2JigK6jgjplQ,Gavini K.,1.0 star rating,"I tried to order from here but was very disappointed because when we called to double check they said they won't deliver to tonnel ave (near manhatten ave). However, on the yelp app it says they will. We were trying to order lunch for the office (roughly 12 orders). Perhaps, they should update there yelp.",Taqueria Restaurant Oaxaca,3.5 star rating,$$,Mexican
13,r78jwOAArCa3aUorSJ987w,Gio S.,5.0 star rating,Love OXACA is one of my favorites spot to eat. The Tamalales are delicious and the rest of the dishes on the menu too. I have tried almost every dish and I can't complain. It was my pleasure to be a part of a video Yelp review for this place. Kuddos!!! 10 stars,Taqueria Restaurant Oaxaca,3.5 star rating,$$,Mexican
14,W7pbtTeFTsObi0x64v-yEA,C M.,4.0 star rating,"Visiting from Hawaii, we rented a cute apartment for the week and decided to stroll through the neighborhood for dinner. We came upon Oaxaca a few blocks away and decided to give them a try.Our food took a little longer than usual restaurants, but it tasted excellent and the employees were nice and polite. It was worth the wait!I would definitely recommend eating here.",Taqueria Restaurant Oaxaca,3.5 star rating,$$,Mexican
15,JcYF1vJN7-LDsXxMURQ9WQ,David C.,5.0 star rating,"I've ordered a dozen times from the place.  They had a couple slow deliveries at first, but they've been working hard to clean up their act and it shows.   This is a Oaxacan restaurant.  So get the sauces/salsas.   The the enchiladas Verde and Rojo are favorites,  as are the tacos al pastor.   These sauces are definitely house made and authentic,  particularly the mole.   ALWAYS GET THE HOT SAUCE.  it's a little green culantro/chili/avocado number and it's amazing.  It's hot but it's not over the top. They are way better than their competition, but if you have a friend with bad taste over who won't like real Mexican food,  you can still get the nachos for a pretty gringo meal.  I recommend the jarritos Tamarindo as well.",Taqueria Restaurant Oaxaca,3.5 star rating,$$,Mexican
16,D3sgIkOnnWN3DUv4eYKl9g,Sarah G.,1.0 star rating,"Ordered online over two hours ago. An hour ago was told food was out for delivery, still nothing and no longer answering the phone.The restaurant then told the online merchant they delivered to me when they did not. Said I buzzed them in but buzzers in our building do not work I would have had to walk down. When I kept insisting I did not get the order they then claimed it was delivered to someone with pink hair.",Taqueria Restaurant Oaxaca,3.5 star rating,$$,Mexican
17,5XVqguHdzoln7aWCI7xPsQ,Nick D.,4.0 star rating,"The Heights are great because they're full of little gems like this one. Since Mission Burrito closed I've been on the hunt for more solid Mexican in this neighborhood and it quickly became my new go-to. I order delivery pretty regularly but have never been inside so I can't speak for the interior, other reviews say it's basically a bodega with chairs so do with that what you will.Prices are extremely reasonable for what you get, I've ordered the enchiladas a few times now and it's a ton of food - definitely come hungry! Their green sauce is to die for, I crave it way too often. One star off just because of a little inconsistency, a couple times both enchiladas and burritos I've gotten had incredibly dry chicken, but that doesn't seem to be the norm. If I could fill my tub with those big enchilada plates and take a bath in it, I'm pretty sure I would. Delivery is usually fast but they're apologetic if it's not and dole out a lot of coupons. Totally worth your time!",Taqueria Restaurant Oaxaca,3.5 star rating,$$,Mexican
