,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,q26L2MYv5Mwp5b2dBYiYdA,Roger H.,5.0 star rating,"I just had the best simple fresh delicious prosciutto and mozzarella sandwich. FRESH mozzarella!!! Made in house. This sandwich was awesome. Simple, soft roll, tomatoes, oil and vinegar, a little salt & pepper, prosciutto and mozzarella. The fresh mozzarella made it awesome. The creamy mozz offset by the salty prosciutto and the tang of the vinegar. I'm having a moment here! You have to know I'm coming back!",Terranova Deli,5.0 star rating,$,Delis
1,_kfclZj6R_zmBW5UOAHm-A,John S.,5.0 star rating,Great food for a great price. Best chicken in the heights whether Roasted or grilled. I've eaten there more than 20 times and never had a bad experience. Food is fresh and the workers are very tentative.,Terranova Deli,5.0 star rating,$,Delis
2,7lrcRul9ikv7pO2QKO9Ryw,Andy M.,5.0 star rating,"Great chief, fast delivery , food arrives hot and I probably order to often but I can't help it the food is good.",Terranova Deli,5.0 star rating,$,Delis
3,oy_Bqg4RZydIue6kQ4D7mg,Luzdary I.,5.0 star rating,"It's right around the corner of where I live & it's honestly delicious. Amazing penne pasts with sausage and garlic sauce! I love getting their Cuban sandwich because the mojo is by far amazing on that sandwich. Amazing cooks and customer service too! So, that's a nice bonus.",Terranova Deli,5.0 star rating,$,Delis
4,OMJwlCECjqBtY3cCxhpqyw,Venus R.,5.0 star rating,"Best deli sandwiches in the heights. I've been living in the heights since 2000 and I could never really get any breakfast sandwiches or great deli sandwiches. We have 2 great Italian Deli's but terranova is very well rounded with their menu and is a true deli. The people are great and service is phenomenal. Delivery is super quick, I totally recommend this deli for anyone looking for a New York type deli! You will not be disappointed. I just wish they were opened earlier, I would love to have their breakfast before going to work. There hours are from 9am to 9pm.",Terranova Deli,5.0 star rating,$,Delis
5,z_YRTMl4vnhvXJ4TbUfq6g,Stan S.,5.0 star rating,"This is a relatively new local family owned and operated kitchenette/deli.  Fresh ingridients delivered all time.  Some days I come here 2-3 times.Mostly everything on the menu is quick and delicious!The mutz is always made fresh and is a great addition to any plate or sandwich.Great antipasta & hot pepper shootersBreakfast is always solid, omlettes, BLTs, various sandwiches are all pretty good.Some of my favorite things are:Mashed potatoes (which are made with delicious garlic and heated on a griddle for crispness on the bottom) -Empanadas, mainly beef and pizza,  but they are all good,  and you can add pepperoni/ cheese/bacon to any-Roast beef is freshly home-made, -Wings are decent with a beerSalads are also pretty filling, especially with a chicken cutlet. Rice balls and sausage in tomato are great, tooPaninis are pressed and creativeDesserts are made by the owner, as well.  My favorite are Tiramisu and CheesecakeGive this place a try, they work hard every day to bring you quality meals!",Terranova Deli,5.0 star rating,$,Delis
6,dl4ENy4Bk6-lCu59A8vxbg,Bloss C.,5.0 star rating,"I've only ordered from Teranova Deli once, so a five star review may be a little premature, but I really liked my meal and I love seeing new places opening up in the heights.  Ordering over the phone was pretty easy and painless; the fellow who took my order was very nice and I was able to pay with my credit card.  I also should note, I called 30 minutes before closing time and I did not have any problems placing a delivery order.  I ordered the mozzarella panini and it was delicious and exactly what I was hoping for: ginormous, melted perfectly, and all of the ingredients were fresh.  I also ordered fries to share, which were completely unnecessary given the size of the panini.  My fella ordered a wrap that he said was good but when he saw my panini he wished he had ordered one too.  Teranova's menu is quiet large, so after my first great experience I look forward to trying some of their items.  In terms of neighborhood panini comparisons, I liked Teranova's better that what I have ordered from Pizza Masters.  The french fries on the other had were only okay, they were the crinkle cut kind; I suggest they buy better fries.  The portion for the French fries was large. Terranova Deli seems to use good quality ingredients and what they do better than some of the other local spots is accept credit cards and have a quick delivery service.",Terranova Deli,5.0 star rating,$,Delis
7,fxEYP9psImXH-zJXsgX2EA,Megha P.,5.0 star rating,I am never disappointed when I order my food from here !! I wanna say it's my favorite deli in the heights!! They always make my food the way I want!,Terranova Deli,5.0 star rating,$,Delis
8,fzu5w5qhB5wqxUu-jPX0sw,Ted B.,5.0 star rating,"I must de driving these guys nuts with almost daily orders.    I've been ordering this past week because my fridge broke and can't store perishable grociers.  Food is good and comes quickly via UberEATS.    I recommend the chicken parm or the beaded chicken cutlet with veggies.   Prices are very reasonable too.   For a deli, the veggies are cooked very well, as good as in a sit down restaurant.   If you need a quick dinner and are in no mood to cook, give them a try",Terranova Deli,5.0 star rating,$,Delis
9,yqhoAIjccpRPfZOGTP-u-A,Janine D.,5.0 star rating,"This is the best deli in the heights. Has a great selection of food, from breakfast to dinner, the food is made exactly the way you want it and its fresh! The owners are super friendly and the prices for delicious food is extremely reasonable. I love this spot.",Terranova Deli,5.0 star rating,$,Delis
10,S8YDKflQz1FjnbapBXrm4A,Maria Elena R.,5.0 star rating,This place has the best lasagna in the area. It is made fresh everyday!!. The cold cuts are of good quality and the owner makes the turkey breast and roast beef in house. I have tried the subs and salads too and they are yum. Good meals and great prices.,Terranova Deli,5.0 star rating,$,Delis
11,YMRUkDYmyEwgnr-XVHIstA,Tracy W.,5.0 star rating,"This is my go-to deli spot in the heights. The owner is very kind, and the delivery service is quick. I've ordered sandwiches, entrees, dessert, and a few appetizers here before and they never disappoint. Their chicken parmigiana and the caprese panini are some of my favorites. This place has got it right, don't stop doing what you're doing Terranova! I'll add pictures of my food eventually... I usually just devour it too fast. :)",Terranova Deli,5.0 star rating,$,Delis
12,PrxL6udw4Dd6VFr4vMvQqg,Chetan D.,5.0 star rating,"Ordered today while looking for Italian food, which is usually either very expensive or not very good in our locality. We ordered Penne in Vodka Sauce, chicken marsala, and chicken parmigiana. All three were very good. Would order again! Delivery was quick too!",Terranova Deli,5.0 star rating,$,Delis
13,uvUtpjkeez-nIyMwYpAIgQ,Christina S.,5.0 star rating,Great breakfast and sandwiches.  Ordered from here for the first time to nurse a hangover and boy did it hit the spot. I had the chicken noodle soup and caprese panini. Within the hour they had me back to feeling like a million bucks. And the best part was I didn't have to leave my house.,Terranova Deli,5.0 star rating,$,Delis
14,QwHc7pNMWOSDDS90yTc_yw,Morgan H.,5.0 star rating,"I usually get delivery from them, which always comes super quick, but today I did pickup-I was just as pleased! A kind staff, clean location and as always terrific food at a good price. I will continue to come here for my sandwich needs!",Terranova Deli,5.0 star rating,$,Delis
15,GFpohA7SBVTxkvdsMGvdBw,Azuree B.,5.0 star rating,"If you looking for a good deli spot, this is the one to go too. The sandwiches, wraps, food entrees and the deserts are all so good. We order from them a lot and I have to say their deliver time is so fast. The  owner is a really nice guy. Definitely would recommend this place to anyone.",Terranova Deli,5.0 star rating,$,Delis
16,O7dRG3SvPnHl_2XKmHltaA,Kim L.,5.0 star rating,Really good food. I ordered the chicken parm and a chicken noodle soup. Chicken parm was excellent i got 3 chicken cutlets with a ton of pasta for only 9.99 it was delicious. I wasnt a fan of the chicken noodle first off they used angelhair pasta which was weird it should have been egg noodles then there were hardly and veggies in it but it was only $3 so i mean eh. Overall i really liked it and the delivery was fast.,Terranova Deli,5.0 star rating,$,Delis
17,Fvv_K288r50UcQAKqgVwIA,Gabriel E.,5.0 star rating,"Excellent new little deli that just opened. Fresh mozzarella made everyday, all sorts of cold cut meats and cheeses and freshly made salads and sandwiches of all sorts. The lasagna is amazing. I call ahead and they heat it up and I pick it up and take home for dinner. One of the best lasagnas I've had - it's freshly made in house everyday; they make only a certain number of servings each day. Prices very reasonable too. Place is excellent and run by a local family who lives in the neighborhood",Terranova Deli,5.0 star rating,$,Delis
18,5JgDCUxau66ooQ8c5oCLLg,Michelle N.,5.0 star rating,"It was my first time trying this place and I was really impressed. I called for a delivery which arrived to my house in 10-15 minutes. The gentleman who picked up the phone was probably the nicest person I have ever placed an order with. I ordered a chicken Caesar salad, an order of buffalo wings and a cold sub. Everything tasted fresh and delicious! I will definitely be ordering from them again!",Terranova Deli,5.0 star rating,$,Delis
19,nehJ4UF-Yx3UG-knap3tVw,Eric B.,5.0 star rating,"I ordered the prosciutto sub when I was working from home.  The sandwich was delicious.  Delivery was quick.  Not many delis delivering in the area, so this place is great!",Terranova Deli,5.0 star rating,$,Delis
20,q26L2MYv5Mwp5b2dBYiYdA,Roger H.,5.0 star rating,"I just had the best simple fresh delicious prosciutto and mozzarella sandwich. FRESH mozzarella!!! Made in house. This sandwich was awesome. Simple, soft roll, tomatoes, oil and vinegar, a little salt & pepper, prosciutto and mozzarella. The fresh mozzarella made it awesome. The creamy mozz offset by the salty prosciutto and the tang of the vinegar. I'm having a moment here! You have to know I'm coming back!",Terranova Deli,5.0 star rating,$,Delis
21,_kfclZj6R_zmBW5UOAHm-A,John S.,5.0 star rating,Great food for a great price. Best chicken in the heights whether Roasted or grilled. I've eaten there more than 20 times and never had a bad experience. Food is fresh and the workers are very tentative.,Terranova Deli,5.0 star rating,$,Delis
22,7lrcRul9ikv7pO2QKO9Ryw,Andy M.,5.0 star rating,"Great chief, fast delivery , food arrives hot and I probably order to often but I can't help it the food is good.",Terranova Deli,5.0 star rating,$,Delis
23,oy_Bqg4RZydIue6kQ4D7mg,Luzdary I.,5.0 star rating,"It's right around the corner of where I live & it's honestly delicious. Amazing penne pasts with sausage and garlic sauce! I love getting their Cuban sandwich because the mojo is by far amazing on that sandwich. Amazing cooks and customer service too! So, that's a nice bonus.",Terranova Deli,5.0 star rating,$,Delis
24,OMJwlCECjqBtY3cCxhpqyw,Venus R.,5.0 star rating,"Best deli sandwiches in the heights. I've been living in the heights since 2000 and I could never really get any breakfast sandwiches or great deli sandwiches. We have 2 great Italian Deli's but terranova is very well rounded with their menu and is a true deli. The people are great and service is phenomenal. Delivery is super quick, I totally recommend this deli for anyone looking for a New York type deli! You will not be disappointed. I just wish they were opened earlier, I would love to have their breakfast before going to work. There hours are from 9am to 9pm.",Terranova Deli,5.0 star rating,$,Delis
25,z_YRTMl4vnhvXJ4TbUfq6g,Stan S.,5.0 star rating,"This is a relatively new local family owned and operated kitchenette/deli.  Fresh ingridients delivered all time.  Some days I come here 2-3 times.Mostly everything on the menu is quick and delicious!The mutz is always made fresh and is a great addition to any plate or sandwich.Great antipasta & hot pepper shootersBreakfast is always solid, omlettes, BLTs, various sandwiches are all pretty good.Some of my favorite things are:Mashed potatoes (which are made with delicious garlic and heated on a griddle for crispness on the bottom) -Empanadas, mainly beef and pizza,  but they are all good,  and you can add pepperoni/ cheese/bacon to any-Roast beef is freshly home-made, -Wings are decent with a beerSalads are also pretty filling, especially with a chicken cutlet. Rice balls and sausage in tomato are great, tooPaninis are pressed and creativeDesserts are made by the owner, as well.  My favorite are Tiramisu and CheesecakeGive this place a try, they work hard every day to bring you quality meals!",Terranova Deli,5.0 star rating,$,Delis
26,dl4ENy4Bk6-lCu59A8vxbg,Bloss C.,5.0 star rating,"I've only ordered from Teranova Deli once, so a five star review may be a little premature, but I really liked my meal and I love seeing new places opening up in the heights.  Ordering over the phone was pretty easy and painless; the fellow who took my order was very nice and I was able to pay with my credit card.  I also should note, I called 30 minutes before closing time and I did not have any problems placing a delivery order.  I ordered the mozzarella panini and it was delicious and exactly what I was hoping for: ginormous, melted perfectly, and all of the ingredients were fresh.  I also ordered fries to share, which were completely unnecessary given the size of the panini.  My fella ordered a wrap that he said was good but when he saw my panini he wished he had ordered one too.  Teranova's menu is quiet large, so after my first great experience I look forward to trying some of their items.  In terms of neighborhood panini comparisons, I liked Teranova's better that what I have ordered from Pizza Masters.  The french fries on the other had were only okay, they were the crinkle cut kind; I suggest they buy better fries.  The portion for the French fries was large. Terranova Deli seems to use good quality ingredients and what they do better than some of the other local spots is accept credit cards and have a quick delivery service.",Terranova Deli,5.0 star rating,$,Delis
27,fxEYP9psImXH-zJXsgX2EA,Megha P.,5.0 star rating,I am never disappointed when I order my food from here !! I wanna say it's my favorite deli in the heights!! They always make my food the way I want!,Terranova Deli,5.0 star rating,$,Delis
28,fzu5w5qhB5wqxUu-jPX0sw,Ted B.,5.0 star rating,"I must de driving these guys nuts with almost daily orders.    I've been ordering this past week because my fridge broke and can't store perishable grociers.  Food is good and comes quickly via UberEATS.    I recommend the chicken parm or the beaded chicken cutlet with veggies.   Prices are very reasonable too.   For a deli, the veggies are cooked very well, as good as in a sit down restaurant.   If you need a quick dinner and are in no mood to cook, give them a try",Terranova Deli,5.0 star rating,$,Delis
29,yqhoAIjccpRPfZOGTP-u-A,Janine D.,5.0 star rating,"This is the best deli in the heights. Has a great selection of food, from breakfast to dinner, the food is made exactly the way you want it and its fresh! The owners are super friendly and the prices for delicious food is extremely reasonable. I love this spot.",Terranova Deli,5.0 star rating,$,Delis
30,S8YDKflQz1FjnbapBXrm4A,Maria Elena R.,5.0 star rating,This place has the best lasagna in the area. It is made fresh everyday!!. The cold cuts are of good quality and the owner makes the turkey breast and roast beef in house. I have tried the subs and salads too and they are yum. Good meals and great prices.,Terranova Deli,5.0 star rating,$,Delis
31,YMRUkDYmyEwgnr-XVHIstA,Tracy W.,5.0 star rating,"This is my go-to deli spot in the heights. The owner is very kind, and the delivery service is quick. I've ordered sandwiches, entrees, dessert, and a few appetizers here before and they never disappoint. Their chicken parmigiana and the caprese panini are some of my favorites. This place has got it right, don't stop doing what you're doing Terranova! I'll add pictures of my food eventually... I usually just devour it too fast. :)",Terranova Deli,5.0 star rating,$,Delis
