,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,XZIAEE2ZN6yxESKzXiZRqQ,Auggie L.,5.0 star rating,"Went for Hudson Restaurant Week DinnerFood - 5/5. Focaccia bread came with a mellow tomato sauce on top and the sun-dried tomato dip added a nice richness. Tuna tartare was fresh and meshed really well with the avocado mousse. The smooth avocado with the nice bite of the tuna was a great mix with the soy wasabi mayo adding a salty kick and the fried wonton adding crunch. Garlic rubbed skirt steak had good seasoning and went great with the crispy shoe string potatoes. Nutella creme brulee was creamy and sweet. The flavor had just the right amount of nutella in it and the crunchy sugar was a good mix. The texture of all the foods were great!Service - 4/5. It was a busy night but I was seated relatively quickly and the service was friendly and attentive. They gave me the wrong entree at first but rectified the problem quickly and without hesitation.Value - 5/5. Delicious three course meal plus complimentary bread for $29 is an absolute deal! Any restaurant that can get food textures on point is worth a visit and on restaurant week, even more so.Parking - Street (Metered)",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
1,6V0pgT9Pnu7CfRXpW91afg,Jess W.,5.0 star rating,"My boyfriend picked the Brass Rail for our date night on Saturday night. Given that it was St. Patrick's Day, I wasn't sure how crazy it would be with patrons decked out in green. Luckily the Brass Rail has a spacious and calm second floor for dinner goers. The first floor is more of the party centric bar area. While the second floor was practically empty when we showed up for our 7pm reservation, it filled up quickly with large parties and was full by the time we left. Would highly recommend making a reservation beforehand. We started with the calamari, which was super crispy and came with a sweet and sour thai dipping sauce. I enjoyed the special - medium rare hanger steak with a mushroom and potato hash with bleu cheese and a few stalks of asparagus. The steak was so tender and delicious!!! My boyfriend had the potato gnocchi with truffle meatballs. Also a great filling choice - perfect for a cold night. Drinks were also on point - I enjoyed my 'pretty in pink' lychee flavored cocktail. They have a pretty large beer and wine selection as well. Will need to come back here for brunch soon!",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
2,A5dqSwriUs8cV4DEzS_V9A,George B.,4.0 star rating,"Wow this place gets packed for brunch, and with good reason - the food is very good!For about $20 you get a two course pre-fixe brunch and if you kick in another $10 or so you get booze with it! We kept those mimosas flowing.For food I chose French onion soup (hit the spot) following by steak and eggs with fries. The fries were terrific. The steak and eggs were also put together well and came on a sweet bread. By that I mean actual bread, not sweetbreads.If you have not tried a brunch here before, I think its worth it. See for yourself!I have not sampled the night life here. I tried to once but just wasn't feeling the atmosphere when I walked in. Maybe I'll try again someday.",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
3,iOPF_iqXzKpz3gNZ1PdABQ,Asif R.,1.0 star rating,"Based on the reviews, I went here for Sunday brunch. I had the app and entree with a complimentary mimosa. Each mimosa with this deal was $2 after your complimentary one. I had the crepes as an appetizer. Very small compared to the size of an actual crepe. For the entree, I had the steak and eggs. The steak was cold and bland. The eggs didn't look like eggs and the bread was too wet, didn't taste good. The best part was the fries. I won't have another brunch here but may hop in for a drink or two.",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
4,B4usQSAUuMl8Spzja1CjeQ,Melina P.,5.0 star rating,"I went to this location for a friend's birthday Brunch. I absolutely loved it. They have a special brunch menu, which includes two servings (an appetizer and a entree) and a beverage for $23! Then for every drink after the first one, they're super discounted. For example my mimosas were $2! The food presentation was beautiful, and the food was beyond delicious. I can't wait to go back and try the other things on the menu!",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
5,A206Z5UEmH6aTGjLPN5RSQ,Gisele Y.,3.0 star rating,"20$ min once you want to order at the bar.I didn't like the lighting of the place.An average bar, nothing special about it to make me go there again.",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
6,Ph3nSP1Y2JnplqzWcNee0A,Neha M.,2.0 star rating,"Decided to try restaurant week here... only because of the menu, a few of the options they had looked better than other menus.I did reservations via open table and they only had 5:30 on Saturday so that made it seem like it would be very popular.  When we walk in , there is a huge bar area with loud music, but the host took us to the upstairs dining room and the ambiance there was really nice.We got seated, and a waitress came immediately and offered us tap or bottle water.  I wanted my regular dirty martini but their cocktails looked intriguing so I tried the winter lemonade which had a bourbon infused tea and was served warm!  It was pretty good.We ordered our food, and  I started off with the gnocchi meatballs - this was my fave part of the 3 course meal.  Although very rich and heavy, it was super tasty w/ the earthy mushrooms and truffle flavor.  My main course was skirt steak with spinach, mushrooms and shoestring potatoes..Sadly the vegetables were the best part of this dish... I couldnt even finish my steak, it was suppose to be medium but overcooked, and the quality of the meat was off.I ended the meal w/ the nutella creme brulee....Again it was just okay.... nothing special to me.  Oh, I also ordered my dirty martini as a second drink and meh.  I won't try this place again.",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
7,zyjs9uy3pJwzxADjhu-9KQ,Andriana A.,4.0 star rating,"Came here Sunday for Brunch. They told us 40 min wait, but we were seated in less than 10 min. We got the $22 brunch and I got the nutella chocolate crepe and eggs Benedict. Overall, pretty surprised at how good this place was. The eggs were delicious, the salad was tasty, and the potatoes were different. They also give you muffins in the beginning. The mimosa was included in the price, and after that they are $2 a piece. The music here is pretty good as well, a little loud, but at least its good. It is worth a try! Would come back.",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
8,YqD_VLUAeAfB6GmaEn5Vxw,Gregory G.,1.0 star rating,"Went there for brunch with my wife on a Saturday around 1pm. The place was busy, we sat at the bar but for 10 minutes no one came up to us. Then the they moved us to the table. We ordered an appetizer, a soup and main dishes which were egg salad toast, French onion soup, then two lobster egg Benedicts. It took them about 30 minutes to bring out the first appetizers which were both cold and neither tasted very good. At that point we were hoping that the egg Benedict's would be great since we had brunch there a different time and we personally didn't remember it being this bad. 40 minutes later still no food, I catch the waitress and ask whats going on. She goes in the kitchen and quickly comes back out with food, yes finally, crisis averted! Nope not at all, both of them were super cold. I don't know if they just don't have enough people there to bring this food out or what happened there. We called the manager to take it away. She didn't even say sorry. The manager took both the dishes we ordered said ok and walked away. The waitress comes back over says they voided the check but still no apology, no sorry nothing...If you want to wait over an hour for cold bland food, this is the place for you!",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
9,z5KrC7oM62qv4Nl6fyJq2g,Shayla C.,4.0 star rating,"This place is cute! I usually brunch in NYC and do the unlimited deals, so this one was a bit unfamiliar but unique. For $23 you get 2 courses and a drink (the Sangria is a winner, but the mimosas also have a good amount of champagne). After that, mimosas are $2 and Sangria is $3. So all in all, not a bad price and the food is tasty. Only thing that would make this better is a few more food options for the main meal.",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
10,sS9OUp7pAegy2N4JA-u99A,Ilya D.,4.0 star rating,"The food here was outstanding for brunch. Egg cooked perfectly for eggs Benedict. Drinks made very well. Service was good but a bit on the slow side. And it was a slower day, fairly empty.",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
11,W8gPSfYsstwBYEpM-_fWjA,Yinglu W.,3.0 star rating,This place is too bar-ish to be a restaurant...Ordered spinach flatbread and chicken pasta... probably the most tasteless things i have ever had... 2.5 to 3 points.... i like the environment upstairs tho.,The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
12,Vavtd5JwMKYgxYz-X3Uyew,Huw P.,3.0 star rating,"I have been living in Hoboken for 13 years and come here off and on, they offer American staples a good burger and so forth, the drinks are ok we ordered wi e recently and it arrived in a carafe, we had expected a bottle as that's the way it was presented on the list a bit cheeky charging bottle prices for draft wine.I come here mid week usually and when it's quiet as it get very loud during peek times, a bit rich in people in oversized sportswear shouting at weekends.Conclusion not bad mid week for dinner can get expensive quickly, watch out for the draft wine scam.",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
13,Ge9E2lEsBvhPuO-UP2ATWA,Danielle C.,4.0 star rating,"Brass Rail is my go to brunch spot in Hoboken. It's a bit pricey but well worth it! For $22 you get an appetizer and an entree, additionally you can get unlimited drinks for only $2!!The menu has a vast variety of food options  ranging from sweet nutella crepes to BLT (bacon lettuce and tomato) egg sandwhiches. There is something for everyone! The sangria drinks are large and good. Highly recommend!!I decided to get the falafel bites and the BLT egg sandwich (my go to).  The falafels were plentiful, I couldn't finish them, since there was so many! The falafels were decent, which is expected at an American restaurant. I'll stick with eating falafels at middle eastern restaurants hahaha.Yum yum yum!!!! is how I can describe the blt egg sandwhich. I love how the scrambled eggs and arugula salad overflowed from the multigrain bread. To top the sandwhich off, there is an avacado spread on the toast which adds a tasty dimension to the sandwich. Can't forget about the bacon that adds a nice crunch and savory taste.  WARNING!! This sandwich will put you in a food coma lol. I knocked out for a hour after eating this sandwhich.I almost forgot about the fries that come with the sandwhich, that are soo good and crispy!If you can't tell, I highly recommend this sandwich..its a must!!!",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
14,U604ez7hNv3ErsBjSZY0ug,Sudeep P.,3.0 star rating,"Great drinks, just wish their egg white advertisement in their drinks was real. One egg, one drink.",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
15,7uxzcqbtiaucy-_IsvxdhA,Meghna S.,2.0 star rating,"Two stars only coz our server was warm and welxoming.Eggs benedict had absolutely no garnishing and pretty bland.. have had much better ones than this.Felafel balls were undercooked and not crispy at all.French onion soup was tolerable.. maybe after all the disappointments the expectations fell low in anycase.Virgin Mary had mustard in it, not sure if I have ever had a more terrible one than this.Not sure if the restaurant was trying to put their own unique touch in every dish.. honestly they failed..Thumbs down",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
16,8icXf7PWncdkmIu6YBTneA,Erika V.,5.0 star rating,"Had my birthday brunch here & I absolutely loved it.  I had gone with a party of 15 and my server checked up constantly to make sure we had everything we needed.. The staff & overall atmosphere was very nice & comforting. They have a great prefix brunch menu where you can get a starter, meal, & 1 cocktail for only $23!! With every drink after that $2-&4 more dollars. I enjoyed their crepes & eggs benedict, along with a couple mimosas and sangria glasses. I would def mutely recommend this place & plan on going back soon!",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
17,N1dNmw1U4WHUZS9jxpZRGQ,Eduardo B.,5.0 star rating,"Went there last Sunday for brunch. Me and my girlfriend we loved it! They make a $22 deal and you can choose one appetizer and one entree, and also special prices on drinks. We ordered soup and sweet potato salad, and both us got steak and eggs for main course, absolutely amazing!Also the service was pretty good both times we went there to eat. And luckily, we had the same waitress, Rebekka, who is very friendly and attentive. We'll definitely come back",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
18,Q4ZtPGK0TKGVxQxpZFMhcw,Demi M.,4.0 star rating,"Came here for a last minute birthday brunch. We did the $22 pri fixe which includes 1 entree, 1 app, and 1 brunch cocktail. This is a great deal for the food and drinks in Hoboken. Even though it's not bottomless you can get additional cocktails for $2-$3. The brunch menu has many options so you'll definitely find something! The salmon and avocado toast were my favorite. They even brought us a Nutella creme brûlée on the house for the birthday girl!",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
19,RkCRp7aeLjlcosM7Q7IsRQ,Michael F.,5.0 star rating,"I have lived in the area for 10 years and I frequent The Brass Rail for their amazing food and the friendly staff.  This made it easy to choose this restaurant for my wife's birthday dinner.  The staff assisted in the surprise set up with our families and decorations.  The service, food, and overall atmosphere were exceptional as always.They also got us in and out accordingly so we could head to their sister bar, Union Hall, for the second part of my wife's surprise party.Highly recommended for any occasion!  Thank you, Brass Rail!!",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
20,XZIAEE2ZN6yxESKzXiZRqQ,Auggie L.,5.0 star rating,"Went for Hudson Restaurant Week DinnerFood - 5/5. Focaccia bread came with a mellow tomato sauce on top and the sun-dried tomato dip added a nice richness. Tuna tartare was fresh and meshed really well with the avocado mousse. The smooth avocado with the nice bite of the tuna was a great mix with the soy wasabi mayo adding a salty kick and the fried wonton adding crunch. Garlic rubbed skirt steak had good seasoning and went great with the crispy shoe string potatoes. Nutella creme brulee was creamy and sweet. The flavor had just the right amount of nutella in it and the crunchy sugar was a good mix. The texture of all the foods were great!Service - 4/5. It was a busy night but I was seated relatively quickly and the service was friendly and attentive. They gave me the wrong entree at first but rectified the problem quickly and without hesitation.Value - 5/5. Delicious three course meal plus complimentary bread for $29 is an absolute deal! Any restaurant that can get food textures on point is worth a visit and on restaurant week, even more so.Parking - Street (Metered)",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
21,6V0pgT9Pnu7CfRXpW91afg,Jess W.,5.0 star rating,"My boyfriend picked the Brass Rail for our date night on Saturday night. Given that it was St. Patrick's Day, I wasn't sure how crazy it would be with patrons decked out in green. Luckily the Brass Rail has a spacious and calm second floor for dinner goers. The first floor is more of the party centric bar area. While the second floor was practically empty when we showed up for our 7pm reservation, it filled up quickly with large parties and was full by the time we left. Would highly recommend making a reservation beforehand. We started with the calamari, which was super crispy and came with a sweet and sour thai dipping sauce. I enjoyed the special - medium rare hanger steak with a mushroom and potato hash with bleu cheese and a few stalks of asparagus. The steak was so tender and delicious!!! My boyfriend had the potato gnocchi with truffle meatballs. Also a great filling choice - perfect for a cold night. Drinks were also on point - I enjoyed my 'pretty in pink' lychee flavored cocktail. They have a pretty large beer and wine selection as well. Will need to come back here for brunch soon!",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
22,A5dqSwriUs8cV4DEzS_V9A,George B.,4.0 star rating,"Wow this place gets packed for brunch, and with good reason - the food is very good!For about $20 you get a two course pre-fixe brunch and if you kick in another $10 or so you get booze with it! We kept those mimosas flowing.For food I chose French onion soup (hit the spot) following by steak and eggs with fries. The fries were terrific. The steak and eggs were also put together well and came on a sweet bread. By that I mean actual bread, not sweetbreads.If you have not tried a brunch here before, I think its worth it. See for yourself!I have not sampled the night life here. I tried to once but just wasn't feeling the atmosphere when I walked in. Maybe I'll try again someday.",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
23,iOPF_iqXzKpz3gNZ1PdABQ,Asif R.,1.0 star rating,"Based on the reviews, I went here for Sunday brunch. I had the app and entree with a complimentary mimosa. Each mimosa with this deal was $2 after your complimentary one. I had the crepes as an appetizer. Very small compared to the size of an actual crepe. For the entree, I had the steak and eggs. The steak was cold and bland. The eggs didn't look like eggs and the bread was too wet, didn't taste good. The best part was the fries. I won't have another brunch here but may hop in for a drink or two.",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
24,B4usQSAUuMl8Spzja1CjeQ,Melina P.,5.0 star rating,"I went to this location for a friend's birthday Brunch. I absolutely loved it. They have a special brunch menu, which includes two servings (an appetizer and a entree) and a beverage for $23! Then for every drink after the first one, they're super discounted. For example my mimosas were $2! The food presentation was beautiful, and the food was beyond delicious. I can't wait to go back and try the other things on the menu!",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
25,A206Z5UEmH6aTGjLPN5RSQ,Gisele Y.,3.0 star rating,"20$ min once you want to order at the bar.I didn't like the lighting of the place.An average bar, nothing special about it to make me go there again.",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
26,Ph3nSP1Y2JnplqzWcNee0A,Neha M.,2.0 star rating,"Decided to try restaurant week here... only because of the menu, a few of the options they had looked better than other menus.I did reservations via open table and they only had 5:30 on Saturday so that made it seem like it would be very popular.  When we walk in , there is a huge bar area with loud music, but the host took us to the upstairs dining room and the ambiance there was really nice.We got seated, and a waitress came immediately and offered us tap or bottle water.  I wanted my regular dirty martini but their cocktails looked intriguing so I tried the winter lemonade which had a bourbon infused tea and was served warm!  It was pretty good.We ordered our food, and  I started off with the gnocchi meatballs - this was my fave part of the 3 course meal.  Although very rich and heavy, it was super tasty w/ the earthy mushrooms and truffle flavor.  My main course was skirt steak with spinach, mushrooms and shoestring potatoes..Sadly the vegetables were the best part of this dish... I couldnt even finish my steak, it was suppose to be medium but overcooked, and the quality of the meat was off.I ended the meal w/ the nutella creme brulee....Again it was just okay.... nothing special to me.  Oh, I also ordered my dirty martini as a second drink and meh.  I won't try this place again.",The Brass Rail,3.5 star rating,$$,"American, (New),, Bars"
