,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,7qHFW9-mV5a1fAN7iGrUcw,JetTheCosmicWolf C.,3.0 star rating,The service was sub par and that's a little to generous the manager here clearly doesn't care the food was cold and the chefs seemed to just want to go home the steak ordered was supposed to be medium-rare and was medium the shrimp was over cooked my calamari was just batter and it was cold and to top it all off most of the dishes had cracks and my sister almost cut her lip drinking a dr.pepper Their only saving grace was a waiter who was dedicated I do her job named Evelyn she is the only reason I'm not super pissrdI do not recommend eating here and if you do make sure to tip Evelyn Update: Recently I came back to give it a second chance and I was greatly pleased with the improvements I must've gone on a bad day so to balance my review out I'm bringing it up from a 1 to a three,The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
1,aDNt6YLyoih_uilgR16ATw,Yikai L.,1.0 star rating,"Having been to Cheesecake Factory many times, this is probably my last time dining here. Check out what they charged me $14 for: these must be some really expensive eggs and bread. Not to mention I waited half an hour for this. The chef must hate me with his guts.",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
2,bXMR2BbnX7iLQIRJ7uZzyg,Cheenie C.,1.0 star rating,"Never was one to go out of my way to write a negative review but the service here on a slow Monday night at 8pm was the worst I've ever had. My husband and I just wanted a quick bite, so we ordered two of the same burgers cooked the same way exact way. The only difference is I ordered sweet potato fries and he had regular fries. Easy enough right? Wrong. Waited almost an hour for the two burgers. Meanwhile other customers that were seated after us got their food. We asked several times about our food and waitress kept saying it was on the way. Finally our food comes I'm guessing the manager on duty brings it out and there was no fries, and no bacon on the burger. So she had to go back to kitchen. That's just the first time. Second time brings the burgers but still the wrong order! No sweet potato fries. So she literally had to come back 3 times just to get our order right. I didn't even mention when we sat down my utensils were dirty and asked for new ones and the waitress never replaced them. I'm pregnant and starving I didn't even care at that point, I just wanted to finally eat, after a long hour+ of waiting. Manager did offer us a piece of cheesecake and apologized but still reeling from the terrible customer service. I work in customer service it's just such a shame when you get terrible service back. I was so tired from the long day I just wanted to pay and leave. But thinking back I should have remembered that manager's name so hopefully they can work on the terrible service here. I've been to this location many times, the service and food used to be great. But now I would definitely think twice coming back.",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
3,pqaYHP5O1aJlDX3f_LT6rg,Winny L.,3.0 star rating,"Been at this location several times and also did take out.At height of the lunch hour, it can take time to get seated, served, eat and pay. So if don't have more than an hour, you may want to wait til dinner or happy hour time. As a table of 2, 3, 4 or larger, we have never been in an out within an hour.Fresh baked bread is good - multigrain is better than the regular. Menu: Big menu to choose from, so you can't go wrong with almost anything you order.  There is a skinnylicious menu if you are counting calories, lunch special, regular dishes...Chicken pot pie was ok, a bit too much liquid - have had much betterFish and chips - too much batter on the fish...but decentPasta da vinci - chicken w/ mushrooms in madeira sauce is good lunch specials are good if you can't eat a full meal or saving room for dessert. Burgers are decent and fairly big. Dessert: Cheesecakes are very heavy and most of them are too sweet. Unless you have a sweet tooth, go for regular with whip cream.  Black out chocolate cake is good with the almonds on the side. Note: Tip calculation on the bill is based on the total, instead of subtotal.  should be based on subtotal.",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
4,_TwgAShonhh5F1agEtDgVw,T G.,5.0 star rating,"Idk what is with these negative reviews?! We had the best early dinner (5pm) tonight, the happy hour is great and service couldn't have been better at the high top tables. The nachos were huge and so delicious and the crab dip was excellent as well. Both were 1/2 off- how can you be upset about that? Also the brown bread to start is seriously the best, I actually would buy a loaf. We also got a small Greek salad which was more of a chopped salad than an actual salad- it had olives, feta, cucumbers, red onion and some lettuce. It was fresh and the perfect side addition. We seriously had such a good dinner- we will be back!",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
5,W1M5Mwzr4QQCQKAnTX2YRw,Adrienne B.,1.0 star rating,"So today, April 2, 2018...I get a seemingly insincere apology from management in response to my experience. That apology is the same apology sent to other disappointed and frustrated patrons. I'm not satisfied and I still will never return to that location. Obviously management is doing a poor job making good on promising better, as nothing has improved at this location.",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
6,wg7NqL22BU_GV9LtXvpscw,Chao X.,4.0 star rating,Occasion:Casual lunchIt was one of the days I craved pasta for lunch! So a colleague and I went to Cheesecake Factory to fulfill our pasta starvation! Overall:Maybe it's because I didn't expect much from Cheesecake Factory but to me the food was actually more than decent! We shared 1 Jambalaya Chicken linguini and 1 huge quac with chips. The portion was so huge that we were so full and couldn't finish all of them. Highly recommend: Jambalaya Chicken LinguiniTwo kinds of linguini - regular and green - were covered with delicious sauce! Chicken was cooked perfectly - charred outside but juicy and tender inside! Definitely get this when you get a chance! But only large portion is available for this dish so recommend sharing among at least 2 friends Guacamole with chipsEven though it's not anything special - the chips are freshly fried and guac was well flavored! The portion is more than enough to feed 3 people.,The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
7,7U9ZLeT8mCvrUI1WXGGbnw,Theresa Y.,2.0 star rating,"I love this chain, but the staff desperately needs training. Don't expect attentive or normal service.50% of the time the server will take over 15-20 minutes to greet you upon seating, provide a menu and/or water or they don't come at all and you have to go get them 30% of the time the server will forget or mistake your drinks or order5% of the time they serve you something rotten (check your fruit toppings or tartare)5% of the time the server brings you the wrong dish5% of the time you get billed incorrectly5% of the time you get an above average server for this Cheesecake Factory, who actually provides normal service, because he/she probably received training at another restaurant before.",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
8,2m3p7r_aURIx3ppfKSU6fg,Breelyn M.,2.0 star rating,"I think most people have gotten the starring right with this Cheesecake Factory .. it just doesn't match up to the others.I mostly blame it on the inconsistency of the food.The wait staff is also horrible.I once sat for 15 minutes before I was waited on, and that was after I requested a waiter.",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
9,2xL2jr8GVmNaeLATUED7FA,Cindy C.,1.0 star rating,"The management's responses on Yelp is not acceptable and the manager is unreachable via phone. If they are sincere about making things right, they should be the one calling me. For this experience, I haven't been going back here and never will.",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
10,EtBJCXK7M_Ly3MvOcxJO4A,Melissa D.,5.0 star rating,"Came by a few weeks ago with the girls after a movie. There was a wait, but its the cheesecake factory you know there will be a wait. Once seated, our waiter did a great job accommodating our group and or food came out fairly quick. I ordered a behemoth of a salad (chicken ranch I think) it came with fried onions, corn, avocado,beans, and it was awsome. I'll definitely order again",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
11,9zh4z0JtYORvL2munEk3rA,Nzingha Z.,4.0 star rating,"Cheesecake Factory is a no brainer establishment...why? because you know exactly what you're going to get! Good food! Oddly enough whenever I've gone to the Cheesecake Factory I never order cheesecake as my dessert...I haven't figured out yet why that always happens.Well anyway I ordered simple food today...crab bites, bang bang shrimp, Chinese chicken salad and Passionfruit Mojito.Let me get right to the point and close this post. Crab Bites Salad and Mojito and even the table wheat bread...I LOVE !!!!....but, those Shrimp were tasteless bland...blah blah blah I sent em back and got another order of the Crab Bites instead...then I was happy. I also love how the Newport Mall now has made steps to improve the eateries and slowly the quality of shops...okay I'm done with this post..G'night!",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
12,Oh1NFDWRkzC1zV_LRg3aLA,MJ P.,3.0 star rating,"Somewhat disappointing.  The shrimp were overcooked to the point of  being inedible, although the accompanying pasta was good.  The ""chicken pot pie"" was a near miss:  a bowl of chicken stew with a disk of puff pastry placed on top as a garnish, not a pie with top and bottom crust.  Much better were the salads:  fresh and a very generous serving, so you may want to share one.  Service was good.",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
13,rtuQ25-IiYnFnUDnBM1dSw,Marissa Z.,3.0 star rating,"Omg This place is the absolute worst Cheesecake Factory in the USA Stephanie the server was very niceThe problem was my aunts burger was illegally served rare, there was blood on the plate. Unbelievable. Even our server Ally was shockedThen Stephanie The manager came by and apologized That we had to wait for another brother to come out while me and my mother went about our fish platesThe server offered my aunts a glass of wine while she waited and said that it would be compedWe finally get the bill and of course there's two glasses of wine on the billStephanie approached the tableAnd me told her that there was two glasses of wine when we were already told that The one glass would become we thought it was a simple mistake but Stephanie told us that Ally should've known better that it's illegal to comp alcohol in the state of New JerseyActually it's illegal to serve warm eat undercooked to a person to consume. She said that she could not take the wine off of the bill nor is she able to take the burger off when my aunt finally got the broker my mother and I were already finished eatingAbsolutely terribleStephanie's attitude was like ""oh well""No she did not offer a complimentary slice of cake- no we didn't want cheesecake, only what was promised. It took the general manager Gilbert hear about it from Ally and we explained and he took off the burgerG was very nice, so was our server, The Asst Manager Stephanie is rude, unprofessional as a manager. Our problem was Stephanie. The restaurant was clean, busyClean bathrooms were clean I won't return. Not this location But thank you Gilbert",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
14,uIBF4tpzEVizzf8b-ebjBw,Mengjia Y.,5.0 star rating,The service is good and the free black bread is excellent. We asked for two more bread and more butter. I love this restaurant and have been to twice,The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
15,2IwZCuHJ2ZjtYFd98AsyDQ,Voncia H.,1.0 star rating,"Called in ordered for pickup, Angel hair pasta with shrimp. This is what got for $19.50. It's so nasty and only four shrimp, disgusted. FOUR shrimp really!! So disappointing never again!",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
16,TQGDwTz79OGwhv1b5muTXg,Aishwarya A.,3.0 star rating,"The food here was good. The chicken wings were really good. I felt the pasta was little dry.Talking about the service,it wasn't great. There was a little delay and waitress was not too attentive.",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
17,W8xIPVMbaNw5rPppFpqfHQ,ID K.,2.0 star rating,"First we came in and the hostess said 30 min wait , 1h after she said 5 min , 15 min after when we asked to see the manager we got a seat . After we waited another 20 minute the waitress came to take the order , we ordered everything at once , and then it was six of us , we got the food all 6 at different times . If the service was better the food is not bad , bur service is not worth coming back",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
18,-oeNraVBlID0jJC9vwMUEA,Christine J.,1.0 star rating,"Update to my previous rating. I went back to the Cheesecake Factory to give them another chance after the slow service last time. This place is awful! I got take out to avoid the poor service all together. And what do I get, at the bottom of my edamame there is A HUGE FUCKING DEAD BUG!!! So disgusting. Will never go back here. Ever again.  They clearly don't care about their customers. Who knows what other unsanitary conditions are in this kitchen!!",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
19,uJTeBO3b6UnJ5QdtJzTLJQ,Anthony R.,3.0 star rating,"By far one of the worst Cheesecake Factory visits in a long time. Front of House Service is lacking at this location but the three stars are for the kitchen, they did the damn thing.  Is order to go next time not to have to deal with the lazy, lackluster service.",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
20,7qHFW9-mV5a1fAN7iGrUcw,JetTheCosmicWolf C.,3.0 star rating,The service was sub par and that's a little to generous the manager here clearly doesn't care the food was cold and the chefs seemed to just want to go home the steak ordered was supposed to be medium-rare and was medium the shrimp was over cooked my calamari was just batter and it was cold and to top it all off most of the dishes had cracks and my sister almost cut her lip drinking a dr.pepper Their only saving grace was a waiter who was dedicated I do her job named Evelyn she is the only reason I'm not super pissrdI do not recommend eating here and if you do make sure to tip Evelyn Update: Recently I came back to give it a second chance and I was greatly pleased with the improvements I must've gone on a bad day so to balance my review out I'm bringing it up from a 1 to a three,The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
21,aDNt6YLyoih_uilgR16ATw,Yikai L.,1.0 star rating,"Having been to Cheesecake Factory many times, this is probably my last time dining here. Check out what they charged me $14 for: these must be some really expensive eggs and bread. Not to mention I waited half an hour for this. The chef must hate me with his guts.",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
22,bXMR2BbnX7iLQIRJ7uZzyg,Cheenie C.,1.0 star rating,"Never was one to go out of my way to write a negative review but the service here on a slow Monday night at 8pm was the worst I've ever had. My husband and I just wanted a quick bite, so we ordered two of the same burgers cooked the same way exact way. The only difference is I ordered sweet potato fries and he had regular fries. Easy enough right? Wrong. Waited almost an hour for the two burgers. Meanwhile other customers that were seated after us got their food. We asked several times about our food and waitress kept saying it was on the way. Finally our food comes I'm guessing the manager on duty brings it out and there was no fries, and no bacon on the burger. So she had to go back to kitchen. That's just the first time. Second time brings the burgers but still the wrong order! No sweet potato fries. So she literally had to come back 3 times just to get our order right. I didn't even mention when we sat down my utensils were dirty and asked for new ones and the waitress never replaced them. I'm pregnant and starving I didn't even care at that point, I just wanted to finally eat, after a long hour+ of waiting. Manager did offer us a piece of cheesecake and apologized but still reeling from the terrible customer service. I work in customer service it's just such a shame when you get terrible service back. I was so tired from the long day I just wanted to pay and leave. But thinking back I should have remembered that manager's name so hopefully they can work on the terrible service here. I've been to this location many times, the service and food used to be great. But now I would definitely think twice coming back.",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
23,pqaYHP5O1aJlDX3f_LT6rg,Winny L.,3.0 star rating,"Been at this location several times and also did take out.At height of the lunch hour, it can take time to get seated, served, eat and pay. So if don't have more than an hour, you may want to wait til dinner or happy hour time. As a table of 2, 3, 4 or larger, we have never been in an out within an hour.Fresh baked bread is good - multigrain is better than the regular. Menu: Big menu to choose from, so you can't go wrong with almost anything you order.  There is a skinnylicious menu if you are counting calories, lunch special, regular dishes...Chicken pot pie was ok, a bit too much liquid - have had much betterFish and chips - too much batter on the fish...but decentPasta da vinci - chicken w/ mushrooms in madeira sauce is good lunch specials are good if you can't eat a full meal or saving room for dessert. Burgers are decent and fairly big. Dessert: Cheesecakes are very heavy and most of them are too sweet. Unless you have a sweet tooth, go for regular with whip cream.  Black out chocolate cake is good with the almonds on the side. Note: Tip calculation on the bill is based on the total, instead of subtotal.  should be based on subtotal.",The Cheesecake Factory,3.0 star rating,$$,"Desserts,, American, (New),, Seafood"
