,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,44E0kZa8EOTLTOy1u2lIgA,Ramona G.,5.0 star rating,"I went here for lunch on my bday (2/3) and found the food to be incredibly tasty. I love seafood and clams are certainly on my must have list. If you're not a huge seafood fan, yhis place is still for you as they offer cocktails, salads, starters, perfectly made pastas, etc.We started out with some items from the raw bar including oysters, clam and jumbo gulf shrimp! Fresh and delicious! The Crudités and Mignonette sauce was awesome! We also had some polenta with sweet Roma tomato sauce. The polenta was crispy on the outside and succulently soft on the inside. It was perfect!The salad was filling, healthy and quite flavorful. For my main dish i enjoyed the lobster and clam sliders and my boyfriend loved the spicy spaghetti with clams. We were too full to order anything more. We even skipped dinner later on! If you're looking for hearty seafood dishes look no further. The Clam is chique and delicious. Go...you'll love it!!!",The Clam,4.0 star rating,$$$,Seafood
1,EYmljXzTUytC1XPF51NLCA,Justin C.,4.0 star rating,"A local hotspot hidden in the endless confusing streets of the West Village that has that flare you would expect from a moderately high end seafood spot. The atmosphere is very casual and nothing pretentious about it except for maybe the prices, even though the food had no short comings, it is slightly on the high side. Aside from that, this place is great, from the service to the overall experience, it's a solid choice to get your seafood fix. Their famous clam dip is a easy favorite appy to order. Creamy with a bit of a chew from the clams, but not quite as ""clammy"" as I was hoping for. It was good, but felt like it could've used a more ocean briny kick to it to bring out the clam flavor a bit more, but solid nonetheless. The butternut squash apple salad was a pleasant surprise with a very balanced blend of bitter, sweet, sour, and savory, not to mention how aesthetically pleasing it was with the watermelon radishes. The steamers were a bit small but very fresh, these are hard little suckers to find nowadays, so fresh is all I could ask for and they were. The clam pizza was okay, it definitely could've been better but pizza is hard to mess up. My favorite was the lobster and fried clam sliders, although very small, they pack quite a party in your mouth. If you're a textural kinda person, these are a must try. Plump fresh lobster mixed with freshly fried clam strips...this can easily be listed as an aphrodisiac. The chocolate cake spiked with a 1000(slightly exaggerated) proof liquor, crazy bold, crazy flavors, crazy good if you're an alcoholic like me. Overall, this place won't disappoint for sure. It's got the quality of a fine dining experience minus the pretentious atmosphere. It hits the right spots and it was enjoyable to the very end. Stay fat mother suckers",The Clam,4.0 star rating,$$$,Seafood
2,VWdGN2vPqVgCCuq7y8M82w,Teresa C.,4.0 star rating,"This was very close to a 5* experience for me. My bf took me here for my birthday. I'm a seafood lover and found this place because I was looking for steamer clams or whole belly clams. We got a 9:30 rez on the same day, but tried going earlier around 7:30 and was able to get a table right away. Both the hostess and waiter were very attentive and professional. The ambiance was dark and romantic with candles and twinkly lights everywhere. We got a bottle of white wine from Greece (it was the cheapest one at $52). We ordered the clam dip, butternut squash and honey crisp apple salad, the clam and lobster sliders, steamers, and the clam pizza. The clam dip was good, but could've used more of a briny taste or bigger clams. The clams tasted canned, but I still enjoyed it, especially the house fried potato chips. The salad might've been the BEST salad I've had in my entire salad eating life. It was a perfect blend of sweet, acidic, savory, and bitter. It had butternut squash, apples, grapes, radicchio, frisée, shaved cauliflower, and chunks of aged cheddar in a champagne vinaigrette. They even split it for us on separate plates. The steamers were heaven. The prices have soared for steamers and it's so hard to find fresh ones that aren't sandy or rotten tasting, but these were very fresh. The lobster and fried clam sliders were perfection. The juxtaposition of the hot, crunchy clams, and the chilled, sweet lobster was like unicorn food. I loved the different textures in one sandwich. I just wish they were bigger or less pricey. The clam pizza was probably my least favorite. The clams got a bit chewy in the cooking process and lost their juicyness. We also got the chocolate cake that must've been spiked with half a bottle of liquor. It felt like I was taking a shot with every bite, in a good way! I respect how bold the chef was about the liquor. All in all, a solid 4.5* meal and I'd definitely return!",The Clam,4.0 star rating,$$$,Seafood
3,FvDY4VIVItwMkHoMBlKuLg,Joanne H.,4.0 star rating,"Quaint spot in WV! I wish I got the name of the host, he was amazing. Service, also spot on. Went with a friend that doesn't quit enjoy seafood. Opted for something safe- shared the spaghetti and clams and short rib. Both very good. I wanted to order the rolls but I forgot :(This place is so close to my bf and I! It's right around the corner and I can't believe we've yet to visit. Definitely coming back with my bf to try the rest of the menu. Big seafood fans!",The Clam,4.0 star rating,$$$,Seafood
4,288VN83-Z6eYZ5AI-1aLTQ,Matt M.,5.0 star rating,"The Clam is a Seafood lovers paradise!  We entered this dimly-lit West Village gem and were offered the best seat in the house (the corner table by the window, dummy!).  Anyway, our waitress was out of this world amazing - friendly, confident, knowledgeable, and attentive.We started our meal with the stuffed clams.  The clams were well-sized and cooked perfectly.  The pancetta, trinity (I claim ignorance of what, exactly, trinity is besides yummy), lemon, butter stuffing was chock full of flavor.For mains, we ordered the ""Harpoon-Caught"" Block Island Swordfish and the Roasted Nova Scotia Halibut.  Tastiest piece of swordfish I've ever had - well-cooked and bursting with flavor.  Kudos to the Chef's presentation skills (see enclosed photo and you'll see what I mean).  The halibut was also a solid choice.  We loved the fish's crispy seared crust.For dessert, the restaurant offered us a complimentary chocolate ice cream birthday brownie.  The dessert was rich and indulgent.  A very thoughtful gesture.  We'll be back.",The Clam,4.0 star rating,$$$,Seafood
5,2QV5AE0tO_4otvTa63RFzg,Sarah B.,5.0 star rating,"A strong seafood place, as the name suggests.  My work team (8 of us) came here for a holiday lunch recently. We started with PNW oysters which were fresh and delicious. Clam dip: mixed reviews from the table (probably due to texture), but overall a hit.  Mild in texture and flavor, I enjoyed the homemade potato chips accompanying the dip.Brussel Sprouts have a good kick to them, and the Butternut Squash Risotto Balls went over well. Curried Cauliflower was also well-received.  The 8 of us were able to get a bite of each (we split the risotto balls in half, there are 5 in an order). Lobster and Leek Raviolo: small portion(!) but a good mix of flavors, fairly acidic from the tomatoes which balances out the lobster well.  A raviolo is one larger ravioli, FYI (several people at the table seemed surprised by it). Tried a piece of the clam pizza as well, which exceeded expectations and which 3 people ate off of (one as an entree). Definitely swing by, I recommend not being hungover when you do so (we had an alcohol-heavy event the night prior and part of the group wasn't so excited about seafood).",The Clam,4.0 star rating,$$$,Seafood
6,mbgYaiIuOLOCJDhYLmGgJA,Tracie L.,4.0 star rating,"A great meal in a nice setting. We called ahead for reservations (Sunday night at 8). The hostess was super friendly, on the phone and when we arrived.Had the iced lobster - it was tasty. It did have some type of aioli on it, which I could have done without but it was good. I ordered the halibut. It was so good and the sides were rainbow carrots, that were prepared nicely with great flavor. My husband had the filet. It was tender and flavorful. His sides were asparagus and some kind of purée or mash. If you're looking for seafood, this is a solid choice. Though I can't speak to other spots in the area. I didn't leave disappointed and left comfortably full and satisfied.",The Clam,4.0 star rating,$$$,Seafood
7,nRzfWAhw_jeBesfu7dKKqw,Connie T.,4.0 star rating,"The lobster and clam sliders are the sole reason to visit this restaurant. It is a bit pricy but worth every penny!! ($24 for two sliders). The clam dip served with potato chips was a great appetizer to share as well. A bit too much mayonnaise and salt but is still a dish worth mentioning.For my entree, I chose the skate wing. It was covered in a light batter all along the ridges, creating the perfect crispness to the fish. The fish itself was delicious and not dry at all. I wanted to love it but the only complaint would be that the fish was very salty. This is probably from the sauce or pancetta in the dish. I tried to eat around the sauce that was already poured on top but to no prevail, the salt was still overpowering the dish. Hopefully, this was just an off night.",The Clam,4.0 star rating,$$$,Seafood
8,l7lvCRR_Yro_A1isN68W9g,Erik T.,5.0 star rating,"I chose Clam for our annual Valentine's Day dinner and we were not disappointed. Everything was just well done, very tasteful, and the food was delicious. They had a great Prix Fixe menu that catered to the most discerning palette.",The Clam,4.0 star rating,$$$,Seafood
9,ghT-a1aCh0J8frToAAoHzg,Kyra H.,2.0 star rating,"This place gets a C+/D-. I was going to Pearl Oyster Bar but it closes at 2:30 for lunch. When you have a higher price and low portions, you have to balance that out with an exceptional experience. Aside from the portions being small, the scallop appetizer was delicious, as was the black Sea bass. I ordered the lobster and leek ravioli, which is just one big ravioli, and that was good, not great. Our server started off good but it quickly went down hill. He clearly had to finish his side work and did not check in with us while we waited a very long time for our entrees. The kitchen was full of workers and there were only two tables, including my mom and i. I work in the industry, so I simply don't have tolerance for bad service. We probably would have spent more, had the server done more. My mom asked for bread since the place does not offer bread, and that also was a task. Our service left immediately after we requested bread, which he did not announce to us. I got the check right away and got us the he'll out of there. Not coming back.",The Clam,4.0 star rating,$$$,Seafood
