,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,JqjtdewQEbvVUsB-6hSVQw,Tyler R.,5.0 star rating,"The Cuban is easily my favorite restaurant in Hoboken.There are a number of similar places between Jersey City, Hoboken, and Weehawken, but The Cuban tops them all.Happy Hour. To start your night the proper way, the happy hour menu has a laundry list of things that are $5. No, not just a few beers and some well drinks; legitimately their entire (or close to it) drink menu has everything priced at $5. Tonight I had the cuban version of a long island iced tea, which is just as strong as you'd think. Served with a thimble-sized about of coke in it, i'm pretty sure it was 98% alcohol. I also had a $5 mojito at 6:59pm (happy hour ends at 7, but on Mondays, classic mojitos are $5 all night) and a red sangria towards the end of dinner.On a mojito scale of 1-10, these come in at a solid 8. Not too sweet, nice and minty, and plenty strong. Any of the flavored ones will add some extra sugar, so if you want to go that route, the mango mojito is a great choice.Now that you're basically almost drunk, grab your table and put in a few apps. The guac is really good - not as good as the classic version you'd get in a Mexican restaurant, but the crabmeat on top is excellent and the plantain chips add just a little bit of extra salt, which works well. I would also recommend the tamal en hoja, camarones al ajillo, and empanaditas. Order another mojito, and thank your waiter or waitress feverishly for bringing over the rolls and butter to help soak up some of your happy hour. The rolls are tiny, but don't let that fool you, they are so dense and chewy (and delicious) that you need to be careful not to fill up on them before your main dish comes......Because now it's time for...EL CLASSICO. Every time I come here, I get it. Every time I come here, I say, ehhh, i'll get something different, broaden my horizons. Every time I come here, I pick something else. Every time I come here, I can't help but order El Classico. The pork falls off the bone, the yucca is swimming in garlic, the moro rice is one of my favorites, and the plantains are the sweetness that helps create that perfect bite. I love anything pickled, and while they are a very small part of the dish, the pickled red onions add the perfect amount of acidity to balance the whole dish out. Even thought I always get that, I have tasted other things -- the churrasco, the oxtail, bronzino, and ropa vieja. Everything is always excellent, so get whatever sounds good to you. But given I wrote a giant paragraph about it, consider El Classico if it at all appeals. Dessert? Bread pudding and churros. The BP is just the right amount of chocolatey without being overbearing, and the churros...stuffed with chocolate...yeah I don't have to say much more than that. The only slightly not five star thing is the reservation system - they aren't on OpenTable and you need to request a reservation online (or...gasp...call them), but those requests are generally confirmed the same day, so it's not a big deal.",The Cuban Restaurant and Bar,4.0 star rating,$$$,"Cuban,, Latin, American"
1,dTYZ9jKfKxSY6C9pTRVQSg,Adriano Y.,4.0 star rating,"Nice place, menu is really rich and staff friendly. We ordered a pork belly as appetizer and it was delicious!!! For main dishes we ordered paella valenciana, which was very rich in clams and seafood, vaca frita, boliche and fish of the day. All very well made and in huge portions!Nice place to eat Cuban food.There are also live music at nights. Singers are very very good.",The Cuban Restaurant and Bar,4.0 star rating,$$$,"Cuban,, Latin, American"
2,EmpJuNmo1HEsX6x10z13-g,Ian K.,4.0 star rating,"Seesh! Looking for a restaurant to wine and dine that special someone? Look NO further than The Cuban! We had a reservation @ 5:30 for a party of 4. Although we were upset with the timing (next available 9PM) we were blow away with the service, food, and ambiance. Upon walking in we were greeted by a VERY busy hostess who sat us right away. The entire restaurant is large and in charge. The bar in the front of the house was a little rowdy, but we had a table in the back room that was very quaint. Service: A-. Attention to detail on all levels. However, I felt it odd when I asked one of the bussers what the white sauce was for our paella she said ""I know nothing about the food."" Kind of odd response. Food: A+. Flavor was out of bounds and it started with the crab/avocado dip with plantain chips! Wow. These were the definition of LIT. The other couple ordered the skirt steak that was big enough for two! We ordered the seafood paella. This was easily shared by two, and I wouldn't recommend ordered anything else. The seafood was fresh and the rice was cooked to perfection. I highly recommend the paella for 1st times to The Cuban. Bathroom: Up 3+ flights of stairs?! I may be a young stud, but how is this even a thing? Overall, we will be back! The price makes it a special occasion type joint, but we might have a few of those coming down the road.",The Cuban Restaurant and Bar,4.0 star rating,$$$,"Cuban,, Latin, American"
3,5QXQjHmPiO6Plj1eF_oxpw,Belle D.,5.0 star rating,"My boyfriend made reservations for my birthday at The Cuban since we've walked past this restaurant many times on the way to the Path. Upon walking in, we were greeted by the host, who walked us to the second floor to our table. When you first look in, you wouldn't expect that there are more tables around the back and on the second floor!The food was amazing. The table bread comes with a garlic herb butter, which was delicious. We ordered a half pitcher of the Brazilian sangria, which had guava, lemon, strawberry and a few other fruits in it. The half pitcher was perfect for each of us to have a glass and a half each. We started our evening with their calamari, which was their special for the night. The spicy aioli that it came with was great and paired well with the saltiness of the calamari breading.For our entrees, I ordered the ropa vieja and my boyfriend ordered their pollo criollo. They were both so flavorful. My boyfriend surprised me with dessert and a birthday candle on the plate, which he told me he mentioned when he made the reservation. The waiter was very attentive throughout the whole night. I would highly recommend The Cuban for an intimate and delicious dining experience!",The Cuban Restaurant and Bar,4.0 star rating,$$$,"Cuban,, Latin, American"
4,PgdTAseUFTzAXBeMK7fp5Q,Sandi S.,5.0 star rating,Great authentic Cuban food! Fresh tasting and delicious ! Have the Cuban guacamole lump crabmeat and plantain chips ! So good !,The Cuban Restaurant and Bar,4.0 star rating,$$$,"Cuban,, Latin, American"
5,0YG8HR0cyWtJzqWcNmnkiQ,Angelica B.,4.0 star rating,"Went here after going to Havana near the path which had great appetizers , service and drinks!With that said:Service :I was shocked that our waiter was a jerk but the environment , strong drink and food, really saved the night . But for the prices and environment they really should have a great waiting staff because that's as much a part of the restaurant as the food... Food : We ordered the Guacamole with crab which was okay but I wouldn't order again . They put very little crab meat and it really doesn't change the flavor  and for $17 for it to just taste like regular guacamole in my opinion is a waste unless you are having a serious craving for guacamole .Another surprise was that the Pollo Criollo ($22) dish was so much better than the Mar y Tierra ($29) dish and I really don't like chicken . Maybe it was the rice ? Not sure but it was like the best dish of the night but everything came out to about $90 for all three dishes and 1 drink.",The Cuban Restaurant and Bar,4.0 star rating,$$$,"Cuban,, Latin, American"
6,6inNATEEHxtKZS0MfZhV4g,Thomas Z.,3.0 star rating,"Ordered pulpo, double cooked steak, and quinoa stir fry. Very average. I think this is a low 4 star or high 3 star restaurant. Very expensive for the quality and overrated. Courses are plated nicely but that's pretty much it.",The Cuban Restaurant and Bar,4.0 star rating,$$$,"Cuban,, Latin, American"
7,fNM6bp2WeikcJZZWo54AeQ,Christie W.,4.0 star rating,This place is huge! So many different rooms and floors and each kind of has a different vibe. Unfortunately we were put into a room that had 2 large groups so it was really really loud. We were the only couple and we moved our seats into the corner to at least try to be able to hear each other. This kind of ruined the atmosphere for us. However the food was great. We had the steak and it was made perfectly. Sauce and sides were also lovely. I would come back for the cuban food but try to ask for a seat in a quiter spot.,The Cuban Restaurant and Bar,4.0 star rating,$$$,"Cuban,, Latin, American"
8,zmHgsi__SGJ1H3fgPRdcPw,Howie H.,4.0 star rating,"Stopped in on a Saturday night around 7ish and sat at the bar since we didn't feel like waiting 45 minutes for a table.The bar is full service including the menu.   The interior is much larger than it seems.  The first floor you see with a half a dozen tables isn't the entire place.In the back is like stepping into narnia. There's an additional first floor dining area and a split floor with more. There's also a second floor. The bathrooms are on the third floor. The paella I order was decent, not a lot of saffron was used. There was a good amount of rice and some seafood. The other dish was the marinated churrasco, flavorful and cooked to the liking.The highlight of my weekend were the yuca rolls, freaking legit. They come out hot and fresh, slightly harden on the outside and moist and chewy inside.  It's served with garlic butter. Whaaaaaaat! We had to order seconds it was that goodThe entrees were accompanied by caipirinha.  Decent. Overall I would go back to this place for other foods and especially the yuca rolls",The Cuban Restaurant and Bar,4.0 star rating,$$$,"Cuban,, Latin, American"
9,D7Gg0MPqQPKPvbgX5XT0fQ,June C.,4.0 star rating,"Came here twice. First time for their half price happy hour with a friend. Both drink and food were quite good and cheap, too.Second time I brought my parents to try the 3 courses $31 prefix dinner. It's okay. A lot of food but my parents from China didn't really get used to Cuban food. Plus, we sit next to restroom and they used too much cleaner and it smell so bad. Second time wasn't really a pleasant experience.",The Cuban Restaurant and Bar,4.0 star rating,$$$,"Cuban,, Latin, American"
