,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,_Z5Qgu8ElQcdJuEzez_Ltg,Mike M.,4.0 star rating,"Here I am in SoHo after seeing a Christmas concert at the Greene Space on Charlton Street.I've driven by the place a few times, and am fascinated with the history of the place!It's a Tuesday night and the place is hopping.  The bar is packed with an eclectic crowd   Everyone seems to be in a rather festive mood. The hostess finds me a table in the front section.  The bartenders look like they've just stepped out of the 19th Century.  In fact the whole place is a lively boisterous party.  This place could be a backdrop for a scene out of Dickens' ""Christmas Carol.""My waitress Lorna has a delightful brogue and she recommends a Pinot noir which is delicious I immediately order a salad and the chicken pot pie and Lorna quickly brings the food out.  WOW!   The food is delicious.  The chicken pot pie is probably the best I've ever had!   They made it with bay leaves.   It is different and wonderful   I devour it! The ambience the food the wine is just perfect!John must be smiling down from heaven!!",The Ear Inn,4.0 star rating,$$,"Bars,, American, (Traditional)"
1,wT1H1LRgytqyZ06jR4u6ig,Kristian D.,3.0 star rating,"I was fortunate to stay in a great part of New York on my last trip, and the unit just happened to be near The Ear Inn. When I learned it was one of the oldest bars in the city, I made sure to try it out. They are located on Spring Street near the Hudson in a small brick building. It is a bit of a walk from the Spring or Canal Street stations.The interior of the bar is fairly narrow with a medium sized bar and dining room in the rear. On my visit on a Tuesday night, the bar was packed with a lot of older businessmen grabbing a drink and some greasy food. Overall, the bar lacked a lot of unique character compared to most in the neighborhood and was not a good value.If The Ear Inn is slow, you might have a better time than I did. It is not a bad bar by any means, but it is more of an average neighborhood bar serving a local audience. It is an old bar, but it is hard to notice inside.",The Ear Inn,4.0 star rating,$$,"Bars,, American, (Traditional)"
2,4elb4jRro5-QqcgvYVj9ug,David B.,2.0 star rating,"Had such high hopes, and frankly, they would have been met if I had limited my visit to drinks. Dinner is where the place falls flat.Very cool, old/historic spot. Yes, you've probably read that it, along with McSorley's are amongst the oldest continual watering holes in NYC. The place oozes with old-school charm.The bar is simple. A dozen or so beers on tap ($8), and a short, but solid cocktail list ($12). You could easily spend a cozy evening here and have no complaints.The much-hyped burger was indeed the best item that made it to our table. However, the vaunted ""Pat LaFrieda"" beef is no longer a specialty in the City as you can find it all over the place, most notably at the ever-growing Shake Shack chain. You probably won't be disappointed in the burger ($12).Specials:Mussels - 1/4 were not open. This is not a good sign. Tasted very fishy and could have greatly benefitted from a more garlicky base. Mac & Cheese ($7) - How does one screw this up? By putting what seems like Kraft (out of the box) into a dish heated over the open grill. It was a watery mess with flavorless pasta and very diluted cheese mix.Spaghetti w/ Shrimp ($17) - Oof, the worst plate of them all. The shrimps were cooked far beyond what is required and in turn were very tough and flavorless. Likewise, the spaghetti and marinara sauce was inexplicably void of flavor.Avoid the kitchen until you've had enough drinks to make it worth your while and we've got a 4-5 star spot!",The Ear Inn,4.0 star rating,$$,"Bars,, American, (Traditional)"
3,0aJa8kdzHhV_t95tL8xuKw,El J.,1.0 star rating,"There is an elderly bartender here with a white beard. He gave us the wrong drink and when we told him, he started cursing under his breath and saying a bunch of other things. Must be senile but cannot confirm.",The Ear Inn,4.0 star rating,$$,"Bars,, American, (Traditional)"
4,To__Ovz123MU_EUNvsu92A,Pasquale R.,3.0 star rating,No frills. Cold beer. Prompt service. Crammed seating. Expensive brews (basic drafts $8...gotta love NYC). It's nostalgic. It's old. Oldest bar in country? So they claim (and so do 2 other spots too). It's now crossed off my bucket list. It's not very big either and there is limited seating at the bar. Worth a stop in for a drink and I am unsure of how good the food is as we didn't come here to eat.,The Ear Inn,4.0 star rating,$$,"Bars,, American, (Traditional)"
5,HEsHMT0xcvGD3l-6H4qFfQ,Clark S.,4.0 star rating,One of my favorites spots in all of NYC.  I love coming here late at night for burger and beer.  It has a great historical atmosphere just off the Hudson River.  It gives you a taste of what New York used to be.,The Ear Inn,4.0 star rating,$$,"Bars,, American, (Traditional)"
6,EMBbEa6jFoqbmAhpswvpvQ,Mindy B.,5.0 star rating,"Had an hr to burn before checking in at Hugo hotel for three days. Great food, atmosphere and interesting history. Opened until 4 am. We drove because the area has easy street parking Sunday - Tuesday.",The Ear Inn,4.0 star rating,$$,"Bars,, American, (Traditional)"
7,cUT32VYCjS_IDSmOjJvRjw,Scott L.,3.0 star rating,"A friend visiting from out of town was walking around soho and he wanted to meet for a drink. ""Let's check out the Ear Inn."" I said.""It's a historic old bar and I pass by it all the time."" He was already there when I arrived.""This used to be the house of one of George Washingtons slaves!"" My friend quipped excitedly. (Tourists - right?)I was glad he approved.""The bar maid however, I think she's been in a bad mood since 1877.""  We laughed and moved from the bar to a table.With charm comes snafus.  The most interesting sounding beers on the menu, all European, weren't available.The beers we did receive weren't cold.They also didn't taste like they had enough carbonation.  There is no happy hour either, I guess because it's historic and it's in soho, but beers started around $6-7.The place also didn't have central air.  So it was a little muggy.  All the negatives kind of keep the place from attracting a certain high maintenance diva crowd, and keeps the bars genre firmly sealed as a ""dive bar.""It's on the far western end of Spring right by the water. The walls are randomly covered with photos and framed art that seems thoughtfully placed and chosen.Food looked decent, heavy pub food, almost kind of 1970s with a 1983 update.Worth a visit - but expect some grit.",The Ear Inn,4.0 star rating,$$,"Bars,, American, (Traditional)"
8,vPyIX5As6g4H9EnBDQCHeQ,Steph C.,5.0 star rating,"I have now been to three different bars that claim to be the oldest in New York City--McSorley's, Old Town Bar, and Ear Inn. I went to the last two with my friend Adam S., and when he mentioned that Ear Inn was the ""oldest continuous bar in NYC,"" I was like wait a minute, Adam, what about Old Town Bar? Are you saying they're lying trash?As it turns out, ""oldest bar in New York"" is a pretty hot merit badge, so there are a handful of spots with viable claims based on small but notable distinctions, such as whether they moved locations, or whether they were ever closed between the 19th century and today. I'm reminded of the time I went on the London Eye, which was billed as ""the world's tallest cantilevered observation wheel."" It was the highest Ferris wheel in the world for six glorious years, and now it's the highest cantilevered Ferris wheel.Anyway, it was a great bar, delightfully old school, with a cozy atmosphere and eclectic decor. I met up with Adam around four o'clock on a Friday afternoon, and the place was busy, though not so busy that we couldn't get a table and kick back for a couple of hours. Service was great. Everyone on staff was super hospitable, and we got our beers right and quick. I had a couple Goose Island IPAs, and they hit the spot.I wasn't about to order food because I'd just had two lunches, and had two dinners to run to next, but I did help Adam polish off a plate of dumplings. Not like Irish potato dumplings, but straight up potstickers, fried pork dumplings served with soy sauce. They were pretty satisfying, actually, and I enjoyed eating Chinese food at the oldest continuous bar in NYC. Just another example of Asians taking over the world. (Come to think of it, the London Eye was outdone by the Star of Nanchang, then the Singapore Flyer. The current highest observation wheel is the High Roller in Las Vegas, which is a wonderful American city crawling with Asians.)I had a great time here, and would recommend it if you want a piece of history with your drinks. I'm enjoying my extremely slow crawl of the oldest bars in New York. I might try Pete's Tavern next year, but wouldn't mind circling back for another drink at Ear Inn.",The Ear Inn,4.0 star rating,$$,"Bars,, American, (Traditional)"
9,_If7xTmMOhXeduaWIrp2Eg,Marcin G.,5.0 star rating,"Ear Inn is a bar YOU MUST visit, whether you're a longtime New Yorker or just a visitor. It is one of the longest operating bars in NYC, and you can tell why when you visit!The Ear Inn is a typical Irish pub, but unlike other Irish pubs in NYC, this one feels like you're stepping into a pub from 50 years ago - and it's a good thing! The decorations are unique, and fun to look at! There's a few cool things hanging on the wall about the Titanic, which I found interesting. The space inside is small, so I wouldn't suggest this for large groups, but it's a great place for a drink with a friend or two. The drinks are priced fine for NYC, and the food too. The food is actually quite good for bar food. Totally recommend!",The Ear Inn,4.0 star rating,$$,"Bars,, American, (Traditional)"
