,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,1F_4dAoksnHeCJpEs8q5yg,Lisa T.,4.0 star rating,"I was just here on Monday for Lunch, and was impressed with the Tuna Tartare. It seems like this dish now comes with three crisps instead of how it previously came with two. ALOT more tuna tartare per crisp as well. Who can complain when you are getting more food than you actually had expected right?I tried the French Onion soup dumplings for the first time, and while the soup was delicious and cheesy, the dumplings themselves were super chewy. I had to basically eat around most of them. Overall would definitely come back, next time I want to try the eggs benedict!",The Hamilton Inn,4.0 star rating,$$,"American, (New),, Desserts,, Breakfast, &, Brunch"
1,kGRbF07W8z1Q51GJszpyYA,Bentley R.,2.0 star rating,"Really disappointed to be writing this review. I've heard a lot about this place throughout my time in JC and i thought I'd finally give it a shot. Service was subpar, I had drinks at the bar prior to sitting down and the gentleman who helped me was very apathetic and hard to get a hold of when I wanted to pay. After moving to the table we ordered a lot of food which was all decent, nothing exceptional though. Our server, though sweet was equally inattentive.I had to walk towards the back where she was rolling silverware to pay.Not worth it.",The Hamilton Inn,4.0 star rating,$$,"American, (New),, Desserts,, Breakfast, &, Brunch"
2,QwS328Pn1xFKgp-Csrzivg,Abby L.,2.0 star rating,"My fiancè and i always pass by this place and decided to try it out for dinner this time. Walking in, we noticed it was a Cute place, with a nice ambience - low lighting w tealight candles at each table. There was no host in the front, so we looked to some of the employees to at least let the host know were waiting. They made eye contact with us and no one moved. Finally, when the host arrived, we were seated. Looking at the menu, i didnt expect for most of it to be sandwiches. There wasnt much entree choices. I dont know if they had dinner specials as they were not offered to us. So we just went with what they had on the menu.Appetizer: Truffled Egg Pizza $15... ""Sunny side egg, panchetta, spinach & mozz on pizza dough"". This was really good... egg was cooked well, crispy crust, oozy cheese and quite tasty. Since this was good, expectations were high for the main course.His order: The Inn Burger $12... ""100% Organic, brioche bun w Fries"". He wanted it cooked medium. Its a burger. Simple enough... how can they mess it up? When it arrived, at first sight.. it wasnt on a brioche bun, instead it was a sesame seed bun. The bun was very dry and a bit stale, so if it WAS a brioche bun, we couldnt tell. The Meat wasnt cooked as ordered... his burger was cooked medium well to pretty much well. He complained of the outside being burnt and ""charcoal-y"".  Needless to say, he barely ate his order.His extra side order: Mac n Cheese $9... tasted and looked like box mac n cheese topped with some grated cheese to make it look ""made from scratch"". It was bland and watery. My order: Salmon $27 ... ""Salmon w Butternut squash risotto & pumpkin seed oil"". When the dish arrived, all i noticed was a whole lot of risotto and a singular, piece of salmon that looked dry on top. The risotto was cooked well, but it couldve gone without the pumpkin seed oil. The salmon was okay... a bit over cooked, but still edible.All in all, we rated the foods taste (with the exception of the appetizer) and presentation was quite underwhelming. As you can see in the pictures, we didnt finish a good amount of our meal. It was definitley not worth the almost $80 check. The only reason we gave it 2 stars was for the appetizer and our waitress's good service.",The Hamilton Inn,4.0 star rating,$$,"American, (New),, Desserts,, Breakfast, &, Brunch"
3,MJZYZbMTKRu_9_VFOhWqwA,T. W.,2.0 star rating,"Genuinely, anyone who gives this place more than 3 stars hasn't eaten at a normal restaurant or any place beyond a suburban diner.I lived in the city for 12 years, and have lived in Jersey city for a few.  There are some great restaurants in Jersey City.  Unfortunately, Hamilton inn isn't one of them. I live very close by and have given it 4 or 5 tries giving them the benefit of the doubt maybe they've just had an off day.No. The staff here just literally can't cook. I should have known when they asked me ""how would I liked my turkey burger cooked""? Perhaps - cooked? Nearly everytime I'm there they've run out of several menu items (usually what I'm ordering) - and the servers never seem to know upfront.  Even basic bar food, like nachos, is bad. I'm giving it two stars purely because the space itself is cute and there is a semi decent bar.  But it is a horrible restaurant.",The Hamilton Inn,4.0 star rating,$$,"American, (New),, Desserts,, Breakfast, &, Brunch"
4,GEuZioZWz6Jio2fKWcI52g,Alex B.,3.0 star rating,"It's good, don't get me wrong, but I think it has a lot of hype surrounding it.  When I went, I waited over 45 minutes (though they told me it would 35-40).  We finally got our seat and as we were walking, the hostess got pulled over by a waiter.  He then did a 360 and took us to a different table. Turns out the table was incredibly drafty and someone asked to switch, so they decided we were the ones to do it.  Fine, I lived with that.We ordered the french onion soup dumplings, which were REALLY good, but the portion was just too small for $12.  I ordered eggs Benedict solely because it came with homefries, and if I ordered them separately, it would have been an extra $5.  It was good, but nothing to write home about. My friends got the chilaquiles, which was definitely delicious and unique. One other friend got a meatball sub with truffle fries (which are also good, but I do not like truffle).Overall, I think it cost more than it was worth.  The $5 mimosas are good, but small.  I am not a cheap person, but this was a pricey place for average quality and portions.",The Hamilton Inn,4.0 star rating,$$,"American, (New),, Desserts,, Breakfast, &, Brunch"
5,a0f1WawCbZmmupTjSd099g,Jadira Q.,4.0 star rating,"I came here Saturday for a Birthday Brunch and was pleasantly surprised by the good service, delicious food and quaint type of feel this restaurant had.The birthday girl made reservations the night prior so seating for us was not a problem even though I was the last to arrive and parking was a bit difficult! lol They were already a round in with drinks which the birthday girl was sipping on a $5 Bloody Mary and my other two friends got the Borracho, which was a type of spiked iced coffee.  Their brunch specials on Saturdays is from 10:00 to 4pm and features $5 Mimosas, Screwdrivers and Bellinis among their specials.For food, we ordered the Avocado Toast, the Breakfast Burrito and the Chilaquiles, which was 2 fried eggs, tortilla, chorizo, queso fresco with pico de gallo.  I tasted their chorizo and it was delicious!!  Everyone loved their meals and you had the option of field greens or home fries for the Avocado Toast and the Breakfast Burrito.Carlos, our waiter, was very attentive and the food came out fast.   I would definitely return to explore a different item on their menu :)",The Hamilton Inn,4.0 star rating,$$,"American, (New),, Desserts,, Breakfast, &, Brunch"
6,aVdqHQfpPU9Tm080aWCBhQ,Ty B.,5.0 star rating,Ate brunch at The Hamilton Inn not too long ago and it was pretty good! Ordered the veggie burger tonight and wow...I was worried because it tasted so good! Taste like real meat!! Definitely ordering this again.,The Hamilton Inn,4.0 star rating,$$,"American, (New),, Desserts,, Breakfast, &, Brunch"
7,OMBGduZMDz7PtGCr9l3Ugw,Yudi S.,3.0 star rating,"I would've liked to give it 4 stars, but then my 4 stars would mean nothing. The only saving grace was the fish tacos. The French Onion soup is a must to stay away from, its a huge dish with six small holes of actual French onion covered with all cheese, not worth it. I've had better and less expensive eggs benedict at a low end hotels breakfast buffett. The mac n cheese was ehhh. Not impressed and not sure i would revisit.",The Hamilton Inn,4.0 star rating,$$,"American, (New),, Desserts,, Breakfast, &, Brunch"
8,zHOvjX7OckyVzKlO91atUQ,Jeanna G.,5.0 star rating,"I have fallen in love with The Hamilton Inn! Food was fab, service was great and the atmosphere was exactly what I was looking for.About 6 of us came here for brunch not too long ago and we all fell in love. I have only been here for brunch so that is all I can comment on but the menu was jam packed with options to please any and every pallet.We started off with ordering drinks.. and the peach bellini is where its at! So refreshing and crisp and definitely gets you feeling nice. ( I'm a lightweight ) Everyone seemed to be in the mimosa and bloody mary mood but I was into the champs. For apps we started off with the french onion soup dumplings & delicious steak nachos that had everything you would want on them. I really enjoyed both of those.We all went different ways when it came to ordering our main meals... I obviously went for the eggs benny but opted out with canadian bacon and got regular. The truffle home fries were amazing!!! I wish I could comment on everyone else food but I was so into mine I really didn't come up for air.I really would like to come back to the Hamilton Inn for lunch or dinner but brunch is always a good option.",The Hamilton Inn,4.0 star rating,$$,"American, (New),, Desserts,, Breakfast, &, Brunch"
9,M6ovR_D12p59j-EIY3BvzQ,Alexandra T.,5.0 star rating,"We LOVED hamilton inn and were meaning to try it for some time after moving to JC. We went on a Friday evening around 8pm and were seated immediately. Good thing we went when we did because within the next 30 min it was completely packed!! We got a table for 2 in the front of the restaurant in the corner so it felt pretty private, which we liked along with the dim lighting. We both started with 2 vodka dirty martinis. It takes a special bartender to get this jusssttttt right and he got it justtttttt right! Great start before ordering food. We then split the french onion soup dumplings and the potato goat cheese perogis. Both were delicious and special shout out to the creativity of the french onion soup dumplings. Only thing I could suggest would be to get smaller spoon to fit in the holes of the escargot gratin dish to get all the broth. For entrees, I got the tuna burger with a side salad and P got fish tacos (3). Taco dish was way bigger than he expected. Flaky white fish and great accompaniments. Tuna burger served rare was spot on. Loved it here and definitely coming back for brunch, dinner, and happy hour/weekly specials!",The Hamilton Inn,4.0 star rating,$$,"American, (New),, Desserts,, Breakfast, &, Brunch"
