,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,mBch1ebKHUw34W-vhYpuHg,Isabella R.,5.0 star rating,"Cute little cafe in Hoboken -- no frills or gimmicks, just fast and good food. Tried the Apple Omelette, sounds weird but tastes AMAZING. Can't wait to try more!",The Little Grocery Downtown,4.0 star rating,$,"Grocery,, Breakfast, &, Brunch,, Sandwiches"
1,4kdSh2lkelfHpXOQAPF4rQ,Michelle C.,5.0 star rating,"The guy here makes the perfect egg sandwich. My favorite is sausage, egg, and cheese on croissant. I don't know where they get their croissant from but it's perfectly flakey. It costs $1-2 more for croissant - just do it! It is totally worth it.  This is a small spot and I only see 1-2 people working here at all time. I recommend calling ahead for pick up and if you don't, it might be a wait. One time my order wasn't ready when I got there and I double parked, the guy got to my order right away and poured me a free cup of joe. Super nice!",The Little Grocery Downtown,4.0 star rating,$,"Grocery,, Breakfast, &, Brunch,, Sandwiches"
2,rsqNt_ejwcSKI8Kr-1HpDw,Hoji R.,1.0 star rating,It nice looking red bagel and breakfast and place but service is unacceptable because the cashier and chef is one guy and it's gonna take awhile until your order to be ready.  Then muffins and bagel looks delicious but I got egg sandwich and it was garbage because the bagel is old feels like rubber and cheese and egg literally spilled out of the wrap. In short it was not worth the price $5.50. I would never visit this place again. I hate that place that bad.,The Little Grocery Downtown,4.0 star rating,$,"Grocery,, Breakfast, &, Brunch,, Sandwiches"
3,bA2HlwGGT4rEQ1WoblI8zQ,Rudy H.,5.0 star rating,"We escaped hurricane Irma and stayed with a friend in Hoboken. Did a search for a place nearby to eat and this was first on the list and 2.5 blocks away. Decided to try it and are very glad we did!Two tables outside and about 5 inside, quaint, homey and clean with free Wi-Fi! The extensive menu made it hard to decide what to get. Lots of breakfast items, sandwiches and coffees. We had breakfast and lunch sandwiches with coffee and latte. All were delicious and reasonably priced. We will definately try to return before we go back home to West Palm Beach.The shining star of this establishment however, was the proprietor! He was friendly, gracious and truly appreciative of our patronage and compliments on his offerings. It's SO nice to see this in a small business owner. He really seems to enjoy his customers and delights in making them feel welcome. This naturally caries over into the food he makes for them. Truly outstanding. So, if in Hoboken and lookin for a terrific little place to get good food, coffee and friendly service, don't pass this place up!",The Little Grocery Downtown,4.0 star rating,$,"Grocery,, Breakfast, &, Brunch,, Sandwiches"
4,IPYQ2QiIpne4Vk5L0rNpeA,Serin kim H.,5.0 star rating,"What a treat we had - falafel quiche was tasty, chocolate chip muffin was moist, and the breakfast sandwiches were as described (one of the best!). Very friendly and relaxed atmosphere.",The Little Grocery Downtown,4.0 star rating,$,"Grocery,, Breakfast, &, Brunch,, Sandwiches"
5,SB-TrfGVvleVuQMskMeTSQ,Arielle G.,1.0 star rating,"Don't ignore the other negatives reviews like I did. I like to give everything a try, but I do regret the decision.Maybe because I went on a Sunday morning when it was kind of busy? There were several people inside and cramped area, but I couldn't help but notice there was no organization, no cleanliness, and no welcoming environment.They don't even clean their hands or wear gloves between dealing with the cash register and then putting your bagel onto their George Foreman-looking machine.Really appreciate my lopsided bagel sandwich, that I ordered with minimal options for a bagel (onion, pumpernickel, or plain - what odd choices)The whole experience just turned me off.",The Little Grocery Downtown,4.0 star rating,$,"Grocery,, Breakfast, &, Brunch,, Sandwiches"
6,GRY2acZtI5q4P1KdCWhcUQ,Dave F.,4.0 star rating,"So when they claim to have the best breakfast sandwich in Hoboken, I might actually be inclined to agree. What sets their sandwich apart from the rest is the bread. It's both soft, yet sturdy, and a great chew. Excellent breakfast spot.",The Little Grocery Downtown,4.0 star rating,$,"Grocery,, Breakfast, &, Brunch,, Sandwiches"
7,KFFbjxO1NCRuevHCDV98lQ,Samantha H.,1.0 star rating,"This place deserves 0 stars. Do NOT waste your time here.I ordered (1) Quiche du Jour and (1) Egg Sandwich with Meat & Cheese. My options for the sandwich were croissant (second option: everything bagel, third option: plain bagel), american cheese and bacon. What I received was an egg, cheese and ONION omelette on a WHOLE WHEAT bagel. I'm extremely confused as to where the onion came in as a replacement for the bacon (I can't eat onions). I also paid for extra bacon on the side and received none. And what's up with the restaurant not calling to check that it was okay to use a whole wheat bagel? I provided 3 options for my sandwich bread and whole wheat wasn't one of them.Additionally, the Quiche du Jour was inedible. So upsetting because I love Quiche du Jour! Little Grocery Downtown's Quiche du Jour tastes like someone accidentally dropped it in a dirty sink. Food aside, my biggest concern with this place is the customer service. I called the restaurant to let them know they got my order wrong and the guy who answered the phone was in denial. He told me that it said I wanted onions... as I was staring at my order confirmation that said otherwise. I told him the correct order (read it word for word from my screen) and he said ""Well we're closing in 15 minutes and I have two more orders to deliver so you'll have to come in tomorrow to get a refund.""Excuse me? No. I kindly told him I will not be coming in for a refund. The purpose of ordering food online is so I don't need to leave my house (I am sick). Second, he can take the responsibility of getting the order wrong and deliver the correct one OR process my refund electronically. I guess he didn't like this answer because he HUNG UP on me.When I tried calling back, he would not answer the phone. Since I placed the order on delivery.com, I reached out to them for support and explained the situation. The delivery.com representative said she was able to get through to them but they told her they are closing and that if she calls back in 15 minutes she could speak to a manager. Well, she has called back several times and no answer. So now delivery.com is taking the responsibility of providing my full refund.I will be telling my many friends and family in the area that we are done doing business at this establishment. My suggestions to The Little Grocery Downtown are to 1) Read your orders carefully. Putting an ingredient (onions) in someone's food that they are allergic to and did not ask for is a serious health hazard. 2) When you make a mistake, own it and apologize for it. You got the order wrong. That's okay. An apology and fixing it would have been the best thing to do. 3) Never hang up on a customer. This is extremely rude and unprofessional and reflects very poorly on your business as a whole.",The Little Grocery Downtown,4.0 star rating,$,"Grocery,, Breakfast, &, Brunch,, Sandwiches"
8,GNnj6Nh9krmB71UiTpVU5g,Chris L.,5.0 star rating,"Delicious New Addition to the Menu... The Sally Special: Ham, Avocado, Tomato and Egg Sandwich on a Roll/Croissant/Bagel. Great compliment to all of the other wonderful items like muffins, bagels, fresh coffee, home brewed ice tea (green and raspberry), and much, much more!",The Little Grocery Downtown,4.0 star rating,$,"Grocery,, Breakfast, &, Brunch,, Sandwiches"
9,GEuZioZWz6Jio2fKWcI52g,Alex B.,4.0 star rating,"Delicious!! I want to go a second time so that I can verify that it deserves 5 stars.  I got a brioche french toast ham and swiss sandwich.  I was so full by the end but also incredibly determined to finish it because it was absolutely delicious.  Would recommend for when your parents or inlaws come in for breakfast, however seating is limited.",The Little Grocery Downtown,4.0 star rating,$,"Grocery,, Breakfast, &, Brunch,, Sandwiches"
