,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,xZ_nPPQMrjYBTUftqC_yYw,Ray Z.,4.0 star rating,"I truly enjoyed this place, great food, nice craft beer list, although somewhat limited awesome nonetheless. I ordered Hanger Steak w/black beans, rice 'n potatoes. Prepared perfectly and delish. Bartender Randy was super attentive a pleasure to talk with, I look forward to coming back and exploring their amazing menu.",The Madison Bar & Grill,3.5 star rating,$$,"Bars,, American, (New)"
1,WWmv-OF9bcbTDJRiQKKjkQ,Jolene P.,3.0 star rating,"Kind of disappointed with my experience here. Let me break it down for ya:Service: our waiter was very nice but service was kind of slow. Our food came out pretty quick but it took quite some time to get orders placed. Place and ambiance: these were ok, nothing spectacular, cross between a family restaurant meets pub. My part of six was seated at a table with a severe incline, it was even funny. Our water even spilled over due to the steep incline. Food: meh meh meh, nothing was bad but nothing was good either, everything was stuck in that neutral Zone. My biggest complaint was the chicken with waffles, it wasn't the typical fried chicken, this was what seemed to be oven roasted chicken picked apart and placed over the waffle. I think they should have at least specified that on the menu. On of the biggest disappointments is when something is totally not what you were expecting, its like when my husband calls and says he's picking up Chinese for dinner and walks in with a pizza box ‍. To top that off they just could not get our drinks right. First they made a white sangria with Tequila and when it was as returned it was brought out tasting exclusively like water with Splenda and syrup, when sent back once again they thought they would solve that by adding wine. They were nice enough to take it of the check without asking. Anyways, I don't think I would be back.",The Madison Bar & Grill,3.5 star rating,$$,"Bars,, American, (New)"
2,Bvvx-vCoLcSF8Eos3CaezQ,Amy H.,2.0 star rating,"We came here for Sunday brunch recently.  My boyfriend has been before in the past and mentioned they have live jazz which is partially why I wanted to go.  They dont actually do that anymore from what the bartender told us.The two of us sat at the bar for our meal.  My boyfriend did the brunch buffet which is about $30 a person.  I chose to order off of the menu.   The whole experience was awkward with the staff - with them either constantly clearing our place settings, or being very inattentive.   As I said my boyfriend did the buffet which usually implies the person will go up to grab food more than once.  Every time he did they would clear his place setting and utensils.  Then when he would return one of us would need to flag down the bartender which would take a while since they were busy for more utensils.  For my meal I ordered a soup and salad entree.  Both came out very fast and together.  I asked the bartender to bring my salad back because we planned to stay a while for drinks/food.  I think they just put my salad (with warm chicken on top) in the back for 30 minutes and brought me out the same one because the food was then cold.  I realize its a salad and should be cold but it also grossed me out thinking it was just sitting in the kitchen somewhere.  Anyway - I don't think we will be back here again any time soon.  The service was really bad at the bar, and there are many other brunch spots in Hoboken and Jersey City.",The Madison Bar & Grill,3.5 star rating,$$,"Bars,, American, (New)"
3,XZIAEE2ZN6yxESKzXiZRqQ,Auggie L.,5.0 star rating,"Went for Hudson Restaurant Week LunchFood - 5/5. Aloo tikki chole was full of flavor. The curry meshed well with the sweetness of the chutney. Chickpeas were creamy and smooth while the potato pattie added a nice crispy texture. Jersey devil was cooked to desired doneness although I personally find the concept can't help but create a messy, overly rich combination. French fries had great crunch to them. Molten cake was delicious with the flourless nature making for a rich, smooth and delightful experience.Service - 4/5. Professional and attentive. They were very timely with refills and plates.Value - 5/5. The food was good and had unique flavors to offer. They also have a large variety of choices for their prix fixe which I find makes for great restaurant week menus. Definitely worth a visit!Parking - Street (Metered)",The Madison Bar & Grill,3.5 star rating,$$,"Bars,, American, (New)"
4,wun_OokGwk8cp4iytS8NmA,Z. L.,4.0 star rating,"Came here for lunch with my husband and mother in law. The food wasn't anything to brag about. Simple, clean, and tasty. The service was a little slow, but it was packed during brunch time. Our waiter Andrew was very nice although I didn't like that he didn't let me wrap my own food (most places let you if you ask for a container)--perhaps this is a policy at this place. We'll most likely be back when we're in the area.",The Madison Bar & Grill,3.5 star rating,$$,"Bars,, American, (New)"
5,IHhICLy7NekRXOIdug9dUg,Kasey R.,4.0 star rating,"Brunch buffet for $30 a person.  Or you can order from the al a cart menu options. If u are hungry and have a few people u want to dine with, the brunch here is a great option and has some variety.",The Madison Bar & Grill,3.5 star rating,$$,"Bars,, American, (New)"
6,Jb7Fuofojc5k5QUxHthuOg,Steven Z.,5.0 star rating,"Came here with my coworkers. I ordered the big ""mic"" burger with a side of sweet potato fries. I ordered the patties medium rare and they did not disappoint. Also, they were not lying when they said big. It's a humongous burger and it was delicious. My coworkers got the crab cake sliders, chicken BLT and one of their pizzas and they all loved it! Highly recommend it to anyone in the area!",The Madison Bar & Grill,3.5 star rating,$$,"Bars,, American, (New)"
7,4lAQYtRnSB6qdinlNEwDcA,Lindsay M.,5.0 star rating,"I absolutely LOVE the Madison. This is one of my favorite spots in Uptown Hoboken. The restaurant has both outdoor and indoor seating - it also is a decent-sized location, which is always a good thing in my book. All of the food is fantastic, and the bar scene at night is great - it's a nicer/less touristy spot in Hoboken. For food, the Mac & Cheese is the BEST - I randomly crave it and need to go lol! The Chicken & Steak Paninis are also really good. Highly recommend!",The Madison Bar & Grill,3.5 star rating,$$,"Bars,, American, (New)"
8,6h-iXr8Ema5kz5adv_GJDw,Samantha R.,2.0 star rating,"Very disappointed.  Food was cold.  Ugh.  And my friend ordered the chicken and waffles.  Heads up everyone, it is pulled chicken, not fried.  And when I say pulled, I mean it looks it was digested and put on top of a big waffle.  I would have sent it back but my friend just pushed off the chicken and ate that soggy waffle.  UGH.  Better breakfast at any diner.  I do not get the charm of this place because it was really not that great.",The Madison Bar & Grill,3.5 star rating,$$,"Bars,, American, (New)"
9,rCBA_H3Tpz6ZsCaADwa5Zg,Sara C.,4.0 star rating,"Went for brunch Sunday with a friend after another local spot had a wait of 1 hour+. There is plenty of seating and they offer a brunch buffet on Sundays as well. Pricing for the buffet is $31 for adults and $16 for children. If we were hungrier we would have done the buffet, but there was just so much food there as well as a chocolate fountain at the end.I ended up getting the tostadas and my friend got the breakfast bruschetta. Both were amazing and my portion was so big I ended up eating it for lunch the next day. I would definitely recommend it if you're in the area.",The Madison Bar & Grill,3.5 star rating,$$,"Bars,, American, (New)"
