,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,pmDrWekLU_nQyJN1uHayCA,Karine M.,4.0 star rating,"Disclaimer: we went for brunch rather than for normal lunch/dinner menu, so my review is based on this experience. Quarter is a Mediterranean / Turkish place, and it's  obvious that the American brunch selections are here to appease the NYC brunch crowd. The brunch was good, just not amazing. We ordered the bennie and burger, which were on par with any decent brunch place in town. I'm sure their dinner selections are much better - just looking at the photos, I'm wishing I came at a different time.But the service was IMPECCABLE! The waiters were very nice and accommodating. We had our large golden retriever with us, so they sat us in a nice corner where it would be easy to control him and gave him a big bowl of water. We also had ordered biscuits to share but there was an issue with the oven and we were apologetically told that we weren't going to get them. Once the oven was fixed, they brought them to us on the house! So so nice! Will be coming back for the dinner menu, perhaps will be able to upgrade my review to 5 stars.",The Quarter,3.5 star rating,$$,"Mediterranean,, Turkish"
1,hzAMTvVTOuoHV-qxK5I0Eg,Stephen B.,4.0 star rating,"Great place!While looking for a quick yet nice light meal, we decided to go to Hudson Street feeling we would certainly find something.  First place we saw was The Quarter.  Looked good.  Went in.We were able to be seated immediately and ordered some appetizers and two glasses of wine from their happy hour menu.  It was excellent!  We had a spinach, a hummus and a Turkish dish which was served with some nice bread.Service was excellent and, being happy hour, the prices were excellent!  The menu pricing looked very reasonable anyway.",The Quarter,3.5 star rating,$$,"Mediterranean,, Turkish"
2,kvSfaEAgx7pGX2jLwLFzcQ,Brantley H.,1.0 star rating,"Came here and made the mistake of thinking this was a normal restaurant where you could order the items they have on the menu for a satisfying dinner. Started with the kale salad that was doused in dressing and had no flavor. Paired it with a glass of red, which I presume they picked off the bottom shelf at the rite aid down the block. Finished the meal off with some unremarkable pasta and meat dish. Low quality food like this does not deserve space in the crowded village. Maybe if you stick to the oysters and vodka sodas here at happy hour in the outside area in the summer, you'll have a better experience. But unless you live around the corner, and can't bring yourself to walk a few extra blocks to spots like Fish or Jeffrey's Grocery for just that same thing, the Quarter is not worth your patronage.",The Quarter,3.5 star rating,$$,"Mediterranean,, Turkish"
3,MAYgmM3XmMFdweZOPaOGzA,Ricki F.,5.0 star rating,"This is our favorite go -to restaurant in the West Village. Jason the chef is wonderful and will always accommodate any special requests if you give him enough notice. Jason also offers specials that can compete with many high -end restaurants that we have been to. The burgers served with caramelized onions and beef brisket on Brioche are outstanding. The oysters are fresh and huge and $1 each. The. service is gracious and atmosphere is always pleasant and has a lively bar scene. Brunch is great,and outdoors they even provide blankets for cooler days! Just really visited this restaurant this is our favorite go-to restaurant and we dine here 2-3  times every week . The staff is wonderful and accommodating the food is terrific and we especially love the huge briny oysters and the drinks. The bread is wonderful and very Turkish and delicious and the specials are wonderful as well. We cannot recommend a better place in the city. We have brought many friends here as well. And they all agree! Brunch here is a festive occasion and the servers are very lovely and attentive.",The Quarter,3.5 star rating,$$,"Mediterranean,, Turkish"
4,Xtv6iZ2Sn37BqCuHhev3rQ,Sasha K.,5.0 star rating,"We are so happy with Quarter's new Turkish cuisine. Everything is fresh and perfectly prepared, and the staff is wonderful. We cant wait to go again!!",The Quarter,3.5 star rating,$$,"Mediterranean,, Turkish"
5,i-6qLjBK3oEEA_c29MPYvQ,Jimmy N.,1.0 star rating,"I was sitting at the bar when one guy came and starts yelling at bartender. (later staff told me, that it was manager of the restaurant , his name is  Fatih).  When I looked at him -  that's incredible - but he starts yelling at me too : ""Why are you staring?"". He had nervous breakedown or something like this, I don't know. But he didn't apologize then and other staff was trying to calm him down.  If you wanna get some troubles, welcome to Quarter and ask Fatih.",The Quarter,3.5 star rating,$$,"Mediterranean,, Turkish"
6,K6kdQ4wdouZPnP6gAv-s0w,Arnica M.,5.0 star rating,Excellent service ! My new lunch spot when I'm in the neighborhood..Try the grilled octopus salad it's delish!!Don't forget to try the Turkish bread,The Quarter,3.5 star rating,$$,"Mediterranean,, Turkish"
7,fvYT9mVkkMBV7lz7ScPi3g,Elaine H.,3.0 star rating,"We only came for some happy hour oyster/drinks. Oysters of huge size and were freshly prepared. Wish they could provide more sauce selections, aside from the regular cocktail sauce and vinegar.Should try their honey dew cocktail next time!",The Quarter,3.5 star rating,$$,"Mediterranean,, Turkish"
8,DCWnL4C6JRE9a0TVb3FvPw,George S.,5.0 star rating,"The place was jammed and every table that was open was marked with a ""reserved"" card. The manager was creative and kind and figured out how to seat the three of us. The meal that followed was better than excellent, I would call it a spiritual experience. The grilled octopus salad is a must, The lentil soup... ..was beguilingly delicious. as was the roast lamb special. The Quarter is currently my favorite restaurant in New York City.",The Quarter,3.5 star rating,$$,"Mediterranean,, Turkish"
9,rAd-4a1ST7Q2MH424qv2dg,Gina D.,5.0 star rating,"I went to the city today and on my way back from running downtown, I ate here. I had eggs with brussel sprouts and tomatoes and toast. It was very delicious! The service was also good and the people were very friendly. I can't wait to go again on my next visit to the city!",The Quarter,3.5 star rating,$$,"Mediterranean,, Turkish"
10,vPVckUhZtTKOGEwQhBzsFQ,Engin S.,5.0 star rating,"The best octopus salad I ever tried in my life. I didn't expect that I can get the octopus very y software ,juicy and tender. Hummus and special spicy ezme salad was amazing. I was there during the happy hours and totally satisfied with the atmosphere,service and ambiance.bartender was pretty attentive and helpful describing the cocktails and snacks.thx again,i highly recommend",The Quarter,3.5 star rating,$$,"Mediterranean,, Turkish"
