,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,iyP0qnhSBKcHey6k2xQ7lw,Alison R.,5.0 star rating,"I had a great time here two weekends ago for a friends 30th birthday. I live near the original location of The Shepherd & The Knucklehead which is a great local bar for craft beer and drinks. The Hoboken location also creates the same atmosphere and has great craft beer selections. However, this location also has a more ""party"" vibe and music as the night progressed. It absolutely has more open space for dancing potential and a small stage like area with dart boards on the side.We were able to do an open bar special for $35 which included beer and wine or $40 for beer, wine, and single-mix liquor drinks. We had a great night and this is definitely a place that I would want to return.",The Shepherd & the Knucklehead,3.5 star rating,$$,"Beer, Bar,, American, (Traditional),, Cocktail, Bars"
1,pHx3OKHJI9RoVTwqAIYuog,Neel A.,3.0 star rating,"Considered one of the best beer bars in NJ, I was in the neighborhood for work and decided to stop by for happy hour. The draft list is legit with an impressive number of local NJ brews. Represented breweries included Magnify, Carton, Brix City, Kane, Firestone Walker, Victory, Wet Ticket. Diverse brews ranging from wheat beers to IPAs and stouts, but did not have any big bourbon barrel stouts which are a personal favorite. The bartender was super friendly and willingly provided tastes of different beers before settling on my order.The food was ok. Not great, not terrible. I've starting digging those beer bars with an elevated gourmet style menu...this food fell well short of that. The pulled pork sliders were more bread than meat and lacked flavor outside of me dipping it in bbq sauce.I'd come back for the beer and friendly, but prob go elsewhere for the meal!",The Shepherd & the Knucklehead,3.5 star rating,$$,"Beer, Bar,, American, (Traditional),, Cocktail, Bars"
2,4lAQYtRnSB6qdinlNEwDcA,Lindsay M.,3.0 star rating,"The Shepherd & the Knucklehead is a nice local sports bar in Hoboken. If you're looking to watch a New York team in a great atmosphere, you will enjoy this spot. The food is typical pub food - sliders, wings, french fries. Everything is decent - nothing special but definitely pretty good. The drinks are also a good price - I was slightly annoyed when three different cocktails/ciders were unavailable, but there's always a large enough drink menu to find something. On game days, be prepared to be there for awhile. The service is incredibly slow with the crowds, which makes sense but is worth noting. Definitely do not go here for a quick bite to eat. The tables are also very sticky, which was weird and unsanitary to me. Overall, a decent sports bar.",The Shepherd & the Knucklehead,3.5 star rating,$$,"Beer, Bar,, American, (Traditional),, Cocktail, Bars"
3,svFycHjXZYpNVutZ_0_gDQ,Jessica W.,4.0 star rating,"This review is for take out only. I ordered dinner from here a couple nights ago. We ordered the steak salad, with blue cheese and red onions over greens and then the poutine, with pork shoulder. It came within 40 minutes, but the order was wrong. The delivery guy knew it was,He asked me to check.They brought back the right food just a short time later with an apology and they did let meKeep the wrong food. Why the star reduction? Food wasOkay. Definitely the salad had barely any lettuce, too many red onions, and way too much tomato.I would not get the salad again, it was sort ofTough to eat.",The Shepherd & the Knucklehead,3.5 star rating,$$,"Beer, Bar,, American, (Traditional),, Cocktail, Bars"
4,Rx_r8TTbuK2D0nfYaJXxsg,Kelly K.,3.0 star rating,"I really appreciated the top notch service and the atmosphere, as well as the endless variety of beer they offer.. unfortunately for me, the food fell short.We ordered the poutine to start. It was hard to pass up by the way it was described in the menu. What we thought we'd get: a big mound of luscious meat smothered in melty cheese.. what we actually got: a few dollops of pork with a few sprinkles of cheese scattered on top. It was disappointing because after a few bites we were left with a bowl full of chips and no meat. I will say the pork tasted really flavorful but again.. portions were so disappointing! I also had the veggie burger which was really dry, hard, and bland. The only good thing about it was the aioli and the fries it came with. Above all my favorite part of dinner was my drink, it was deeelicious. Get the coconut mule!!!",The Shepherd & the Knucklehead,3.5 star rating,$$,"Beer, Bar,, American, (Traditional),, Cocktail, Bars"
5,LcWOq7p7Mhtv9hIlDrhy9A,Mel T.,3.0 star rating,"*Taco Thursday Review*The Shepard and the Knucklehead looks and feels a bit like a dive bar, but with a bigger space. It smells like old drinks and the tables are sticky. If you don't mind that, they actually have some pretty good drink/food specials - especially on a Thursday night, when you can get $15 pitchers of margaritas, and build your own tacos for $2-$3.The tacos aren't anything to write home about. Definitely not great tacos, but they're pretty good for $2-$3. Chicken, and chorizo are $2 each, and steak, ahi tuna, are $3 each. It's nice that you get to choose your own toppings (lettuce, tomatoes, onions, cilantro, pico de gallo, cheese, sour cream) and your choice of a few sauces, which comes on the side. The pitcher of margarita is a tad sweet and seems watered down, but we deffo started feeling something after one. They'll def sneak up on you.Service was a bit lacking and it wasn't even that busy. It took a while to get our tacos. Another couple sat probably 20 minutes after us and got their tacos at around the same time. Regardless, I'd still come back - especially to try their Monday $6.95 burger and fries special.",The Shepherd & the Knucklehead,3.5 star rating,$$,"Beer, Bar,, American, (Traditional),, Cocktail, Bars"
6,VvjvDenuLLtvzxWeAZVMBg,Chris F.,5.0 star rating,"First time going to their Hoboken location. It's definitely nice inside and good for groups. They also have outside seating. Now the important stuff, happy hour 3-7 pm. $2 off beer, sliders, and tacos. And daily specials on top of that. Did I mention 60 beers on tap? If you like craft beer and don't suck at life S&K might just be for you.",The Shepherd & the Knucklehead,3.5 star rating,$$,"Beer, Bar,, American, (Traditional),, Cocktail, Bars"
7,t8eGzmX6DEzEq0sonO7Niw,Morgan G.,3.0 star rating,"It pains me to give The Shep 3 stars, but just know that this review is based on several visits here and does not reflect the delicious food or the quality of the friendly waitstaff.The 3-star review I am giving The Shepherd & the Knucklehead is based solely on the countless number of times I have been charged almost twice what I've owed because the restaurant has simply forgotten to apply Happy Hour specials and new menu prices to my bill. Just last night, what ended up being a $50 bill originally came to me and my boyfriend as over $100 because the waitress forgot to take off the Happy Hour specials and forgot to change the price of our beers from $9 to $2. This wouldn't be a problem if this were the first time it has happened, but this has happened EVERY TIME we've come here, and I suspect the owners just think people won't say anything--but I'm not one of those people. Fifty dollars is a lot of money, and if you advertise Happy Hour specials, be prepared to take those out of the bill.As for the food, I've never had a bad dining experience here, and I'm an especially big fan of the veggie burger and the mac and cheese (which I once got for free from a secret Happy Hour menu!). The beer selection here is always diverse and there's always something for everyone, plus the prices are reasonable (~$8 for a pint). If I didn't have so many problems with my bill every time I came here, I'd be back much more often.",The Shepherd & the Knucklehead,3.5 star rating,$$,"Beer, Bar,, American, (Traditional),, Cocktail, Bars"
8,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,2.0 star rating,2nd time around... there was a big dropoff in the food quality. I tried the salmon sandwich was not very good. The fries were also not as good as the first time.  Seems like their standards have slipped since it first opened up. Will try it again probably but was disappointed on this visit.,The Shepherd & the Knucklehead,3.5 star rating,$$,"Beer, Bar,, American, (Traditional),, Cocktail, Bars"
9,3bg_zLPEQml1feMYEZc1YQ,Nick C.,5.0 star rating,"Amazingly enough, the second location of the Shepherd & Knucklehead has managed to surpass the original location. I met with a large group of friends on a Friday night and we had plenty of room. This bar is fairly large for Hoboken, and the parking is somehow better than its location in Haledon, thanks to the garage across the street and the distance from the rest of Hoboken's bars.Although the Shepherd and Knucklehead was mostly known for its beer selection, the manager, Greg, really has his cocktails down. Tried a few drinks including the original Moscow Mule, the Santa Mule, and the one that comes in a giant golden coconut. The Santa Mule with Rosemary and Cranberry Juice was extremely well balanced and delicious, one of the best cocktails I've had. We munched on a few appetizers as well and they were fine. Definitely one of my favorite bars in Hoboken now.",The Shepherd & the Knucklehead,3.5 star rating,$$,"Beer, Bar,, American, (Traditional),, Cocktail, Bars"
