,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,17l_rH-KTdqiufxNkC9R7Q,Brittany J.,4.0 star rating,"Just finishing up Sunday brunch here now. The atmosphere is lively, decor is very British pub style, and the staff are all very friendly. Mark started as our server, he's super friendly and has a great head of thick curly hair (I'm a curly girl so I appreciate a good head of curls! Lol) mid way through he had to take his break so Katie took over, she is super warm and friendly. They both were quick to observe if something was missing and get whatever we needed.Now for the food...I started with the Pecan Sticky Bun...great flavor but should have been served warm. Katie told me I could request it that way next time. For my meal I got the eggs benny, perfect amount of hollandaise with a little Dijon mustard, American has over Canadian the bread used instead of the typical English muffin was delicious. I opted for a mix green salad instead of the potatoes to be some what ""healthy"" but then my husband ordered a side of potatoes so I had some anyway. Sooo glad I did because they were amaaazzzing!! Katie said they call them crack potatoes and it's appropriate because they're the perfect balance of crunch, creamy, and garlicky!! Can't wait to come back for brunch again this place is delish!",The Standard Grill,3.5 star rating,$$$,"American, (Traditional),, Lounges,, Diners"
1,Cy7J-d9d1fT7AqMrVcps8Q,Dave R.,1.0 star rating,"Ah NYC brunch how I have missed you.  Until today.  My work schedule hasn't allowed for weekend brunches for a few years until now but unfortunately The Standard Grill fell very short today.  To be completely honest I am not a tough sell when it comes to a brunch menu but it should've been more expertly prepared especially considering the prices.  We started with steak tartare for an appetizer with charred scallion, jalapeño, pine nuts, quail egg ($17).  The steak almost seemed like deviled ham more than prime tar tar beef.  And the quail egg was so well cooked that the yolk was cooked through and we couldn't mix it through the tartare.That was followed by huevos rancheros with chorizo, black beans, crema, salsa guajillo ($17).  I suppose some would say that you have no business ordering this in a more upscale locale but I figured you can't screw that up.  Well...it was full of chips which is odd to begin with and conversely had very little chorizo.  The salsa guajillo was more like gravy than salsa.My wife had the grilled tuna with fennel, olives, soft herbs, shishito vinaigrette ($24).  The tuna was ok.  Not bad but a little gray.  It was probably about 4 ounces and the rest of the plate was primarily a pile of frisee.  We finished our meal under the advice of our friend that accompanied us with the brioche donuts with vanilla-rum custard ($8).  Let's just put it this way.  My wife cut her donut into about 12 small pieces and found one pencil eraser sized spot of custard.  REALLY?  Fade to black.  End of scene.",The Standard Grill,3.5 star rating,$$$,"American, (Traditional),, Lounges,, Diners"
2,Q8NKc3gnRRnRPqPOHC2Vug,Barry B.,5.0 star rating,"Food:  Even though I am a long-time resident of NYC, this was my first-time dining at the Standard.  I have heard both good and bad about the establishment, was in the area with some free time one afternoon this past weekend, so I decided to put things to rest in my own mind and try it for myself. I started with a shrimp cocktail (a make or break dish for any restaurant) and a turkey sandwich on 7 grain wheat.  The shrimp cocktail appetizer was delicious! Quite often, establishments will over chill the shrimp and cause me to feel like I am eating an orange ice cube - not here.  The chilled shrimp was just that: chilled, not over chilled and the display and preparation were top notch.  How can one talk about a sandwich more than to say that it was filling, appetizing and not sloppy?  But here the flavor of an avocado, cucumber, and sweet aioli combined to make my mouth fall in love - something I hadn't expected or experienced in a very long time with such a simple dish that was elegant in every way.Service:  This is where it gets interesting. I dine out often. I do not sit down to write detailed reviews as often.  Nonetheless, when something is so striking as to cause me to take good hard notice (either in a good way or a bad way), I will sit down and write a review.  The sandwich, the shrimp were wonderful - but the service was outstanding in every way.  From the time that I was greeted by the hostess until I paid my check, I felt as if I were the only customer that occupied the establishment.  This says quite a bit in this city that is dominated by so many decent restaurants that strive to be great!!   My waitress Stephanie was fabulous, and I hope the managers and owners of the Standard see this review and pass to her a job well done and noticed!  She was NOT merely an order taker: she was there to ensure, in a way that was not overbearing or awkward, that my experience was exceptional in every way possible.  She seemed concerned that my experience was nothing less than exceptional.  She is a star and no doubt the Standard is aware of the value that she brings to it because of the clear commitment to its customers and their (OUR) experience. When I return, and I will be certain to do so, I will make sure that Stephanie will be my server again.  She was so welcoming and made me feel as if I was the only customer in this busy restaurant. Overall: HIGHLY SATISFYING experience and my only regret is that the Standard is not closer to my daily haunts.  Food is worth the trip and I only really had a sandwich, but the service makes this restaurant that has been on my radar for quite some time a destination establishment!",The Standard Grill,3.5 star rating,$$$,"American, (Traditional),, Lounges,, Diners"
3,tnD53DBE5XCaxJcADvQf6g,Tiffany A.,5.0 star rating,"I was visiting NY and the brunch spot we originally planned on had a 45 minute wait so we decided to just come here because it was close and I'm so glad we did! We were seated immediately. The service was great. The menu options were good and all the food we ordered was delicious. There were 4 of us so we decided to order a punch bowl, it's $65 but it totally made sense for 4 ppl. If you're in the area I'd def check this spot out, no complaints!",The Standard Grill,3.5 star rating,$$$,"American, (Traditional),, Lounges,, Diners"
4,_VlZTpWafQCJNaLbG3vWmw,Jaime R.,4.0 star rating,"I've been to the standard many times but only for drinks and haven't had the pleasure of tasting any of their food... I do have to say this place makes tasty cocktails and the standard offers multiple atmospheres depending on what you're in the mood for... rooftop drinking, biergarten, casual outside sitting area or inside grill with bar.  I find the standard to be a perfect location for pre or post dinner drinks since it's so versatile.  Last night I sat at the bar waiting for some friends and had a delicious cocktail called anais nin. The cocktail is a blend of vodka, plum, lemon and finished with Thai chili.  The drink was perfect... not too sweet and not spicy and a great way to kick off the wkd.  I still don't know why I haven't eaten here yet but after my cocktail I need townsmen an effort to stay for dinner.",The Standard Grill,3.5 star rating,$$$,"American, (Traditional),, Lounges,, Diners"
5,_VKvwwb4NA9GVPdb5DBAhQ,Abby S.,4.0 star rating,"I loved the look of The Standard. Very cool vibe. We started with the Boston Bibb Lettuce salad. Omg it melted in your mouth. We also had some of their cured meats and cheeses. I was so so on the meats. For my entree I ate the hand rolled garganelli. The short ribs in it were tender. Overall, the meal was good and I'd go back. We finished the night in their beer garden. It was dead on a Monday night, but I can imagine it is a fun place on the weekends.",The Standard Grill,3.5 star rating,$$$,"American, (Traditional),, Lounges,, Diners"
6,N513qpzWey0qnrX4YGDSlg,Isabelle C.,3.0 star rating,"nothing was downright unpleasant, but i seemed to be disappointed more often than impressed. regarding service, the hosts and servers we interacted with seemed a bit ho-hum -- did their job and checked up on us, but lacked a little warmth and charisma. as far as food, i enjoyed the spanish octopus appetizer and warm apple tart dessert, but the standard burger came out quite rare when i ordered it medium, and the hand-rolled garganelli was just meh.overall i wouldn't be opposed to returning, but perhaps for breakfast, lunch, or the bar instead of dinner next time.",The Standard Grill,3.5 star rating,$$$,"American, (Traditional),, Lounges,, Diners"
7,6CmaWkSyY4lvjByFEoY-7Q,Jessica K.,3.0 star rating,"A rather spacious restaurant situated right below the Standard hotel in the Chelsea area. We had came here for an early dinner, but even so it was already packed at that time. We had ordered a turkey sandwich and the salmon, with salmon being my favorite. It was cooked medium rare and was very delicious. Whereas, the turkey sandwich was rather lacking in flavor. Service was a bit slow since it appeared they were understaffed in terms of waiters and waitresses. Unfortunately it was a bit chaotic as well with glassware that had fallen to the ground fly in my direction to them accidentally giving me someone else's bill...Overall, without the unfortunate events it's a place worth trying.",The Standard Grill,3.5 star rating,$$$,"American, (Traditional),, Lounges,, Diners"
8,NG4-Cjh9mqp-lQyiWxSoBQ,nina s.,4.0 star rating,Great people watching and delicious food! One could expect higher prices at this prime location but i think for the quality and quantity it's very fair. I've had the steak and trout as entrees here and they have been great. The steak tartare is delicious! Comes with a few pieces of crunchy toast and thinly sliced onions. Nicely curated cocktails and wine list. All in all a consistent high quality and unbeatable location.,The Standard Grill,3.5 star rating,$$$,"American, (Traditional),, Lounges,, Diners"
9,rnnY6G_DVHT0s9Acyi7Nrg,Fatima K.,3.0 star rating,"This place is okay, it is pricey for the portions. I got a steak and i thought it came with sides but it was only the steak and it was maybe 5oz. We did wait like an 1hr for our food to come out. I order a medium rare steak and got a well done steak. The service was on the slow side and my app and meal came out before my friends meal. That was the only negative part and she only got a burger and it came out cold. The waitress wasn't very apologetic. My friend and I shared a bowl drink which was really good probably the best part of our dinner. The place is cute but I wouldn't come back because of how long the service takes.",The Standard Grill,3.5 star rating,$$$,"American, (Traditional),, Lounges,, Diners"
