,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,Vavtd5JwMKYgxYz-X3Uyew,Huw P.,4.0 star rating,"This is my local bar, they have a good selection of beer and food and a wonderful selection of scotch.I have eaten here once and had a burger all good nothing special, but solid bar food at a reasonable price.They have a mechanical bull that can be entertaining when lots of people get involved.Go keep the local spots open",The Stewed Cow,3.5 star rating,$$,"Bars,, American, (New)"
1,XZIAEE2ZN6yxESKzXiZRqQ,Auggie L.,3.0 star rating,"Went for Hudson Restaurant Week DinnerFood - 5/5. Steak tacos had flavor with lots of crunch coming from the cabbage. Brisket was tender and went well with the crispy tater tot hash and juicy Texas greens. The plating was pretty questionable though as everything was piled on top of each other on a small plate. It also could've used some more BBQ sauce. Warm cookie dough was rich and sweet with the ice cream adding that creamy goodness.Service - 1/5. Slow. Very, very slow. I must have waited 30 minutes between courses. I try my best to be patient but this was too much and it didn't help that no one explained why there was such a delay for the food.Value - 3/5. The food is good and a three course dinner for $20 is a great deal. However, waiting so long for the food to come out was a bad experience and makes you rethink visiting again.Parking - Street (Free)",The Stewed Cow,3.5 star rating,$$,"Bars,, American, (New)"
2,2sdp6o5RWs1H-LFfK7bLqQ,Carol S.,1.0 star rating,"Don't WASTE YOUR TIME here!!  The long wait for the table wasn't worth it. Very bad service and food was cold and lousy. When we politely complained to the manager, she was rude, disrespectful, and obnoxious to us. We understand places can have an ""OFF"" night but if they don't fire that manager, this place is going to be OFF Everyone's list!!!!!  Don't go don't go don't go. Try the place down the block. Save yourself some aggravation.",The Stewed Cow,3.5 star rating,$$,"Bars,, American, (New)"
3,dv6QAMjl-fq-S3ck9OPY_w,Esther S.,3.0 star rating,"Enjoyed my visit here on a Sunday afternoon. It was relatively empty and the servers leave you alone for he most part, so I enjoyed my time with my friends just chatting away.i was a bit confused at the menu, because it doesn't list the exact pricing of each item...But the Omelet was extremely delicious! Perfectly seasoned.They also offered some complimentary dishes that I was also confused about. They gave us each an omelet with some chocolate chips on top as well as some pastries. Both were mediocre but better than nothing!Very cute place if you would like to take pictures, grab a meal or drinks.",The Stewed Cow,3.5 star rating,$$,"Bars,, American, (New)"
4,EoTYoq0N-BB1B2AIIl2Aew,Sam D.,1.0 star rating,"I am in disbelief at how awful my brunch was here. I'm a local so we come here to drink from time to time but wanted to try their brunch. We had to ask 5 or 6 times for the muffin and pastry basket, which was literally just bread when it finally arrived. The food was just alright, they burnt my friend's burger when she ordered it medium, but nothing to write home about at all. We did the brunch special which came with two drinks, and they for some reason charged me for my meal and a drink, while they charged everyone else the brunch special. The waitress was no where to be found during the entire meal, and we had to chase them down to correct the bill. Once we were ready to pay, she walked past us 3 times without asking if we were ready. We were planning to pay by card and tip cash but that was the last straw and we paid the bill amount and left (something I have never done). It was such horrific service that I was actually offended, and will not be going back.",The Stewed Cow,3.5 star rating,$$,"Bars,, American, (New)"
5,hPdX6i4JKYcIpDb5MSda8Q,Peggy R.,1.0 star rating,"As Hoboken residents, we used to be long time customers, but after this horrible incident, we haven't been back.We came in on a Sunday afternoon and ordered ""the infamous SC quesadilla.""  To our surprise, the quesadilla arrived burnt with no guac, no sour cream, and just the pico de gallo dumped on top.  Shocked by the lack of toppings, we asked the server if she could send us the guac and sour cream that were supposed to come with the meal.  Eventually, she took our plate to the back only to return with the side condiments well after the quesadilla was already cold.We didn't want to eat a soggy, cold quesadilla that had been sitting around for 15 minutes, so we sent it back and asked for another one.This is where things went from bad to worse. Rather then send us a fresh quesadilla, they sent us a reheated rendition of the quesadilla we just sent back. It was pretty obvious -- the quesadilla arrived even more burnt than before and with marks where the pico de gallo used to be. Wtf?! I'm completely offended that the Stewed Cow thought it was acceptable to deliver us the soggy, burnt quesadilla we had already sent back.We told our server what happened and she promised to send over the manager. Instead, the manager walked right by us with no acknowledgment. Appalled by the horrible service, we promptly left.Last time for that!",The Stewed Cow,3.5 star rating,$$,"Bars,, American, (New)"
6,BjC6VjoSrTRAXnnuOoFrMw,Ed W.,3.0 star rating,"Came here on a weekend morning while waiting for an event to start nearby. The place certainly does a bustling business for brunch.  So much so, that we had a hard time getting the bartender's attention to order beverages.  We had time for two, but had to settle for one because he couldn't get the bartender back to reorder.The food looked good, but we never tried it.The place is certainly geared to a twenty-something crowd, which is not a negative thing.  I'm just not sure if it's a place I'll be running to visit again.",The Stewed Cow,3.5 star rating,$$,"Bars,, American, (New)"
7,svFycHjXZYpNVutZ_0_gDQ,Jessica W.,3.0 star rating,"This is a local neighborhood bar.  They are more of a whiskey focused bar, they definitely focus on the brown liquors. They do have a mechanical bull on site, which is fun. It usually runs on the weekends and they have an MC that coordinates. The food is solid. I had the the nachos and they were pretty good. A very solid 4. The service is good, not great but good. The issue was they have barely any acceptable tequila. The best was Jose Cuervo silver and I literally couldn't drink it. They were kind enough to take it off the bill but really they should have at least one decent tequila.  They are a bar, even a patron silver would do. I'm not expecting Don Julio 1942. I haven't been back since, or drank tequila since ... still trying to recover from the experience but I will go back again once the trauma wears off. To address the owners response.. I specifically asked for other types of tequila because I have had Patron silver in the past but I was told the order hasn't come in.... what I had was the best they had.",The Stewed Cow,3.5 star rating,$$,"Bars,, American, (New)"
8,MiirMZj3hli0jSSWG6BaHQ,Kwes M.,4.0 star rating,Had an incident here and the manager Steve handled it very professionally. Thank you.,The Stewed Cow,3.5 star rating,$$,"Bars,, American, (New)"
9,CGgA6zmvJl-gsr48gR4wEg,Corinne B.,4.0 star rating,"Upscale bar food, huge portions, great brunch selection, mechanical bull. Definitely gets crowded and worth a little wait.",The Stewed Cow,3.5 star rating,$$,"Bars,, American, (New)"
