,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,XLeUsDa9MzXwiV9FKhg0XA,Sean C.,5.0 star rating,"My wife and I thoroughly enjoyed our visit to The Warren last weekend. We only stopped in for cocktails although the food looked amazing. Unfortunately, I do not remember all of the drink names/ingredients (not online either) but all were delicious. My wife ordered a prosecco cocktail a couple times because she loved it. I started off with a bourbon cocktail which was well balanced and tasty. I then ordered a mezcal cocktail which was suggested by our awesome bartender Salvador. The drink included charred pineapple, chili bitters and a chipotle/salted rim. It was a lovely combination of smoky, salty and spicy. As I mentioned I was extremely impressed with Salvador. He was a true professional taste testing just about every drink and adjusting if needed to match the perfect flavor profile. He also was nice enough to give us a small taste of their punch for that evening which was delicious. If we find ourselves back in the West Village we will be sure to stop in for drinks and dinner this time!",The Warren,4.0 star rating,$$,Gastropubs
1,l1a9vJcreqs9_UY2NGiBKw,Tony R.,4.0 star rating,"Our friday night cravings for some burgers originally led us to The Spotted Pig, but the 3-hour wait was ridiculous and we ended up at The Warren instead. We had an amazing time and next time The Warren won't just be a backup spot!We had the largest table in the dining area which was a little enclave surrounded with books on the side of the restaurant, which made the meal much more enjoyable. The place was packed and busy but didn't feel crowded.Needless to say, we ordered burgers for everyone at the table we got a couple of starters for everyone to share. The burger itself did not impress me and portion sizes were small, but everything else was quite good. I highly recommend the cider they have on the menu (with the caveat that it's very sugary and acidic).Thanks for a great time!",The Warren,4.0 star rating,$$,Gastropubs
2,z8pPpKaHO9PJDacFzyyWtQ,Samantha W.,4.0 star rating,"We got into the Warren with a group of five in a Saturday night and luckily was able to sit down right away. Love the environment; it's an upscale bar feel. We got some starters and they were a little small, but pretty tasty. The main was delicious - highly recommend the Warren burger. Great service and a great time!",The Warren,4.0 star rating,$$,Gastropubs
3,j8PYALitnC96Y9nOsjXJMA,Stephanie A.,4.0 star rating,"Great little spot in West Village with a nice selection of choices. You can either go with a classic entree or have a mix of small plates to share. As with most restaurants in this neighborhood, space is tight. You will hear your neighbors conversations. Notable Happy Hour until 8pm!  Selection of wines, 2-for-1 beers, different liquor, and a few different appetizers.",The Warren,4.0 star rating,$$,Gastropubs
4,VBYipP5i-OhIha4AY6TGWw,Joanna B.,5.0 star rating,"I cannot say enough good things about this place! The Warren seriously set the bar high, because it was one of my best dining experiences ever. For appetizers we had the twice fried chicken, foie gras, and crispy pork belly. Everything was SO good. After that, I had the petite filet and my boyfriend got a pasta dish. Once again, they didn't disappoint at all. The drinks were great and so was the service. We literally had 0 complaints and it ended up being a perfect spot for our date night. It can definitely be pricey, but as long as you know what you're getting yourself into, I totally recommend this place and can't wait to come back!",The Warren,4.0 star rating,$$,Gastropubs
5,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,3.0 star rating,"right off the christopher st path so it is a perfect location if you are commuting from nj which i do. We sat in the window on a nice night. It was a little cramped but spot looking out into the street.I ordered the old fashioned which is my drink of choice but this one was not made well. A good old fashioned is tough to find so no biggie.We ordered the tartare with avocado, the fried chicken, and the french fries. The fried chicken was crunchy flavorful and addicting! There was this slaw on top that complimented it perfectly The tartare with avocado was equally delicious. I would definitely recommend ordering.",The Warren,4.0 star rating,$$,Gastropubs
6,PqEvmBUyvW40GZ2xCuyW-w,David A.,5.0 star rating,This was a great local bar.  My wife had the local punch and we both had some crispy Brussels sprouts.  Very tasty and great atmosphere.  Definitely worth a try for their happy hour or food when you can.  I will be back!,The Warren,4.0 star rating,$$,Gastropubs
7,z7jmxm0_Sxe2nNu-98iMuw,Simon B.,4.0 star rating,"I visited last week for the short rib poutine, being a fan of the French-Canadian delicacy that gets me to discover unique restaurants and reminisce about home. Poutine is french fries, cheese curds, and gravy. You need all three. The gravy provides the salt makes the cheese melt onto the fries , which provide the carbs and the cheese provides the fat. It's an explosion. For some Quebecois like me, poutine is just as serious business as a good pizza is to a New Yorker. And, it seems, many parallels in their quality can be drawn. The setup with the three ingredients needs to, be right. Just like having a good crust, tomato sauce, and fresh cheese, it doesn't matter for a pizza how good your toppings are if don't get those right: if you don't put enough (or too much) sauce, if there's no cheese, or if the crust isn't right. That's sort of what happened here. Nice crisp fries, delicious short rib, but almost no gravy (all absorbed in the meat) and like 2 pieces of cheese. So sure, it was a fun appetizer and the short rib was delicious, but I was expecting more. But then, at $14 a tiny cup, perhaps it sells better as poutine than ""short rib on top of fries""?  Of course I did like the rest of my visit, including the draft selection, feel of the place and the stuff (why it gets still 4 stars). I just wouldn't go out of my way for the poutine again.",The Warren,4.0 star rating,$$,Gastropubs
8,BfPwdawKBiaWCqQ96vyalg,Raymond F.,4.0 star rating,"Great place, had a majority of their food everything was excellent. Prices are a little high, but it is as expected. The food is done with precision and care, with an interesting yet comforting combination of flavors. Comfortable and fun environment, but gets packed! Unfortunately did not try any drinks, but they also looked top notch. Would recommend getting the fried chicken and grilled octopus for sure.While there I tried the fried chicken, grilled octopus, short rib poutine, black pepper fettuccine, fries, brussel sprouts, pickles, and the charcuterie board. The only things I thought weren't super worth it were the fries and short rib poutine. I thought those things were pretty standard and could be found at most restaurants. The rest of it was excellent.",The Warren,4.0 star rating,$$,Gastropubs
9,BHznma4pJ6VVtU4rIGUzSA,Ashley L.,5.0 star rating,"The gist: The Warren is a trendy restaurant and bar with substance, backed up by the impeccable staff and delicious food and drinks. The ambiance: The restaurant is designed on the verge of hipster but without the airs of condescension. Everything is stylish and yet still relatable. The bathroom is incredible, housing a funhouse style mirror and some tasteful artwork of nude women. It's also huge and clean, which is hard to find in New York. The food: Not a single complaint at the table. We went for dinner at 5:30, and were impressed with the happy hour specials, which hosted plenty of half-off appetizers, $7 house punch, and some wine specials. A member of our party had a garlic allergy, and when we came in the chef had already prepared a list of food that she could eat safely. Very impressive, above and beyond in fact. We ordered the twice fried chicken and short rib poutine to start. They were both decadent, although the chicken was slightly spicy. For entrees we tried the octopus, flatbread, truffle mac and cheese, and pork belly. Everything was great! We were too full for dessert, and their menu was a bit limited anyway, but might be worth it on a return trip. They also had a $10 burger on Mondays!The service: Supreme. Impressive. No exaggerations, for this moderately sized, packed restaurant, there was one cook, one waiter, and one bartender. It's incredibly the level of service received by these three employees. Drinks were promptly refilled, special requests were accommodated, all while taking care of every other guest with the same level of service. Absolutely excellent.",The Warren,4.0 star rating,$$,Gastropubs
