,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,tyba5gzEZ6vx2CnRTV56DA,Julie C.,5.0 star rating,"I have to say, I live in MPD and I was mentally refreshed by this little jewel of a place that had mostly couples in it. Enjoyed the menu and locale sophistication that came with the no frills atmosphere. I enjoyed the talented eats offered during brunch/lunch time. It is refreshing to find a place in the MPD area of NYC that doesn't make you ""over-wait"" like the rest of the hood and overcharge you. It wasn't filled with the usual snobs or bottomless brunch/Kardashian wanna be look a-likes or any of the peeps from across the river looking to have a party instead of breakfast types of places around the neighborhood.It was packed, yet only waited 15 minutes. YUM TIP: We shared the blueberry waffles and the sunshine sandwich! Great coffees! Great sides!",The Wild Son,4.5 star rating,$$,"American, (New),, Cocktail, Bars,, Breakfast, &, Brunch"
1,yL8hwzBdPmz1ZaWc2jnOfw,Ellen C.,4.0 star rating,"Came here for a Saturday lunch (1 pm) with a friend. Waiting time was around 20 minutes, but it really didn't take that long for us to get seated. There is a small area outside to wait. Inside is not that big (cozy but a little cramped) with few tables and a bar area. The turnover for the table is not as fast as the bar area.We sat at the bar. As for food, we ordered-Good morning sunshine-Pernil RomeroFor drinks, we ordered-dark lemonade with gin added (adding alcohol to soda is  $5 extra)-new orange soda with mezcal addedDrinks were good, and if you like sweeter ones, dark lemonade was the way to go. New orange soda has ginger in it; so I think it might only please some group. Bartender was super nice to let us try different ones before deciding what we want.Food was good with good presentation.Glad they offered me hot sauce for the pernil Romero-- there was so much pulled pork and nothing else really inside the sandwich (as you can see from the photos) so it would've been hard to eat without the sauce and the drink. Had good experience but maybe it's best to come early to avoid wait time.",The Wild Son,4.5 star rating,$$,"American, (New),, Cocktail, Bars,, Breakfast, &, Brunch"
2,B1_oKZ7T1QqC_zA6gWRjFg,Caitlyn C.,4.0 star rating,"A few friends and stopped into the wild son randomly one night when the line for brass monkey was too long and we were so pleasantly surprised. The Wild Son is like a cozy little nook in the midst of an overly crowded and trendy area. They have a well curated menu. The cocktails are beautiful and unique and the bartenders are very creative. One of my friend has a lot of food allergies so he made her something special and it turned out great. They've also got a few wines and beers available. They will give a great pour too on a glass of wine :)  I will definitely be coming back here sometime for food as well, brunch menu looks great as does their evening menu. If the quality of the food is anything like the quality of the drinks and the service, I trust it'll be delicious.",The Wild Son,4.5 star rating,$$,"American, (New),, Cocktail, Bars,, Breakfast, &, Brunch"
3,-4I5xv-CsUgiz1s48Wz-0A,Kimberly T.,4.0 star rating,"Cute little brunch spot in Meatpacking, right by the Standard. It's very small with bar seating. I went at ~2 pm on a weekend with one other person and was seated relatively quickly.We got the Cracked Grain Porridge and the Buttermilk Pancakes, with the Burrata Tartine to start. The tartine was very good -- the burrata was really creamy and it had a nice honey drizzle on it. We also really enjoyed the porridge and the pancakes. Was a good brunch with tasty (even if not overly inventive) dishes. Great staple place to go to!",The Wild Son,4.5 star rating,$$,"American, (New),, Cocktail, Bars,, Breakfast, &, Brunch"
4,GYp64NDIEZxLyT0EOSVqIA,Kyra L.,5.0 star rating,"Was pleasantly surprised with The Wild Son. I ordered the Good Morning Sunshine- absolutely loved the crispy burnt just right bun along with the sunny side up egg, meat and avacado. I also ordered the ice latte- it was creamy and not too bitter. I didn't even need to add sugar to it. I loved the vibe of the restaurant, good music, friendly staff and artsy portraits hanging on the walls. Although the space is a bit tight, it's a perfect location for you and a friend to catch up at.I would def recommend.",The Wild Son,4.5 star rating,$$,"American, (New),, Cocktail, Bars,, Breakfast, &, Brunch"
5,a3QE4QFKAaMcMKw_TmXF7Q,Natasha P.,5.0 star rating,"Just the sweetest little breakfast spot somewhere under the High Line. Bar seating, and a tiny row of tables. Lots of greenery, cozy and casual, just enough natural sunshine. This would be the perfect spot on a rainy day for some hot coffee and brunch. Then afterwords you could take a nice stroll or buy yourself an unbirthday gift at the Chelsea Market. We ordered a green juice (super refreshing and rejuvenating) and split the New Morning breakfast sandwich. Soft scrambled eggs, roasted cauliflower and shishito peppers, pickled onions, a cilantro jalapeño yogurt sauce all on a soft baguette. Amazing!! It was so tasty we actually tried to recreate it at home twice. The combination of mind-blowing sandwich and the calmness of this place definitely made it one of the best breakfasts I've ever had.",The Wild Son,4.5 star rating,$$,"American, (New),, Cocktail, Bars,, Breakfast, &, Brunch"
6,3OL1nZ8E8RtKvOPquMAyJw,Gab G.,4.0 star rating,"I visited twice recently for brunch and while I had better service the second time, the food was great both times. I've tried:+ good morning sunshine sandwich+ pernil romero pork sandwich+ new morning sandwich+ burger and potatoes + grain and egg bowl+ vegan apple doughnut The doughnut was the only thing that didn't really speak to me. Everything else was delicious!",The Wild Son,4.5 star rating,$$,"American, (New),, Cocktail, Bars,, Breakfast, &, Brunch"
7,p8XGD8iobojuxueJhZOsvQ,Tara C.,4.0 star rating,"Brunchers gonna brunch! My friend and I arrived around 12:30pm on a Saturday for brunch. I think we actually expected way more of a longer wait than we were presented with. And of course this is a good thing... yes, I was super hungry at this point. The space is on the narrow and smaller side; bar on the right, seating primarimily on the left and a couple of tables in the front. I dig it, it's cozy. We chose to sit at the bar for a drink while we were waiting for our table to be ready. If you're awake enough & need/want some comic relief, eat at the bar & enjoy the convo with the bartender. About 20 minutes at the bar and our table is ready. We each ordered the bowls... grains, greens, protein, flavor, etc. - it's definitely sustainable for a meal. Add a little extra drizzle of hot sauce to your meal & you're good to go. Coffee was okay. Cocktails were pretty tasty. They put a spin on the Bloody. Give it a shot.",The Wild Son,4.5 star rating,$$,"American, (New),, Cocktail, Bars,, Breakfast, &, Brunch"
8,blso8mBhc_XKpGaoD3P8sw,Michael K.,5.0 star rating,"Went here recently for a coworkers birthday and we enjoyed our experience there! The restaurant is located on a quiet and not-so-obvious street in the meatpacking district by the High Line. It's very easy to miss this restaurant. When you enter, it's rather small with a few tables and bar stools to sit at. There is a bar in the restaurant in case you just want drinks.The food and service was pretty quick for lunch time despite the restaurant being a little crowded. My coworkers had buttermilk pancakes and a corn waffle. Although I didn't taste their meals, it looks very appetizing. I had the cauliflower sandwich (vegan). I wanted to try something different with unique ingredients and this was the perfect choice for me. It was delicious!The portion sizes are average for this area of the city. The prices are a little high but once again, this is Manhattan! For drinks, one of my coworkers had the mango turmeric drink and the other had the green juice. I had the Black Basil Palmer which I really enjoyed. I was intrigued by how many unique drinks they had.Can't wait to go back to try something new!",The Wild Son,4.5 star rating,$$,"American, (New),, Cocktail, Bars,, Breakfast, &, Brunch"
9,AI1rYT1Hu-sIvKxGL0jW_A,Emily J.,3.0 star rating,"Come for the food, not the service. Pro Tip: Come early like 10 AM early to avoid long lines. We sat at 10:20 am, ordered a drink and by 10:30 am placed our brunch order. We waited an hour before noticing our food hadn't reached our table but reached everyone else's. In that time, a waitress came by and said ""this is from the kitchen for while you wait for your food."" No apologies, no it'll be out soon. What did they give us? Potatoes with a side of sauce. By 11:45 we finally received our food. FINALLY. Egg Sandwich (Forgot to get the name of this one(: the highlight? The bread. Some sort of lightly toasted savory bread with a touch of sweetness. Eggs were cooked to a perfect scramble as well. Gordon Ramsay would have been impressed. Buttermilk pancakes with fresh berries: Presentation for this did NOT match that of the photos seen on Yelp. Luckily for them these pancakes are probably just as good as Clinton St baking company, if not better. Sweet, buttery and made to perfection. Also opted for a strawberry doughnut which by the way took longer than our food to come out. Didn't even get a chance to try it because i was so hungry, I became unhungry. Would I go back? Maybe if and when service improves.",The Wild Son,4.5 star rating,$$,"American, (New),, Cocktail, Bars,, Breakfast, &, Brunch"
