,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,_3KlXVIhrKd-LNFZ1dnc7g,Shane B.,4.0 star rating,"Been here twice. It's kind of run down but it's got this cozy feeling like you know you're going to get good old diner food. It's a bit dark inside too. I've had both lunch and breakfast. The burger was nothing really special and kind of bland. The breakfast was top notch. Both times the food came out super quick too, ready in just over 5 min. A little over priced for what you're getting but the portions are a nice size.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
1,Grwaubs8qsfvzPOO6z4vtQ,Sunny R.,4.0 star rating,"Great breakfast, quick and tasty. The prices are fair as well. Parking is difficult as you would expect in the heights but if you get there early it's not too bad.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
2,n9JGYGJ-cLe2FnZV_hgyjg,Renata H.,1.0 star rating,"Truly disappointing,  my husband and I came across this place and I wish I hadn't.  We came in and was told to just sit which is cool.  There was a booth that stated only 3 or more ppl and the other booth available was literally next to the bathroom.  We were eventually seated in the booth for 3ppl. The waiter left and for about 5 minutes we went in noticed.  An older woman came from behind me and asked "" what you drinking"" as if me seating here was annoying her. She got our drinks and the got who sat is initially must have remembered us and yelled what did we want to drink. I let her know it was being taken care of.  She came back gave us our drinks I ordered French toast eggs hard she abruptly corrected me as if my description was incorrect.  My husband ordered an omelet and he asked for home fries her attitude was nasty she barked they come with fried them and toast what else.  We waited 10 or more minutes for just that, granted there was only one cook not one time did she come back to tell us it'll be ready shortly. She spoke ill of her co-workers to other guest.  By far the worst service I've experienced here.  I can understand maybe the locals or the ppl who frequent like this type of attitude but if she realized according to her that she was too old to be doing this she needs to stop because the way she spoke to customers on the phone and treated us her waitressing days should have been over.  Oh and the food was drenched in grease I had a hair in my eggs , his cheese in his omelet wasn't melted but due to her nasty attitude I wasn't in the mood for more had I complained.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
3,p88Y7XY4Xl6E7K6P-1eq3g,Marilyn M.,4.0 star rating,Love this place. Very diner vibe. Everything I have ordered from breakfast to gyros have been great. I just took a star off since it should be open later as it is a diner.,Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
4,Ars7L1jfzj5etmTQtStkog,Nick V.,5.0 star rating,Some of the very best whole in the wall. The food is very delicious and you definitely  get way more bang for your buck compared to other places to eat. The service was impeccable. As soon as walked in they seated me right away. You have to try the Greek omelette with extra feta cheese. Soooo goooood.,Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
5,xtFtEUke7lCV3FE9M6tC8w,Sam S.,5.0 star rating,"Great that there is a diner in this part of town, great diner, and unlike most places in the area in that it still gives a lot of food lol.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
6,_VPHkj--TPXZB1-_B0Djwg,Simon K.,5.0 star rating,HIGHLY RECOMMEND THIS PLACE!  Went here after a night out and the food and service was amazing.    ! I got the gyro platter deluxe and the corn beef hash and the food was cooked to perfection.  The lamb was seasoned well and the side salad was soo fresh. The service was friendly and i felt like i was in my own house. The waitress and the cashier greeted me with a smile and made sure my hangover finished course smoothly. HIGHLY RECOMMEND THIS PLACE!!,Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
7,cZUXRcJ2scGvH3tlVyzyCA,Amy D.,5.0 star rating,"My husband got scrambled eggs and waffles and I had a burger and fries. It was all delicious, but the fries and homefries were UNBELIEVABLE. The ambiance was a little dated, but it was quaint and our server was wonderful. We're going back tomorrow on our way out of town. It was that good.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
8,Rzym9jm2l5h9_SzZlu46Xg,Lynn L.,4.0 star rating,"Very Jersey! Stopped in while visiting with family for a late breakfast. We had pancakes, home fries, toast, eggs, omelets, etc! The staff was very friendly and chatty. The pancakes were amazing! It's been a while since I've had a good pancake. The were fluffy and pillowy with a great flavor. Butter not even necessary! I got grilled toast instead of French toast. This raised some eyebrows and took some explaining, but in the end, they hooked it up. Everyone loved their omelets. No sweet tea for any southerners looking for a taste of home. Atmosphere was very casual and service was pretty quick. Definitely a diner style set up.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
9,yShxukam-KQWkqMQbhMYMg,J D.,4.0 star rating,"Needed a diner before taking train to Jets Game.  Yelp search yielded Tommy's as best choice.  It was worth going out of our way to enjoy the well above average egg dishes and pancakes.  Fast, reasonable, friendly.  What a nice place!",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
10,FTCzn8k84gJ1anVbyrnbAA,Andrew B.,1.0 star rating,"So gross. The bacon was discolored, the bread was cheap, and the pancakes were sad. This whole place is sad and desperately needs a facelift.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
11,5T0ZlFzC3fkmi_VKSISHLw,Scott W.,4.0 star rating,"I quite like this place. Every dish I've ordered's been solid--from the eggs, to the chicken salad; even the french fries don't disappoint. Friendly and mildly volatile atmosphere! A true Jersey City pre-the-gentrification gem. Hope they stick around; wish they were open later. Waitresses are very nice and not afraid to yell across the restaurant, which really authenticates the Tommy's experience.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
12,M_T60sK6kxniwu8cd7I7sA,Maria V.,3.0 star rating,"Small diner like restaurant. Food was mediocre, service was ok. Breakfast for 2 about $20 including tip for a vegetable omelette, rye toast and potatoes, and an order of pancakes with coffee. Street parking is a nightmare.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
13,URDkmpcTTcWmXg65owRBUQ,Kristine D.,4.0 star rating,"This is a great little diner spot! I'm embarrassed to say as a JC-native that this was my first time here. But I'm really glad I came. I ordered the turkey BLT wrap with fries and a slice of the chocolate cream pie. Everything was delicious! The wrap was slightly buttery from toasting it on the grill but it was still pretty dang awesome. Best of all, they weren't stingy with the turkey. The fries were really crispy and perfectly fried! And the chocolate cream pie tasted homemade! Sweet and creamy, but not cloying.My husband usually orders their cheeseburgers or the corned beef hash with eggs, toast and home fries. The burger is cooked well-done but not dry. It's tasty and filling. My husband is not a fan of home fries but I'm sure you can request French fries as a substitute if you're not into that either. The corned beef is really satisfying! It's fresh corned beef, not the canned stuff! My husband's only complaint is that they need to leave it on the griddle for a few minutes longer so there's some crispy bits in there.Maria, the woman who took care of us during my first meal there, was a sweetheart! Can't complain about the service. My husband and I couldn't but help notice that she knew everyone else in the diner. Through the whole meal, people either popped in off of Central just to say hello to her or left bidding Maria a good night or saying ""See you tomorrow Maria!"" I guess we all want to feel like Norm some of the time.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
14,n41702JeVsbLD6E1H2rq5w,Nicole H.,4.0 star rating,We ate breakfast here. Super fast service - no wait. Waitress no nonsense but great! Doesn't look like much from the outside but go in - its great. Breakfast very good. Crumb cake is great Too! Good pancakes.,Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
15,uyPaoENcsia1tFMV9EJxjQ,Emma S.,5.0 star rating,"Everything at Tommy's is good, the food. the staff, the atmosphere. The cream of turkey soup is excellant. The food is homemade, just like Mom's kitchen",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
16,4_g0llYmhocU5HLIXQXWwA,Angela S.,4.0 star rating,Delicious breakfast and amazing staff. Will come back to try diner some day with friends and my family. Nice place to sit and enjoy a good fresh meal,Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
17,FAVgOohffZkPmOC7MR8syg,Jessie V.,4.0 star rating,"Diners that deliver?? YES PLEASE!!Sometimes on a Saturday afternoon in the Heights, when it's cloudy and grey and you don't feel like putting real clothes on there are little miracles. That day Tommy's was my saving grace, bringing me a huge mushroom, onion, cheese omelette with perfectly cooked potatoes and whole wheat toast already buttered. It was a very large omelette and I'm surprised I ate the whole thing. A little on the drier side (hate runny omelettes) onions and mushrooms sautéed and folded into American cheese and egg. And how the potatoes were perfected salted and crunchy I don't know but I loved it. The other lazy person in the room ordered a grill cheese on rye with a side of bacon and I don't think I've ever seen him eat so fast. Nothing fancy about it but when you deliver food that is not soggy or cold and tastes like you were in the restaurant you get good points with me.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
18,shOABWl1Xy2ou2C9A4uk4Q,Bianca G.,5.0 star rating,I ordered breakfast from here yesterday and everything was perfect. We ordered corn beef hash with eggs over medium and home fries and a bacon egg and cheese on a roll. The portions are satisfying. Delivery was super fast which is a plus and when we got the food itWas still very hot. I will definitely be ordering from them again!,Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
19,bFdIVnDNo1Y7Rl3UJhw9Sg,Tor G.,1.0 star rating,"Went a few times, and every time we went: the bacon tasted like it'd been sitting on the grill for a week, the dishware was dirty (crumbs/grease left over), and the wait staff were openly fighting with each other or the kitchen! not to mention that the place looks like it hasn't been cleaned in many years...it's just gross, don't go there.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
20,_3KlXVIhrKd-LNFZ1dnc7g,Shane B.,4.0 star rating,"Been here twice. It's kind of run down but it's got this cozy feeling like you know you're going to get good old diner food. It's a bit dark inside too. I've had both lunch and breakfast. The burger was nothing really special and kind of bland. The breakfast was top notch. Both times the food came out super quick too, ready in just over 5 min. A little over priced for what you're getting but the portions are a nice size.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
21,Grwaubs8qsfvzPOO6z4vtQ,Sunny R.,4.0 star rating,"Great breakfast, quick and tasty. The prices are fair as well. Parking is difficult as you would expect in the heights but if you get there early it's not too bad.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
22,n9JGYGJ-cLe2FnZV_hgyjg,Renata H.,1.0 star rating,"Truly disappointing,  my husband and I came across this place and I wish I hadn't.  We came in and was told to just sit which is cool.  There was a booth that stated only 3 or more ppl and the other booth available was literally next to the bathroom.  We were eventually seated in the booth for 3ppl. The waiter left and for about 5 minutes we went in noticed.  An older woman came from behind me and asked "" what you drinking"" as if me seating here was annoying her. She got our drinks and the got who sat is initially must have remembered us and yelled what did we want to drink. I let her know it was being taken care of.  She came back gave us our drinks I ordered French toast eggs hard she abruptly corrected me as if my description was incorrect.  My husband ordered an omelet and he asked for home fries her attitude was nasty she barked they come with fried them and toast what else.  We waited 10 or more minutes for just that, granted there was only one cook not one time did she come back to tell us it'll be ready shortly. She spoke ill of her co-workers to other guest.  By far the worst service I've experienced here.  I can understand maybe the locals or the ppl who frequent like this type of attitude but if she realized according to her that she was too old to be doing this she needs to stop because the way she spoke to customers on the phone and treated us her waitressing days should have been over.  Oh and the food was drenched in grease I had a hair in my eggs , his cheese in his omelet wasn't melted but due to her nasty attitude I wasn't in the mood for more had I complained.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
23,p88Y7XY4Xl6E7K6P-1eq3g,Marilyn M.,4.0 star rating,Love this place. Very diner vibe. Everything I have ordered from breakfast to gyros have been great. I just took a star off since it should be open later as it is a diner.,Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
24,Ars7L1jfzj5etmTQtStkog,Nick V.,5.0 star rating,Some of the very best whole in the wall. The food is very delicious and you definitely  get way more bang for your buck compared to other places to eat. The service was impeccable. As soon as walked in they seated me right away. You have to try the Greek omelette with extra feta cheese. Soooo goooood.,Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
25,xtFtEUke7lCV3FE9M6tC8w,Sam S.,5.0 star rating,"Great that there is a diner in this part of town, great diner, and unlike most places in the area in that it still gives a lot of food lol.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
26,_VPHkj--TPXZB1-_B0Djwg,Simon K.,5.0 star rating,HIGHLY RECOMMEND THIS PLACE!  Went here after a night out and the food and service was amazing.    ! I got the gyro platter deluxe and the corn beef hash and the food was cooked to perfection.  The lamb was seasoned well and the side salad was soo fresh. The service was friendly and i felt like i was in my own house. The waitress and the cashier greeted me with a smile and made sure my hangover finished course smoothly. HIGHLY RECOMMEND THIS PLACE!!,Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
27,cZUXRcJ2scGvH3tlVyzyCA,Amy D.,5.0 star rating,"My husband got scrambled eggs and waffles and I had a burger and fries. It was all delicious, but the fries and homefries were UNBELIEVABLE. The ambiance was a little dated, but it was quaint and our server was wonderful. We're going back tomorrow on our way out of town. It was that good.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
28,Rzym9jm2l5h9_SzZlu46Xg,Lynn L.,4.0 star rating,"Very Jersey! Stopped in while visiting with family for a late breakfast. We had pancakes, home fries, toast, eggs, omelets, etc! The staff was very friendly and chatty. The pancakes were amazing! It's been a while since I've had a good pancake. The were fluffy and pillowy with a great flavor. Butter not even necessary! I got grilled toast instead of French toast. This raised some eyebrows and took some explaining, but in the end, they hooked it up. Everyone loved their omelets. No sweet tea for any southerners looking for a taste of home. Atmosphere was very casual and service was pretty quick. Definitely a diner style set up.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
29,yShxukam-KQWkqMQbhMYMg,J D.,4.0 star rating,"Needed a diner before taking train to Jets Game.  Yelp search yielded Tommy's as best choice.  It was worth going out of our way to enjoy the well above average egg dishes and pancakes.  Fast, reasonable, friendly.  What a nice place!",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
30,FTCzn8k84gJ1anVbyrnbAA,Andrew B.,1.0 star rating,"So gross. The bacon was discolored, the bread was cheap, and the pancakes were sad. This whole place is sad and desperately needs a facelift.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
31,5T0ZlFzC3fkmi_VKSISHLw,Scott W.,4.0 star rating,"I quite like this place. Every dish I've ordered's been solid--from the eggs, to the chicken salad; even the french fries don't disappoint. Friendly and mildly volatile atmosphere! A true Jersey City pre-the-gentrification gem. Hope they stick around; wish they were open later. Waitresses are very nice and not afraid to yell across the restaurant, which really authenticates the Tommy's experience.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
32,M_T60sK6kxniwu8cd7I7sA,Maria V.,3.0 star rating,"Small diner like restaurant. Food was mediocre, service was ok. Breakfast for 2 about $20 including tip for a vegetable omelette, rye toast and potatoes, and an order of pancakes with coffee. Street parking is a nightmare.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
33,URDkmpcTTcWmXg65owRBUQ,Kristine D.,4.0 star rating,"This is a great little diner spot! I'm embarrassed to say as a JC-native that this was my first time here. But I'm really glad I came. I ordered the turkey BLT wrap with fries and a slice of the chocolate cream pie. Everything was delicious! The wrap was slightly buttery from toasting it on the grill but it was still pretty dang awesome. Best of all, they weren't stingy with the turkey. The fries were really crispy and perfectly fried! And the chocolate cream pie tasted homemade! Sweet and creamy, but not cloying.My husband usually orders their cheeseburgers or the corned beef hash with eggs, toast and home fries. The burger is cooked well-done but not dry. It's tasty and filling. My husband is not a fan of home fries but I'm sure you can request French fries as a substitute if you're not into that either. The corned beef is really satisfying! It's fresh corned beef, not the canned stuff! My husband's only complaint is that they need to leave it on the griddle for a few minutes longer so there's some crispy bits in there.Maria, the woman who took care of us during my first meal there, was a sweetheart! Can't complain about the service. My husband and I couldn't but help notice that she knew everyone else in the diner. Through the whole meal, people either popped in off of Central just to say hello to her or left bidding Maria a good night or saying ""See you tomorrow Maria!"" I guess we all want to feel like Norm some of the time.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
34,n41702JeVsbLD6E1H2rq5w,Nicole H.,4.0 star rating,We ate breakfast here. Super fast service - no wait. Waitress no nonsense but great! Doesn't look like much from the outside but go in - its great. Breakfast very good. Crumb cake is great Too! Good pancakes.,Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
35,uyPaoENcsia1tFMV9EJxjQ,Emma S.,5.0 star rating,"Everything at Tommy's is good, the food. the staff, the atmosphere. The cream of turkey soup is excellant. The food is homemade, just like Mom's kitchen",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
36,4_g0llYmhocU5HLIXQXWwA,Angela S.,4.0 star rating,Delicious breakfast and amazing staff. Will come back to try diner some day with friends and my family. Nice place to sit and enjoy a good fresh meal,Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
37,FAVgOohffZkPmOC7MR8syg,Jessie V.,4.0 star rating,"Diners that deliver?? YES PLEASE!!Sometimes on a Saturday afternoon in the Heights, when it's cloudy and grey and you don't feel like putting real clothes on there are little miracles. That day Tommy's was my saving grace, bringing me a huge mushroom, onion, cheese omelette with perfectly cooked potatoes and whole wheat toast already buttered. It was a very large omelette and I'm surprised I ate the whole thing. A little on the drier side (hate runny omelettes) onions and mushrooms sautéed and folded into American cheese and egg. And how the potatoes were perfected salted and crunchy I don't know but I loved it. The other lazy person in the room ordered a grill cheese on rye with a side of bacon and I don't think I've ever seen him eat so fast. Nothing fancy about it but when you deliver food that is not soggy or cold and tastes like you were in the restaurant you get good points with me.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
38,shOABWl1Xy2ou2C9A4uk4Q,Bianca G.,5.0 star rating,I ordered breakfast from here yesterday and everything was perfect. We ordered corn beef hash with eggs over medium and home fries and a bacon egg and cheese on a roll. The portions are satisfying. Delivery was super fast which is a plus and when we got the food itWas still very hot. I will definitely be ordering from them again!,Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
39,bFdIVnDNo1Y7Rl3UJhw9Sg,Tor G.,1.0 star rating,"Went a few times, and every time we went: the bacon tasted like it'd been sitting on the grill for a week, the dishware was dirty (crumbs/grease left over), and the wait staff were openly fighting with each other or the kitchen! not to mention that the place looks like it hasn't been cleaned in many years...it's just gross, don't go there.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
40,Mf6x-59JhUL5RfezhwuRlw,Lewis T.,1.0 star rating,"When the cook is swatting flies while cooking your food, and thinks nothing is wrong with that, you know the type of place you're in.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
41,7ODuIrcWOrqUNsMRf88CEg,Newton P.,5.0 star rating,"Have been here on a few occasions and they have great food, gracious service and (most importantly when you're hungry!) quick turnaround on your order. Really recommend the patty melt. Gets everything right about the diner experience--a must in New Jersey.",Tommy’s Family Restaurant,4.0 star rating,$$,"Breakfast, &, Brunch,, Diners,, Greek"
