,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,mG8sRucgmoiMMpraCvWzEw,Vijar K.,5.0 star rating,"Best pizzeria in Hoboken! If you're looking for a specialty pizza, come by Tony's. My go-to menu items are the Grandma Patti & Buffalo Chicken pizzas, Ole & Bad Leroy sandwiches, and any of the jumbo wings. I'm a regular and have tried most of the menu items, including Tony's Taco Tuesday Pizza. The lunch specials are great during the weekdays if you work or live in the neighborhood too. The owner, Mike, is very friendly and his staff is accommodating to everyone. This place is packed on weeknights and weekends!!",Tony Boloney’s,3.5 star rating,$$,"Salad,, Pizza,, Sandwiches"
1,ivP6tYBquiIsT334Be-E2w,Marg R.,3.0 star rating,"They definitely got the social media hype food going for them. It is what got me to travel to Jersey for some pizza.Taco Pizza: Great idea. I mean 2 of the greatest foods ever, but I was a bit disappointed when I tried it. The pizza itself was soggy from all the guacamole and sauces from the tacos.  Not really edible.  The tacos themselves were OK as well. Combined, it just didn't work for me. Maybe because I was sober I was disappointed. OK, it was definitely because I was sober. It was $8 for the slice. Ramen Pizza: So I came for ramen pizza. On the website and social media, they made it seem like they would have it everyday for a limited time. I was bummed to find out they weren't serving it that day. Like seriously. I went with one of their specialty slices. It was pretty good. It was around $8 for a slice and a drink.Overall, the normal pizza was good, but not worth the trek for and a bit pricey.  I'm glad I got to try their taco pizza, but I probably will never go back.",Tony Boloney’s,3.5 star rating,$$,"Salad,, Pizza,, Sandwiches"
2,OLwqP0VuZ8aF5dS9N1AqRA,Brendalynne F.,3.0 star rating,"I was here last weekend to grab a slice of the super Facebook-popular pizza bagel - only available in the Hoboken location on Fridays. Here's the website description of it: ""Massive pizza bagel pizza. Everything bagel, vodka sauce, smoked pepperoni, fresh mozzarella. Vegetarian available too."" Sounds pretty delicious!However, I was a bit underwhelmed. Maybe the pizza was out for too long, but the bagel base of my slice tasted stale which is a shame because the bagel base is reason for all the hype and uniqueness. The toppings, however, were very flavorful. If those exact toppings were on a regular dough (not a bagel) base, I think it'd taste fantastic.The slice was $8, but it's very thick! I could barely fit it into my mouth lol. So for what it's worth, the portion justifies the price. I probably won't come back for the pizza bagel, but I'll definitely be back one day for the Truffle motz sticks and the taco pizza!",Tony Boloney’s,3.5 star rating,$$,"Salad,, Pizza,, Sandwiches"
3,4kdSh2lkelfHpXOQAPF4rQ,Michelle C.,2.0 star rating,"Taco pizza video is all over the internet and I've been wanting to try it for some time. For my husband's birthday, I pre-ordered taco pizza on Wednesday for Friday 7:30 delivery. Boy, it was a mistake... so what went wrong?1. The order arrived 50 mins late. I called them at 7:50 and the girl said the delivery person should arrive any minute. I called back at 8:05 and 8:10 and both times, no one picked up and I was on hold for 5 mins both times! The order finally came at 8:20.2. Taco pizza came in a regular pizza box so the tacos were all squashed. 3. The pizza came cold so the tacos were soggy.... Overall I am so extremely disappointed. Why allow your customers to pre-order food if you cannot meet the delivery time? All can be forgiven if the food is good. The taco pizza was boxed in the short regular pizza box which caused the tacos to be squished AND the taco pizza sat out for too long causing it to be soggy!Side note: We also two large order of fries. Their fries are really good but don't order for delivery. They were so soggy that no one touched them.",Tony Boloney’s,3.5 star rating,$$,"Salad,, Pizza,, Sandwiches"
4,A5hWJFiJ7Y9a0egG3l_XQg,Andrew F.,5.0 star rating,Made up for a bad delivery with a giftcard! Owner made sure we were taken care of and havent bad any issues since.,Tony Boloney’s,3.5 star rating,$$,"Salad,, Pizza,, Sandwiches"
5,b922d8e2bXPC3nI_pyOMTg,Jillian B.,4.0 star rating,"Tony Boloney's has some really great to-go mozzarella that is perfect for jazzing up any homemade italian meal or simply serving on a platter with some cured meats. We love their truffle mutz in particular but they have a rotating selection of flavors that are all great in their own way. Definitely check out their station if you can make it to the Hoboken Mutz Fest (yes, that is a real thing).Tony Boloney's pizza is also great, but my recommendation is to have the slices in-house and eat them while they are hot and fresh. Every good slice I've had of this pizza has been right out of the oven or from a freshly delivered pie. Every mediocre slice has been one that I've either ordered a-la-carte for delivery (room temp for whatever reason) or from the Hoboken Pizza Festival (room temp as well) (yes, another real festival). My very favorite pie is the moonshiner, which is a vodka sauce pie with smoked mozzarella, asiago, and basil - seriously fantastic. I highly recommend ordering this pie in if you're having some friends over and what to try something other than a classic cheese pie. Sometimes you just want a good cheese slice, and this one is truly just a cut above the rest.",Tony Boloney’s,3.5 star rating,$$,"Salad,, Pizza,, Sandwiches"
6,zb80ttxiMpMLbICN3XYDxw,Rosa R.,1.0 star rating,"Super disappointed. If you're not from NY or Jersey and don't know good pizza, you might like it. But real pizza lovers- stay away.  The sauce didn't taste good -way too sweet. The Mac n cheese pizza needed more cheese and some salt. The General TSO pizza was gross and kinda soggy. Every slice we had was a disappointment. Sadly their instagram page had us hyped. Can't believe we wasted all that $$$ on bad pizza.",Tony Boloney’s,3.5 star rating,$$,"Salad,, Pizza,, Sandwiches"
7,NJ4Kyt_uwJh_3zP2n8S1cg,Vick V.,5.0 star rating,"A lotta bad reviews but they use good ingredients in their different slices. Masala slice, ramen slice and Mac and cheese slice were fantastic. This order was for pickup. I see delivery is trash based on the reviews",Tony Boloney’s,3.5 star rating,$$,"Salad,, Pizza,, Sandwiches"
8,Ox6NXoHS5rFQ3FA_-oKdaQ,Christina B.,4.0 star rating,"Tony boloney's offers premium, uniquely mixed sandwiches, pizza, fries, Mozzarella sticks and wings. The food is a little pricey but worth it.",Tony Boloney’s,3.5 star rating,$$,"Salad,, Pizza,, Sandwiches"
9,VwBhYY1d5tIxcaPallkXFw,Sarah J.,4.0 star rating,"The second I saw a picture of the taco pizza I knew I had to give Tony Boloney's a visit. I stopped by last Tuesday with a few friends to take on the popular pie and was so happy I did. I was convinced that I could easily finish my 1/4 of the pie, but beware, this meal is no easy feat. Some things to remember when you make your way down to Tony Boloney's 1. The taco pizza is only available on Tuesday. 2. They do offer just slices, but if you opt for a whole pie it is a bit pricey, $80.3. The restaurant is small and seating is limited. It looked like the majority of business was take out. 4. They have a huge menu with everything from specialty pizzas, sandwiches and salads. 5. If you're not from Hoboken, and driving in, parking in this area is tough. 6. I found the best method to be eating the tacos first and then the pizza. Trying to do it all at once can get very messy. 7. Enjoy! Looking forward to checking out Tony Boloney's again in the future and trying out some other speciality pies.",Tony Boloney’s,3.5 star rating,$$,"Salad,, Pizza,, Sandwiches"
