,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,Gnj3X_Zs99KS0AIVeYQVGA,Jerry L.,4.0 star rating,"A great brunch spot to meet with a group ie. family or friends coming into visit you. Plenty of space but be prepared to wait for 15-30 during the weekends, so take out is quicker, live their big easy Benedict $10.79 with a side of , have a great view of the waterfront and nyc skyline if you get a window seat. Reliable staff and they accept cash/card.",Turning Point of Hoboken,3.5 star rating,$$,"Breakfast, &, Brunch"
1,seiQSja721EZ4CTr8sKU-Q,Alexandra M.,2.0 star rating,"I wrote a below average review for this place a while back and the restaurant was nice enough to respond and send me coupons for full meals for two people, so I decided to give it another shot with my roommate.  I was disappointed again.The service just isn't good and is actually somehow awkward.  We were told we had less than an hour wait but they would call when a table was ready for us, so we decided to go grab a drink at Pier 13 in the meantime.  An hour passed by and nothing, so we decided to go check.  When we got there and told the hostess, she was looking at the list and it turned out multiple people behind us on the list had already been seated!  What the heck.  My roommate asked the hostess why that happened and she didn't know what to say.  And it still took some time to be seated after that even though I spotted multiple open tables (not reserved).The food was pretty good but really not anything special, and again was not hot.  I really don't get how this place gets crowded, there are FAR better places in Hoboken (Zacks, Court Street, Onieals).",Turning Point of Hoboken,3.5 star rating,$$,"Breakfast, &, Brunch"
2,r0wlz7bxU3RE2SMFl7YstA,Steven P.,1.0 star rating,"If your goal is to get good food do not go to turning point. If you order from Seamless you will likely never get your order. If you do, it will be late, soggy and cold. Staff is rude and forgetful. If the North end of Hoboken wasn't such a desert of options, basic competition would have driven this glorified Diner out of business years ago.",Turning Point of Hoboken,3.5 star rating,$$,"Breakfast, &, Brunch"
3,P7_7zOnYp1gUv4HUqqWGMw,Tommaso M.,3.0 star rating,"I am giving 3 stars here only because of the breathtaking view of uptown Manhattan.Luckily, we arrived for brunch before the crowd started showing up, so we got seated right away in a cozy room with the fireplace lit. We ordered our food but the waitress forgot about my French toasts. After a wait she brought my plate, and I wasn't even able to finish it due to the incredibly high sweetness. The texture of the French toasts was flabby and the coffee was just ok. My friends tried the egg Benedict and were not amused by the taste of it. Overall, food was nothing special, but the real problem was the service. Not only they forgot my plate (it may happen) but also they started rushing us because a lot of people were waiting and the last thing I want a waitress to do on a Saturday morning brunch is to rush me to leave the place so they can serve more people.",Turning Point of Hoboken,3.5 star rating,$$,"Breakfast, &, Brunch"
4,9nmv_yLvXGYI8biBnAIevg,Pearl W.,4.0 star rating,My boyfriend and I were looking for somewhere to eat in Hoboken on a Sunday morning and this place came into my radar. Parking looks like it could be a hassle but we were able to find one lucky spot around the corner. We waited about fifteen minutes to be seated and it was well worth the wait. ( They will not sit large parties until the whole group is there) We were able to get one of the window booths which had a great view of the water and NY. The menu items all looked delicious. I really enjoyed the yogurt parfait along with my chocolate chip pancakes. The owner came by to say hello which was very nice of her. My boyfriend really enjoyed their speciality coffee. Would definitely be back! Had a great experience!,Turning Point of Hoboken,3.5 star rating,$$,"Breakfast, &, Brunch"
5,00quLPbDvkSEyDRdFVzL-A,Carla M.,5.0 star rating,"The Turning Point is a classic breakfast spot in Hoboken!The service is extremely good! As soon as you walk in there are hosts ready to seat you and serve you. The two times that I visited in this past week there were plenty of people here, but also plenty of space to be seated immediately.We ordered the huevos rancheros without the chorizo, sour cream, and the tortilla. Very good!We also ordered the lemon blueberry pancakes, I would say these are okayyyyyy. Not the best pancakes you'll ever have, but definitely worth eating when you're craving pancakes.",Turning Point of Hoboken,3.5 star rating,$$,"Breakfast, &, Brunch"
6,52CodR7RN33rItvzAvvUow,Lorena S.,1.0 star rating,"I really wanted to like this place because I had heard good stuff about it. And after waiting 45 minutes (when I was told 20min) I thought, man this place HAS to be good. Well...First: we were sat down at a table that wasn't wiped properly. It had syrup stuck to it. Our utensils and cups were filthy. I requested clean ones and got the same dirty ones back. I had to take a cup with water and cleanse them myself. Yeah, you read that right. Food: I had a latte which tasted like watered down brown water, followed by the Popeye skillet. The skillet was drowning in what seemed like water from the boiled spinach? I seriously don't know but my potatoes were soggy; it was also salty. My daughter had the Wilber skillet, which she said was fine except salty as well and a large OJ which fine. I did not enjoy my food at all.Service: our waiter looked and behaved like he couldn't be bothered to serve one more person. He took forever to provide the ""clean"" utensils and to bring us our check.Bathrooms: dirty and disgusting!I was very disappointed and have NO desire to ever come here again.",Turning Point of Hoboken,3.5 star rating,$$,"Breakfast, &, Brunch"
7,L-Zh96fzySs5G4S1-N7iqA,Edwin B.,5.0 star rating,"Good for brunch, get there early or you will be waiting a long time, this place gets packed quit on the weekends.",Turning Point of Hoboken,3.5 star rating,$$,"Breakfast, &, Brunch"
8,DqClbrVC-qM4MWyGJieEhw,Karen C.,4.0 star rating,The food is really good and the portions are large. They have some different combinations than the standard breakfast dishes. Like the breakfast nachos - delish! We went around 10am on Saturday and we didn't have to wait for seating but service was slow.,Turning Point of Hoboken,3.5 star rating,$$,"Breakfast, &, Brunch"
9,S34h7HULcD-7GjySuvWp1A,David John A.,4.0 star rating,"In the mood for some slammin', jammin', smoked hammin'  breakfast and delicious french press coffee? Come to Turning Point in Hoboken! Visited this establishment recently with my favorite dining partner and it was still good as ever. The decor is very beach influenced and reminds me of being ""down the shore"" that is Jersey shore, bunch of nautical themed trinkets fill the waiting and dining area.The food is satisfying and they have some unique combinations to traditional breakfast dishes. I played it pretty safe this time around and got the wilbur special which is a skillet consisting of crushed bacon, potatoes, avocado, diced tomatoes, Monterrey Jack cheese with eggs (any style). Also, it comes with an English muffin and a small fruit bowl! For the price of $8.49 you really can't find a better deal in town. Can't wait to come back again and step out of my comfort zone, maybe with the OMG French toast! (sweet mascarpone, sugar walnuts, caramel drizzle and chopped Virginia smoked bacon)",Turning Point of Hoboken,3.5 star rating,$$,"Breakfast, &, Brunch"
10,nMnMsRYr6NYjEcGybbnA4Q,Rughda B.,2.0 star rating,"Came for brunch on New Years Day with a group of friends. We came during the height of the rush and they didn't have anything left on the menu. That was only the beginning and the most excusable out of all of my problems dining here this day. The waiter seemed embarrassed to inform us first, that almost all of the drinks we ordered were out. We settled instead for pitchers of orange juice, which he warned, would probably run out soon as well. He would keep disappearing to find out answers to our basic menu related questions, such as ""Is the mushroom soup vegetarian?"" It was at this point we realized that the cups on the table were dirty, stained with lip marks. We asked for new cups, and instead of taking our orders and then getting the cups, he disappeared to retrieve cups and made us wait to take our orders down.After finally taking our food orders he returned about ten minutes later to inform us that they were out of chicken completely. We reordered, he read back our orders, we confirmed that he had it down right, and he went off to send it in to the kitchen. We waited for about 25 minutes, and he returned to once again, read back our orders and make sure he had everything right. He asked if he forgot anything. At this point, we were over the brunch completely, and only stayed because we had been there for almost two hours already and hadn't yet gotten our food. A little bit after this, the food starting coming out. They sent me the wrong order, they put bacon on two orders that asked for it without, and they missed one order completely. While waiting for them to get it together, we asked for a side of syrup that was forgotten about until reminded. The missed order didnt get to the table until everyone was done eating, and all 4 of my friends that ordered the waffles said they came out cold.At the end, without us saying anything (I guess they realized they messed up at some point) they ducked off $-9.25 from the bill, and the lowest price meal was $-10.25. The food itself was alright. I've had better at local diners.Not worth the trip.",Turning Point of Hoboken,3.5 star rating,$$,"Breakfast, &, Brunch"
11,3liKPNYr8i_6lvrOVGCO6Q,Scott C.,1.0 star rating,"Utter incompetence.  I used to think that the management at this location simply didn't train the employees; I now believe that the employees are affirmatively trained on how to provide the WORST customer service possible in any given situation.After a long hiatus, I decided to give this place another try -- not as a sit-down, dine-in customer, but merely as someone ordering caffeinated beverage to go from the to-go counter.  BIG MISTAKE.I was on my way to work on a Sunday morning, and the plan was to take the ferry immediately after receiving my latte.  Because I knew how poor the service (even behind the drink counter) tends to be, I made sure to allot more than enough time to order, pay, receive my drink, and catch my ferry without breaking a sweat. (For those unfamiliar, the ferry leaves from a location about 60 yards away from the restaurant.)    I enter Turning Point with 8 minutes until my scheduled ferry.  By the 6-minute mark, I've placed my order and the woman behind the counter has swiped and returned my credit card.  Significantly, my order is for a medium latte that requires only the pushing of a single button to fill up a paper cup -- this isn't Starbucks, there's no expectation that drinks be made fresh.  However, as soon as the employee hands me back my credit card, she walks away from the to-go counter without saying a word.          We still have 5 minutes until the ferry, the boat is nowhere in sight, and there's plenty of staff buzzing about the to-go area, so I figure that even Turning Point can't screw this one up.  WRONG. 4 minutes.  The other employee standing behind the counter, who purposefully avoids eye contact with all customers while he answers the phone, has also now vacated the to-go area.  A line grows behind me, full of comments such as ""I don't know why I keep coming back here"" and ""This place is the worst.""  But those commenters are the lucky ones, as they haven't already placed their orders and paid their money.  I, on the other hand, have already paid, and am being held hostage by a business that repeatedly shows its indifference toward its customers.  3 minutes, and I can now see the ferry come into full view.  It has not yet docked in Hoboken, so there's still a decent chance that I can make my ferry ... but, of course, that would require a Turning Point employee to actually show up at the to-go station and press the single button necessary to provide me with the drink that I ordered three minutes earlier.2 minutes, and although a handful of Turning Point employees have passed by, no one has thought to pay any attention to the customers at the to-go station.  Finally, I say something to a server, motion to the ferry, which is now about to dock, and let her know that I placed my order more than four minutes earlier, and that the to-go station has since been abandoned by all Turning Point employees either willing or able to push the single button that stands between me and making the ferry that, with even a modicum of customer service, I would have been outside waiting for 3 minutes earlier.  The waitress that I speak with has the appearance of a dear in the headlights, says nothing, and scurries away toward the dining room.1 minute, and passengers are boarding the ferry.  An employee who I recognize as someone who has worked at this location for a while (might be a manager) finally arrives at the to-go/beverage station, asks me what I ordered, and then pushes the button to pour my beverage.  As the ferry pulls away outside, I tell her about the above, and that I've now missed the ferry that should have been a sure thing, and her only response is: Did you already pay for your drink? I say yes, and she hands me the beverage and says ""Here you go,"" moving on to the next customer, who for some reason waited behind me for all of this time.",Turning Point of Hoboken,3.5 star rating,$$,"Breakfast, &, Brunch"
12,uTAeM7MnnxIDT5cAmxOdkA,Grace L.,4.0 star rating,"Went here for brunch. I got eggs Benedetto - basically eggs Benedict in ciabatta and my friend got huevos rancheros. He asked for bacon added and the forgot it so brought it on the side, only complaints are bacon was burnt to a crisp with both orders, and the decaf iced coffee. Very sensitive to caffeine and I'm jittery writing this right now! Overall it was good food for the price.",Turning Point of Hoboken,3.5 star rating,$$,"Breakfast, &, Brunch"
13,q0nKO5LHaXTXE4LSiXDEGw,Anuja K.,4.0 star rating,"Nice brunch place right on the water front. Theh take call ahead reservations which is very convenient. The portions are very generous and only go on an empty stomach.The food does take some time to come but it is well made. We got chocolate chip pancakes (which were good), blueberry pancakes, the mexican breakfast bowls, healthy veggie fritata (i loved the way they baked it on the pita bread), eggs benedict and avocado toast.They did add sausage to my bowl but replaced it pretty quickly. The view is nice but currently has been hampered by the construction. The coffee was average, the sugar sticks were cute and nicely thought out.",Turning Point of Hoboken,3.5 star rating,$$,"Breakfast, &, Brunch"
14,FniXpErdQGfzxG4B-74dRw,Samantha D.,5.0 star rating,"Thoroughly enjoyed my first experience at Turning Point. I had my parents visiting and could not pick a place for breakfast/lunch as in my opinion, many of the restaurants in Hoboken had limited selections and taste specific items. Luckily I found Turning Point and was drawn to all the pictures of the food!I saw from other reviews that there can be a wait but we called ahead and put our name on the list. By the time we walked there our table was ready. I got the chicken and waffles me they were amazing... like actually. My parents both got omelette/egg options and I know they enjoyed theirs as well. Many items to pick from and each dish looks colorful and pretty. Definitely will be going back to try more!Also Marco was our waiter and he was awesome, very nice and friendly.",Turning Point of Hoboken,3.5 star rating,$$,"Breakfast, &, Brunch"
