,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,pfz8KZYgjtocqVZz5GtQiQ,Laura V.,5.0 star rating,"I walk past Tutta Pesca every day and finally decided to make a reservation to check it out after only hearing positive things. Reservation:*I suggest calling at least a week and a half in advance for a reservation on the weekend.* I called on a Wednesday for a Saturday evening reservation and they had ONLY 1 slot left (way later time than preferred). The party before us was running late so they had to push back our reservation but Tutta Pesca was nice enough to call to let us know so we wouldn't have to wait around!Ambience: Very cozy! We were seated on the second floor dining room (the first floor is the fish market) and was told the third level dining room only holds 14 people.Food:A-M-A-Z-I-N-G. The fish is FRESH. All of the dishes we got were filled with tons of flavor! I loved their Pan Seared Large Scallops Over Fresh Crunchy Garlic Bread appetizer. The sauce was to die for. My family also really enjoyed the ceviche off the specials menu. For entrees we got: Pan Seared Salmon In a Miso Glaze, Octopus, Shrimp, Scallops and Calamari Over Black Squid Ink Linguini Pasta, and a red snapper and orecchiette entree off their specials menu. Service: Our server and all the staff was extremely friendly!",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
1,gg2OwNgTCwONTVB1eXyeDg,Michelle F.,1.0 star rating,"If I could give it less stars, I would. They book their reservations so tight between seatings and they try to turn tables over so fast they are willing to sacrifice your experience there and give you agita.  I had made a reservation in advance and nothing was mentioned at that point that we had limited time to eat. They had called me the afternoon of the reservation to confirm and told me, in an unapologetic manner, that I only have an hour and 10 min at the table.  I thought that was rude yet I tried to accommodate by getting there just before our reservation. We brought 1 bottle of wine to drink, which they stored somewhere else, NOT within reach. The waiter did not take our order immediately (15 min passed), then the appetizer took about 20 min to come out, 10 min to eat our app, then 5 mins later the dinners came out, we took about 20 min to eat our dinner, forks down the waiter took about another 10 min to come back to the table and check on us.  We asked for a dessert menu and to finish the rest of the wine we brought as our drink was NOT being topped off over the course of the dinner.  He didn't come back for another 10 min to take our dessert order and bring the rest of our wine.  We passed on dessert and paid the bill immediately, another 5 min passed.  I had just finished my drink, which I had drank quickly (I would had preferred to enjoy over the course of the meal) and my guest had two sips left when all of a sudden the OWNER came over to the table, did NOT ask how our evening was going or how the food was, but instead PUT HIS HAND ON THE TABLE right in front of me and said without apology ""I NEED THIS TABLE, YOU HAVE TO LEAVE."" RUDE RUDE RUDE!!!We left immediately.  It was very upsetting and embarrassing how he talked to us in front of everyone especially when we were respectful in their wishes to go as fast as we could. I seriously got agita right after that experience.I do NOT blame the waiter, he was very nice and very busy working multiple tables on a Friday night. We had no problem with the timing of the meal and the service. We did our part to eat and check out with the flow of the service. If the owner wants to rush people off the table, then he needs to hire more cooks so the food comes out even faster and hire more waiters to attend the tables quicker. He should even check on the customers himself and top off their drinks, not to mention he should learn better manners and speak to his patrons nicely.    I am a local resident and had brought family and visitors there for dinner several times but after this incident, I will NEVER go back.  This is how they treat their loyal customers.If you want to enjoy your food, I recommend skipping this place. There are many other restaurants of the same quality in the vicinity.",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
2,tKp_JlhCKyFRDTO9Namn3g,Jorge M.,4.0 star rating,"Good fresh ingredients, but limited cooking skills. It would be great if they decided to go full italian style and treat the seafood more carefully.Their fish counter is really good though!",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
3,L5ZlWC7hMEeZy-PJqnU0dw,X Z.,5.0 star rating,"Love this place! The best pasta I've ever had. Seafood is fresh, quality is good. I had pasta with black squid ink linguini. It has octopus, shrimp, scallop inside. The sauce tastes good with little spicy. Appetizer is pan seared large scallops with garlic bread. I really like the sauce. For the environment, the restaurant is soooooo small. You have to make reservation. They called me about 4 hours ago to confirm my reservation, and I also got text msg from yelp as reminder. The waiter is really nice. He explained the menu and the sauce they used for the pasta and our appetizer. The place is easy to find. I would say that it is little bit expensive considering the location and space inside the restaurant. But it's worth it. I highly recommend this place and am thinking about visiting again for the Oyster next time.",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
4,b922d8e2bXPC3nI_pyOMTg,Jillian B.,5.0 star rating,"My boyfriend and I had such a special dinner this evening at Tutta Pesca. This cozy restaurant has such friendly and knowledgeable staff who made us feel right at home. Our waitress lead us towards the grilled octopus, full branzino, and the frutti del mare over black pepper linguini, which we absolutely loved. The seafood was so fresh and flavorful. I am so glad we were able to snag a reservation - be sure to call in advance, since there are only a few tables! The food is truly fantastic and worth the effort.",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
5,uJGzH74Ctt3JRkzSMXV93Q,Allison G.,4.0 star rating,"It's more of 4.5****. Came here twice and was pretty impressed with the food! For appetizers, we had the stuffed avocado, prosciutto wrapped shrimp, and lobster bisque soup. The stuffed avocado was my favorite! So fresh and surprisingly filling. I tried the scrod fish for my entree, however, it was a bit too cheesy for my liking. I had the leftovers the next day for lunch though. I really like the atmosphere. It's dim and intimate. You really need to make reservations ahead of time or you'd have to dine early at 5:30pm or 9:00pm. Their byob policy sure makes this place popular! Service could have been better but they were quite busy. All in al, is definitely be back!",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
6,QXmiDiWdRfzu_jiz0CSVBw,Aaron W.,4.0 star rating,"First of all, the food was awesome!  The fish was super fresh and everything was cooked perfectly.  You can't really go wrong with any kind of fish you choose.  The pastas were great as well.  My family celebrated my mom's brithday there.  We got a varaitey of dishes and everyone raved about their dishes.  We also go the grilled octopus for an appetizer that was very good.Our server was super nice.  She was very helpful with the menu and was just to a delight as she served us.  Sadly, the lost star is over the managment.  For example, they have wine chiller bucket stands.  They told us to be careful because they can fall.  Guess what?  It fell.  Another table bumped it and it fell.  We asked how many times this happens and they said all the time.  We asked why don't they get rid of them and he was not happy.  He disregarded what we said and walked away.  GET RID OF THE FALLING ICE BUCKETS!  Seems simple?  It is a big deal because this happened mid meal and disrupted two tables.  We had to get out of the way in a very small restaraunt.  Otherwise, I loved the place.",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
7,5aZX8bTiD0k9vR60SG588Q,Alison C.,3.0 star rating,"3.5-starsI had stopped into Tutta Pesca's curbside market shortly after they had opened, and had subsequently heard rave reviews about the cozy restaurant located on the two floors about the shop.  I finally had the chance to make it there for dinner last night.  I was running late when I went to meet my brother and cousins, and apparently, they had been warned by the manager that they typically only hold tables for two hours, but that they would graciously grant us extra time that evening.    I was taken right up to their table, and the server gave me about 2 minutes to get settled before approaching to ask if we were ready to order.  We mentioned that I had just arrived and needed more time.  Apparently, he had tried to take their order several times before I had got there, and he also asked another two times after until we finally agreed.  While our server was very nice, he was certainly persistent...well, when trying to collect our order and payment at least.  When we needed him most - to refill our white wine glasses from the bottle chilling across the tiny room - he had to be summoned. In addition to the regular menu, there was a lengthy list of specials.  My brother and I decided to share the Beet Salad special to start.  The delicious red and golden beets were topped with lightly dressed mixed greens, goat cheese, and toasted, shaved almonds.  The fresh ingredients and robust vinaigrette elevated this traditional salad over others I had tried in the past.  In addition to the beets, I ordered the Simply Grilled Wild Salmon as my entrée.  The substantial filet had an excellent crispy skin and was perfectly salted and seasoned.  However, it had been a bit overcooked, leaving it slightly dry in the center.  The fish was served with my choice of sauce, for which I selected the Champagne variety on the side.  Dipping each forkful into the creamy, white sauce definitely helped add flavor.  I also had to choose my potato preparation, and I had selected the roasted version over mashed or fried.  These speared potato slices were so crusty that they really seemed as if they were just thick fries, rather than the roasted chunks I had pictured.  The accompanying Vegetables du Jour were a tasty blend of spaghetti squash, zucchini, and carrot ribbons that were intertwined into a neat little mound.  Another awkward moment to mention was when we were approached by the server to tell my brother that his requested Halibut special was unavailable.  Apparently, another table had already snatched up the final piece, leaving my brother to replace the fish in his preparation with salmon.  A few minutes after he revised had his order, the server had reappeared to say that he had been mistaken and that my brother was the lucky one who had actually received the remaining filet.  He was thrilled, though later told me that his piece had also been flavorful, but overcooked.  In addition, he was also shocked by the extra crunchy potatoes.In the end, we found the food to be flavorful, but that it could have been better executed, especially given a cost of over $30 for most of the main dishes.  The service also needed to be streamlined.  However, the fish was obviously of a high-quality and very well-presented.  I would definitely like to give the restaurant another shot, but would cross my fingers for better service to bring my rating up from 3.5-stars.",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
8,YJ3sFc0jndj8AoH0_TWhRg,Evan R.,5.0 star rating,One of the best meals and experiences I've had in Hoboken.  Very welcoming atmosphere.,Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
9,hyJQZG9FLFH7kAztS411zA,Lauren D.,3.0 star rating,"Since Tutta Pesca has opened, I have heard nothing but good things about it.  So, I finally made a reservation for my husband and I to check it out.My first reaction on entering was a little negative.  Our table wasn't quite ready and there is absolutely nowhere to stand and wait.  The space is TIGHT and if someone is coming down the stairs there's absolutely nowhere to go. (It was about 10 degrees out, so that wasn't an option either.)Once we got up to the dining area though, I was pleasantly surprised. The space is really intimate and cozy.  I liked it - a great place for a date night.We ordered the calamari for appetizer and for dinner, I had a Halibut special with spinach and potatoes and my husband had another fish special - I can't remember what.  The fish was clearly fresh and it was good, but it wasn't as upscale as I expected it to be.  It was more of a Bonefish Grill experience than a fine dining experience -- if that makes sense.  It was good, it just wasn't what I expected.I will say that it's the kind of place that, on a whim I could see myself feeling like seafood and maybe stopping in.  But, for as difficult as it is to get a reservation, and as expensive as it was, it didn't quite live up to expectation.",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
10,s6TnINODnAwhHk0e_QXayg,Arshi K.,5.0 star rating,"Update: No more lunch specials! Bummed!!This has got to be my new favorite place in Hoboken! The interior is classy, the folks running it are nice,  fish is ALWAYS fresh and they do great lunch specials - what's not to like?Get the fish sandwich or salmon burger - you won't be disappointed. If you're looking for a bigger portion size, the sandwich is the way to go - crisp fresh flounder, flaky in every bite with thin crispy fries...perfection. Also enjoyed the Shrimp Chowder with corn - very subtle flavors and minced shrimp with sweet corn made for a great winter broth. Can't wait to stop by for dinner!",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
11,fwfljlQlhF2LdocYJUGb-g,Grace K.,2.0 star rating,"They charge you a sharing fee $10!I had a dinner with my friends at Tutta Pesca. I was excited to check out this place after reading good reviews from yelp. But I am disappointed in restaurant's policy and/or management's policy.We, three people, wanted to try some appetizers so decided to order two entrees and one or two appetizers.When we order server said if we share entrees we need to pay sharing fee $10. We asked if we order more appetizers they can waive the fee. The server asked to manager and said NO. We have to order three entrees.This place is pricy and 2 appetizers (average one appetizer: $15-$20) combined are more expensive than entrees. We were so disappointed for no flexibility and attitude of the management. The server explained because they are a small restaurant they made this policy. We ended up order 3 entrees ""2 a whole branzino, and 1 red snapper"" and dessert later. Their food is good especially fish and atmosphere is cozy. However their rules has to be modified.",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
12,NSo_mck17OnIwMcmd4Bkgw,Chrissy S.,5.0 star rating,"OMG! I know that's cliche but I'm being serious!!! Stopped here for a quick bite even though they were booked solid! We promised the host Charbeo we'd be out in 45 minutes! We were generously given a  seat by the window where Andrew took excellent care of us! Not to brag (honestly) but I've traveled the world, Italy three times and I must tell you the food was OFF THE CHARTS!!!!!  Super particular about my pasta with clam sauce and theirs KILLED IT!! Just the right amount of an olive /garlic sauce with an delicious twist of added prosciutto which as we know... makes everything just a little bit better! My cousin had the scallops with risotto, her ""go to"" dish and said it was the best she has EVER had!  Etiquette says a lady always leaves something on her plate but we were had  difficulty! I can't wait until the next time I'm in Manhattan as I won't hesitate to take the trip over to Hoboken and pray for a table at this restaurant! Hats off to the chef for his talent and hats off to the owner for finding an incredible crew!!p.s. don't forget to check out the seafood market on the street entrance! p.s.s you can bring your own wine or have it delivered from a market down the street!",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
13,EdBHWFSioWCGNmHo5mu0cw,Nicole G.,2.0 star rating,"One star for byob and another for a stuffed dish that I loved but has been removed from the menu, ha. I love that this is family owned but the service is horrendous; the daughters attitude is erratic on more than one occasion. We were also served raw shrimp at our last experience.",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
14,8W11pS3ZwGdAvMoszHhMug,Jaime O.,5.0 star rating,"Another amazing meal with great food and great service! The scallops and garlic toast appetizer is excellent! I also had the Brazilian lobster tail scampi with garlic mashed potatoes, delicious! I was a bit disappointed to see that they cut a page out of the menu, however I am confident that they will bring back those fish options in due time!",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
15,O7ma9Z2ATFv92xTCK_mmaA,Ashlee S.,5.0 star rating,"Tutta Pesca has easily become mine and my boyfriend's favorite spot to go out to dinner in Hoboken! If you are looking for a reservation and the only time left is 9PM-10PM, take it! We have been here three times now and it already feels like home. Not only is the food and atmosphere top notch, but so is the staff. Every time we come here, they make us feel like we've known them for years. Although every staff member is great, Fernando is out go-to guy! If you're a Hobokenite and you haven't given this gem a chance, you're REALLY missing out. And if you do go, some of our favorites to order are the Stuffed Shrimp Wrapped in Prosciutto, Grilled Octopus, the Sesame Crusted Tuna, Squid Ink Pasta, and of course Zuppa di Pesca. Although these are all standard items on the menu, DO NOT look over their specials as they have some really great ones! Last weekends' Lobster special (photo here) was out of this world! Thank you Chef for making us feel as though we are right in your hometown back in Italy. We most certainly will be back, many times.",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
16,CjaGoV02ZaB1dcJGq_vlYg,Alyse K.,5.0 star rating,"Cozy atmosphere, bring your own wine, and family owned and run! You can feel the family business vibes and they only serve the freshest of the fresh seafood! My boyfriend and I went here for Valentine's Day and had the best experience with amazing food. We will definitely be coming back! The absolute best seafood in Hoboken by far.",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
17,Y59HQNazSLR1EUMUmMOaFg,Greg W.,4.0 star rating,"So have eaten here twice now.  Great place marred only by the super high expectations created by the first visit.  Went in early January and was really impressed with the place.  The food is great and the prices were amazing.  It was disorganized but all can be forgiven with that food and those prices.Fast forward to this past weekend and while the food is still amazing, the prices were jacked up pretty hard.  I'm not saying the prices are too high for the quality here, just it was a little disappointing to see things up 50% or more from the last visit.  Also, they charge a corking fee but don't have a liquor license... not cool guys!  If you're paying for a license and people want to bring in wine, then charge away but if you're not paying for a license we shouldn't be paying for a corkage fee.The higher prices also make the complete disorganization a bit less charming.  It was 50+ minutes from the time we ordered dinner until the food actually came out.  When it came out it was amazing but jeez, you've only got like 14 total tables.  Still, don't get me wrong, I really like this place and look forward to going back.  Just be ready to deal with the quirkiness of it.",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
18,p9-Frjnn1ZxAdh9qJ1mlmA,Laura S.,5.0 star rating,"Had a truly exceptional birthday dinner at Tutta! My boyfriend and I enjoyed prosciutto, crab stuffed shrimp as a starter and it was the best! For entrees we ordered the saffron scallop risotto and crab stuffed flounder. The seafood tasted fresh and was cooked to perfection. Our waiter was great and just when we thought our dining experience could not be better - we received dessert on the house and they sang happy birthday! In my opinion, this was one of the best meals I've had in Hoboken.Can't wait to go back!",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
19,RECpkJbBspGstPDPWfBRXQ,Dennis J.,4.0 star rating,"Tasty seafood and value for the area.I stopped by as a party of two on a Saturday evening with a reservation, and it was fairly busy as it's not a large space. Their dishes tend to vary with the availability with the fish, and if they run out, you won't be able to order it, which also attests to the freshness of the fish they cook. We ordered the stuffed shrimp and the calamari as starters, both of which were quite fresh and well-prepared, particularly the former. For my entree, I ordered the salmon and penne, and the fish was very fresh and came with a hefty portion of pasta in a nicely flavored sauce. We neglected to bring our own bottle, but they give you a menu and phone number of a local winery that delivers very affordable wine within 15 minutes of your order, which is extremely useful. The service was generally helpful and the ambiance nice; it's definitely a place to try to come eat at while in the area.",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
20,pfz8KZYgjtocqVZz5GtQiQ,Laura V.,5.0 star rating,"I walk past Tutta Pesca every day and finally decided to make a reservation to check it out after only hearing positive things. Reservation:*I suggest calling at least a week and a half in advance for a reservation on the weekend.* I called on a Wednesday for a Saturday evening reservation and they had ONLY 1 slot left (way later time than preferred). The party before us was running late so they had to push back our reservation but Tutta Pesca was nice enough to call to let us know so we wouldn't have to wait around!Ambience: Very cozy! We were seated on the second floor dining room (the first floor is the fish market) and was told the third level dining room only holds 14 people.Food:A-M-A-Z-I-N-G. The fish is FRESH. All of the dishes we got were filled with tons of flavor! I loved their Pan Seared Large Scallops Over Fresh Crunchy Garlic Bread appetizer. The sauce was to die for. My family also really enjoyed the ceviche off the specials menu. For entrees we got: Pan Seared Salmon In a Miso Glaze, Octopus, Shrimp, Scallops and Calamari Over Black Squid Ink Linguini Pasta, and a red snapper and orecchiette entree off their specials menu. Service: Our server and all the staff was extremely friendly!",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
21,gg2OwNgTCwONTVB1eXyeDg,Michelle F.,1.0 star rating,"If I could give it less stars, I would. They book their reservations so tight between seatings and they try to turn tables over so fast they are willing to sacrifice your experience there and give you agita.  I had made a reservation in advance and nothing was mentioned at that point that we had limited time to eat. They had called me the afternoon of the reservation to confirm and told me, in an unapologetic manner, that I only have an hour and 10 min at the table.  I thought that was rude yet I tried to accommodate by getting there just before our reservation. We brought 1 bottle of wine to drink, which they stored somewhere else, NOT within reach. The waiter did not take our order immediately (15 min passed), then the appetizer took about 20 min to come out, 10 min to eat our app, then 5 mins later the dinners came out, we took about 20 min to eat our dinner, forks down the waiter took about another 10 min to come back to the table and check on us.  We asked for a dessert menu and to finish the rest of the wine we brought as our drink was NOT being topped off over the course of the dinner.  He didn't come back for another 10 min to take our dessert order and bring the rest of our wine.  We passed on dessert and paid the bill immediately, another 5 min passed.  I had just finished my drink, which I had drank quickly (I would had preferred to enjoy over the course of the meal) and my guest had two sips left when all of a sudden the OWNER came over to the table, did NOT ask how our evening was going or how the food was, but instead PUT HIS HAND ON THE TABLE right in front of me and said without apology ""I NEED THIS TABLE, YOU HAVE TO LEAVE."" RUDE RUDE RUDE!!!We left immediately.  It was very upsetting and embarrassing how he talked to us in front of everyone especially when we were respectful in their wishes to go as fast as we could. I seriously got agita right after that experience.I do NOT blame the waiter, he was very nice and very busy working multiple tables on a Friday night. We had no problem with the timing of the meal and the service. We did our part to eat and check out with the flow of the service. If the owner wants to rush people off the table, then he needs to hire more cooks so the food comes out even faster and hire more waiters to attend the tables quicker. He should even check on the customers himself and top off their drinks, not to mention he should learn better manners and speak to his patrons nicely.    I am a local resident and had brought family and visitors there for dinner several times but after this incident, I will NEVER go back.  This is how they treat their loyal customers.If you want to enjoy your food, I recommend skipping this place. There are many other restaurants of the same quality in the vicinity.",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
22,tKp_JlhCKyFRDTO9Namn3g,Jorge M.,4.0 star rating,"Good fresh ingredients, but limited cooking skills. It would be great if they decided to go full italian style and treat the seafood more carefully.Their fish counter is really good though!",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
23,L5ZlWC7hMEeZy-PJqnU0dw,X Z.,5.0 star rating,"Love this place! The best pasta I've ever had. Seafood is fresh, quality is good. I had pasta with black squid ink linguini. It has octopus, shrimp, scallop inside. The sauce tastes good with little spicy. Appetizer is pan seared large scallops with garlic bread. I really like the sauce. For the environment, the restaurant is soooooo small. You have to make reservation. They called me about 4 hours ago to confirm my reservation, and I also got text msg from yelp as reminder. The waiter is really nice. He explained the menu and the sauce they used for the pasta and our appetizer. The place is easy to find. I would say that it is little bit expensive considering the location and space inside the restaurant. But it's worth it. I highly recommend this place and am thinking about visiting again for the Oyster next time.",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
24,b922d8e2bXPC3nI_pyOMTg,Jillian B.,5.0 star rating,"My boyfriend and I had such a special dinner this evening at Tutta Pesca. This cozy restaurant has such friendly and knowledgeable staff who made us feel right at home. Our waitress lead us towards the grilled octopus, full branzino, and the frutti del mare over black pepper linguini, which we absolutely loved. The seafood was so fresh and flavorful. I am so glad we were able to snag a reservation - be sure to call in advance, since there are only a few tables! The food is truly fantastic and worth the effort.",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
25,uJGzH74Ctt3JRkzSMXV93Q,Allison G.,4.0 star rating,"It's more of 4.5****. Came here twice and was pretty impressed with the food! For appetizers, we had the stuffed avocado, prosciutto wrapped shrimp, and lobster bisque soup. The stuffed avocado was my favorite! So fresh and surprisingly filling. I tried the scrod fish for my entree, however, it was a bit too cheesy for my liking. I had the leftovers the next day for lunch though. I really like the atmosphere. It's dim and intimate. You really need to make reservations ahead of time or you'd have to dine early at 5:30pm or 9:00pm. Their byob policy sure makes this place popular! Service could have been better but they were quite busy. All in al, is definitely be back!",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
26,QXmiDiWdRfzu_jiz0CSVBw,Aaron W.,4.0 star rating,"First of all, the food was awesome!  The fish was super fresh and everything was cooked perfectly.  You can't really go wrong with any kind of fish you choose.  The pastas were great as well.  My family celebrated my mom's brithday there.  We got a varaitey of dishes and everyone raved about their dishes.  We also go the grilled octopus for an appetizer that was very good.Our server was super nice.  She was very helpful with the menu and was just to a delight as she served us.  Sadly, the lost star is over the managment.  For example, they have wine chiller bucket stands.  They told us to be careful because they can fall.  Guess what?  It fell.  Another table bumped it and it fell.  We asked how many times this happens and they said all the time.  We asked why don't they get rid of them and he was not happy.  He disregarded what we said and walked away.  GET RID OF THE FALLING ICE BUCKETS!  Seems simple?  It is a big deal because this happened mid meal and disrupted two tables.  We had to get out of the way in a very small restaraunt.  Otherwise, I loved the place.",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
27,5aZX8bTiD0k9vR60SG588Q,Alison C.,3.0 star rating,"3.5-starsI had stopped into Tutta Pesca's curbside market shortly after they had opened, and had subsequently heard rave reviews about the cozy restaurant located on the two floors about the shop.  I finally had the chance to make it there for dinner last night.  I was running late when I went to meet my brother and cousins, and apparently, they had been warned by the manager that they typically only hold tables for two hours, but that they would graciously grant us extra time that evening.    I was taken right up to their table, and the server gave me about 2 minutes to get settled before approaching to ask if we were ready to order.  We mentioned that I had just arrived and needed more time.  Apparently, he had tried to take their order several times before I had got there, and he also asked another two times after until we finally agreed.  While our server was very nice, he was certainly persistent...well, when trying to collect our order and payment at least.  When we needed him most - to refill our white wine glasses from the bottle chilling across the tiny room - he had to be summoned. In addition to the regular menu, there was a lengthy list of specials.  My brother and I decided to share the Beet Salad special to start.  The delicious red and golden beets were topped with lightly dressed mixed greens, goat cheese, and toasted, shaved almonds.  The fresh ingredients and robust vinaigrette elevated this traditional salad over others I had tried in the past.  In addition to the beets, I ordered the Simply Grilled Wild Salmon as my entrée.  The substantial filet had an excellent crispy skin and was perfectly salted and seasoned.  However, it had been a bit overcooked, leaving it slightly dry in the center.  The fish was served with my choice of sauce, for which I selected the Champagne variety on the side.  Dipping each forkful into the creamy, white sauce definitely helped add flavor.  I also had to choose my potato preparation, and I had selected the roasted version over mashed or fried.  These speared potato slices were so crusty that they really seemed as if they were just thick fries, rather than the roasted chunks I had pictured.  The accompanying Vegetables du Jour were a tasty blend of spaghetti squash, zucchini, and carrot ribbons that were intertwined into a neat little mound.  Another awkward moment to mention was when we were approached by the server to tell my brother that his requested Halibut special was unavailable.  Apparently, another table had already snatched up the final piece, leaving my brother to replace the fish in his preparation with salmon.  A few minutes after he revised had his order, the server had reappeared to say that he had been mistaken and that my brother was the lucky one who had actually received the remaining filet.  He was thrilled, though later told me that his piece had also been flavorful, but overcooked.  In addition, he was also shocked by the extra crunchy potatoes.In the end, we found the food to be flavorful, but that it could have been better executed, especially given a cost of over $30 for most of the main dishes.  The service also needed to be streamlined.  However, the fish was obviously of a high-quality and very well-presented.  I would definitely like to give the restaurant another shot, but would cross my fingers for better service to bring my rating up from 3.5-stars.",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
28,YJ3sFc0jndj8AoH0_TWhRg,Evan R.,5.0 star rating,One of the best meals and experiences I've had in Hoboken.  Very welcoming atmosphere.,Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
29,hyJQZG9FLFH7kAztS411zA,Lauren D.,3.0 star rating,"Since Tutta Pesca has opened, I have heard nothing but good things about it.  So, I finally made a reservation for my husband and I to check it out.My first reaction on entering was a little negative.  Our table wasn't quite ready and there is absolutely nowhere to stand and wait.  The space is TIGHT and if someone is coming down the stairs there's absolutely nowhere to go. (It was about 10 degrees out, so that wasn't an option either.)Once we got up to the dining area though, I was pleasantly surprised. The space is really intimate and cozy.  I liked it - a great place for a date night.We ordered the calamari for appetizer and for dinner, I had a Halibut special with spinach and potatoes and my husband had another fish special - I can't remember what.  The fish was clearly fresh and it was good, but it wasn't as upscale as I expected it to be.  It was more of a Bonefish Grill experience than a fine dining experience -- if that makes sense.  It was good, it just wasn't what I expected.I will say that it's the kind of place that, on a whim I could see myself feeling like seafood and maybe stopping in.  But, for as difficult as it is to get a reservation, and as expensive as it was, it didn't quite live up to expectation.",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
30,s6TnINODnAwhHk0e_QXayg,Arshi K.,5.0 star rating,"Update: No more lunch specials! Bummed!!This has got to be my new favorite place in Hoboken! The interior is classy, the folks running it are nice,  fish is ALWAYS fresh and they do great lunch specials - what's not to like?Get the fish sandwich or salmon burger - you won't be disappointed. If you're looking for a bigger portion size, the sandwich is the way to go - crisp fresh flounder, flaky in every bite with thin crispy fries...perfection. Also enjoyed the Shrimp Chowder with corn - very subtle flavors and minced shrimp with sweet corn made for a great winter broth. Can't wait to stop by for dinner!",Tutta Pesca,4.5 star rating,$$$,"Seafood,, Italian"
