,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,aVjHSqHKnt4KuXOZAc0BMQ,Anissa C.,5.0 star rating,"I stumbled upon this restaurant a few weeks ago, when I came with friends for a night cap. I was impressed when I discovered that their bar program was so sophisticated. Beer, cocktails, and wine. All are on point! They had Bordeaux!!!! Bordeaux!!!! My favorite red wine! Please share in my excitement. The last time I had Bordeaux was over the Summer. When I was there last week, I ordered a glass of Côtes du Rhône--Another delicious full-bodied red, perfect for the chilly weather.Union is a small, chic, and intimate establishment. The staff is very kind and knowledgable about their menu. I highly recommend their brussel sprouts and jalapeño cauliflower. I had to catch myself, because I was complaining about their portion sizes, but they're actually fine. I'm just a greedy American LOLI hear their brunch is great. I'll have to stop by sometime!",Union Bar & Kitchen,4.0 star rating,$$,"American, (New),, Bars,, Breakfast, &, Brunch"
1,7R4S6DFxUKpqyxlPIeNyDQ,Vivian K.,4.0 star rating,"I had the chance to make a reservation for 3 people last minute (the night before actually) for a boozy brunch on Easter Sunday at 11:30am. This place is definitely a very trendy and hip place for young people, offering a great price for food and drinks. Overall, the food and the booze were great - fairly portioned dishes and generous amount of prosecco for the mimosa's. One thing I was a bit disappointed in was that we had to relocate to the bar. So the way that boozy brunch works at Union Bar and Kitchen is that you have 1.5 hours to have unlimited booze plus a main dish. Although I completely understand that the unlimited flow of booze was for max 1.5 hours (which I also believe is more than enough), we were not done with our final jug of mimosa when the unlimited flow of booze was up and our waitress asked us to move to the bar to finish it. She mentioned that there were a lot of people at the door waiting for their tables and that we had to give our table up to give to the next round of customers. I understand there was another round of customers coming in for their reservations, but when we relocated to the bar and saw that they put other guests at the table we sat at, there were still at least a few tables vacant (even until we finished our jug). This was the only thing that really disappointed me as the bar area seated a few people who were eating as well, while we were squished in the corner, not being able to sit comfortably.",Union Bar & Kitchen,4.0 star rating,$$,"American, (New),, Bars,, Breakfast, &, Brunch"
2,qGXcq6uOHyxV78PrFYfWiA,Nicholas C.,3.0 star rating,"I had the chance to visit Union Bar & Kitchen for an Easter brunch with friends this past weekend. It was a good experience overall, but there definitely were somethings that could have made it better. My only advice is to make a reservation! Our group had one, but there were several parties who were deterred after hearing that the wait was over an hour. Don't be them!Our reservation was for 2:45 PM on a Sunday afternoon, which was only so since the majority of other time slots had already been booked for that specific Sunday. They seat only when the entire party is present, so be sure that everyone is there a few minutes beforehand, since the bottomless also starts at the time of your reservation.All of us opted in for the bottomless brunch option, which is $33 per person. Its also preferred that you pay cash for the brunch, but your also able to pay for it on one sole card if you'd like. I appreciate that they give you this options since most brunch places I've been to are strict ""cash only"" establishments here in the city. As for the drinks themselves you can choose from the standard mimosas or bloody mary's, but they also have bellini's which is a nice addition. I was able to try the mimosa and bellini and all I'll say is that they definitely pack a punch (in a good way).When it came time to order the food I ended up going with the breakfast burrito ($16 for the al la carte option) with a side of twice friend chili dusted french fries. I'm giving this review three starts because of the quality of this dish. The food was alright but definitely lacked some flavor and fell apart after I took my first bite. I know bottomless brunch venue's aren't really well known for their food in most cases, but it seemed like they really didn't try here. Also, the addition of some more exciting food choices would be appreciated as well.Regardless, the service was great here! Our server was extremely attentive and kept the drinks going. She also informed us when are time was running out when it came to the drinks which was appreciated.Overall this is pretty much a standard bottomless brunch option here in the city. You'll definitely leave with a buzz, but you may also leave disappointed with that you just ate.",Union Bar & Kitchen,4.0 star rating,$$,"American, (New),, Bars,, Breakfast, &, Brunch"
3,UH02nMnJsnDrwiW2m74hfQ,Courtney K.,4.0 star rating,"Bottom Line: Trendy and hip with great food but super loud.My husband and I ended up at Union Bar & Kitchen because it had great reviews on Yelp and it was close to our hotel.  We got there about 12:30pm on a Sunday and we were lucky to be able to get two seats at the bar.  We didn't have a reservation and the place was packed. Given that, I definitely recommend a reservation.This was our last hurrah in NYC before catching our train so we went big!  I ordered ""Custer's Last Stack"" and my husband got the Chicken and Waffles.   The Chicken and Waffles were good but Custer's Last Stack is the most amazing brunch dish I've ever seen!  It tasted good too but was certainly too much for me to eat.  I would describe it like this: - A tower of breakfast goodness with alternating sweets and meats- The top level is four pieces of chorizo.- Next is the Nutella and strawberries grilled breakfast sandwich, which for me was the best part.- Then there were two thick pieces of Applewood bacon draped on the bottom layer.- The bottom layer was a banana, peanut butter and caramel French toast sandwich.- All of this was stacked on a plate dusted with powdered sugar and drizzled with maple syrup. Sitting at the bar was great because we received awesome service from our bar tender. Also, it was nice to sit close to my husband so we could hear each other.  (Plus, he's my husband and we like to be close.) I have to say, this is the loudest restaurant I've ever been in!   Seriously.  Hard surfaces + 1990s pop/hip-hop + bottomless mimosas + large groups of millennials = Super loud! I have bionic hearing so others might not find it to b as noisy I did but I am sure many others will agree that the brunch is delicious.",Union Bar & Kitchen,4.0 star rating,$$,"American, (New),, Bars,, Breakfast, &, Brunch"
4,wyLXyWQaBJYNYh9vPxDxUA,Ashley A.,4.0 star rating,"A great atmosphere and fun staff, I will be returning! I came for brunch and we had a table right along the doors. There is a casual cool ambiance with the white subway tiles, dark grout, beautiful art work, and cool wood tables. The Belgian waffle with blueberries and bananas was filing and the eggs Benedict with salmon was well made. I definitely recommend the Belgian waffles but the waffles and chicken and avocado toast which are also on the menu looked more appetizing.",Union Bar & Kitchen,4.0 star rating,$$,"American, (New),, Bars,, Breakfast, &, Brunch"
5,paeCcy1H7acPzqLkFFHe-w,Katie P.,5.0 star rating,"A+ experience. Walked in with a friend on a busy night without a reservation and were greeted by the friendliest host ever. He said a couple didn't show for their reservation so he sat us right away. We had excellent service and a delicious dinner all around. I went with fish tacos which were excellent, but hot!! Be sure you're okay with spice before ordering. The atmosphere is cozy and I was beyond impressed with how welcoming the entire staff was.",Union Bar & Kitchen,4.0 star rating,$$,"American, (New),, Bars,, Breakfast, &, Brunch"
6,7xH8lM61U73yOnFiAGAHCg,Linda C.,3.0 star rating,"Came here for brunch with my friends birthday. The food was not bad, I ordered the chicken & waffles which tasted like the chicken was dipped in soy sauce and fried. It was delicious but wish it was stated on the menu. One of my friend ordered the avotoast which was spicy! Good but spicy My friend order the morning after and it sounds better than it taste and it has an Asian fusion flair to the dish. Ordered the boozy brunch with offers either bloodys, mimosas or Bellini. Ordered the mimosas and Bellini which tasted weird. I don't know just the after taste was weird but prob the fruit purée or juice was artificial. Overall, the customer service was not bad even they forgot our truffle Mac & lcheese.",Union Bar & Kitchen,4.0 star rating,$$,"American, (New),, Bars,, Breakfast, &, Brunch"
7,PvXt1YTax4PMXWNQOhjqAQ,Priti K.,3.0 star rating,"Brunch review. I know the brunch price with bottomless is really great for Manhattan, but the food was really disappointing. The bottomless bottles keep coming. They don't shame you and even though there's a time limit there was no one waiting after us, so they let us stay for hours until we were ready to leave and really crunk.The food, however, is another story. I got the huevos rancheros. Everything was totally mediocre. Presentation so flat, that I was like...this is my meal? The SLICE of cheese they used wasn't even melted. Super disappointing. Come here for the bottomless and stay for the bottomless.",Union Bar & Kitchen,4.0 star rating,$$,"American, (New),, Bars,, Breakfast, &, Brunch"
8,aJuba00vKZBjfGT2vWQZXA,Hannah K.,4.0 star rating,"Came for the bottomless brunch special which is a STEAL. You have your choice of a egg/main dish along with mixing and matching bloody mary's, mimosas, and bellinis for an hour and a half at $33. As for service, our waiter was absolutely amazing and made sure that our glass and carafes were always full. He came to us before we needed him for anything - totally on point.As for food, not great but not bad either. Let me just put it this way, if you're coming here for brunch, it's for the bottomless brunch drinks, not the food.If you decide to come, be sure to make a reservation (doesn't have to be for a large party). And note that it will get packed (and loud).",Union Bar & Kitchen,4.0 star rating,$$,"American, (New),, Bars,, Breakfast, &, Brunch"
9,VKExvrbodN8fF6SPd2O7nA,Gail K.,5.0 star rating,"We came here for Sunday brunch to celebrate my best friend's birthday and we had a group of about 15 people. The staff was very friendly and helpful, especially for us having such a big group. Our waiter was extremely attentive and constantly checked on us to see if we needed anything.We got the bottomless brunch (of course) which was only $33 for unlimited mimosas, bloody mary's, and bellini's PLUS an entree from the ""mains"" or ""eggs"" section of the menu, which is pretty much half of the menu and you have plenty to choose from. My fiancé and I are from Orlando and we were so impressed with this price because typically brunch in NYC is much more expensive, but this was a typical price for bottomless brunch where we're from.I got the breakfast sandwich (bacon, egg, and smoked gouda cheese) and my fiancé got the chicken and waffles. The sandwich was amazing but definitely hard to eat as a sandwich because it's huge. The chicken and waffles were delicious -- the waffles were so fluffy and soft and the breading on the chicken was very crispy and seasoned well. Make sure to get the french fries with your meal (they're perfectly crispy and have a little spice to them)! Also just to add to their customer service, when I was first trying to eat my breakfast sandwich I dropped an entire piece of bacon on the floor (and yes, I love my bacon and was so sad about this), and so I asked our waiter if I could get another piece and he came from the kitchen with one piece of bacon on a plate for me. I was so surprised because they had really good bacon and I was expecting to get a ""no"", but luckily, they brought me some more. Big thank you to Union Bar & Kitchen for that! Overall, we were so happy with Union Bar & Kitchen. The food, service, and atmosphere was great. It's a perfect brunch spot, but I definitely suggest making a reservation ahead of time because it was packed when we were there.",Union Bar & Kitchen,4.0 star rating,$$,"American, (New),, Bars,, Breakfast, &, Brunch"
