,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,YrMMPp9EtiOT7dJpufYcDw,Chloe K.,5.0 star rating,"The food and atmosphere are amazing. The wait staff and chef were attentive. Sophisticated menu in a stark modernist setting. Go for an early dinner when it's quieter inside.Taste was sensational on every dish.It's right next to the High Line so if you have visitors in town, you should take them to Untitled before or after walking around.Extraordinary stop and a must on your list while in NYC.",Untitled,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
1,cZmCfR7BFDE6293rTJo8xg,Maya N.,4.0 star rating,"I'm currently working through a long list of places I've eaten at over the past 3 months, so forgive me for the delayed review. I ate at Untitled with a group of friends on January 20, 2018 for brunch. As a group we ordered:The Fried Fish Lettuce WrapsGilled CarrotsCharred CauliflowerFried Chicken and Biscuits (unsure if this is still on the menu)French ToastThe food was excellent BUT CAVEAT EMPTOR: this place is very pricey and the portions are very small.",Untitled,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
2,QjVRu5Lqhf4XyAA9-6qtuQ,Jill M.,4.0 star rating,"I felt compelled to leave a review due to the fact that our waitress was so great. Natalia was super accommodating, friendly and efficient.Untitled is obviously super convenient if you're tired after walking around the museum so A+ for convenience and A+ for service. Most of the peeps at my table ordered the Untitled burger which was delicious and came with a side of vegetable chips (I think that's what they were).  Here's the thing though. It's a bit excessive at $22 and it was a bit smaller than a regular-sized burger. So be forewarned - the location is ideal, the food is delicious and the service is great. But I do think the prices are really way too steep, even by NYC standards.",Untitled,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
3,pz3Ulbuk7ZiUUbT7oFzmpA,Lori L.,2.0 star rating,"I hardly spend any time on Yelp these days, since I've migrated to a different platform, so I'll keep this short and sweet. Come to Untitled for: Itty bitty portions at gargantuan prices.Let me caveat this review by also noting: I've lived in NYC for almost six years now and dined across the full spectrum of restaurants - so I'm not naive when it comes to NYC prices. What I will say, however, is that it is preposterous to list a dish third-to-last on a full menu of dishes, place a $17 price tag on it, and present it as a dish that is essentially one fried egg, a few pieces of diced bacon, and several spoonfuls of potato. Yes, I am referring to their Butterball Potato Hash.Their $11 French Toast was one dismal slice of bread with several slivers of cara cara orange. The $27 Fried Chicken dish consisted of 3 bite-sized nuggets of fried chicken, and one small section of breast meat - one, that we ate in 3 bites. The $22 burger was more bread than it was anything else.There are so many better restaurants in the area that will actually serve you a filling plate, especially at upwards of $20. Tourists: you've been warned.",Untitled,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
4,TS1HBEZbqwcsPzShMXABDg,Allison C.,2.0 star rating,"I have lived in NYC for nine years now and have been to a myriad of different restaurants with varying price points. Surprisingly, in this span of time, it has been rare that I have said, ""WOW. This is horribly overpriced for the amount of food on my plate.""Welcome to Untitled.Originally, two friends and I went for a Restaurant Week brunch, but after looking at the brunch menu, we decided we'd rather split a few plates among us. We ordered the French Toast with cara cara orange, mascarpone, honey, and almonds ($11); the Butterball Potato Hash ($17 on their 2/4/2018 menu, though, on their online menu, it currently says $15); the Untitled Burger ($22), and the Roasted & Fried Chicken with Brussels Sprouts, kale yogurt, and Korean chili ($27). The French toast was a SINGLE slice of bread. The egg that came with the potato hash was roughly 4 inches in diameter with a scattering of potatoes. The fried chicken that came with the chicken plate were three nugget-sized portions. The burger, at least, was ample for the price, though I still hate paying $22 for a burger, even if that's almost becoming the norm here in NYC. Haaa. We were all so disappointed by our portion sizes. One of my friends actually asked our waiter if our hash dish was the normal portion size. He confirmed that it was that size, but it is meant to be a small dish, not an entree. That is not clear on the menu; being the third item from the bottom at a cost of $17, we never thought it'd be a considered a small dish. The menu was...IS...nebulous. The menu should perhaps be split into what counts as a small dish and what counts as an entree. We asked our waiter that our issue be brought up to the manager...though, who knows if that happened. (Hey, never hurts to ask...) This all being said...the food was really tasty, save for the potato hash, which tasted like any other hash I've consumed. (Potatoes are just potatoes sometimes, haha.) The mascarpone with the French toast coupled with the crunchy almond slices mixed well with the custardy texture of the bread. The burger was incredibly flavorful and cooked to a perfect medium-rare. The chicken, both fried and roasted, was wonderful; the crunch on the fried chicken melded perfectly with the tender meat inside, and the Korean chili really added that special touch to the roasted chicken. Kudos to Chef Suzanne Cupps, absolutely! Upon telling someone about my experience, they countered with, ""Well...it IS the Meatpacking District. You should have expected high prices for small amounts of food."" Ummmm...no? NO. I don't think I should have to. That is a huge fallacy. I've been to plenty of restaurants in this neighborhood where, though expensive, the price point matched the size of my portion. I once had a $25 cut of meat at a neighboring restaurant while celebrating my boyfriend's 30th birthday, and it filled my plate, filled my stomach amply, and left me satisfied. Untitled simply did not live up to this.I understand artisan plates and appreciate the crafting behind them. But culinary art can be and should be satisfying to both the stomach and wallet, I truly believe. Though the food tasted divine, I can not see myself returning unless someone else is picking up the tab. That is unfortunate.",Untitled,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
5,01EzikjNar36Zt1ULlqtXA,Grace F.,4.0 star rating,"This is no chicken fingers & burgers amusement/zoo/park cafeteria.  Despite the fact that it is an eatery in a major tourist attraction (the Whitney museum) the cuisine here is good enough to be a standalone restaurant.  There's two entrances to Untitled --one outside museum & one inside so you do not need pay museum admission to eat here--although if you are a museum member (as I am) you get 10% off your entire bill.  Despite having a classy type dining room & artfully plated entrees & small plates--Untitled is kid friendly--we brought two small kids there & they even had high end high chairs of the most aesthetically pleasing type--the $300 stokke trip trap high chair in all its modern glory.  Needless to say my toddler felt fancy AF during our new years eve brunch last weekend.  Now down to the business of food: for three adults & two babies/toddlers we got large plates of shrimp and grits, bacon and pimento cheese toast (x2!) and small plate of french toast with ricotta with caracara plus vegetable sides of marinated beets with pear & charred cauliflower with pistachio butter & sunflower seeds.  The shrimp and grits were topped with bok choy--the overall taste was respectable (spoken by a shrimp and grits aficionado) but the bok choy while tasty didn't really fit into this souther staple.  The bacon & pimento cheese toasts also a doable brunch plate however the best standouts were doubtlessly the vegetables.  The veggies were good enough to be worthy of such veggie temples as Dirt Candy.  I adored the charred cauliflower and spent half my time devouring it and the other half plotting how and if I could replicate this dish at home!!  The beet and pear pairing was also welcome change to how beets are typically presented.  I have been here three times for museum related meals and will continue to return in  the future!",Untitled,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
6,3OL1nZ8E8RtKvOPquMAyJw,Gab G.,5.0 star rating,"Had an amazing meal here! Our waitress Cait was the best and she took great care of us. We started with some excellent cocktails and charred squid, and were pleasantly surprised when they sent us a delicious plate of fried fish wraps to try, too (they'd been the other app we were eyeing), free of charge. The roasted and fried chicken was exquisite, and I loved the creamed corn side. We also had the country style rib which was just fantastic. Of course, we had to end the meal with a famed chocolate chip cookie and milk. Not sure I would say it's the absolute best cookie in the city, but it was definitely awesome!",Untitled,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
7,ABy18zFVqy7WofyrVWqCVw,Heather H.,5.0 star rating,"I love this restaurant.  I've been coming since it opened and have watched it transition from being a ""Michael Anthony"" restaurant to a ""Suzanne Cupps"" restaurant.  Chef Cupps is just knocking it out of the park.  Her dishes are often vegetable forward, and they are well thought out and delicious, but that doesn't mean that she's ignoring the meats.  The fried and roasted chicken dish might be the best in the City.  I know, fighting words, but I stand behind them.  And the fried fish lettuce wrap?  Just amazing.  I have it every time I come.Grab a chair at the kitchen counter, enjoy the view, and savor the food.",Untitled,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
8,xQsHIDRhSb3CQrIShfLO2g,Vivian L.,4.0 star rating,Nice place and their bottle of wine is really good at a fair price. Limited selection on their menu for food but the place is definitely a good place to chill out with friends.,Untitled,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
9,7ZA7AJt3EPG6h5f4-hSF6Q,Shizhu W.,5.0 star rating,"I went there for lunch during restaurant week.  I have to say the food here is out of my expectation, good combination and wonderful flavor! The atmosphere is perfect here for friends chatting! I will come back definitely next time!",Untitled,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
10,PPRP2YeIZ_SklvUeZHYj6w,Danielle G.,5.0 star rating,Brunch!  De-constructed Cassoulet.  Brilliant.  Ricotta Cheesecake w/meyer lemon and sour cherry.  Bravo. Chef Suzanne Cupps!,Untitled,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
11,mXCLiP_GdRYmRx2b6TbDHA,C N.,4.0 star rating,My business partner and I shared a few dishes and they were amazing. The lettuce wraps were delightful but I LOVED to cauliflower and the short ribs! The short ribs were so tender and seasoned nicely. I wasn't sure what to expect but was pleasantly surprised!,Untitled,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
12,kGxsSAqUtu299nsZ97V5RQ,Jess L.,4.0 star rating,"Trying to walk in off the street can be a bit of challenge, especially if they are super busy. If you're coming just for a drink, it's worthwhile to be a little pushy and aware of who's next in line to take a spot. Two friends and I were eventually able to snag seats by the food counter (not bar counter) and watch the chefs work their magic making colorful, fresh dishes. That was a lot of fun. I wasn't very impressed by the beer list, but we eventually settled on a really awesome, light red under the category of ""something different,"" which apparently they do when they have a great but not easily categorized wine. This wine certainly fit into this category and was a great deal to split between the three of us.While reservations are clearly tough to get, I will one day try to come back, as the menu was very captivating.",Untitled,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
13,yRJq7vz6bF1Sc6kHdNzeeg,Dana H.,3.0 star rating,"This place is bright and modern on the first floor of the Whitney museum. The place was definitely crowded for Saturday brunch around 2pm, so thankfully we had a reservation. The menu is unique and definitely has someone really tasty options, but is also expensive. Portions especially the small plates are very small. We weren't super hungry, so thankfully we were still satisfied. I got the butterball hash with fried egg, which was very good ($13). My friend got the fish lettuce wraps, which she said were also very good but literally $10 for 2 of them. They do serve bread for free to the table. They had soy milk, but I didn't like how it was already mixed in to my iced coffee for me. When I had my second coffee, I asked for the soy milk on the side, which helped with the taste. However, not only was the coffee overpriced at $5, but he charged me for getting a refill. Essentially $10 for two small iced coffees...most brunch places don't charge you for each glass of coffee...same went for the Americanos. Actual entree large plates are $20+.As a member you get a 10% discount off your bill if you show your employee ID or member card, which was nice. Service was okay. At times kind of slow. Was fairly satisfied with my experience but probably won't be back, especially not if not going to the museum right after.",Untitled,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
14,jFkuSMsFTm2EIqOkuchZ5Q,Art C.,5.0 star rating,"4.5 stars, but I'll give them the nod since they're in the wilderness of the west, west side. I actually really like this restaurant... We came here for restaurant week though we ended up ordering extra stuff not on the set menu. I'm from the South so I can appreciate the hints of ""Southerness"" in the dishes.I loved/liked all their food but what really stood out was the roasted/fried chicken and the grilled country rib (who actually puts country rib on a menu? :)... Creative and damned good. Don't sleep on their eggplant and sea food dishes either. Also knock-outs...The restaurant itself is beautiful with large windows with views of the modern and clean exterior of the Whitney museum. Service was also wonderful though their bar is very limited in terms of alcohol selection (they need to seriously up their drink game).In any case, a great night to be had for all here...",Untitled,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
15,U6APDYccpes9F_jcvmCVug,Wailana W.,5.0 star rating,"If you're visiting the Whitney or just need a place where every dish is a homerun, this is the place to come.  We came here with a chef friend and had almost everything and there were no misses.  There is texture, variety and creativity in everything Chef Suzanne Cupps presented.  The charred squid and fried chicken were my favorites.  The chef also does a fantastic job with vegetables and can make any carnivore a vegetarian with her tasty renderings of seasonal squashes and roots.  Have the charred cauliflower or kale salad and you'll appreciate the nuances of making vegetables be the star rather than the supporting actor in a dish.  Chef Cupps is masterful at what she does and the menu allows you to try many things because you can select smaller dishes.",Untitled,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
16,tbM7QUH3XaIrrSFyyo1QTQ,Mariki B.,5.0 star rating,"Everything we ordered had so much flavor. The pork loin was tasty and the vegetables were saesoned so deliciously. The pork sausage and mushroom pasta with the broccoli rabe was our favorite. The French toast was smaller than expected. Our waiter was kind enough to bring us the dairy free rice pudding since our party was lactose intolerant. The apple cake, cheesecake and chocolate pudding were perfect way to end the night.",Untitled,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
17,mWdiMMOGN_kFdtf4Dn7Ubg,Molli W.,5.0 star rating,"A seamless lunch. Our server Henley was delightful and the perfect amount of attentive and helpful. She was so accommodating to my father and I splitting a burger and chowder. She also topped me off with some extra coffee. Wonderful visit, definitely stop here on your way in/out of the museum. Beautiful dish-ware as well.",Untitled,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
18,UIE7-K0i2dx7GAy3gkNh9w,Kevin C.,2.0 star rating,Meh!  We arrived at 10PM for our 10 PM reservation and were told we had to order IMMEDIATELY because the kitchen was closing....I thought Danny Meyer was all about hospitality?  Why make people rush when you just sat them?The food was simply Meh as well.   Nothing to write home about.  There are simply too many really great restaurants in NYC to waste a meal here.  Service wasn't that nice and we had to ask to for many things from water refills to coffee refills.,Untitled,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
