,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,kjX5JEpvIgIclb7j-ccMlw,Jenna Z.,5.0 star rating,"I went here for Trivia Night. I had a blast. I also had pizza. And I had a blast eating the pizza.The staff working were helpful and nice. I love the ambiance here.Perhaps the only complaint I have is lack of space - it was like bumper to bumper with people having to fight a wave of people to get through - but as the night led on and people started to leave, there was more room to move and sit. I think it's a good complaint to have - you'd rather have more people than less!",Urban Coalhouse Pizza + Bar,3.0 star rating,$$,"Bars,, Pizza,, Italian"
1,La9hZPz1y_6LTcTfgNMaQQ,Marc F.,5.0 star rating,"Great spot for artisanal pizzas. Went for a snack before a late dinner on a rainy Saturday. It was pretty empty at the time so no problem finding a table and the hostess and waiter were attentive and accommodating. I shared a medium San Gregorio specialty pizza. The dough was cooked to perfection: just firm enough to hold the delicious imported pepperoni --crispy cups of flavor -- sliced sausage, basil and mozzarella. The sauce was a little on the light side but was tangy enough to balance the sausage and 'roni. The crust was excellent as well -- crispy and crunchy without being difficult to eat. They also have a really extensive craft beer collection -- nothing too exotic or rare, but definitely a wide variety for the beer lover. 9/10 would go again",Urban Coalhouse Pizza + Bar,3.0 star rating,$$,"Bars,, Pizza,, Italian"
2,D7Gg0MPqQPKPvbgX5XT0fQ,June C.,4.0 star rating,We tried the personal pizza for the lunch during weekday. Each personal pizza comes with a salad or soup. We ordered all kinds of pizza and each of them all tasted unique and great and not very oily. If you're Hoboken museum member you can get 20% off.,Urban Coalhouse Pizza + Bar,3.0 star rating,$$,"Bars,, Pizza,, Italian"
3,ioElFB9bwp3zZw-ckaR-Nw,Ruby B.,4.0 star rating,"This place is good for everything​. A simple pasta, great salads, ​and kick ass wings. The pizza is really good quality and has great flavor. Its a great spot for a girls night or a big family dinner. Service is great and prices are good; highly recommend​!",Urban Coalhouse Pizza + Bar,3.0 star rating,$$,"Bars,, Pizza,, Italian"
4,fbhRFckDkMOCZFSxpOM4xA,Kimberly M.,4.0 star rating,"4 stars for Delivery.  I agree the in-person service and experience can be dicey.  They seem to nail it with delivery every time: my pizza is delivered hot, it's good, reasonably priced, and they are significantly faster than a lot of places in Hoboken.",Urban Coalhouse Pizza + Bar,3.0 star rating,$$,"Bars,, Pizza,, Italian"
5,qKPQaE2Kp38wUlE-vEltZg,Connor D.,5.0 star rating,Great pizza great chicken fingers. My server Elias was verry attentive helpful and polite. I will defiantly be returning,Urban Coalhouse Pizza + Bar,3.0 star rating,$$,"Bars,, Pizza,, Italian"
6,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,1.0 star rating,I hate doing this but my visit was a 1 star experience.First off the server took a while with our drinks and did not even give us enough menus. Then we ordered the signature wings which were dry wings with onions.The pizza was not terrible but there are a ton of better spots in hoboken. The server also messed up our order where we did not receive ours apps until our entrees came.I know the place is new but between the food and service this was a one star experience.,Urban Coalhouse Pizza + Bar,3.0 star rating,$$,"Bars,, Pizza,, Italian"
7,KUI4go09ftqWve-gTSuS-g,Mike R.,3.0 star rating,"Great atmosphere and probably a great place to go for beers with friends, but sorry to say the pizza is just not very good.  My daughter (12) and I stopped in for lunch the other day and after taking a few bites, we looked at each other with puzzled looks and agreed that the crust was just tasteless. I thought maybe they messed up our order and served us a gluten free pizza. Grimaldi's, Napoli's, and I think every other pizza place in town serves a better tasting pie. Service also was not too good. Anyway, maybe some of their other dishes are better than the pizza. But if they're to call themselves a pizza place, especially in Hoboken where we know what good pizza tastes like, they better work on their recipe and flavor, or move the restaurant to Vermont.",Urban Coalhouse Pizza + Bar,3.0 star rating,$$,"Bars,, Pizza,, Italian"
8,vt6pcJFIXNtKwahqBmSu3g,Alyssa B.,5.0 star rating,"Pizza is great, coal fire cooked so a slightly different less greasy style. Roasted wings are also different but delicious. Delivery is prompt. Have eaten here in person and in takeout, it's one of my go to places.",Urban Coalhouse Pizza + Bar,3.0 star rating,$$,"Bars,, Pizza,, Italian"
9,k8ToEsaJuHbT-fGtFhpzKw,Bryan C.,4.0 star rating,"Artisanal pizza has come to Hoboken.  Plenty of pizza places both by Slice, BYOB or takeout.  This place  has full bar which not sure how as within 500 feet of other places that do also though might have taken over license held by Spanish restaurant.Beers selection is now standard 20 craft, local and other beers.  Have hanging signs with what is on tap.  Split signs between two sides of bar so beers on side you are not will be hard to see taps or signs.   Should switch signs so they are on opposite side from the tap so can see one or other.Pizzas come in personal, medium and large.  The medium more of small as person next to me finished theres off and I likely could have done same.   It was good as what i will call meat lovers had plenty of meat and was well cooked.Space is gorgeous though I have a sweet spot for exposed brick.  Plenty of tvs so likely great place to watch the games. Service could have been better as server disappeared though stated was fighting the keg.  Another person had broccoli rabe brought out when ordered Brussels sprouts. They have long happy hour as could call happy day as goes from 12-7 and all day Saturday and Sunday.    Includes personal pizzas for 1 dollars off or 2 dollars if order two.I will return as happy they opened.",Urban Coalhouse Pizza + Bar,3.0 star rating,$$,"Bars,, Pizza,, Italian"
10,B7CvnuLsvAXpsjEO3NQCLw,Brooke B.,5.0 star rating,I've been in Hoboken for about 1 year and finally made my way over to urban coalhouse. I ordered a large pizza which was amazing! The Thin crust was cooked perfectly and the tomato sauce on top was delicious. One of the best pizzas I've had in Hoboken. I will definitely be a regular customer.,Urban Coalhouse Pizza + Bar,3.0 star rating,$$,"Bars,, Pizza,, Italian"
11,dEX4Nc8A0ebOfVdT72dvkg,Kimberly W.,5.0 star rating,Urban is the place to be on a Saturday night in Hoboken! Sarah and Evey on the best!!!,Urban Coalhouse Pizza + Bar,3.0 star rating,$$,"Bars,, Pizza,, Italian"
12,Y59HQNazSLR1EUMUmMOaFg,Greg W.,3.0 star rating,"A real mixed bag but worth a try if you're in the neighborhood.Having gone twice I can already see the trend of the servers being sort of all over the place.  Not expecting fine dining but they run around like crazy here and you have to flag them down for anything.The food is the real mixed bag.  The pizza is solid enough but not going to rank on anybody's top pizza lists.  The salads were sub-par, there was almost no dressing on the ceasar last time.  Kinda pricey for letucutte and cheese.Overall though it's not a place to avoid, just don't go out of your way to go there.",Urban Coalhouse Pizza + Bar,3.0 star rating,$$,"Bars,, Pizza,, Italian"
13,ZHjJXqAn7vZpliWtd17OkQ,Natural N.,3.0 star rating,"This place consistently goes 99 yards before kicking a field goal. They are so close to having great food, but then always seem to miss the mark. After our 6th pizza from here, it's safe to say that they are always missing the mark. Diced meatballs on one pizza, grape tomatoes instead of San Marzano's, a weak vodka sauce, and a terrible experience with cold pizza. Although I think of a hot coal oven when I hear the name, we sadly had pizza that tasted like it just came out of the refrigerator.",Urban Coalhouse Pizza + Bar,3.0 star rating,$$,"Bars,, Pizza,, Italian"
14,ClKnCrgQJDkQxzm76pT7kg,Elizabeth P.,2.0 star rating,"This place looked nice! But the pizza was not very good. Bland, weird flavors, not satisfying at all. We got a large pie half plain half mushrooms and onions. Each topping on the large was $3 each, meaning we paid $6 for less than a handful of onions and mushrooms! They definitely get a big profit off of that. Forgettable, unimpressive.",Urban Coalhouse Pizza + Bar,3.0 star rating,$$,"Bars,, Pizza,, Italian"
15,u8bo1sZb51iR3dp9tOM_nA,Lucas N.,3.0 star rating,"I have gone to the Paramus location when it was still ""Tommy's"" and loved it. The Hoboken location is good. I felt like I was a little neglected by the wait staff, but the food was still the same. I went with two friends for happy hour - which unlike Paramus and the deals I remember - we were only given the option for rum buckets discounts, so we were a little disappointed. Other then that we ordered three personal pizza's and an order of their signature wings. Food was still great. I would recommend this location if you have some extra time and really not in a hurry otherwise, I'd take the Paramus location over Hoboken for their discounted drinks and apps in the bar area.",Urban Coalhouse Pizza + Bar,3.0 star rating,$$,"Bars,, Pizza,, Italian"
