,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,MYaMa84zvVBhaOdCsVJKHw,Patricia C.,5.0 star rating,"This place is nothing short of AMAZING. Yay for another outstanding Taiwanese place!If I weren't on a diet, i'd probably be here all the time...but because of that, I hadn't been in a while. To my surprise, the place had expanded! That healthy place next door that was always empty now became VFN's kitchen - that means it's now 3 times the size! Unfortunately, I still don't think they have enough seating, even with all the counter seats facing the kitchen now. With better planning, there could totally be ample counter standing space for everyone (tbh I would still totally squat for VFN noodles though...)! There's some window ""seats"" that aren't really ideal for eating because you'd either have to squat, or hold these hot bowls of noodles in your laps. If you loop around the exit though, there is now a small area of tables/seats you can use.Lines are long and unfortunately they don't move THAT fast, but strangely enough, after you place your order, it doesn't actually take them that long to get your order out. Everything is made to order, so your noodles are guaranteed to be fresh and hot!This wasn't my first time there, but it sure was my first time seeing and trying the dan dan noodles $11.94, and man, it was definitely the best dan dan noodles I've had in the US (obviously can't compare to Taiwan!)!!! The noodles had the best texture, perfectly cooked and chewy (QQ as we would say!), everything was seasoned perfectly, there was a generous amount of fried fava beans and ground pork in it, and the spice was JUST RIGHT, even though they do warn you it's pretty spicy/no modifications! Those deep fried fava beans were EVERYTHING, loved having a bit of crunch in every bite. The noodles are a thinner noodle, and not the handpulled flat noodles like in the other dishes. If you've never had this before, FYI this is a dry noodle!We always order the beef noodle soup $12.86 there, and as always, it was delicious. The beef is always really tender, and noodles are always perfectly cooked. I kinda wish their noodles were a bit more red, like the 紅燒 versions in Taiwan, or perhaps have one that is tomato based!Seems like they also now serve bubble tea, but I'm not sure how good it is...milk tea seems premade so not 100% sure if you can adjust the sweetness, etc.",Very Fresh Noodles,4.0 star rating,$$,"Taiwanese,, Chinese,, Noodles"
1,THPWFbpnFTSkFtAiaDLeCA,Sang L.,3.0 star rating,"Yes, the noodles are very fresh  as you can see them make it. I got the dan dan and honesty it was gross. Maybe I should have stuck to the soups instead. Nice service and quick though. I probably wouldn't return.",Very Fresh Noodles,4.0 star rating,$$,"Taiwanese,, Chinese,, Noodles"
2,CXCxKx8w9dfEbeYhYZMZwA,Kevin C.,4.0 star rating,"If you're not familiar with this place - think Xian with Taiwanese flavors. This place is the bomb diggity and I'm glad they're flourishing in Chelsea Market.I had the beef noodle soup and can attest that they give ample servings of meat. I was almost too stuffed to finish the meat and that almost never happens for me when I'm eating soup noodles. Usually the meat is the first thing to go, but this bowl had endless amounts of meat. The noodles are hand made (knife cut in my bowl) and they're thick and chewy. Make sure you eat soon after you order so that the noodles are at their maximum chewiness level.The bowl of soup noodles is very filling and probably too heavy for me to eat on a regular basis. In fact you could probably easily share a bowl with a friend. This is the perfect spot for a snowy/rainy day. I will be back soon to try the dan-dan noodles and more of their other soups!",Very Fresh Noodles,4.0 star rating,$$,"Taiwanese,, Chinese,, Noodles"
3,bwTPU--fKAYEmKDgYZMp5w,Audrey G.,4.0 star rating,"I love noodles, so after seeing the great photos and reviews this was a must-try on my list while in New York! We came during lunchtime on a Saturday, and while it was decently crowded, we were able to snag a seat at the bar after ordering our food. We tried both the Tingly Cumin Lamb (dry) as well as the Taiwanese Beef Noodle Soup. The thing that stood out the most about this place is that they're extremely generous with their meat portions! (which makes sense given their prices of ~$13 per item are on the high end) Their Beef Noodle soup had the perfect ratio of meat and veggies to noodles (I feel like most places give you too many noodles relative to everything else), and the meat was really tender and flavorful! Definitely one of the better beef noodle soups I've had. The Cumin Lamb on the other hand, while really delicious for the first few bites, got to be a bit overwhelming. I actually would have preferred to have less lamb and more noodles + herbs, as it ended up feeling really oily and heavy. Maybe it would have been better with the soup option, but this dish would be a pass for me if I came back again. Also, the noodles themselves are all freshly handmade (which you can watch them do!), and are pretty good, but not extraordinary.",Very Fresh Noodles,4.0 star rating,$$,"Taiwanese,, Chinese,, Noodles"
4,V5FpgB1sfduQGZj9OlNgVA,Juanita D.,4.0 star rating,"TAIWANESE BEEF NOODLES, YASSSS. While roaming through the Chelsea Market, the strong noodle aroma seeped into the walkway and immediately caught our attention. My girlfriend and I agreed on the ""mild"" beef noodle soup. The portion is quite large and easily shareable (we split a bowl). The noodles are QUITE thick, and hard to tear apart, so be ready to get messy. Also, the beef is f*cking delicious... some will sink to the bottom of the bowl which is a nice treat when you're wrapping up your meal. And the broth... so easy to drink by the spoonful.I'd definitely suggest this hearty meal if you're feeling chilly and want something warm and comforting.",Very Fresh Noodles,4.0 star rating,$$,"Taiwanese,, Chinese,, Noodles"
5,wzDg96-FjrI1r_Tf0sKlpw,Amrita A.,4.0 star rating,"As soon as you approach Very Fresh Noodles in Chelsea Market, the smell draws you right in. We got the-Very spicy Dan Dan noodles (vegan) which was probably the best dan dan I have had. The soy protein which was replacing the pork in a regular Dan Dan was just as enjoyable to eat and the garnish of crispy broad beans and spicy cucumbers were the perfect addition of contrasting textures and flavors. The noodles themselves were a little gluey and stuck together but that didn't take away from the freshness and flavor of the dish. Only that it made it a little tedious to eat.Spicy Beef Noodles in Soup- this dish was comforting and the broth was great but not as great as Xi'an. The broth here is less tangy and has less of a smack-in-your face quality of flavor them. But the beef was really tender and tasted great and the noodles themselves are indeed ""very fresh"". Cumin Lamb noodles in soup(mild spiciness)- Similar to the beef noodle dish with less spiciness and some really tender pieces of lamb. A very comforting dish.Overall, it was a great experience eating here in spite of the lack of proper seats to sit in and eat. We managed to get seats on the counter next to the love kitchen which was a fun spot but not the most convenient.",Very Fresh Noodles,4.0 star rating,$$,"Taiwanese,, Chinese,, Noodles"
6,BPymfNto6rNgAC5GHYp9fw,Liane H.,4.0 star rating,"A semi- snowy and rainy day in NY calls for some hot noodle soup and I've been wanting to try this place since I couldn't the first time I came to visit!I tried their beef noodle soup, mild and shared it with my friend. We both were left satisfied. I usually judge a beef noodle soup by how tender its beef is and this one did not disappoint.  The fresh noodles were good as well, but needed to be cut because they were extremely long. The broth is very packed with cumin and I believe the pickled mustard makes the broth a lot sweeter than most beef noodle soups I've had.It didn't look like a lot at first, but with two people, we barely finished it. 4/5!",Very Fresh Noodles,4.0 star rating,$$,"Taiwanese,, Chinese,, Noodles"
7,pz3Ulbuk7ZiUUbT7oFzmpA,Lori L.,4.0 star rating,"Every time I've passed by Very Fresh Noodles, I've been deterred by the lengthy line of 10-15+ people waiting to order. Thankfully, when several of my friends and I wound up in the area in need of a place to go for dinner, I remembered how long it had been on my ""To Do"" list, and we decided to try our luck. Thankfully, the gods were on our side.Very Fresh Noodles has a very simple and concise menu featuring, you guessed it: noodles. Every batch of noodles is made on the spot, and you can even see the chef twisting and turning out each serving of noodles - which is truly an art in and of itself. I opted for the Spicy Tingly Beef Noodles in broth, per the recommendation of the server and within a few minutes, my order number was called out and I was presented with a generously filled bowl.Even from the first glance, it's a bowl chock full of herbs, spices, and sauces. I loved all the cilantro and scallions, and the unabashed use of chili oil and sauce - and that's not even getting to the noodles or the broth. The noodles are wider than what you'd typically expect, but had a great chew and texture to them that soaked up the flavorful beef broth. They were also generous in the protein portions, and I had plenty of beef to distribute across every spoonful.We also got to try the Spicy Dan Dan Mian - loved the wavy noodles used in the bowl, and the aromatic sesame paste. They also didn't hold back from the spice in this bowl, as it builds towards the end!Would definitely recommend visiting if you get the chance, especially during off hours. The only downside are the crowds and the difficulty of finding a table or seat to eat at - but for good food, it's worth the extra effort.",Very Fresh Noodles,4.0 star rating,$$,"Taiwanese,, Chinese,, Noodles"
8,lv_kmBYKHJ1QNdRKvNH43Q,Cristal Y.,5.0 star rating,"As the name of the restaurant implies - very fresh noodles! The noodles were super fresh and slightly chewy. Probably one of our favorite Chinese restaurants that we tried in NYC. I had pretty low expectations at first since the restaurant was at the Highline and known to be very touristy, but it blew our expectations out of the water. We ordered the Dan Dan noodles with stretched noodles and it was mouth watering good! This dish is heavy in creamy tahini sauce and fried fava beans. I appreciated the extra crunch in the dish. Also topped with fresh veggies that kicked the satisfaction level up a notch. I would highly recommend this gem if you're in the area :)",Very Fresh Noodles,4.0 star rating,$$,"Taiwanese,, Chinese,, Noodles"
9,irGytbnYl26_q_bO6bRAzQ,Alan L.,4.0 star rating,Worthy of the name Very Fresh Noodles. Never had such fresh bowl of Lamb biang biang noodles. The noodles just soaks up all the sauce. Every bite you take is all flavorful noodles. Cooked perfectly.Delicious bowl of noodles.,Very Fresh Noodles,4.0 star rating,$$,"Taiwanese,, Chinese,, Noodles"
10,vujePzPYBqQ7Kc0dmJ52Ng,Valerie N.,4.0 star rating,"SO, SO good!! My mouth is salivating from thinking about returning! This place is crammed in a corner of Chelsea market so finding seating is nearly impossible! Hunt for one like a vulture! The soup I got is amazing and is ready in perhaps 10-15 minutes simply because they're bursting at the seams with orders! Taiwanese beef noodle soup: My soup was delicious!!! The noodles were great, the broth was spicy and had lots of depth, and the toppings were yummy! It's a great price and I literally could not finish my food. I was full for 8 hours after!",Very Fresh Noodles,4.0 star rating,$$,"Taiwanese,, Chinese,, Noodles"
