,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,Ox6NXoHS5rFQ3FA_-oKdaQ,Christina B.,4.0 star rating,"Village Pourhouse is one of the many sports bars in Hoboken. It has a ton of TVs so naturally a lot of people come here to watch the games. On Sundays you can pre-reserve tables to watch the game and eat. When it's really crazy, barstool seating is also reserve-only.Village Pourhouse has decent food as well. The loaded fries were our favorite, followed by nachos. Totachos are also a crowd pleaser. Don't get the pretzel crusted chicken fingers - extremely dry.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
1,zqiRZvNjAUNAupuMSFhrrg,Anna-May A.,3.0 star rating,"Came here for the advertised Wednesday night $5 Beer and Burger special.Sounds too good to be true, huh? Well, yes... you DO get a burger and a beer for $5 but the beer is a 12oz pour of Coors Light or YuengLing and the burger is a 2oz slider patty that you can get bacon or cheese on, no additional fixings.The burger itself was yummy though it could have had more flavor. Since its slider size, I can eat 4 of these but at $20, you're better off just buying a regular size burger (which actually comes with fries or tots) for $12.Also, we ordered a serving of tots ($6) to go with our sliders and beer. You'd think the tots just go in the fryer and would come out right away... Not at this place that night. The tots didn't come out until way after we were done with our first Beer/Burger special.My boyfriend said something to the bartender about how the tots are supposed to go WITH the burger and not eaten as an afterthought. She just shrugged her shoulders and said, ""the kitchen must be busy."" Besides us, there was maybe, at best, 10 other people in the bar. So unless all of  those people ordered the whole menu, there's absolutely no reason for the odd delay in serving the food.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
2,_fBThyM_-dOaNgdMW9pyQw,Amber H.,5.0 star rating,"Awkwardly showed up right at opening time in need of some beer.  The bartender, Kayla, was lovely and didn't seem to mind that we were just there for some $1 Yuenglings to kill some time before dinner.  We liked the atmosphere so much that we decided to head back tonight for MNF!",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
3,FGDpq6UMIfOh67NCjg8Cqw,Timi O.,3.0 star rating,"This is one of my favorite places to go in Hoboken because of the vibe of the place. It's a great place to watch sports, but on the weekends it gets crowded and it's fun with the music. The drinks are decently priced and the bartenders are very friendly here. The times I've been there i went with friends for some beers and it was always a good time. Definitely a great place to come for a good night in Hoboken!",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
4,ZNlWtnFOwlH0ALVS8R2Erw,Kyle G.,1.0 star rating,"I just want to let everyone know the time and date this happened. It happened between 7:45 and 9pm on October 18th, 2017. My friend and I decide we would catch up over the yankee game and get some dinner. WOW! Village pour house looks like a great idea. Let's try that. WELL. Were we surprised. We're still at the bar. We ordered quesadillas at 7:45 and waited a classic hour while watching the staff huddle in the corner like Shane Falco in the movie The Replacements talking about some bull crap. Finally our quesadillas come at 8:43.  It's 8:59 pm and finally our entree comes. An hour and fifteen minutes almost. Don't come here on Wednesday nights. Bad idea. Especially when it's busy. Bad business.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
5,lCAYWrVJKcO0x8nNB3BMsQ,Anika S.,4.0 star rating,"Village Pourhouse in Hoboken is a blast! I was at this location on a Saturday afternoon. It's a Penn State bar and I was there during a Penn State game... soooo, needless to say things got pretty loud and rowdy. Everyone seemed to be having a good time.The bar was rather full for the game but there was still plenty of space to move around and sit at the bar. It was pretty easy to get a drink. Unlike some other bars, there was no having to wait to flag down a bartender. Prices were pretty decent. A pitcher of beer was $10. They played great music too, mainly top 100 hits.The bathroom was probably the cleanest bar bathroom I've ever encountered. Also, this is trivial to note but they have full size mirrors on the stall doors. Seems like management has really taken every last detail into consideration!Pro tip: I've been told they have free happy hours before Penn State games if you provide them with an alumni email address. Also, they have plenty of mid-week specials so be sure to check those out too.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
6,JZYr09X0fGp5bcnXR7A3Ng,Eric B.,1.0 star rating,"Loud bro-bar with a terrible layout.Oh, and please do yourself a favor and remove the Ped State flag.  You should be ashamed.   I'm embarrassed for you.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
7,cm7BYPtTPsoOyTlAJerlzA,Tim P.,1.0 star rating,"The bouncers are disrespectful rude and seem to be willing to get into a physical altercation. I went there to pick up my wife who was out for the night and she had a few too many to drink. As she was trying to get some composure to walk, a bouncer rudely told us that we had to ""move the fuck away from the door."" I said give me a minute as I tried to move my wife along. Not a minute later he comes back a bit more belligerent telling us to ""get the fuck out of the area."" As I tried to say ""okay, my wife can't walk straight, give me a second."" He gets up in my face like he was going to attack me and scream, ""move the fuck on"" I'd advise you to go to this watering hole if you feel like you need a true ""ghetto"" experience.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
8,yf_xpapi2wveAU2OaHgGVw,Winning E.,5.0 star rating,Great menu changes.  Interior is fresh and bright.  Addition of new back room w plentiful low seating for families.   Fun staff.  Great college and NFL game watch spot.,Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
9,kw54sIpXMAllAHKEN1R5SA,Chris S.,2.0 star rating,"This place used to be a frequent visit, not so much any more. The two remodelings have turned this once great bar into a Frankenstein of trying to be upscale and a good ole boys bar. The layout is weird. Trying to do too much...The final straw was the $5 burger and beer special. It is back. It used to be $5.95 for a delicious burger, fries and a pint of beer. Now it is $5 for a slider and a 10 oz beer. This sucked. Just tell us it's a slider and no fries. And $1 extra for a 1""X1"" piece of cheese on the slider. It would be much better to raise the price of the old deal.I want the old pourhouse back.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
10,Ud707Fi0vZn9P2I5Gh9qaw,K D.,5.0 star rating,"Great burgers, wings, fries and a nice choice of salads if you're going the health route.  Nice bartenders and great for football Sundays!  Tons of TV's.They fixed-up the bathrooms too thankfully!",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
11,_Y-M4PNmG49MFYZlPA_WOA,Jessica M.,2.0 star rating,"Awful service. Came here on a Sunday afternoon for lunch, place was empty except for us and another group, who the waitress was friends with, and she ignored us the whole time. She spent the whole time talking to them, face-timing her friends, etc. At one point, she walked away from the bar (while we were waiting for check) to go put on mascara in one of the mirrors. Food was good, it's just a shame the service was so poor. Won't come back.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
12,O8fpI2H2-_S603QRl9lVCA,Anukrati K.,3.0 star rating,"When I went to village pourhouse, it was on leprecon weekend celebration day and there was some live band performing. It was fun time there. Very lively atmosphere",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
13,IFtTuIzzSRAcQjjaf-heGw,Paige N.,5.0 star rating,"This is by far my favorite bar in Hoboken! Tons of tv, open space, great food - they have pretzel bites and tater tot nachos . Since it has been redone, it has a more upscale sports bar vibe that you'll love. They even have a private room in the back and you can reserve for open bar parties! We just did it for my husbands birthday - the room has a separate bar, sets of TV, shuffle board, buck hunt and a basketball game to keep everyone having fun. The manager Chris is so amazing and easy to work with. You have to give him a call for your next party!",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
14,CsEgQp7TceaWD4iiAdHZAg,Jason E.,4.0 star rating,"Great place in Hoboken to grab a bite and a beer. In the warmer months, they have the front windows open. Super crowded on the weekends.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
15,xpUsmLf8ifdbqRrhgBKWjQ,Thomas B.,5.0 star rating,"Great place to watch sports or grab some drinks on the weekend..  Very happy Pourhouse is Back!Tons of TVs and great food at a reasonable price.  This is our go to place in hoboken to watch Football.  Great wings, beer specials and tons of TVs with every game.  Highly recommend trying this place out.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
16,08kkMnGeKsMTvg4r76o7ag,Malcolm H.,5.0 star rating,Best bar food in Hoboken.  Great for football or just hanging.  Bring friends and have fun.,Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
17,cuk5bg6ZDykp_3phl0pQRQ,Amber E.,5.0 star rating,"Very good! Way better in service, taste and options! Do not miss Little Town Social what-so-ever.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
18,yx-CEuWGq1xL4oJnhM9ugA,Mike T.,1.0 star rating,"Dont get the attraction to this place food is mediocre at best beer selection is awful and its weirdly closed when every other bar on first  street is open. Do yourself a favor and go to the other bars on the block Mcswiggans,Marty Obriens ,Mulligans,Shanon,Nags head and Northen Soul also had to meet friends at pourhose this past tuesday and they had no power and still tried to serve us really warm beers and fruit flys everywhere it was the worst 10 minute bar experience of my life would never set foot in this dump again!!!",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
19,eS67e0bYxDz0q2Soijif5w,Jess G.,1.0 star rating,"Would give zero stars if i could. We waited over an hour and a half to get in. Meanwhile, people were coming out saying that it wasn't crowded AT ALL. Also, as people left the bouncers would just let their besties in. It's cute that they have a sorority bond with their bros but it's rude and disrespectful to paying customers. One guy would just stand around the line and tell people that we're never getting in. So you're basically turning away 30 customers?? Go somewhere else. The people who work here suck and management should consider taking a hard look at their staff.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
20,Ox6NXoHS5rFQ3FA_-oKdaQ,Christina B.,4.0 star rating,"Village Pourhouse is one of the many sports bars in Hoboken. It has a ton of TVs so naturally a lot of people come here to watch the games. On Sundays you can pre-reserve tables to watch the game and eat. When it's really crazy, barstool seating is also reserve-only.Village Pourhouse has decent food as well. The loaded fries were our favorite, followed by nachos. Totachos are also a crowd pleaser. Don't get the pretzel crusted chicken fingers - extremely dry.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
21,zqiRZvNjAUNAupuMSFhrrg,Anna-May A.,3.0 star rating,"Came here for the advertised Wednesday night $5 Beer and Burger special.Sounds too good to be true, huh? Well, yes... you DO get a burger and a beer for $5 but the beer is a 12oz pour of Coors Light or YuengLing and the burger is a 2oz slider patty that you can get bacon or cheese on, no additional fixings.The burger itself was yummy though it could have had more flavor. Since its slider size, I can eat 4 of these but at $20, you're better off just buying a regular size burger (which actually comes with fries or tots) for $12.Also, we ordered a serving of tots ($6) to go with our sliders and beer. You'd think the tots just go in the fryer and would come out right away... Not at this place that night. The tots didn't come out until way after we were done with our first Beer/Burger special.My boyfriend said something to the bartender about how the tots are supposed to go WITH the burger and not eaten as an afterthought. She just shrugged her shoulders and said, ""the kitchen must be busy."" Besides us, there was maybe, at best, 10 other people in the bar. So unless all of  those people ordered the whole menu, there's absolutely no reason for the odd delay in serving the food.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
22,_fBThyM_-dOaNgdMW9pyQw,Amber H.,5.0 star rating,"Awkwardly showed up right at opening time in need of some beer.  The bartender, Kayla, was lovely and didn't seem to mind that we were just there for some $1 Yuenglings to kill some time before dinner.  We liked the atmosphere so much that we decided to head back tonight for MNF!",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
23,FGDpq6UMIfOh67NCjg8Cqw,Timi O.,3.0 star rating,"This is one of my favorite places to go in Hoboken because of the vibe of the place. It's a great place to watch sports, but on the weekends it gets crowded and it's fun with the music. The drinks are decently priced and the bartenders are very friendly here. The times I've been there i went with friends for some beers and it was always a good time. Definitely a great place to come for a good night in Hoboken!",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
24,ZNlWtnFOwlH0ALVS8R2Erw,Kyle G.,1.0 star rating,"I just want to let everyone know the time and date this happened. It happened between 7:45 and 9pm on October 18th, 2017. My friend and I decide we would catch up over the yankee game and get some dinner. WOW! Village pour house looks like a great idea. Let's try that. WELL. Were we surprised. We're still at the bar. We ordered quesadillas at 7:45 and waited a classic hour while watching the staff huddle in the corner like Shane Falco in the movie The Replacements talking about some bull crap. Finally our quesadillas come at 8:43.  It's 8:59 pm and finally our entree comes. An hour and fifteen minutes almost. Don't come here on Wednesday nights. Bad idea. Especially when it's busy. Bad business.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
25,lCAYWrVJKcO0x8nNB3BMsQ,Anika S.,4.0 star rating,"Village Pourhouse in Hoboken is a blast! I was at this location on a Saturday afternoon. It's a Penn State bar and I was there during a Penn State game... soooo, needless to say things got pretty loud and rowdy. Everyone seemed to be having a good time.The bar was rather full for the game but there was still plenty of space to move around and sit at the bar. It was pretty easy to get a drink. Unlike some other bars, there was no having to wait to flag down a bartender. Prices were pretty decent. A pitcher of beer was $10. They played great music too, mainly top 100 hits.The bathroom was probably the cleanest bar bathroom I've ever encountered. Also, this is trivial to note but they have full size mirrors on the stall doors. Seems like management has really taken every last detail into consideration!Pro tip: I've been told they have free happy hours before Penn State games if you provide them with an alumni email address. Also, they have plenty of mid-week specials so be sure to check those out too.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
26,JZYr09X0fGp5bcnXR7A3Ng,Eric B.,1.0 star rating,"Loud bro-bar with a terrible layout.Oh, and please do yourself a favor and remove the Ped State flag.  You should be ashamed.   I'm embarrassed for you.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
27,cm7BYPtTPsoOyTlAJerlzA,Tim P.,1.0 star rating,"The bouncers are disrespectful rude and seem to be willing to get into a physical altercation. I went there to pick up my wife who was out for the night and she had a few too many to drink. As she was trying to get some composure to walk, a bouncer rudely told us that we had to ""move the fuck away from the door."" I said give me a minute as I tried to move my wife along. Not a minute later he comes back a bit more belligerent telling us to ""get the fuck out of the area."" As I tried to say ""okay, my wife can't walk straight, give me a second."" He gets up in my face like he was going to attack me and scream, ""move the fuck on"" I'd advise you to go to this watering hole if you feel like you need a true ""ghetto"" experience.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
28,yf_xpapi2wveAU2OaHgGVw,Winning E.,5.0 star rating,Great menu changes.  Interior is fresh and bright.  Addition of new back room w plentiful low seating for families.   Fun staff.  Great college and NFL game watch spot.,Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
29,kw54sIpXMAllAHKEN1R5SA,Chris S.,2.0 star rating,"This place used to be a frequent visit, not so much any more. The two remodelings have turned this once great bar into a Frankenstein of trying to be upscale and a good ole boys bar. The layout is weird. Trying to do too much...The final straw was the $5 burger and beer special. It is back. It used to be $5.95 for a delicious burger, fries and a pint of beer. Now it is $5 for a slider and a 10 oz beer. This sucked. Just tell us it's a slider and no fries. And $1 extra for a 1""X1"" piece of cheese on the slider. It would be much better to raise the price of the old deal.I want the old pourhouse back.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
30,Ud707Fi0vZn9P2I5Gh9qaw,K D.,5.0 star rating,"Great burgers, wings, fries and a nice choice of salads if you're going the health route.  Nice bartenders and great for football Sundays!  Tons of TV's.They fixed-up the bathrooms too thankfully!",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
31,_Y-M4PNmG49MFYZlPA_WOA,Jessica M.,2.0 star rating,"Awful service. Came here on a Sunday afternoon for lunch, place was empty except for us and another group, who the waitress was friends with, and she ignored us the whole time. She spent the whole time talking to them, face-timing her friends, etc. At one point, she walked away from the bar (while we were waiting for check) to go put on mascara in one of the mirrors. Food was good, it's just a shame the service was so poor. Won't come back.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
32,O8fpI2H2-_S603QRl9lVCA,Anukrati K.,3.0 star rating,"When I went to village pourhouse, it was on leprecon weekend celebration day and there was some live band performing. It was fun time there. Very lively atmosphere",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
33,IFtTuIzzSRAcQjjaf-heGw,Paige N.,5.0 star rating,"This is by far my favorite bar in Hoboken! Tons of tv, open space, great food - they have pretzel bites and tater tot nachos . Since it has been redone, it has a more upscale sports bar vibe that you'll love. They even have a private room in the back and you can reserve for open bar parties! We just did it for my husbands birthday - the room has a separate bar, sets of TV, shuffle board, buck hunt and a basketball game to keep everyone having fun. The manager Chris is so amazing and easy to work with. You have to give him a call for your next party!",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
34,CsEgQp7TceaWD4iiAdHZAg,Jason E.,4.0 star rating,"Great place in Hoboken to grab a bite and a beer. In the warmer months, they have the front windows open. Super crowded on the weekends.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
35,xpUsmLf8ifdbqRrhgBKWjQ,Thomas B.,5.0 star rating,"Great place to watch sports or grab some drinks on the weekend..  Very happy Pourhouse is Back!Tons of TVs and great food at a reasonable price.  This is our go to place in hoboken to watch Football.  Great wings, beer specials and tons of TVs with every game.  Highly recommend trying this place out.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
36,08kkMnGeKsMTvg4r76o7ag,Malcolm H.,5.0 star rating,Best bar food in Hoboken.  Great for football or just hanging.  Bring friends and have fun.,Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
37,cuk5bg6ZDykp_3phl0pQRQ,Amber E.,5.0 star rating,"Very good! Way better in service, taste and options! Do not miss Little Town Social what-so-ever.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
38,yx-CEuWGq1xL4oJnhM9ugA,Mike T.,1.0 star rating,"Dont get the attraction to this place food is mediocre at best beer selection is awful and its weirdly closed when every other bar on first  street is open. Do yourself a favor and go to the other bars on the block Mcswiggans,Marty Obriens ,Mulligans,Shanon,Nags head and Northen Soul also had to meet friends at pourhose this past tuesday and they had no power and still tried to serve us really warm beers and fruit flys everywhere it was the worst 10 minute bar experience of my life would never set foot in this dump again!!!",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
39,eS67e0bYxDz0q2Soijif5w,Jess G.,1.0 star rating,"Would give zero stars if i could. We waited over an hour and a half to get in. Meanwhile, people were coming out saying that it wasn't crowded AT ALL. Also, as people left the bouncers would just let their besties in. It's cute that they have a sorority bond with their bros but it's rude and disrespectful to paying customers. One guy would just stand around the line and tell people that we're never getting in. So you're basically turning away 30 customers?? Go somewhere else. The people who work here suck and management should consider taking a hard look at their staff.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
40,YGmEEBqCU-3WwlrrwPmaAw,Adam Cory O.,2.0 star rating,"Came in for beers and dinner last night.   Noticed the name change. Absolutely love the East Village location so I was excited to walk in!  5pm, dark outside, four people at the bar and all seemed to be under interrogation by the offensive spot lights all around. The smell of chemicals and disgust led us right out the back door, which was illegally blocked by a chair, in no more than 30 seconds flat.  Bartender and Management should be much more aware of their surroundings and provide a comfortable environment for prospective guests.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
41,nNFQ8dkkXIZ7GfwP7GercA,Kristina S.,4.0 star rating,"5 stars for being a great place for drinks and 3 stars for the food. I've only been here once for a yelp event but we all had a good time. They have really excellent drink specials, happy hours and lots of beer on tap. The place is pretty spacious and has a casual/relaxed feel to it. There's a circular bar in the middle with tables all around and a little cozy lounge area in the back. There are TV's all over too so it's ideal for sports. The food is good but I wouldn't come here for a sit down dinner. This place is good for drinking heavily and maybe some bar food if you're really hungry. My favorite thing on their menu are the lamb sliders. If you like lamb, get them, they're frickin' awesome. The bartenders were friendly and really quick. I never had to wait for a drink. I will be back for drinks again soon.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
42,tvw8k1EAF_EJ5fd2WR7YMg,Alan B.,5.0 star rating,"Great sports/bar, great food, great staff.  Always have a great time at VPH.  Its usually our go to for FB sundays.  Not a bad seat in the house either.  Its nice to know you can also reserve a table or what most bars don't offer, a spot at the bar.  I highly recommend VPH for anything you have planned.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
43,-zDrB1iNUARBR-DamaTzeg,Maggie O.,1.0 star rating,"I went here for a football game and the place drew a ""fratty"" crowd, including a guy who got sick in the middle of the floor at 8 pm. Unacceptable. We were lucky enough to have a table, the football specials are good, as is the food, it's just the crowd is a problem.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
44,d1UyJENiftCLT4KCEpMUcw,Dan S.,5.0 star rating,"This place is more than a watering hole - it's a home, a ""house"" if you will. At the House you can expect the friendliest of servers and divine cuisine. Alex, Alex, & Michelle make you feel right at home at the House. Pretty easy on the eyes as well . Each and every time I enter the House I am surrounded by the warmest of services. Great for games, trivia, even nuptials. Highly recommend Pourhouse in Hoboken-come for the drinks but stay for the company. Hail the house.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
45,5pGuV2kG37-OW-3u82Jy6g,Marie Ann F.,2.0 star rating,"My friend and I went on a Thursday night to check it out. They had a $5 martini special. Granted, this isn't the ideal place to get a martini but .. it was A LOT worse than expected. They put pickle juice in the martini... ""whoops ran out of olive juice."" My friend ordered an apple martini.. they got it right but then a large bug flew in her drink. They brought her a new one.. this one was cherry. There was just A great deal of disorganization and confusion. Joe our waiter was nice and the food was pretty good for fried bar food. Unfortunately, We spent more time talking to the waiter about mishaps than enjoying each other. Probably worst bar dinner I've experienced in Hoboken ( it's been 8 years). I'd recommend they button it up.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
46,Y-QWS30DZsiv6I83hLT-DA,Andrew P.,5.0 star rating,"Thrilled that Pourhouse is back! Great place to come and enjoy a football game, with plenty of TVs to watch all the games. The staff is fantastic and flexible if you have a specific game you would like watch they are willing to change the TVs for you. On Friday and Saturdays the place has awesome music and a great crowd. Great bar food as well, try their boneless wings!",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
47,f-gyTX2RSinH7COsn0UInQ,Cat V.,2.0 star rating,"First experience at the Village Pourhouse was as a 2nd bar destination following a session with ZogSports Singles League. The Pourhouse is good for three things: 1. Cheap beer (in pitchers of course), 2. Karaoke and 3. Groups. All of which were a huge plus when I went with fellow Zoggers. The bar is located on the southend of Hoboken, a few blocks down from Washington near City Hall and about 1/4 mile from Hoboken Terminal. I have only had beer here primarily because that's all I trust in this place. If I were to come on a night there wasn't karaoke I'd probably be miserable. So word to the wise, come with friends or don't come at all.",Village Pourhouse,3.0 star rating,$$,"Sports, Bars,, Venues, &, Event, Spaces,, American, (Traditional)"
