,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,XIVhlE211QvcDkoZtmZ1uw,Fox E.,5.0 star rating,"Donald Trump may look like CHEETOSAnd pies may taste much better with FRITOSMichaels may be more talented than TITOSBut there's no sandwich better than VITO'SThe best way may still be CARLITO'SEcuador may have a few QUITO'SThat serial killer may have cut off your THREE TOESBut there's no sandwich better than VITO'SThe US may still misuse U.N. VETO'SAnd the least Mexican chip may be DORITO'SI may suck more men than MOSQUITOSBut there's no sandwich better than VITO'SMe and my brother may well still BE BRO'SGirls may love our thick TORPEDOESAlmost as big as our inflated EGOSBut there's no sandwich better than VITO'SFUGGEDABOUTIT.Owned by Vito Corleone, Vito's is one of the top 5 Italian delis in the United States. It's also one of the top 5 in Hoboken. That sounds weird, but it's a testament to how good the delis are here. Vito's is one of my faves, and makes a truly delicious, tasty sandwich.The guys that work here are real Italian Jersey guys. They're also really cool. The sandwiches are just off-the-charts spectacular. You cannot get better than a Vito's sandwich. There may be others in town that are just as good because this is the town of delis as I said. And this may be a little pricey. But Vito's is just perfect. I am absolutely in love with the sandwich and you will be too - once you try it.Another really great thing about Vito's is that they will put all kinds of delicious veggies and dressing on your sandwich which some other delis don't do. The fresh mozzarella as amazing as you would expect in Hoboken. You simply must try Vito's.And hey, I just met youAnd this is crazyBut here's my number (it's a Jersey number)So Corleone me maybe?So let me tell you, there's a secret. The best Italian delis in the world are not in New York City. They are not in your hometown of whateversville, Missouri. They are not in Italy or France (although there's some damn good sh** over there). Forget Long Island. Sorry Chicago. Nope. The best Italian delis in the world are in Hoboken and Jersey City. Yes, it's true. Don't ask me why, they just are.There are 5 spots in Ho-broken, all vying for the title of the world's best Italian Deli, I can't decide which of the 5 is best, and people I've taken to them have differing opinions. Although one thing we all agree on is: if the other 4 didn't exist, then the one remaining would be the best in the world. That's how good these 5 are.Fran's, Andrea Salumeria, M & P Biancamano, Vito's, and Fiore. I've been going between the 5 as my fave for the longest time, but if I had a gun to my head and I had to pick one: I'd pick all 5. And so should you.The selling point of all 5 (and all good delis in this area) is that they have Fresh Mozzarella. I mean fresh, fresh. It's literally fresh, like, still gooey, warm, squidy, just made, and absolute heaven. Their imported meats are the best of the best. Their breads and seasonings, incomparable. You can't get any better than these sandwiches. Come and try for yourself. They have ruined all Italian delis everywhere for me, forever. For a traditional Italian sandwich, nothing will ever compare to Hoboken.So Vitout further ado, let me sign off this review with Peter Gabriel's hit song about Vito's.original song (one of the most important songs ever)youtube.com/watch?v=luVp…original lyricsazlyrics.com/lyrics/pete…September '17Hoboken weather fineIt was lunchtime as usualIn area code 201Oh Vito's, Vito's, because Vito'sOh Vito's, Vito's, because Vito'sMutzarella, MutzarellaThe sandwich is deadThe sandwich is deadWhen I try to sleep at nightI can only dream of breadThe outside world is all Mutz whiteWith roasted red pepper redOh Vito's, Vito's, because Vito'sOh Vito's, Vito's, because Vito'sMutzarella, MutzarellaThe sandwich is deadThe sandwich is deadYou can gobble down a half subBut you can't eat an entireOnce the mutz begins to digestThe appetite will expireOh Vito's, Vito's, because Vito'sOh Vito's, Vito's, because Vito'sMutzarella, MutzarellaThe sandwich is deadThe sandwich is deadAnd the eyes of Yelp are watching nowAnd the mouths of Yelp are salivating now",Vito’s Italian Deli,4.5 star rating,$,Delis
1,C2MISDzctEpKLCUZFZCv2A,Shams N.,4.0 star rating,"Wow  Stopped in to grab a sandwich during their happy hour (2-6pm during the weeks), which discounts most of their basic sandwiches to $5.95. I grabbed the turkey mutz sandwich  which was HUGE, filled with mozzarella chunks and some hot sauce. Turkey was fresh, mozzarella had great texture and taste, and the bread was fresh and crunchy, as expected from an Italian deli.I also picked up a box of Italian chocolate cookies for $6-7, and with limited shame devoured them in like 2 days. I'd do it again...All in all, would stop by again if in midtown Hoboken.PS: they charge a 3% surplus for credit cards, so have a debit card or cash on hand.",Vito’s Italian Deli,4.5 star rating,$,Delis
2,sTwvPXOtsPD48t-wN4L-7g,Natalia C.,4.0 star rating,"Best chicken cutlet sandwiches in Hoboken. Wish they offered delivery but its worth the walk. good serving sizes, bread is fresh, mozzarella is fresh, and the cutlets aren't too thick or thin.Sometimes they run out of chicken cutlets and will offer grilled chicken substitute for the same price. Recommend ordering early to avoid or waiting for a fresh batch of cutlets.",Vito’s Italian Deli,4.5 star rating,$,Delis
3,X0qw7ZT9d1ZPecejfg1cew,Michael B.,4.0 star rating,Absolutely phenomenal Italian sandwiches.  If I were alive in the early 20th century then I imagine this is what I would have eaten for lunch.  Classic deli sandwiches made with quality ingredients.  It's so authentic that they don't have any indoor seating.  Would be nice to if they had at least one table or something but this is still one of the best options in this part of town for lunch.,Vito’s Italian Deli,4.5 star rating,$,Delis
4,xqijpkDD2d-6UGiXls5rbA,Caroline B.,4.0 star rating,"Classic Italian deli with good ""mutz""--nothing more, nothing less!",Vito’s Italian Deli,4.5 star rating,$,Delis
5,LcWOq7p7Mhtv9hIlDrhy9A,Mel T.,2.0 star rating,"Vito's is a little overpriced. I ordered the Parma, (which is prosciutto, fresh mozzarella, basil, and Italian dressing) along with a prosciutto rice ball and my total came up to $16. The sandwich was just okay, and it was on the smaller side. I think I prefer M&P's, because their sandwiches are bigger, have more ingredients, the mozzarella is creamier, and it's cheaper.Maybe I just didn't get the right sammie at Vito's, but I would be willing to give it another try - especially since the staff is so nice. Probably during their ""happy hour"", which I believe is Tues - Thurs from 2-6, when they have discounted sandwiches.",Vito’s Italian Deli,4.5 star rating,$,Delis
6,CoqAIuGaWS5ULb7G_XtkRQ,Alyosha F.,2.0 star rating,Unfortunately I'm giving this rating for their food. I ordered a chicken wrap with bacon and hot sauce and mayo- not only was the chicken cold but it felt they dumped half a jug of buffallo sauce. barely could eat without my mouth being on fire and barely any mayo.... plus charged nearly $12 for a wrap that in Manhattan costs 9+tax. .. so for food it's a 1 star but very nice atmosphere and the customer service is great. very pleasant people. but here only judging for their food not personality.,Vito’s Italian Deli,4.5 star rating,$,Delis
7,aK0qo1Sf_hHWl8th6ksxmQ,Nicole C.,5.0 star rating,I have never had anything less than mouthwatering from Vito's. My friends and family back in Philly actually send me muzz and burrata orders when they know I am heading back their way. I ordered a large cheese tray for Christmas that could have fed an army and that army was super happy to be chowing down on that delicious cheese on Christmas Eve (and even happier that I didn't attempt to cook anything.) Their jarred sauce is happily welcomed in my home and is even up to the standards of my Italian fiancé who has only known homemade sauce his entire life. He goes there for sandwiches when he has half days from work and spends days salivating over his future order. CALL AHEAD FOR ORDERS! This place in bumpin most days and the last thing you want is to be waiting 45 minutes (not exaggerating that wait time.) Vito's is a Hoboken staple and my muzz preference is always theirs!,Vito’s Italian Deli,4.5 star rating,$,Delis
8,p1gQXnFigc_joKzHPcl9Ng,Enya L.,5.0 star rating,"Know what you want because they move fast. The staff is friendly, helpful, just quick. Also love how they are open on Sundays when most of the good mutz delis aren't. They have plenty of options to choose from. We got the Italian Cuban and Soprano. Mozzarella in both was delicious. They are really generous with how much Mutz they give. The bread was really good (a bit hard). They stuff the sandwiches with a bunch of ingredients. I loved the peppers and garlic spread in the soprano. It goes well with the ham and hot cappi. The Cuban was my favorite. Pork loin and ham with pickles, garlic mayo, and ooey gooey provolone. I definitely want to come back and try some of the sides.  They have a nice and cozy outdoor seating area.",Vito’s Italian Deli,4.5 star rating,$,Delis
9,qzqLoYehicAM3ruoL7vXwQ,Armando G.,5.0 star rating,"Excellent Italian Cuban, bad thing I forgot to take a picture because it was sooo delicious, thanks Vito's",Vito’s Italian Deli,4.5 star rating,$,Delis
