,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,oB2uFSaC-qmIubdsmuHguw,Subodh M.,4.0 star rating,We stopped by here for brunch on a Saturday afternoon. We were craving ramen and our craving was truly satisfied.It's a cozy little location with a decent amount of seating. I had the vegetarian ramen and it was truly excellent. Probably the best vegetarian ramen I've ever eaten... not that I'm a ramen connoisseur!I also had a bubble tea that was good.I'll be returning here again the next time I'm craving ramen.,Vivi Bubble Tea,3.5 star rating,$,"Ramen,, Bubble, Tea,, Taiwanese"
1,tt1vLgAP5UpRXAKJLT2KWg,Alec K.,3.0 star rating,"Decent bubble tea chain and the oldest bubble tea location in Hoboken. The price, quality, and variety are basically average for bubble tea. Of their offered ""snacks"" I've had a few and they are much better then what you'd expect from a place that specializes in beverages. I still come back here from time to time and will continue to do so in the future. Their atmosphere is fine, and their business hours start quite late for a caffeinated beverage store. Sound decent? They are. But the reason they deserve three stars is that there is much lacking there that other bubble tea places offer. Prices could be improved, hours could be earlier, they could have a greater selection (there are some bubble tea staples that they are missing), service could be faster (takes ages if there is even a short line). Also their almond bubble tea is foul tasting. Anyhow I still go here from time to time for their bubble tea and for some snacks, if you must have bubble tea and can't be bothered to go far from the PATH, Vivis is a good option.",Vivi Bubble Tea,3.5 star rating,$,"Ramen,, Bubble, Tea,, Taiwanese"
2,EZgCfQg314CsmfodDBlKnA,M K.,4.0 star rating,"Came in for the ramen. Considering it doesn't look like their key food item, it was fantastic.  I can't give then 5 stars since I didn't have the bubble tea.  Had the tonkostu black ramen.  The pork was probably not pork belly , but nonetheless was delicious. It melted in your mouth. The soft boiled egg was cooked to perfection and was warm in the soup. It also had seaweed, corn and a fresh fishcake.  The broth was dark and rich like you would expect.",Vivi Bubble Tea,3.5 star rating,$,"Ramen,, Bubble, Tea,, Taiwanese"
3,Gnj3X_Zs99KS0AIVeYQVGA,Jerry L.,4.0 star rating,"A great franchise establishment in town, folks that adore bubble tea, this is the place to enjoy a hot or cold cup of tea with or without tapioca. They offer japanese matcha  and the drinks normally runs around $3.50 for a medium and $4.50 for a large. Keep in mind there is a $10 minimum for credit, the ramen run around $9.95 and up, the rice bowls run $7.95 and up and I love their Taiwanese sausage and their wings. There is a bathroom and bike and car parking are available. Enjoy!",Vivi Bubble Tea,3.5 star rating,$,"Ramen,, Bubble, Tea,, Taiwanese"
4,SNfcSJx7p-jjNtd5vpSayg,Hang V.,4.0 star rating,Boba tea and ramen?!? YES please!   I became a fan of ViVi's boba tea when I visited a location in Chicago.  This location serves ramen too!  Pretty good ramen at that!Perfect combo!,Vivi Bubble Tea,3.5 star rating,$,"Ramen,, Bubble, Tea,, Taiwanese"
5,VdwsBfxuBAnfavac0akKsQ,Tony R.,3.0 star rating,"Really good ramen joint. I got the Tonkotsu Black Ramen which was super flavorful. My wife got the Vivi Shoyu which she enjoyed but after trying my Tonkotsu, she mentioned she liked mine more. It has a wide variety of Bubble Teas and treats. My biggest complaint was the wait. We came in for lunch and ordered to go. From the moment we placed our order (12:19pm) to the moment I actually received my order was (12:45pm) was 26 minutes! Now I know this isn't exactly fast food but it does offer carry out. I was amazed at how long it took. Here's the thing, I'll go back because the Ramen was good. But I'll do it on a day in which I don't need to get anywhere super fast.",Vivi Bubble Tea,3.5 star rating,$,"Ramen,, Bubble, Tea,, Taiwanese"
6,nsgaqFbzszFtL4RewbE5fQ,Glenn Elise P.,4.0 star rating,"Love the mango tea here with bubbles.  The bubbles are usually a bit softer than the ones from Kung Fu, but come on- this place includes bubbles in their price of the tea AND has food.  We always come here for the various popcorn chicken flavors, the takoyaki, and the ramen.  You can add spice to your ramen which really isn't too spicy, it just adds flavor to your ramen.  It's not even as spicy as buffalo chicken.The only things I hate is that they don't have more seating and that there is a $10 minimum for credit cards.  It's also gotten noisier since they added the rolled ice cream cart.",Vivi Bubble Tea,3.5 star rating,$,"Ramen,, Bubble, Tea,, Taiwanese"
7,SBjUfw4wChGuLmXHGPL-Vg,Kat R.,1.0 star rating,"Came here with some friends from Los Angeles and I must say, initially I thought the place was cute but had a disappointing encounter with the rude cashier, Jessica. I wish I could have counted how many eye rolls and sighs there were when I was ordering. I sincerely felt like I inconvenienced her for asking what size my jasmine green tea would be and if it could be lightly sweetened. Jessica: *sigh* 30,50, or 70%. My tea was ok but the veggie ramen was mediocre.",Vivi Bubble Tea,3.5 star rating,$,"Ramen,, Bubble, Tea,, Taiwanese"
8,p7jgEo4AJXBDhkZjz153tg,Stephanie G.,4.0 star rating,"Can't speak for the food  and from some the the reviews that seems iffy, but the bubble tea itself is nice, and since that's the name I'm glad that is the focus. This place isn't that big, so there are a few tables and a couple couches. I wonder if people stay at those tables a while, because it would be annoying if I wanted some ramen to eat it in the only available seating area, the couch. I know they do the best they can with the space they have, but I wonder if the comfy couches might be better taken out and adding more tables/chairs.I just had a bubble milk black tea, which met my expectations. Good flavor and nice chewy tapioca. $10 minimum for credit which is annoying. I don't see myself ever paying more than $10 at once here. Cute atmosphere and good bubble tea so I recommend.",Vivi Bubble Tea,3.5 star rating,$,"Ramen,, Bubble, Tea,, Taiwanese"
9,9zngzsXKxCPUg0uR76PJ4Q,Lisa H.,3.0 star rating,"This was my initial visit to any ViVi Bubble Tea. In all honesty, I'd probably rate Vivi higher, but I'd tried Boba Guys beforehand and was still fixated on that bubble tea. Sorry ViVi. I had the medium passion fruit green tea with bubbles ($3.50). It was good (reasonable amount of boba that had a pleasant texture and taste) but indistinguishable from the places I go to that use powders. I wasn't asked about the sugar level that I wanted, but I overheard the cashier tell a customer after me that the level couldn't really be modified for this particular beverage. ViVi can be found all over the NYC area, it seems. I almost went to one in Manhattan that I passed going to the PATH. This location offers ramen which was intriguing and I don't think is available at the one nearest where I live.The woman taking my order was a low talker (like that Seinfeld episode), so it was hard to hear what she was saying when I asked what a QQ was. Plus she looked like she didn't like me very much. The $10 credit card minimum was a little annoying. Bathroom was totally fine.",Vivi Bubble Tea,3.5 star rating,$,"Ramen,, Bubble, Tea,, Taiwanese"
