,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,Moprj59-NI2WyJbkAKrXcw,Johnny R.,4.0 star rating,"Live right down the street, my go-to delivery place for a quick 'home-made' meal when I don't have time to cook. Burgers are awesome and you can't go wrong with any of the market vegetables, my favorite is the asparagus with parmesan cheese. Also a great place to swing by for brunch or a quick drink at the bar.Service is great as well and super quick delivery.",Westville Hudson,4.0 star rating,$$,"American, (Traditional),, Breakfast, &, Brunch"
1,NZRYr8fJ3OhIChcXd-5zXg,Lynn R.,4.0 star rating,"Great atmosphere, came here on a girl lunch date. Ordered the ice coffee, the truffle fries (delicious)  we shared 4 grilled veg for $15, my friend got the Greek salad and I got the buttermilk fried chicken sandwich. Everything was delicious but the chicken sandwich was very dry. I expected an actual piece of chicken, dark meat, but it was fillet of chicken breast, cut thin , battered and fried. I'll probably be back but will definitely try something else on the menu. Service was great, our reservation was for 11:45a, we were promptly seated and by the time we left, it was a packed house with a bunch of folks waiting by the door! Super busy for a Thursday!",Westville Hudson,4.0 star rating,$$,"American, (Traditional),, Breakfast, &, Brunch"
2,J60Ft_KtOHGBmnwJ0y6ltQ,Gil B.,5.0 star rating,"I haven't been to this place, we order for hotel close by, delivery in less then 15 minutes, This  was both delicious , well priced , and the fries were the best. We ordered a lemon and pepper chicken and a ny strip steak sandwich, the strip stake was not that good, something was missing. It was just bread and a piece of stake inside, steak is not that good quality, but everything else was very nice. Will go definitely try again.This time at the site.",Westville Hudson,4.0 star rating,$$,"American, (Traditional),, Breakfast, &, Brunch"
3,dcu7S1CiTn32utfTZr8trQ,Lexie M.,5.0 star rating,Great food and service. Love the variety of options and high quality food that always tastes great!,Westville Hudson,4.0 star rating,$$,"American, (Traditional),, Breakfast, &, Brunch"
4,zgcZV37pW1yN0n96kJ5diQ,Maria W.,4.0 star rating,"Bustling on a weekday, we were invited to sit at the bar or wait 15 minutes or so for a table. We decided to sit at the bar.The bartender was attentive and provided menus and water right away. The atmosphere is friendly and low-key. I ordered a turkey burger with avocado (extra $2), which comes with friends.It took about 15-20 minutes for our food to come, the place was packed, but when it did it was delicious and tasted fresh. The burger was hot and juicy and the fries were spectacularly thin and crispy. With tip the meal cost me around $18 and I was satisfied for the rest of the afternoon. Definitely recommend as a fresh, delicious spot for lunch or dinner!",Westville Hudson,4.0 star rating,$$,"American, (Traditional),, Breakfast, &, Brunch"
5,dcN0YWNiv9whUwfcc55GAw,Cynthia A.,5.0 star rating,"Went for an early dinner here last night with a couple of friends. The drinks were amazing! I can't remember the name of mine but my friend had the Raspberry Spritz and she loved it. So now we're complete foodies and always over order because we want to try everything! On our table we had a spread of the garlic mash, the fried plantains, the Brussels sprout poppers and the yuca fries. We also had a total of three different salads and the polenta dish. EVERYTHING WAS AMAZING, how is that possible? I personally hail from a Caribbean island and those fried plantains and yuca fries made me feel right at home. The service and environment was also great and we also had pie. Granted we took most of this meal to go, haha. But the Blueberry and Apple Pie was to die for!!Will be visiting again soon! :)",Westville Hudson,4.0 star rating,$$,"American, (Traditional),, Breakfast, &, Brunch"
6,UEXrFaPBhjsieUbcqSNKDw,Shana H.,4.0 star rating,We came to this location on a Saturday afternoon and it was lit!!! As in lit with children and families which is completely fine LOL. Anyway they seated us pretty quickly and I was able to adjust my order to meet my needs although what I wanted wasn't on the menu. Enjoyed the place.,Westville Hudson,4.0 star rating,$$,"American, (Traditional),, Breakfast, &, Brunch"
7,htnZm2ZesNq2XtTJqa5czw,Sara B.,4.0 star rating,"Stopped in between two meetings. I wasn't really going to get much, maybe just a coffee, but so happy I took the menu and ordered the avocado toast! It filled me up, worked straight through lunch! Staff was friendly. I sat at the bar and the bar tender got my order placed and in front of me within 10 minutes. Only thing that annoyed me was that it said on the menu that the avocado toast was $11 but on the bill it was $12. I gave the bartender my card without even looking at the bill before he ran the card and I wasn't going to complain about a dollar, but most people aren't like me. ¯\_(ツ)_/¯ Will definitely be going back and trying out the other locations! Bottom Line: Go! That avocado toast was one of the best I've ever had!",Westville Hudson,4.0 star rating,$$,"American, (Traditional),, Breakfast, &, Brunch"
8,frWFlRFFWsKj0Ma4IKqNAA,Theresa E.,5.0 star rating,"All I can say about this restaurant is, wow! Granted, I don't live in New York City and have been impressed with everything that I've eaten there, but as a vegetarian, this place was a standout.As with good restaurants in the city, you're going to want to have a reservation, and be there on time. Their menu rotates based on what is available and fresh. I would suggest going with friends so you can sample a variety of things because just about everything is delicious.I'm writing this review several months after eating there, so my recollection of exactly what I had is fuzzy, but I can say that this is on my list of one of the restaurants I will be returning to on my next trip. That's saying something. If you have the opportunity to go here, I would highly recommend it as great Fresh Foods that appeals to even carnivores!",Westville Hudson,4.0 star rating,$$,"American, (Traditional),, Breakfast, &, Brunch"
9,Ls9tW9kuYqDjHJPkEUFoFw,Kyle H.,5.0 star rating,"Posting this because I was surprised that it didn't show up when I searched for ""vegan"" near an address two blocks away. Has great food and beer, plenty of vegan options, and staff that generally know the answer or how to get it when you ask questions about vegan items.",Westville Hudson,4.0 star rating,$$,"American, (Traditional),, Breakfast, &, Brunch"
