,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,xqijpkDD2d-6UGiXls5rbA,Caroline B.,3.0 star rating,"We ended up at Wicked Wolf on a chilly but beautiful day as we were waiting for the sunset and to witness a marriage proposal.  I'm pretty sure I had been here before a while back, but it served its purpose this time.  It gave us a place to thaw out and be all-American as we watched March Madness on the flat screen TV.  It's a pretty unremarkable sports bar other than its tremendous waterfront view which is certainly a highlight.",Wicked Wolf Tavern,3.0 star rating,$$,"Sports, Bars,, American, (Traditional)"
1,PypnYhjWkmYTyTZ9z9Q3PQ,Shikha J.,4.0 star rating,Went to this place on Valentine's Day this year to enjoy some good brunch overlooking the New York City skyline with a friend. We ordered a plate fully loaded Nachos and a plate of Red Pepper Hummus and Pita. For drinks we ordered two portions of Watermelon Sangria. The quantity of both Nachos and Hummus plate was pretty good. The Nachos tastes good at the start but tend to dry out if kept for long. Red pepper hummus was amazing. Watermelon Sangria's were absolutely refreshing and perfect for a day time outing. The service was very prompt and the staff was extremely friendly. Would definitely recommend this place.,Wicked Wolf Tavern,3.0 star rating,$$,"Sports, Bars,, American, (Traditional)"
2,xBX7qhzkABg8ANtxM65OUA,Louis F.,4.0 star rating,"Spent New Years Eve at the Wolf. They threw a great party, staff was super friendly. The buffet was great, fresh salad And standard Italian fare.I've been here before for Happy Hour and enjoyed the vibe, New years didn't disappoint!",Wicked Wolf Tavern,3.0 star rating,$$,"Sports, Bars,, American, (Traditional)"
3,gkd0QP7_uRL3uGZxErFoXw,Jaime G.,3.0 star rating,"Pros: Outdoor seating with a beautiful viewMusic isn't too loud if you are outsideDecent priced food Good drink choices Located across the street from the waterfront Big TV inside to watch sports onCons: Slow serviceExpensive drinks Loud music when seated inside More of a club/dance feel than a restaurant Food is not great. - I had the herb crusted salmon. It came out too hot to eat. Not very flavorful. The rice was horrible. My experience: Arrived at 5:30pm on Sunday, didn't have to be seated outside. It took about 10 mins before I was asked if I wanted anything to drink. I had to request a water along with my drink. The table next to me was seated after me and their order was taken before mine. The waitress walked past me to go to their table. It wasn't like their table was conveniently located before mine. Lucky for them I wasn't in a hurry. Outside was actually really nice. Other than the service sucking, it is exactly what I was looking for.",Wicked Wolf Tavern,3.0 star rating,$$,"Sports, Bars,, American, (Traditional)"
4,emRWaYcO6hyCJ028jvpTrA,Tony V.,2.0 star rating,"Over rated - Food fair at best - Under cooked , sandwich's under par, to load up a plate with fries doesn't hide the fact that the sandwiches were lousy. Drinks were just ok. Wont be back - can do much better in Hoboken for good food and drinks.",Wicked Wolf Tavern,3.0 star rating,$$,"Sports, Bars,, American, (Traditional)"
5,7ZJZlKNw8Ued1zmXCyph4A,Kate M.,2.0 star rating,"Came here with a group of 12 since our office is next door. Our food took a long time to arrive (despite being wraps, salads, etc). I would say 5/12 got incorrect orders and 2/12 had hair in their food. The food overall was subpar even for generic pub food. When we tried to express our frustrations to the waiter he half listened and then walked away mid-sentence.The manager was apologetic and took some stuff off the bill which was appreciated. I wouldn't come back for food, but seemed like a good spot for a drink, a sports game (lots of tvs) and the water view.",Wicked Wolf Tavern,3.0 star rating,$$,"Sports, Bars,, American, (Traditional)"
6,BjC6VjoSrTRAXnnuOoFrMw,Ed W.,3.0 star rating,"This place is huge!  That's not surprising considering it's proximity to the PATH station.Came here for drinks before heading back to NYC.  We had good service, but I agree that the drinks are a bit overpriced.There are a TON of TVs, so this is probably a great place to watch whatever sports you're into.The crowd skews pretty young.  The vibe reminded me of frat bars across the country, which isn't a sin; just know what you're in for.",Wicked Wolf Tavern,3.0 star rating,$$,"Sports, Bars,, American, (Traditional)"
7,rQep0xHlYlWKMVWAOzU9ew,Lina K.,4.0 star rating,"Only rating on the Halloween night that I went to last weekend.  Crowd was fun ... both for the football crowd and the masquerade contest part of the evening.  We got nachos, wings, spinach artichoke dip, chicken fingers, maybe a few other things and it was good bar food.  Our waiter was great, very attentive to our large party in a large crowded bar.  Drinks were also good.  I don't go out in Hoboken that often anymore but thought Wicked Wolf is a great place to catch a game and a meal.",Wicked Wolf Tavern,3.0 star rating,$$,"Sports, Bars,, American, (Traditional)"
8,LqQXaVoo-rctZzrAc-RKrQ,Ina M.,2.0 star rating,"Ugh, I liked the place until I realized my friends and I ended up double tipping the bartender. It was my first time there, so I didn't know how much drinks cost on average here. I didn't realize until I saw the itemized receipt long after we left that she added gratuity ($13) and my friend still gave extra $20 cash. If she let us know gratuity was included then I wouldn't be ranting about this. Just not a fan of grimy servers/bartenders, especially when I am part of this industry. Lesson learned: always check the bill (something I never really needed to do).",Wicked Wolf Tavern,3.0 star rating,$$,"Sports, Bars,, American, (Traditional)"
9,IMrkLxOtWyq7gjiUW2v_Hw,Megan V.,2.0 star rating,Only came here for a couple hours for a work happy hour which for a couple hours wasn't a bad selection of items. But this place doesn't really have a wow-factor. Good for a couple beers after work and basic bar food. It's a great view of the NY skyline and Empire State from this place though!,Wicked Wolf Tavern,3.0 star rating,$$,"Sports, Bars,, American, (Traditional)"
10,gxENC_UdtelREs0DEsrmrg,Michael N.,5.0 star rating,"Note: Located on the SW corner of 2nd and Sinatra Dr.I came here with a group of friends for dinner and a Thursday Night Football game. I was delightfully impressed by the food quality, this place takes bar food very seriously. Every booth has a personal TV!Additionally, the service was exceptional. Our waitress was very helpful and have us many recommendations from the menu. Overall, the sports bar restaurant experience was one of the best in Hoboken.",Wicked Wolf Tavern,3.0 star rating,$$,"Sports, Bars,, American, (Traditional)"
11,6QxIW4P0GsOodae3_KAn0Q,Lauren D.,4.0 star rating,"Best happy hour specials!! Beer, wine, and well drinks are 3 bucks each and they have an awesome food menu with 5 dollar appetizers.  My favorite is the fried pickles (ahh-so yummy!)  but you can also get wings, pretzel sticks, chips and dip, mozzarella sticks, etc.  What's even better is that it's located on the water, so if it's nice out you can enjoy a (slightly) more relaxing side of Hoboken.  I've only had a few of the wraps from the regular menu (my favorite is the Popeye), which are also super affordable and delicious.  Definitely one of our go-to's in Hoboken!",Wicked Wolf Tavern,3.0 star rating,$$,"Sports, Bars,, American, (Traditional)"
