,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,Q5QysbTMszyhPXWHo8xUAg,John K.,5.0 star rating,"Our go-to spot in Hoboken. Servers are so friendly, and each item on the menu is outstanding. We made a point to try different items nearly each time we went and we were never disappointed. Some of their most outstanding dishes are: Old Bay wings, goat cheese salad, shepherd's pie, but everything goes above and beyond. For the bar type environment you don't expect it, but the chef is highly skilled. Great place, highly recommend!!!",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
1,8UwZi3BwC74MJrUS24iP0w,Adam D.,3.0 star rating,"Another Hoboken bar. What's there to say really? It's divey with decent service and lots of room in the back to practice either your pool, flip cup or boxing skills.The location as far as it is uptown probably draws less of an out-of-town crowd and makes for more of a hangout spot for true locals. I can't speak for the food, then again, I left content that I stuck to beer.",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
2,2KDAYhvJsXGIMJwWexh0cw,Marie L.,1.0 star rating,This place sucks bigger dick than everyone. They charged $20 for a cover and kicked me out because I spread the word that the cover was $20. Fuck them.,Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
3,XKdfluj6BN-YYXcqhzSDgg,Amanda N.,2.0 star rating,"Another night a Willie McBrides, another jacket stolen. I live in Hoboken and I go out in Hoboken so I know the bars very well. Willie McBrides is a fun spot but staff doesn't give a shit about customer service. You pay a cover and then you're forgotten about. The bar is crowded and there's no room for anyone. Every time... every damn time something of a friend of mines is stolen. We've had jackets and wallets stolen at Willie McBrides.. wallets from our purse. You'd think they'd stop someone leaving the bar carrying 5 coats right? Nope. An entire section of jackets were stolen last night, at least 5 or 6, just completely gone. For the number of people working the door, you'd think they'd notice someone with a shit ton of coats, or maybe it's the staff taking the jackets? YOU CAN TAKE OUR JACKETS, BUT YOU CANT TAKE OUT R FREEDOM.",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
4,0N-KjrWWStLO-ILbkxhH8w,Ron S.,1.0 star rating,"The bands are mostly great, playing 90s, 2000s, and 2010s hits -- with solid beat-keepers, impressive lead-guitarists, singers, and melody makers -- and the sound mix is generally pretty solid, but unfortunately, the diversity in non-existent. My unofficial stats are 99.5 Caucasian.",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
5,g5zZSP5nU04jlhyBwh4V6g,Don C.,5.0 star rating,"This Saturday, me and a dozen other people wanted to have a game night in my yard, but it was pouring rain. I called Julie, the manager, and she said there wasn't a party booked in the back room and we were welcome to come, bring cards and board games, and enjoy the $5 Miller Lite mini-pitcher special. We were there for six hours and Julie, Nancy, and Vicki took amazing care of us. They made us feel at home, we always had a drink, and the staff was friendly and attentive. I've never had such great service from any other bar in Hoboken on a Saturday night. I highly recommend the place on Saturdays when it's not too crowded, and Sunday and Monday when Matt and Terry are bartending for a relaxing chill environment and free pool.",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
6,4kdSh2lkelfHpXOQAPF4rQ,Michelle C.,5.0 star rating,"One word: WINGS! This is the only reason why I come to Willies. This is one of my favorite wings place in hoboken (toss up with Johnny pepperoni). Yes the bar is dark but it does not bother me. I'm here to watch games, eat wings, and drink beers so the dark bar actually works for me. I can't comment on the bar scene as I don't frequent here for the bar scene. Their sports bar theme is A+.",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
7,Fg3LfZuw8WlxEmP0BluBbg,Kyle H.,3.0 star rating,"Came here for their NYE event with a group of friends because i heard it was great.The place is setup nice, great spot for live music with a stage located in the back and plenty of room to dance. I can definitely see this place packing out on a Saturday night. When you first walk in there is a bar along the right wall and tables along the left. This walkway leads into a backroom with a dance floor and another bar along the back wall of this room, a nice perk for quick drink output. The bathrooms are upstairs which seemed to be relatively clean and the line moved fast (at least for the guys).The food served on NYE was pasta, sausage and peppers, fried chicken, and potato skins. I am not impressed. There are no tables so you were forced to eat like a prisoner standing up holding your plate and shoving it down your throat as fast as possible before you spill it on your nice outfit. Drinks were very light for an open bar, maybe a half oz of liquor in each, it was straight soda, i stuck to beers. No top shelf alcohol, no shots, food was ehhh. For $100 i think I'll go elsewhere next year for NYE. the bar itself though seems ok and maybe i would come back for a casual night of partying on the weekend. It is off the beaten path though and kind of inconvienent to get to from all the other big bars in Hoboken. Overall, not impressed.",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
8,2OP3w4Yykz3VOCGdaVEkeQ,Stacey L.,2.0 star rating,The wait staff is atrocious. Been here twice--once for an event and then once on a weekend afternoon--and it's as if the wait staff completely ignores you / is afraid of social interaction.Food is nothing special.,Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
9,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,3.0 star rating,"average alert!! Not much to this place unless you are coming to see a band you like. We ordered the nachos, sweet potato tots, and steak tips. Nothing was overally delicious but it did fill us up. Service was on point and they were very accomodating. Idk if i would come back because there wasnt much to the place",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
10,gzrbzSQuUZvFM2L9dR6A2Q,Jason A.,4.0 star rating,"I have been to Willie McBrides several times for drinks after a Zog event. Willies is a great place to grab a drinks with friends. The staff are quick and very informative. Right before the entrance there are available seating which is great place to have drinks. In addition, the prices are reasonable. This place would be amazing spot to bring friends to watch a game. I would highly recommend Willie McBrides to anyone in the area looking for a local pub.I would rate Willie McBrides as follows: Price is 4 Stars, Service is 4 Stars and the Atmosphere is 4 Stars. The views expressed are of my own and are my true personal experience at this establishment. My personal experience may not reflect this actual establishment, their quality or someone else's experience at the establishment.",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
11,Y2D0MWz9Mw6Qk3tfVp06zA,Hen C.,4.0 star rating,Great Pub!Looks like a little tiny house from the outside until you walk into this unbelievable venue! The bar and setting is very well presented. There are multiple options for seating especially the use of upstairs dining. There are a varied amount of rooms with games. The food was well presented and came out in good time. The sliders were also a great compliment to their menu. The hostess and staff were great and made sure everyone was looked after in a timely manner. Very highly recommended pub!,Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
12,ls2-0A7OQQMPdhEHjCopEw,Nicole S.,4.0 star rating,"I haven't tried the food yet, so this review is strictly based on the bar.The first time I came here I thought it was ehhh. The place was dead (on a weekend night) and it just seemed like a dull bar. But after coming a second time, I noticed what's so great about this bar. First off, there's plenty of TV's so it's a great spot to watch sports games. Especially if you live nearby and don't want to trek to Washington St. There's a dart board and a pool table so when it's not so crowded this is actually a great bar to chill and hang out at. The bartender/manager/owner (not sure which he was) was a really cool guy. Definitely plan to come here more often. They also have some great live music pretty often I hear.",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
13,e4XFtoRLlYSq34hH2Jrx0w,Amanda K.,5.0 star rating,Best damn bar in Hoboken. Never had an empty drink and wouldn't miss a single Sunday during football season.,Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
14,iHV_Ef7WMAu6u0XNyZgvJA,Sara M.,3.0 star rating,"Willie McBrides is like a train wreck, it makes me uncomfortable and is a disaster but sometimes I just can't help myself. The Uncomfortable part:There are just some things about this bar that make my skin crawl - it's dark, dingy, ALWAYS has a line, the cover charge is absurdly high and bud lights are double the price that they should be. The I Just Can't Help Myself Part:With that said, I still come here sometimes in the wee hours of a Friday or Saturday night. Why, you ask? Because, well, I guess what I'm trying to say is this place can actually kind of sort of be really fun sometimes. They almost always have a live cover band here on weekends. You can rock out to anything from the early 00's rock days of Blink 182 and Jimmy Eat World, or time travel back to the 90's and hear some of B.Spears or N'Sync's greatest hits. This can make for a really fun sing along session, especially when alcohol is involved. Because drinks here are stupid overpriced and alcohol makes lots of things better I suggest drinking somewhere else beforehand and coming here late night. Only caveat there is you'll get less of your money's worth on the dreadful cover and the line will be long. Ya win some ya lose some.",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
15,4RbZ1MlAfu-KIP510K3xiQ,Nicole T.,4.0 star rating,"This place has something for everyone! I've been here a few times, and this past weekend was the most packed I've seen it. Willie McBride's is off the beaten path (616 Grand St.), so it helps weed out some of the crazy, drunk train riders. It is a little bit of a walk, but they have a free limo ride service from anywhere in Hoboken if you don't mind waiting for it. This past weekend there was a band playing. As I said, I'm used to the place being a little quieter, but it was still tons of fun. Lots of locals (if you include locals as people not from the area who live in Hoboken now). If you want a place to chill and play darts, watch games, etc., don't go on a Saturday night. Any other night is much more subdued. Bartenders are nice and attentive. Long, narrow bar in the front and much more open space in the back. Crowd is typically mid-20s to early 30s. Note: Cover is $10 when a band is playing.Also, if you're looking to bar hop, not a ton of options like there are near the train station, so plan on making this your stop for the night. My friend's bf lives down the block, so it makes this place all that more appealing.",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
16,GP2dcFSr_8BteRKtY4nGNw,Mark B.,3.0 star rating,"We stopped in here for a quick snack one day and were pleasantly surprised. We have been to the other location several times, mainly for the outstanding wings, and wanted to see if they'd be the same at this location.Décor: It's a pretty standard bar, really. The front bar area/room is pretty small but the back room is huge! It be a great place to host a huge party, actually. There are plenty of TVs to watch whatever game is on and they have a great full bar and lots of beers on tap. It's a bit dark and dank inside, but like I said it's a pretty standard bar/pub feel.Bathroom: typical bar bathroom, but much cleanerStaff: The bartender was super cool and laid back and had a really thick Irish accent (which is perfect for this place!)Food: We had a couple beers, Summer Shandy of course!, and then had some food. Like I said, we came for the wings and they had them! We tried a couple different flavors but the Caribbean Jerk rub is the best. Trust me, it's worth it. Granted, I think the wings at the OTHER WB location are better, but if you're in Hoboken these can suffice.Value: The prices are right about where you'd expect them to be.We came for the wings and left decently satisfied. I'd come back again in the future, but I won't be rushing through the door.",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
17,-6rsAxMZyzOUOVD77mrj3Q,Ervis Z.,5.0 star rating,"Great service,  amazing food, awesome atmosphere,  and some of the best bartenders in Hoboken(Julie,  Gail, Christina) . Brunch (best bloody marry), late afternoon( anything with food in it),  happy hour, thirsty Thursday and those steins, happy friday,  whatever your preference. Even the bouncers are very polite. Try it out! And if you go out for the music, you'll hear something you like",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
18,Gtl3b8B1KNaPY-zQiF_AEg,Drew W.,4.0 star rating,Live bands with the throwback jams. Solid place for sure.,Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
19,E9udhiq3OupWHmKsvP4h1Q,Yan T.,3.0 star rating,"Came here for the Hoboken Comedy Festival. Place is very large, with a spacious backroom they converted into a performance space for the night.Willie McBrides offers a civilized, broad range of craft beers which meet and exceed the standard for an Irish pub. The service was not bad at all considering they had a large crowd there for an event. Food was OK, about what you'd expect (bar/grill).There was an incident with several disruptive ladies, which quickly snowballed into a shouting match between them and other inebriated comedy lovers, but staff was quick to take care of the situation.",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
20,Q5QysbTMszyhPXWHo8xUAg,John K.,5.0 star rating,"Our go-to spot in Hoboken. Servers are so friendly, and each item on the menu is outstanding. We made a point to try different items nearly each time we went and we were never disappointed. Some of their most outstanding dishes are: Old Bay wings, goat cheese salad, shepherd's pie, but everything goes above and beyond. For the bar type environment you don't expect it, but the chef is highly skilled. Great place, highly recommend!!!",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
21,8UwZi3BwC74MJrUS24iP0w,Adam D.,3.0 star rating,"Another Hoboken bar. What's there to say really? It's divey with decent service and lots of room in the back to practice either your pool, flip cup or boxing skills.The location as far as it is uptown probably draws less of an out-of-town crowd and makes for more of a hangout spot for true locals. I can't speak for the food, then again, I left content that I stuck to beer.",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
22,2KDAYhvJsXGIMJwWexh0cw,Marie L.,1.0 star rating,This place sucks bigger dick than everyone. They charged $20 for a cover and kicked me out because I spread the word that the cover was $20. Fuck them.,Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
23,XKdfluj6BN-YYXcqhzSDgg,Amanda N.,2.0 star rating,"Another night a Willie McBrides, another jacket stolen. I live in Hoboken and I go out in Hoboken so I know the bars very well. Willie McBrides is a fun spot but staff doesn't give a shit about customer service. You pay a cover and then you're forgotten about. The bar is crowded and there's no room for anyone. Every time... every damn time something of a friend of mines is stolen. We've had jackets and wallets stolen at Willie McBrides.. wallets from our purse. You'd think they'd stop someone leaving the bar carrying 5 coats right? Nope. An entire section of jackets were stolen last night, at least 5 or 6, just completely gone. For the number of people working the door, you'd think they'd notice someone with a shit ton of coats, or maybe it's the staff taking the jackets? YOU CAN TAKE OUR JACKETS, BUT YOU CANT TAKE OUT R FREEDOM.",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
24,0N-KjrWWStLO-ILbkxhH8w,Ron S.,1.0 star rating,"The bands are mostly great, playing 90s, 2000s, and 2010s hits -- with solid beat-keepers, impressive lead-guitarists, singers, and melody makers -- and the sound mix is generally pretty solid, but unfortunately, the diversity in non-existent. My unofficial stats are 99.5 Caucasian.",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
25,g5zZSP5nU04jlhyBwh4V6g,Don C.,5.0 star rating,"This Saturday, me and a dozen other people wanted to have a game night in my yard, but it was pouring rain. I called Julie, the manager, and she said there wasn't a party booked in the back room and we were welcome to come, bring cards and board games, and enjoy the $5 Miller Lite mini-pitcher special. We were there for six hours and Julie, Nancy, and Vicki took amazing care of us. They made us feel at home, we always had a drink, and the staff was friendly and attentive. I've never had such great service from any other bar in Hoboken on a Saturday night. I highly recommend the place on Saturdays when it's not too crowded, and Sunday and Monday when Matt and Terry are bartending for a relaxing chill environment and free pool.",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
26,4kdSh2lkelfHpXOQAPF4rQ,Michelle C.,5.0 star rating,"One word: WINGS! This is the only reason why I come to Willies. This is one of my favorite wings place in hoboken (toss up with Johnny pepperoni). Yes the bar is dark but it does not bother me. I'm here to watch games, eat wings, and drink beers so the dark bar actually works for me. I can't comment on the bar scene as I don't frequent here for the bar scene. Their sports bar theme is A+.",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
27,Fg3LfZuw8WlxEmP0BluBbg,Kyle H.,3.0 star rating,"Came here for their NYE event with a group of friends because i heard it was great.The place is setup nice, great spot for live music with a stage located in the back and plenty of room to dance. I can definitely see this place packing out on a Saturday night. When you first walk in there is a bar along the right wall and tables along the left. This walkway leads into a backroom with a dance floor and another bar along the back wall of this room, a nice perk for quick drink output. The bathrooms are upstairs which seemed to be relatively clean and the line moved fast (at least for the guys).The food served on NYE was pasta, sausage and peppers, fried chicken, and potato skins. I am not impressed. There are no tables so you were forced to eat like a prisoner standing up holding your plate and shoving it down your throat as fast as possible before you spill it on your nice outfit. Drinks were very light for an open bar, maybe a half oz of liquor in each, it was straight soda, i stuck to beers. No top shelf alcohol, no shots, food was ehhh. For $100 i think I'll go elsewhere next year for NYE. the bar itself though seems ok and maybe i would come back for a casual night of partying on the weekend. It is off the beaten path though and kind of inconvienent to get to from all the other big bars in Hoboken. Overall, not impressed.",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
28,2OP3w4Yykz3VOCGdaVEkeQ,Stacey L.,2.0 star rating,The wait staff is atrocious. Been here twice--once for an event and then once on a weekend afternoon--and it's as if the wait staff completely ignores you / is afraid of social interaction.Food is nothing special.,Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
29,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,3.0 star rating,"average alert!! Not much to this place unless you are coming to see a band you like. We ordered the nachos, sweet potato tots, and steak tips. Nothing was overally delicious but it did fill us up. Service was on point and they were very accomodating. Idk if i would come back because there wasnt much to the place",Willie McBrides,3.5 star rating,$$,"American, (Traditional),, Irish, Pub,, Music, Venues"
