,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,YS76qea53tIuVsnzzczPIg,Jordan L.,4.0 star rating,"Dined here this morning for Brunch, with a 12PM reservation.I highly recommend reservations as this place can get a little tight. With out OpenTable Reservation we got seated right away.Cocktails- Brunch cocktails range between $8-12 each. All handcrafted, and great quality. Downside- For brunch, there are no pitcher options for Mimosas for large groups or for when you just want to enjoy a Sunday Brunch with your girlfriends. After 3 rounds the cocktails add up/FOOD- Amazing! I ordered the Open Faced Egg ($12) and My date ordered the Lemon Ricotta Pancakes ($8). SERVICE-  The restaurant got too packed when a party of 6 walked in and the service staff asked if my date and myself (party of 2) could switch tables so the 6 party could take our large table, and they would give us a free dessert. Highly recommend the Brownie A la Mode. Most certainly will return. My only advice is the cocktails. Offering better options for pricing would make this place a great competitive options for groups, birthday parties, and family brunches. If it is just 2 people then paying per drink is no problem!",Zack’s Oak Bar & Restaurant,4.0 star rating,$$,"American, (Traditional),, Bars"
1,Ox6NXoHS5rFQ3FA_-oKdaQ,Christina B.,4.0 star rating,"I've been to Zack's twice but about 3-4 years apart. Zack's is an American restaurant offering solid food in a lively environment. Because it's not a large place, reservations are recommended unless you don't mind waiting. Service can be a little slow but moreso at the end of your meal. For cocktails, I got the smoky collins. It was a good balance of classic and unique. For appetizers, we ordered the Mac & cheese and truffle fries. The Mac & cheese was a bit thicker, Shell noodles (definitely recommend) whereas the truffle fries were bland. For an entree, the stuffed chicken was a good balance to the hearty Mac & cheese. As a tip, if you are driving here, you can normally find parking nearby the hospital and bus stop.",Zack’s Oak Bar & Restaurant,4.0 star rating,$$,"American, (Traditional),, Bars"
2,y_LETSyVwMVKbMSHwHDioQ,Erin A.,3.0 star rating,"Very busy on a Friday evening. Parking wasn't too hard to find shockingly. We had reservations at 7 but the table was still occupied. We were waiting for 2 more but considering we had a reservation I feel like the table should have been ready! The table was free around early 7 but our friends still didn't show up until later on.My other friend and I ordered. I got the Portobello mushroom burger and she got the short rib ravilolli We got prosecco to begin with for drinks. The bartenders were very nice. The Portobello burger was just not good at all. Disappointing since they don't really have many if not any vegetarian/vegan options. My friend liked her short rib a lot. My other friends got the penne vodka which they both really liked.The waitress noticed I didn't finish my food and asked what was wrong. I simple said I don't like it but it was okay. She removed it from the check, which I felt very bad about even though I didn't eat it. I am giving them 4 stars for service and for the food that my friends enjoyed, but I'm going to give them 3 for the lack of options for vegetarians! I liked the environment, though it is a lot smaller than I thought it would be. Would you back for drinks at least.",Zack’s Oak Bar & Restaurant,4.0 star rating,$$,"American, (Traditional),, Bars"
3,I-cIvsDlNlV1dk3pWCT69w,Esther J.,5.0 star rating,"If would give a 6, if I could! From start to finish, I would say this was an organically comfortably flawless and authentic place. Designed like an old (seemingly pre-war), moderately renovated American bar, this place had a clean charming, holiday wreath entrance, located at a quiet residential corner; however the restaurant was bustling inside as if it were supposed to be in the city -- such a contrast to the neighborhood.They sat us right away, as I made reservations via Yelp's guidance. They had the table nicely prepared. We were able to order wine and appetizer right away. I was very impressed with the appetizers we ordered, especially the al dente mac and cheese and truffle fries! We also ordered spicy calamari which was also delicious. They were decievingly delicious because they came out on a casual plate, generous portions, which only adds to the experience.For main courses, we ordered two NY rib eyes, one gnocchi, one fish tacos, two ribs. I can only speak to the medium steak and gnocchi that I shared. It was probably one of the best steaks I had. Very tender/slightly rare, well cooked and the gorgonzola butter made it all the more savory. It was a perfectly blend of rare and seared/cooked at the outer layers. Side note: Bottle of wine and and dessert were similarly good. The key like pie wasn't overly sweet or sour. Probably one if best key lime pies I've had. Everything was freshly made.Not only was the food good, but while it was packed inside, the service was on point. The waitress was timely, friendly, quickly/succinctly resourceful, and nimble but not overly engaged. My water glass was never empty. She was on point! Not to mention, Wednesday nights have live music. Perfect score for this beloved, happening gem located in a quiet area!",Zack’s Oak Bar & Restaurant,4.0 star rating,$$,"American, (Traditional),, Bars"
4,Wy9Ukt0xyJV-fUXwERxGzA,Glenne M.,4.0 star rating,I've been to Zack's before for brunch but I came here a few weeks ago with friends for dinner. The dinner is just as good as the brunch and I was not disappointed with the food. I got the salmon dinner entree and it was so so good! The restaurant was reasonably packed but luckily we had reservations so did not have to wait long to be seated.  I will definitely be back here and add this restaurant into my rotation.,Zack’s Oak Bar & Restaurant,4.0 star rating,$$,"American, (Traditional),, Bars"
5,dqwN0pHEVhJpIPmvhZ5uLg,Natalie A.,4.0 star rating,"Such a cute spot in Hoboken. When you step in, you feel like you've stepped into a ski lodge den of some sort. The lights are dim and it has a cozy feel, makes you want to order a glass of wine and get comfortable. It is on the smaller side so recommend reserving a table ahead of time. By 7:30 on a Friday night this place got packed. Even still, this place had a very relaxing vibe. We started off ordering a few appetizers, the burrata, the nachos, and the Truffle fries. The burrata was served over tomato with some bread on the side, really good. The nacho platter was really big and a little hard to eat as all the toppings were literally on top of the bed of nachos and not dispersed throughout. The Truffle fries were pretty good and there was a decent serving. All in all we were very pleased and moved on to entrees. I have been eyeing the calamari on the menu and saw it come out for another table so I subdue this in for my entree and was very satisfied. The waitress recommended a Chipotle aioli sauce and so she brought it on the side, it was delicious! The marinara on the side was also great with the calamari. This hit the spot. My husband got the penne vodka and devoured it, I didn't have the chance to sneak in a bite! So I know it must have been really good! Prices are average for food, the drink prices are a little high but considering the area it isn't awful. I remember the Zacks cocktail clocked in at $12, which I thought was a little too much for what was served. Overall it was a nice spot for dinner.",Zack’s Oak Bar & Restaurant,4.0 star rating,$$,"American, (Traditional),, Bars"
6,svFycHjXZYpNVutZ_0_gDQ,Jessica W.,3.0 star rating,"Came here on a frigid night with my boyfriend for a casual dinner. We both ordered French onion soup, it was okay. Surprisingly it was under salted, which is pretty impossible to be.I ordered a sour and my boyfriend ordered a Manhattan. The drinks took forever. We received our soup before our cocktails, and finished the soup before the drinks came. We also ordered dinner, my boyfriend ordered a pork chop. He loved it, said it was well cooked and seasoned well. Our waiter was on top of things, just seemed the bar was working slow or potentially they could have used an additional bartender on site. It was a Wednesday and the place was not packed. Waiting 17 minutes for a drink isn't ideal.",Zack’s Oak Bar & Restaurant,4.0 star rating,$$,"American, (Traditional),, Bars"
7,wU62o5mwLK14jtk0eRRvqg,Tom B.,4.0 star rating,"I live right around the corner and have been to Zack's a few times. This is a cozy, classic American bar setup pumping out Italian/American food each evening. The food is good for a bar without being spectacular. Their burger is definitely worth a look, served with a good amount of fries and a whole juicy pickle! The spaghetti meatballs were solid, although I thought the sauce could've had more flavour. Definitely a step up from your average hoboken pub, I'd recommend dropping by for a burger and a beer if you're in the area.",Zack’s Oak Bar & Restaurant,4.0 star rating,$$,"American, (Traditional),, Bars"
8,Mp4sh3R59aXK1YDntXKmPw,Peipei Y.,5.0 star rating,"Love this restaurant. Waitress was so friendly and nice. We orders 3 different appetizers, every single one was delicious! Sitting outside with beer and rose in a beautiful Sunday afternoon, place to go!",Zack’s Oak Bar & Restaurant,4.0 star rating,$$,"American, (Traditional),, Bars"
9,cTNrS4Ep835g_H8EtZjmJQ,Carlos O.,3.0 star rating,"Came here with a friend for brunch and expected to have a better experience. The place looks nice from the outside. The inside as well kind of vintage. The bar area is great huge selection of alcohol, but was not impressed with the Beer selection. As well as the menu. I'm a huge fan of draft beer and when I look at a menu I like to see how much percentage of alcohol each beer has. Every time you go to a bar and want draft beers there's always going to be different selections and you would always want to know how it's made. I enjoy exploring new beers and connecting with the right taste. The first round of beers were hot not impressed. The bartender by the name of Kieran should have know that beer was not ready to be served. The second beers were much better still not too cold would of loved cold one better bit for some reason we just had a bad experience with the beers. My friend was getting hungry so he order the Bec Burger he loved it. So did I... i had a huge bite from it. The music was bad not impressed Kieran that's playing instruments the whole time I rather listen to jazz music at least or anything else besides instrumentals. The bathroom smelled great single bathrooms. And the atmosphere was great as well. Kieran kept checkin on us making sure we were good. Very good bartender just needs to be clear if something is not ready to be served. Other than that will visit again if I'm near by and I the experience is better I will be editing this post.",Zack’s Oak Bar & Restaurant,4.0 star rating,$$,"American, (Traditional),, Bars"
