,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,MKIBk4JAF8RPmrtjzeb75g,Regina A.,5.0 star rating,Great local Latin American restaurant (affiliated with Cucharamama & Ultramarinos). The restaurant is BYOB which I wasn't aware of until I tried ordering the sangria! Had the skirt steak which was cooked to perfection (add a little chimichuri sauce to further enhance the meat). Portions are very generous and come with rice and excellent beans. This left no room to try desserts. My dinner companion had the chicken skewers and started with a tamale which was excellent. We'll tryvthe small plates next time!,Zafra Kitchen,3.5 star rating,$$,"Latin, American,, Tapas, Bars,, Cuban"
1,OhyD6lgljqFxQfZk5nExCg,Yann F.,3.0 star rating,"It is a nice cute cozy Latina cuisine dive. My wife had rendez vous to try something else in Hoboken, it is across Hoboken University medical  Center,  it is colorful and quite charming . It's a BYOB, but they offer to suggest get a bottle of discounted wine at their other restaurant , the Cucharamama (mom's spoon), which really looks nice. I got to try it, plus it apparently is a hot Latino food place in  town. now Zaffra, 's food was average and small portion, so We were not too impressed with it , we had Tamal de pollo y Rajas, papa rellena, crema de calabazza, empanadilla con pebre. All in all it was good but not exceptional. Service was nice and pleasant with friendly staff..",Zafra Kitchen,3.5 star rating,$$,"Latin, American,, Tapas, Bars,, Cuban"
2,Vavtd5JwMKYgxYz-X3Uyew,Huw P.,5.0 star rating,"I used to live real close and go more often, I love this place the small plates are great to share and the larger plates too, we usually order way to much food and eat it all, the mixed veg plate is awesome, the small pastry items are very good, the soup tastes great but can be a bit scary when you get to the bottom, Cuban sandwich is amazing and the coffee is great, they are a BYO too, I must eat here more often as I always enjoy it.",Zafra Kitchen,3.5 star rating,$$,"Latin, American,, Tapas, Bars,, Cuban"
3,4lAQYtRnSB6qdinlNEwDcA,Lindsay M.,4.0 star rating,"Wow - just wow. I came here on a Sunday afternoon and sat outside on a beautiful day. The food was incredible and it's BYOB. What more can you ask for? We started out with the Yuca Fries with Cilantro Sauce Presilla and the Empanadas - OMG. Both were amazing. The Cilantro dipping sauce was really phenominal for the fries. The Empanadas are small - fair warning. If you have a group, I suggest ordering 3 or 4 little dishes. For lunch, we ordered the Tostadas con Tinga and the Argentinean-style Skirt Steak. Can't even explain how amazing both of these dishes were. Very flavorful. My only complaint is that there were flies circling us as we ate outside - I wish the restaurant would add outdoor fans to try and prevent this. But, doesn't take away from the fantastic food.Absolutely 100% will be back. Delicious!",Zafra Kitchen,3.5 star rating,$$,"Latin, American,, Tapas, Bars,, Cuban"
4,nX6twzxCxhKVOSp7erNU0Q,Jenn F.,2.0 star rating,"The food was good.. However, Roaches crawling on the walls.. Totally gross. I can't get over it",Zafra Kitchen,3.5 star rating,$$,"Latin, American,, Tapas, Bars,, Cuban"
5,dD-e4MWK3p5xUK9gcWpu9w,Emma P.,4.0 star rating,"I'd class Zafra as more of a cafe than restaurant, the interior isn't huge but it is colourful and quite charming. It's a BYOB place where the friendly staff are happy to turn your wine into sangria if you wish. During the day I like stop by for a coffee or a casual lunch - their pressed sandwiches are all excellent - and at night I like to order a bunch of things to make a tapas style dinner. Everything here is very tasty and one of my favorite things to order is the vegetable plate. It can get busy during lunch hours with local workers and hospital staff and there are a few things on the menu that are a little overpriced but choose wisely and you can eat very well and eat cheaply.",Zafra Kitchen,3.5 star rating,$$,"Latin, American,, Tapas, Bars,, Cuban"
6,Kx6PGZFGoF8QKS--anq4tg,Rebecca R.,4.0 star rating,Love this place!  Anything you get is divine.  Here are a few of my favorite items:Yuca fries with cilantro sauce Enchiladas insaneMeatballsCuban sandwich On top of it it's byob and they make you delicious sangria.  You won't go wrong if you come here!,Zafra Kitchen,3.5 star rating,$$,"Latin, American,, Tapas, Bars,, Cuban"
7,iEaUtoTP4wO4Ku6AHi1b_g,Jess S.,5.0 star rating,"I've been here many times , but today the service and food was phenomenal ... I wish I knew the waiters' names so that they get the recognition they deserve. The waitress and waiter went above and beyond and took care of us immediately. It was my first time having their soup and i was in heaven, it was so flavorful and hearty. The tostones were scrumptious  and came with a garlic mojo which was great. Thank you for your great customer service",Zafra Kitchen,3.5 star rating,$$,"Latin, American,, Tapas, Bars,, Cuban"
8,WGiy4RGk5AjZ7daP_P4TAQ,Dairon M.,1.0 star rating,Service is and has been horrible the last three times. Food is just mediocre and Hoboken has just failed to produce a good Cuban restaurant. You're better off driving down by north Bergen and guttenberg to rumba cubana. Had a Cuban sandwich and the pork was cold. Smh. I tried getting a smoothie but the server never came. Last time I came on a Sunday they ran out of bread so I wasn't able to get a sandwich. Mind blowing. DO NOT WASTE YOUR TIME.,Zafra Kitchen,3.5 star rating,$$,"Latin, American,, Tapas, Bars,, Cuban"
9,mjGxgBRAj2iHVYhmR_28WA,A S.,1.0 star rating,Just had Really lousy food via delivery where it was over cooked Pounded thin chicken breast to the point of inedible and then some mole sauce thrown in. Salad wasn't great either just a bag of mesclun greens with a few corn pieces and avocado. Sad because the food is always been good in the restaurant but when they say grilled marinated chicken I wasn't picturing a quality of chicken breast I could've gone at some Crappy pizza place,Zafra Kitchen,3.5 star rating,$$,"Latin, American,, Tapas, Bars,, Cuban"
10,k-euxSAAYWtnSNcZAO2wbw,Lauren K.,5.0 star rating,Amazing food. Service was great! The chicken skewers were out of this world. So tender and moist! Can't wait to come here again.,Zafra Kitchen,3.5 star rating,$$,"Latin, American,, Tapas, Bars,, Cuban"
11,9P1NZxEzCrPDK3S8dTUbSA,Laura G.,5.0 star rating,"Absolutely love this Hoboken gem. It's a little off the beaten Path, which means you might actually be able to get in on a Friday or Saturday :). As it is, I would go any day of the week and have. It's BYO, super affordable and delicious. That staff is so kind and welcoming. The inside is cute, but fairly small (I've never had a problem getting a table, though). The outside seating in the spring/summer is adorable. There's one coveted table with strung lights near some shrubbery that I've never had a party big enough to sit in, but that's my goal! The warm bread they bring out is TO DIE FOR (I have dreams about it) and you can ask for more and they won't charge you for it :). The meat balls and croquettes are delish, but I've never had anything I didn't like here. Just go! For date night, dinner with friends, with the family, etc.",Zafra Kitchen,3.5 star rating,$$,"Latin, American,, Tapas, Bars,, Cuban"
