,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,9kJOp4SlFjB-seYMLcpDiQ,Diane C.,5.0 star rating,"5 stars for the iced americano-strong flavor and bitter in a good way. Japanese cold brew is meh- pre-made and slightly acidic. Freshly ground beans though (for my americano)! This is definitely my go-to coffee place in this area. I really appreciate that they have different sweetener options: sugar, honey, and agave nectar. Side note: there's usually a community notepad lying around behind the sweetening station with some..interesting drawings",bwè kafe,4.5 star rating,$,"Cafes,, Coffee, &, Tea"
1,Gnj3X_Zs99KS0AIVeYQVGA,Jerry L.,4.0 star rating,"Great spot for a cafe for tourists that visit Newport Green, recommend the cortado or a latte, they have a bathroom for customers and they accept cash/credit and parking is available best using a lot and bicycle parking is also available. Great place especially in the summer when you're walking along the waterfront from Hoboken to Jersey City.",bwè kafe,4.5 star rating,$,"Cafes,, Coffee, &, Tea"
2,ZLZG4YoH40OIU1DqDY-qnA,Fiona S.,5.0 star rating,"Love this place!! Has become my go-to reading and study spot conveniently down the block from my building. Coffee is always perfectly made (au lait, latte, cappuccinos are all faves) and it helps that they support causes such as 'coffee for water' contributing to clean water in Haiti.  Avocado toast and melted mutz sandwich also soo yum!",bwè kafe,4.5 star rating,$,"Cafes,, Coffee, &, Tea"
3,klltXlh3I6oaNE6r9tLTLg,J B.,5.0 star rating,Love the people and the place. It's my local spot and the coffee is real good. They also have a great mission in their nonprofit support of Haiti.,bwè kafe,4.5 star rating,$,"Cafes,, Coffee, &, Tea"
4,gNPAljjsiA0Wcb66MM-MMA,Jiachen W.,4.0 star rating,"A nice place to grab coffee, near my home and I love their environment. Great service. Nice staff. Coffee tastes great. Recommend here.",bwè kafe,4.5 star rating,$,"Cafes,, Coffee, &, Tea"
5,doEkyujbAZLi_pF4Nr3I5Q,Inga P.,4.0 star rating,"Great place and I like going there, though it's very vety hot there quite often (usually like 80 or more) what makes it very uncomfortable to be there for mire than 10 minutes. Also, when I asked the personnel to turn on AC - I was told one time that they won't do anything and the second time they turned off the heater though it didn't make it cooler just prevented the temperature to continue going up. I would highly appreciate if manager of that caffe instructs his employees to keep the temperature 72-74 to make it comfortable.",bwè kafe,4.5 star rating,$,"Cafes,, Coffee, &, Tea"
6,VZnQNFtOeQvAq_G1gZwXww,Sammy S.,4.0 star rating,"Real superstar! Amazing Cappucino, probably one of the best ones I've had. Very friendly staff, nothing but smiles in faces. Only star off would be the back room which needs just a bit more inviting area to sit. The room in the back with curtain hanging just threw me off just a bit but the coffee was so good I really had to have them grind me some coffee for my house.",bwè kafe,4.5 star rating,$,"Cafes,, Coffee, &, Tea"
7,K0DeUuE6t0553UC-Tll4-Q,Tina W.,4.0 star rating,"Location: Newport has some great options here like bwe kafe. I was stunned by the fact that the place has huge space then I realized oh it aint nyc. Coffee: get their ice coffee and with a splash of cream... damn, some of the best coffee I have ever had. Without the cream, ice coffee is not too sour compared with other coffee shop in NYC and the flavor is then balanced well with the cream, creating a sense of harmony and I can feel about the coffee bean dancing in my tongue.Price: not pricy at allService: everyone seems to be nicer compared to nyer and place has large space so many people are here chilling together.Overall: fantastic! Loved it!4 stars",bwè kafe,4.5 star rating,$,"Cafes,, Coffee, &, Tea"
8,uA8cOZEyCPYdJLiZrkaVug,Jessica S.,5.0 star rating,"We live at the Ellipse and we love this cafe!  Delicious food and well made espresso drinks. Friendly staff as well. Our two year old LOVES the ""babycino"" with a tiny little ""cappuccino"" in an espresso cup (steamed milk and vanilla). She loves her tiny coffee cup her size. Love this place.",bwè kafe,4.5 star rating,$,"Cafes,, Coffee, &, Tea"
9,SrtKnqrn4r2JVGhBpW3Gsw,Sunidhi G.,4.0 star rating,"It is such a refreshing change from the Starbucks (which is now in every nook and corner of the city). They have wifi, some games, free french classes and of course interesting menu. We tried a vegan beet latte here. It was nice, and different. They have free french classes on Mondays, Thursdays and Saturdays that you can register for as well. Overall, a nice place to sit inside, play games and snack.",bwè kafe,4.5 star rating,$,"Cafes,, Coffee, &, Tea"
