,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,D5RIQPjA-i9ij5J3lg0CRg,Kim B.,4.0 star rating,"I give this place 4 stars because their ingredients are great. I will say that they've gotten my order wrong multiple times and it's been frustrating. However, when they do get my order right, the meal is great. I typically get stirfry because that hits the spot with my tastebuds, but I have gotten salads here and thought they were fine. I can tell that they've hired some new staff and they are trying to do better with their customer service so I do want to give them credit for that. There was a period of time when they handed out coupons because I think they realized they were getting a lot of orders wrong and trying to bring back customers, which I think was a great idea.Overall, my experience with them has been average. Mistakes happen and sometimes too often, but the food makes up for it and makes me want to keep coming back. I don't know what is in their sauce but it is so great!",honeygrow,3.5 star rating,$$,"Salad,, Noodles"
1,Jtpqta6ELiX2_2vh_cej2A,RJ T.,5.0 star rating,BEST STIRFRY IVE EVER HAD!! I got the Sweet Soy Five Spice stir-fry bowl and substituted the turkey for Tofu 5/5 Stars,honeygrow,3.5 star rating,$$,"Salad,, Noodles"
2,k6vG6D_q8576ZZ1nZpG0Sw,Gui Bin Z.,3.0 star rating,"Writing an update for Honeygrow because I've gone back now 2 times since and they've had a drastic improvement (solid 3.5 stars but because they did me so wrong the first time they are at 3 stars right now, might up this is I have another good experience). The last two times I've gone, I've gotten the salad and also the stir-fry. The sauce this time was pretty yummy and my noodles were cooked. I really did enjoy my experience and there was also every staff members asking if they could take our trays away. This was a night and day experience from my first experience.",honeygrow,3.5 star rating,$$,"Salad,, Noodles"
3,zMilz6OlDmRAxiReuMGgBg,Gina R.,4.0 star rating,"Healthy fast food?  Check.I end up here a couple of times a month when I'm simply too tired to make dinner and have to be up early the next day.  Veggies and protein are super fresh (never once have I gotten anything questionable).  Salad with cold ramen noodles and tofu, avocado and cucumbers is my go to.  Honeygrow to the recuse!Enter and walk up to the kiosks. Everything is ordered on a kiosk.  If you want to pay cash, make sure you select that at the end.  You pick what you want and custom order.  Base items are salad, stir fry or the honeycup.  Salads are fresh - there's no chance you are getting any yuck brown lettuce or ice berg here.  You can add avocado and special house made like diced pickled peppers, tea soaked raisins and pumpernickel croutons.  All the dressings are made in house and labeled GF, V, LF to make it easy.  If you want more than one dressing, just ask!  My personal fave is the honey ginger.  It's one of the only lower fat ones and it's really silky and gingery tasting.I really like honeygrow.  Like that I can choose my own ingredients for fresh salads and stir frys.  Dinner when I have had a long day has never been easier and healthier.",honeygrow,3.5 star rating,$$,"Salad,, Noodles"
4,oD3HGwuvY6G3P7cALt2dQQ,Dianne V.,4.0 star rating,"Been wanting to try this place since being in Hoboken as it looks pretty good from the outside. This review is based off of a one time visit. I ordered shrimp stir fry with spicy garlic sauce and rice noodles. Serving size is decent so price of almost $12 is reasonable. Problem is the meal lacked salt. Understanding that it is a ""healthier"" alternative to take out foods in Hoboken which I am thankful for, I won't go too hard on the review but as we know , even a hint of salt can change the world. Anyway I liked the experience because I ordered and received my meal in about 5 minutes and the food is fresh.I will try again and update my review if there are any changes.",honeygrow,3.5 star rating,$$,"Salad,, Noodles"
5,VAZO5P19GoGdJH2hA-xCNg,Annette M.,4.0 star rating,This is one of my favorite places to get stir fry! I like using the kiosk and it gives the customer the opportunity to look through the ingredients thoroughly. Staff there is very nice. I have gone there mostly during lunch hours so it is usually pretty full in there and the wait can take a while. Overall I enjoyed my experience here and the food is great!,honeygrow,3.5 star rating,$$,"Salad,, Noodles"
6,cXolg7bRI3Fgj6LJUYp26A,Amanda J.,5.0 star rating,"Honeygrow specializes in all locally sourced products. They have a board stating where each of their ingredients originate from, including the vegetables and chicken. The place is computerized with touchscreen terminals where you enter your orders for food and drinks (no alcohol). They have already made salads and stir fry, or you could select your own ingredients. Everything is natural, organic and from local sources.When I'm craving a salad or stir fry there is no better place than Honeygrow! A great option in town for a healthy and quick bite!",honeygrow,3.5 star rating,$$,"Salad,, Noodles"
7,qdt6H6fcsTgrsx6zOQvHMA,Mich T.,4.0 star rating,"I loved my meal. It was delicious. I ordered the chicken stir fry and the better off red cold pressed juice (pre-packaged). It's an open kitchen so you can see them cook your meal in front of you, which is nice. Portion was a good size for the price. Ordered on GrubHub through yelp. It was convenient and quick.",honeygrow,3.5 star rating,$$,"Salad,, Noodles"
8,tNV8Ybk2G9y6I6janxVCJw,Simone W.,4.0 star rating,"Food: 1 starsDecor:3 starsHoneyGrow ..or HoneyNO that is the question?   The inner hipster in me wants to love this place, but be fooled not by the fancy decor. I do love the touch screen pads that you use to place the order especially if you're slow to order like me there's no pressure to choose something. The building is beautiful its simple but yet fab at the same time. To me it was an upscale McDonalds. The workers were very very meh except one young lady she was very nice. I was asking questions about the sauces and she let me try them I thought that was nice. She was the only one who wore a smile.  Even the cashier attendant who just called out the numbers of the orders like a drill sergeant. So maybe all of that influenced the overall taste of my food.  As far as the food goes it could use some work. Just because its vegetarian doesn't mean it should lack flavor. I got the stir fry noodles with egg and spinach and chicken.  The noodles were great the spinach was great, the chicken is another story. I was sold on the idea that this is all organic or farm raised . from farm to plate type thing. But just because its organic doesn't mean it has to lack flavor. I wanted something super quick and light that is what I got essentially but I wish it had more flavor. The chicken really reminded me of that chicken from subway G R O S S.",honeygrow,3.5 star rating,$$,"Salad,, Noodles"
9,ioElFB9bwp3zZw-ckaR-Nw,Ruby B.,1.0 star rating,really bad stirfry and extremely overpriced for the amount of food. They also didnt close it properly and it went everywhere,honeygrow,3.5 star rating,$$,"Salad,, Noodles"
