,restaurant_id,restaurant_name
0,O5yDZxVpo1Flj459iitZWw,10th & Willow Bar & Grill
1,M9k9KqCrow0I3x7CBdaxbg,52 Restaurant
2,u-EwrAxTcGkFNpa4jDsM2w,8th Street Tavern
3,FUPyCCqi_74lNlgHP_0n4Q,A La Carte Burritos
4,IiWlqFZ87A3Elb7e_ZeaCQ,å¥¥ç”°
5,3EzdV1IagLYyTHHIWCNUJw,Adoro Lei
6,Y-1IIDEBZf4AjKkFtsrzOA,Aether Game Cafe
7,oJvteA2UmwGcuOfD3D8v_w,Ahriâ€™s Kitchen
8,L4XNOk0Y5XFXMB5cxifizQ,Ainsworth Hoboken
9,g9NsJXB-45nR9xGGazsSTA,Aldys Restaurant
10,1USN5xGTt6w7VKritAQ9UA,Ali Baba
11,91g9u2YkBn_VSlEP1zH5fQ,Amandaâ€™s Restaurant
12,66sNbSsPNmKw07cXTcuMlA,Andrea Salumeria
13,R0x_ecJKGjRJRoKr6MDofQ,Angelâ€™s Recipe Ice Cream & Crepes
14,ySWo3AxpUdFaugTJxVfIKg,Anthony Davidâ€™s
15,oofz-y3F8P2kH8ZTmPqpgg,Aria Wine Bar
16,sp0W96EiOagvTD0FDdViIA,"Aroy-D, The Thai Elephant Truck"
17,34XwbAEyThEdsG8wvJ2-9g,Arthurs
18,Tscojcv_hqsuNbrO8D82mg,Artichoke Basilleâ€™s Pizza & Bar
19,RKO3TH9qFxUJ7RlIsdwUkQ,Augustinoâ€™s
20,WmSxPDKoN5Lx0dTRfsOhZg,Ayame Hibachi & Sushi
21,QdoQJe6TE9B6W4Cqqe2NNA,Azteca Taqueria Restaurant
22,r5o25xSqX--MHpTRJtkhAg,B.Good
23,ZoGsrxDTGl1Zxcmrskbi4g,Babo Teahouse
24,9s7mQGCJlZVsm5sNoJzMMw,Bagatelle - NY
25,x2TJYYHVETx_TN2TDmqElw,Baja Mexican Cuisine
26,qx2v-JImO3CGNeqJxTu1-w,Bang Cookies
27,mD9LOoVsSmzZAnqRYQRgXQ,Bangkok City Thai Restaurant
28,zwVBGJA8v99BiVCGKHd6uw,BarbÃ¨s Restaurant
29,P4EDBBGxgaCYgqqHEZ9yUw,Barbuto
30,gvG_MjLRdB-CcMMBkiSvhA,Bareburger
31,ceRtVq50pHUmBmMA-itoMQ,Bateaux New York
32,BQT9GXB1vmmivg__VRva-Q,Battello - Temp. CLOSED
33,lhv33E7SrUuExsAyiXAC-A,Benny Tudinoâ€™s Pizzeria
34,wlcp03bpOotpTKzozEDxWg,Beyond Sushi
35,s6bJIWOKXrEzeyNINBE0pQ,Biggieâ€™s
36,aE5uxqz_jnWP9QPzGWCP1Q,Bin 14
37,NZbbYhyAG-bkzapJ6VI8eA,Birch Hoboken
38,SZfGaR9gQQxfdMoqP8P_pQ,Black Bear Bar & Grill
39,QFrkPdQY_suy-mdfa4UuWA,Blackbarn Cafe | Bar
40,WrVlAq38V_fl0uOjZkifRQ,Blue Eyes Restaurant
41,Cl69ITy5zs8Nl_SWzhJJQw,Blue Flame Restaurant
42,lhCzo7GesOFqMTSbCyVRtg,Bluestone Lane
43,ReQ7gRL1lXko6Jo3RHLqfw,Brewshot
44,MRQVkU-sc-ItoDOlBLHpMA,Bubbyâ€™s High Line
45,EAsUF2KrXlSYxB6m6tDJKA,bwÃ¨ kafe
46,hiN2V3IBTdJhUbAK4rdOwA,bwÃ¨ kafe
47,1aZeg7jAd1X_dJJ7mOTZEg,Cafe Matt & Meera
48,25PdmzBHn35XKvRvp-Q-8Q,Cafe Michelina
49,X2VpM8OaMRO8q6nYq25LBA,Cafe Pilipino
50,RHyRYT9R5K29RQp70dlwPA,Capponeâ€™s Salumeria
51,Yr1XOK3djSD7BJ5ttS1Xlw,Carpe Diem Pub & Restaurant
52,_fANm_WRA6gywpcDJ_waVQ,Casita
53,_M_K8xQ9zs2DUArTsMT0lA,Catch
54,rfkck-ajIpSfaJssX4nVLg,Cejaâ€™s Restaurant
55,U6lZvsvIvfQSWM8OQwBisA,Central Fish Market
56,Afs0-ulBCCpyLuOg0UwOLA,CHALAIT
57,K8xFHW1TwSUppLqgWAYovA,Charritoâ€™s
58,F8ZRbN6bmMLxmFaWWXva0w,Charritos Midtown
59,uzuIdRxgiWPw9pMmTdqajw,Chart House
60,uzuIdRxgiWPw9pMmTdqajw,Chart House
61,CRiYA91PaEM4LuAmn3r6Gw,Chef Of India
62,P7dFe8yTT2N63vbsqwgUvQ,Chengdu1
63,vcwoY_zhFpRB_EgPiQmqfA,Chicazapa Mexican Restaurant
64,tZnOpzNA3qYZfbvF7NM-gA,Chicken Factory
65,Aj7RCAUzQsosbVvSBAUKwA,Choc O Pain
66,BMdt5K2ti1MAW4I8nCp_Ug,Choc O Pain
67,MEeK7hVYB-ZzYni5ZcUzhw,Chun Wai Restaurant
68,uq3qbwks7pdoC_DjUOPLIw,Churrasquiera Europa
69,fS-6hbniI0e0r2Te6s6xUg,Cinco De Mayo
70,wHQDTRkTV42zn8nBFu81NQ,City Bistro
71,Pyi-Vk2n3a8OVojyVbuHmg,Coach House
72,DmMRhrptIfi74ZR3A0EcYQ,Coco Havana
73,BSnZTOnw7Q_Vg-CKbAbuFA,Common Ground
74,ShYgvMdMbvpkEKcJeDIolw,Conga Cafe
75,WFW9juOZFg8MyvDNDttbmA,Congress Station
76,RcNUcwdkgAg3M0N7RUDPxg,Cooperâ€™s Union
77,4U-AAT1FqCk75fxedPopag,Corkscrew Bar
78,79c9UOPR5LHZrbe6ffWc6Q,Court Street Restaurant & Bar
79,VNA8Opu8aCYmh7LoFDcn9g,Cowgirl
80,EHXBqva-9YmvcRM7XY2vHw,Crepe Sucre
81,AM7VHzHMXfVkf_sK6p3AtQ,Cucharamama
82,iaPNazIQSydTjI46lOZ7bQ,Dark Side of the Moo Cafe
83,pI_l4Phj2OLnNbwrmlPD7w,Decoy
84,ozH4xfQ034sJzlA10gXFyg,Del Friscoâ€™s Grille
85,ozH4xfQ034sJzlA10gXFyg,Del Friscoâ€™s Grille
86,vt2OrkcZykSkMuj3whTAiA,Del Posto
87,9PowNGmG8sS1DSF6TqUWEQ,Delfinoâ€™s Pizzeria
88,U5DIcNGO87O_ztsMsAUv1g,Dig Inn
89,srPzDRAVP79erpTnF5cvOA,Dilli Junction
90,6zEfMom_5laptV3PPU-OhA,Dino & Harrys Steakhouse
91,uTDK-0JFqvBwgoCh4K_fzw,Donostia
92,NMxHOczzRSi-TJGlA1NV8w,Dorrianâ€™s Red Hand
93,wh1viEK4IHtxX2VPii2FiA,Dozzino
94,K2FEzn3j6oybzPflg-te1w,East LA
95,vEC9cmuwJLthMKkSxMCqUw,Eat Offbeat
96,CnErKPo4TYFOBHrx6m5g_A,Ed & Maryâ€™s
97,T_A81t8didJrIcVeFOeeXw,El CabaÃ±al
98,die2EShlI7EFAfQ-JfZfcw,El Cantante
99,mueAjxMHVniqaae7qTq6Vw,El Chimi Deli Restaurant
100,SqKgizXhoOVzx0KgsvhoSg,El Conuco Restaurante
101,B77GDvzBRCqEq0JA6bUlPw,El Gordo
102,kUt5LZ1-78KlJejAhZn80w,El Pollo Supremo
103,-1i3bDLMBVd_UKiNTzFhEQ,El Rinconcito Tipico Hondureno
104,bgLsNU4X0w0yZCxaRSGJ7g,El Rinkoncito Peruano
105,Z2Wva0IAuLScfLpU8wK8FA,El Sabroso
