,Average_Score
Cuban,4.041984733
Bars,3.562508233
Venues & Event Spaces,3.419823412
Kosher,4.372222222
Cheesesteaks,3.978571429
Taiwanese,4.0734375
Brazilian,3.575
Acai Bowls,4.2125
British,4.2375
Vegan,4.421428571
Donuts,3.675
Grocery,4.191374663
Gluten-Free,4.05625
Belgian,4.406746032
Vegetarian,3.735231317
Mediterranean,3.655642588
Food Stands,4.378640777
Sushi Bars,3.661951501
Gastropubs,3.692903226
Live/Raw Food,4.51
Salad,3.736979167
Vietnamese,3.343939394
Ramen,3.786666667
Spanish,3.661045531
Steakhouses,3.657978723
Music Venues,3.514285714
Colombian,3.1625
Pizza,3.611792374
American (New),3.65668034
Breakfast & Brunch,3.883280321
Convenience Stores,3.882352941
Coffee & Tea,4.207644628
Tapas Bars,3.528409091
Ice Cream & Frozen Yogurt,4.65
Argentine,3.741666667
American (Traditional),3.567094979
Food Trucks,4.449326303
Lounges,3.753033547
Cocktail Bars,3.59418239
Caterers,3.8
Hawaiian,4.2125
Chicken Shop,3.5
Irish,4.055555556
Portuguese,3.575
Waffles,4.406746032
Fast Food,3.409090909
Middle Eastern,3.976086957
Modern European,3.9775
Japanese,3.857669407
Thai,3.694339623
Latin American,3.989371981
Malaysian,3.747619048
Sandwiches,3.658854167
Puerto Rican,4.05
Peruvian,4.128571429
Juice Bars & Smoothies,3.657142857
Beer Bar,3.361702128
Greek,3.892857143
Halal,3.815384615
Salvadoran,5
Seafood Markets,4.225464191
Szechuan,3.55
French,3.714126498
German,3.976136364
Falafel,3.9921875
Pan Asian,3.327777778
Dominican,4.142076503
Street Vendors,4.783950617
Bubble Tea,3.677777778
Southern,3.575
Egyptian,3.347727273
Creperies,4.38125
Hot Dogs,4.333333333
Empanadas,4.321428571
Indian,3.798177996
Noodles,3.821546053
Candy Stores,3.343396226
Delis,4.587828492
Sports Bars,3.279869828
Moroccan,3.365256125
Desserts,3.688259109
Chicken Wings,3.463035019
Comfort Food,3.571153846
Austrian,3.804166667
Asian Fusion,3.545348837
Barbeque,3.805555556
Bakeries,4.235549133
Turkish,3.696666667
Chinese,3.958644068
Mexican,4.170218364
Hot Pot,3.775
Wine Bars,3.773245614
Bagels,3.842307692
Irish Pub,3.986666667
Tapas/Small Plates,3.826190476
Filipino,4.262
Poke,4.26
Scandinavian,4.36
Korean,4.072727273
Pubs,4.015384615
Gelato,3.14
Australian,5
Italian,3.858477139
Seafood,3.748839173
Cafes,4.221635884
Diners,3.748301032
Tabletop Games,4.65
Burgers,3.627418199
